Index,Tag,Eclipse-Series,Spine #,Title,Director,Country,Year,豆瓣电影,豆瓣年份,豆瓣打分,备注
161,bs-#679, , ,"Fight, Zatoichi, Fight",Kenji Misumi,Japan,1964,[座头市血笑旅 座頭市血笑旅](https://movie.douban.com/subject/3112571/),1964,7.8,盲剑客 之八
162,bs-#679, , ,Adventures of Zatoichi,Kimiyoshi Yasuda,Japan,1964,[座头市关所破 座头市関所破り](https://movie.douban.com/subject/3112596/),1964,6.9,盲剑客 之九
163,bs-#679, , ,Zatoichi’s Revenge,Akira Inoue,Japan,1965,[座头市二段斩 座头市二段斩り](https://movie.douban.com/subject/3112617/),1965,7.0,盲剑客 之十
164,bs-#679, , ,Zatoichi and the Doomed Man,Kazuo Mori,Japan,1965,[座头市逆手斩 座头市逆手斩り](https://movie.douban.com/subject/3112614/),1965,6.8,盲剑客 之十一
165,bs-#679, , ,Zatoichi and the Chess Expert,Kenji Misumi,Japan,1965,[座头市地狱旅 座頭市地獄旅](https://movie.douban.com/subject/1303841/),1965,7.0,盲剑客 之十二
166,bs-#679, , ,Zatoichi’s Vengeance,Tokuzo Tanaka,Japan,1966,[听见座头市的歌声 座頭市の歌が聞える](https://movie.douban.com/subject/3112620/),1966,6.8,盲剑客 之十三
167,bs-#679, , ,Zatoichi’s Pilgrimage,Kazuo Ikehiro,Japan,1966,[座头市渡海 座頭市海を渡る](https://movie.douban.com/subject/3112622/),1966,7.0,盲剑客 之十四
168,bs-#679, , ,Zatoichi’s Cane Sword,Kimiyoshi Yasuda,Japan,1967,[座头市铁火旅 座頭市鉄火旅](https://movie.douban.com/subject/3112637/),1967,7.5,盲剑客 之十五
169,bs-#679, , ,Zatoichi the Outlaw,Satsuo Yamamoto,Japan,1967,[座头市之逃狱 座頭市牢破り](https://movie.douban.com/subject/1299332/),1967,7.3,盲剑客 之十六
170,bs-#679, , ,Zatoichi Challenged,Kenji Misumi,Japan,1967,[座头市血烟街道 座頭市血煙り街道](https://movie.douban.com/subject/1306898/),1967,7.5,盲剑客 之十七
171,bs-#679, , ,Zatoichi and the Fugitives,Kimiyoshi Yasuda,Japan,1968,[座头市战帖 座頭市果し状](https://movie.douban.com/subject/3112638/),1968,7.2,盲剑客 之十八
172,bs-#679, , ,Samaritan Zatoichi,Kenji Misumi,Japan,1968,[座头市喧哗太鼓 座頭市喧嘩太鼓](https://movie.douban.com/subject/3098785/),1968,7.0,盲剑客 之十九
173,bs-#679, , ,Zatoichi Meets Yojimbo,Kihachi Okamoto,Japan,1970,[座头市与用心棒 座頭市と用心棒](https://movie.douban.com/subject/1308474/),1970,7.2,盲剑客 之二十
174,bs-#679, , ,Zatoichi Goes to the Fire Festival,Kenji Misumi,Japan,1970,[座头市大战火神庙 座頭市あばれ火祭り](https://movie.douban.com/subject/1307629/),1970,7.7,盲剑客 之二十一
175,bs-#679, , ,Zatoichi Meets the One-Armed Swordsman,Kimiyoshi Yasuda,Japan,1971,[座头市与独臂刀 新座頭市・破れ！唐人剣](https://movie.douban.com/subject/1308572/),1971,5.9,盲剑客 之二十二
176,bs-#679, , ,Zatoichi at Large,Kazuo Mori,Japan,1972,[座头市御用旅 座頭市御用旅](https://movie.douban.com/subject/1307670/),1972,7.0,盲剑客 之二十三
177,bs-#679, , ,Zatoichi in Desperation,Shintaro Katsu,Japan,1972,[新座头市物语：断杖 新座頭市物語・折れた杖](https://movie.douban.com/subject/1307157/),1972,6.7,盲剑客 之二十四
178,bs-#679, , ,Zatoichi’s Conspiracy,Kimiyoshi Yasuda,Japan,1973,[新座头市物语：笠间的血祭 新座頭市物語・笠間の血祭り](https://movie.douban.com/subject/1308568/),1973,7.1,盲剑客 之二十五
179,bs-#684, ,684,[Martin Scorsese’s World Cinema Project No. 1](https://www.criterion.com/boxsets/1021-martin-scorseses-world-cinema-project-no-1), , , ,**马丁·斯科塞斯世界电影计划（第一辑）**, , , 
180,bs-#684, ,685,Touki bouki,Djibril Diop Mambéty,Senegal,1973,[土狼之旅 Touki Bouki](https://movie.douban.com/subject/1424576/),1973,7.6, 
181,bs-#684, ,686,Redes,Emilio Gómez Muriel…,Mexico,1936,[浪潮 Redes](https://movie.douban.com/subject/3162784/),1936,6.6, 
182,bs-#684, ,687,A River Called Titas,Ritwik Ghatak,Bangladesh,1973,[一条叫做底塔斯的河 তিতাস একটি নদীর নাম](https://movie.douban.com/subject/1782378/),1973,7.9, 
183,bs-#684, ,688,Dry Summer,Metin Erksan,Turkey,1964,[干涸的夏天 Susuz yaz](https://movie.douban.com/subject/1299807/),1963,7.3, 
184,bs-#684, ,689,Trances,Ahmed El Maanouni,Morocco,1981,[出神 Trances](https://movie.douban.com/subject/4005490/),1981,6.1, 
185,bs-#684, ,690,The Housemaid,Kim Ki-young,South Korea,1960,[下女 하녀](https://movie.douban.com/subject/1401523/),1960,7.2, 
186,bs-#713, ,713,[The Essential Jacques Demy](https://www.criterion.com/boxsets/1055-the-essential-jacques-demy), , , ,**雅克·德米精华集**, , , 
187,bs-#713, ,714,Lola,Jacques Demy,France,1961,[萝拉 Lola](https://movie.douban.com/subject/1471815/),1961,7.9, 
188,bs-#713, ,715,Bay of Angels,Jacques Demy,France,1963,[天使湾 La baie des anges](https://movie.douban.com/subject/1401908/),1963,7.3, 
189,bs-#713, ,716,The Umbrellas of Cherbourg,Jacques Demy,France,1964,[瑟堡的雨伞 Les parapluies de Cherbourg](https://movie.douban.com/subject/1301646/),1964,7.8, 
190,bs-#713, ,717,The Young Girls of Rochefort,Jacques Demy,France,1967,[柳媚花娇 Les Demoiselles de Rochefort](https://movie.douban.com/subject/1301648/),1967,8.0, 
191,bs-#713, ,718,Donkey Skin,Jacques Demy,France,1970,[驴皮公主 Peau d'âne](https://movie.douban.com/subject/1301656/),1970,7.1, 
192,bs-#713, ,719,Une chambre en ville,Jacques Demy,France,1982,[城里的房间 Une chambre en ville](https://movie.douban.com/subject/2969886/),1982,6.6, 
193,bs-#729, ,729,[The Complete Jacques Tati](https://www.criterion.com/boxsets/1069-the-complete-jacques-tati), , , ,**雅克·塔蒂全集**, , , 
194,bs-#729, ,730,Jour de fête,Jacques Tati,France,1949,[节日 Jour de fête](https://movie.douban.com/subject/1424620/),1949,7.6, 
195,bs-#729, ,110,Monsieur Hulot’s Holiday,Jacques Tati,France,1953,[于洛先生的假期 Les vacances de Monsieur Hulot](https://movie.douban.com/subject/1305790/),1953,8.0, 
196,bs-#729, ,111,Mon oncle,Jacques Tati,France,1958,[我的舅舅 Mon Oncle](https://movie.douban.com/subject/1400829/),1958,8.6, 
197,bs-#729, ,112,PlayTime,Jacques Tati,France,1967,[玩乐时间 Play Time](https://movie.douban.com/subject/1303543/),1967,8.8, 
198,bs-#729, ,439,Trafic,Jacques Tati,France,1971,[交通意外 Trafic](https://movie.douban.com/subject/2007345/),1971,7.9, 
199,bs-#729, ,731,Parade,Jacques Tati,France,1974,[游行 Parade](https://movie.douban.com/subject/2007353/),1974,7.4, 
200,bs-#729, , ,On demande une brute ,Jacques Tati,France,1934,[要一个暴力男 On demande une brute](https://movie.douban.com/subject/5073797/),1934,6.2,seven short films
201,bs-#729, , ,Gai dimanche ,Jacques Tati,France,1935,[快活的周日 Gai dimanche](https://movie.douban.com/subject/2007339/),1935,6.6,seven short films
202,bs-#729, , ,Soigne ton gauche ,Jacques Tati,France,1936,[小心左边 Soigne ton gauche](https://movie.douban.com/subject/1428134/),1936,7.0,seven short films
203,bs-#729, , ,L’école des facteurs ,Jacques Tati,France,1946,[邮差学校 L'école des facteurs](https://movie.douban.com/subject/1414805/),1947,8.0,seven short films
204,bs-#729, , ,Cours du soir ,Jacques Tati,France,1967,[夜校 Cours du soir](https://movie.douban.com/subject/2136992/),1967,7.7,seven short films
205,bs-#729, , ,Forza Bastia ,Jacques Tati,France,1978,[前进巴斯蒂亚 Forza Bastia](https://movie.douban.com/subject/2221073/),1978,6.6,seven short films
206,bs-#729, , ,and Dégustation maison ,Jacques Tati,France,1978,[点心屋 Dégustation maison](https://movie.douban.com/subject/25941727/),2014, ,seven short films
207,bs-#729, , ,Tati story,Jacques Tati,France,2002,[塔蒂的故事 Tati story](https://movie.douban.com/subject/2981905/),2006, ,a short biographical film from 2002
208,bs-#729, , ,In the Footsteps of Monsieur Hulot,Jacques Tati,France,1989,[于洛先生的足迹 In the Footsteps of Monsieur Hulot](https://movie.douban.com/subject/3992328/),1989, ,a 1989 documentary about Tati’s beloved alter ego
209,bs-#782, ,782,[The Apu Trilogy](https://www.criterion.com/boxsets/1145-the-apu-trilogy), , , ,**（萨蒂亚吉特·雷伊）阿普三部曲**, , , 
210,bs-#782, ,783,Pather Panchali,Satyajit Ray,India,1955,[大地之歌 পথের পাঁচালী](https://movie.douban.com/subject/1306019/),1955,8.9, 
211,bs-#782, ,784,Aparajito,Satyajit Ray,India,1956,[大河之歌 অপরাজিত](https://movie.douban.com/subject/1306559/),1956,8.7, 
212,bs-#782, ,785,Apur Sansar,Satyajit Ray,India,1959,[大树之歌 অপুর সংসার](https://movie.douban.com/subject/1295720/),1959,8.7, 
213,bs-#813, ,813,[Wim Wenders: The Road Trilogy](https://www.criterion.com/boxsets/1186-wim-wenders-the-road-trilogy), , , ,**维姆·文德斯：公路三部曲**, , , 
214,bs-#813, ,814,Alice in the Cities,Wim Wenders,Germany,1974,[爱丽丝城市漫游记 Alice in den Städten](https://movie.douban.com/subject/1293306/),1974,8.7, 
215,bs-#813, ,815,Wrong Move,Wim Wenders,Germany,1975,[错误的举动 Falsche Bewegung](https://movie.douban.com/subject/1297813/),1975,7.5, 
216,bs-#813, ,816,Kings of the Road,Wim Wenders,Germany,1976,[公路之王 Im Lauf der Zeit](https://movie.douban.com/subject/1437023/),1976,8.4, 
217,bs-#841, ,841,[Lone Wolf and Cub](https://www.criterion.com/boxsets/1217-lone-wolf-and-cub), , , ,**（三隅研次等）带子雄狼系列**, , , 
218,bs-#841, , ,Lone Wolf and Cub: Sword of Vengeance,Kenji Misumi,Japan,1972,[带子雄狼：出租孩子与武艺 子連れ狼 子を貸し腕貸しつかまつる](https://movie.douban.com/subject/1308595/),1972,7.8, 
219,bs-#841, , ,Lone Wolf and Cub: Baby Cart at the River Styx,Kenji Misumi,Japan,1972,[带子雄狼：三涂河的乳母车 子連れ狼 三途の川の乳母車](https://movie.douban.com/subject/1307278/),1972,7.8, 
220,bs-#841, , ,Lone Wolf and Cub: Baby Cart to Hades,Kenji Misumi,Japan,1972,[带子雄狼：向乳母车吹去的死亡之风 子連れ狼 死に風に向う乳母車](https://movie.douban.com/subject/1308028/),1972,7.6, 
221,bs-#841, , ,Lone Wolf and Cub: Baby Cart in Peril,Buichi Saito,Japan,1972,[带子雄狼 父子连心 子連れ狼 親の心子の心](https://movie.douban.com/subject/1905271/),1972,7.3, 
222,bs-#841, , ,Lone Wolf and Cub: Baby Cart in the Land of Demons,Kenji Misumi,Japan,1973,[带子雄狼 冥府魔道 子連れ狼 冥府魔道](https://movie.douban.com/subject/1308152/),1973,7.4, 
223,bs-#841, , ,Lone Wolf and Cub: White Heaven in Hell,Yoshiyuki Kuroda,Japan,1974,[带子雄狼：地狱之行！大五郎！ 子連れ狼 地獄へ行くぞ！大五郎](https://movie.douban.com/subject/1905275/),1974,7.1, 
224,bs-#856, ,856,The Before Trilogy, , , ,**（理查德·林克莱特）“爱在”三部曲**, , , 
225,bs-#856, ,857,Before Sunrise,Richard Linklater,United States,1995,[爱在黎明破晓前 Before Sunrise](https://movie.douban.com/subject/1296339/),1995,8.8, 
226,bs-#856, ,858,Before Sunset,Richard Linklater,United States,2004,[爱在日落黄昏时 Before Sunset](https://movie.douban.com/subject/1291990/),2004,8.9, 
227,bs-#856, ,859,Before Midnight,Richard Linklater,United States,2013,[爱在午夜降临前 Before Midnight](https://movie.douban.com/subject/10808442/),2013,8.9, 
228,bs-#873, ,873,[Martin Scorsese’s World Cinema Project No. 2](https://www.criterion.com/boxsets/1258-martin-scorseses-world-cinema-project-no-2), , , ,**马丁·斯科塞斯世界电影计划（第二辑）**, , , 
229,bs-#873, ,874,Insiang,Lino Brocka,Philippines,1976,[英湘 Insiang](https://movie.douban.com/subject/3752627/),1976,7.4, 
230,bs-#873, ,875,Mysterious Object at Noon,Apichatpong Weerasethakul,Thailand,2000,[正午显影 ดอกฟ้าในมือมาร](https://movie.douban.com/subject/1307886/),2000,7.4, 
231,bs-#873, ,876,Revenge,Ermek Shinarbaev,Kazakhstan,1989,[复仇 Месть](https://movie.douban.com/subject/5115762/),1989,6.8, 
232,bs-#873, ,877,Limite,Mário Peixoto,Brazil,1931,[界限 Limite](https://movie.douban.com/subject/1925767/),1931,7.6, 
233,bs-#873, ,878,Law of the Border,Lütfi Ö. Akad,Turkey,1966,[边境法规 Hudutlarin kanunu](https://movie.douban.com/subject/3875178/),1966,6.5, 
234,bs-#873, ,879,Taipei Story,Edward Yang,Taiwan,1985,[青梅竹马 青梅竹馬](https://movie.douban.com/subject/1305327/),1985,8.0, 
235,bs-#881, ,881,[The Marseille Trilogy](https://www.criterion.com/boxsets/1264-the-marseille-trilogy), , , ,**（亚历山大·柯达等）马赛三部曲**, , , 
236,bs-#881, ,882,Marius,Alexander Korda,France,1931,[马里乌斯 Marius](https://movie.douban.com/subject/1466146/),1931,7.6, 
237,bs-#881, ,883,Fanny,Marc Allégret,France,1932,[芬妮 Fanny](https://movie.douban.com/subject/1297159/),1932,7.6, 
238,bs-#881, ,884,César,Marcel Pagnol,France,1936,[塞萨尔 César](https://movie.douban.com/subject/1466149/),1936,7.0, 
239,bs-#930, ,930,[Dietrich & von Sternberg in Hollywood](https://www.criterion.com/boxsets/1329-dietrich-von-sternberg-in-hollywood), , , ,**好莱坞时期的玛琳·黛德丽和约瑟夫·冯·斯登堡**, , , 
240,bs-#930, ,931,Morocco,Josef von Sternberg,United States,1930,[摩洛哥 Morocco](https://movie.douban.com/subject/1295600/),1930,7.4, 
241,bs-#930, ,932,Dishonored,Josef von Sternberg,United States,1931,[羞辱 Dishonored](https://movie.douban.com/subject/1467192/),1931,7.8, 
242,bs-#930, ,933,Shanghai Express,Josef von Sternberg,United States,1932,[上海快车 Shanghai Express](https://movie.douban.com/subject/1293996/),1932,7.0, 
243,bs-#930, ,934,Blonde Venus,Josef von Sternberg,United States,1932,[金发维纳斯 Blonde Venus](https://movie.douban.com/subject/1303774/),1932,7.3, 
244,bs-#930, ,935,The Devil Is a Woman,Josef von Sternberg,United States,1935,[魔鬼是女人 The Devil Is a Woman](https://movie.douban.com/subject/1294983/),1935,6.4, 
245,bs-#1000, ,1000,"[Godzilla: The Showa-Era Films, 1954–1975](https://www.criterion.com/boxsets/2648-godzilla-the-showa-era-films-1954-1975)", , , ,**（本多猪四郎）哥斯拉：昭和时代的电影，1954年到1975年**, , , 
246,bs-#1000, ,594,Godzilla,Ishiro Honda,Japan,1954,[哥斯拉 ゴジラ](https://movie.douban.com/subject/2059276/),1954,7.7, 
247,bs-#1000, , ,Godzilla Raids Again,Motoyoshi Oda,Japan,1955,[哥斯拉的反击 ゴジラの逆襲](https://movie.douban.com/subject/2062611/),1955,6.3, 
248,bs-#1000, , ,King Kong vs. Godzilla,Ishiro Honda,Japan,1963,[金刚大战哥斯拉 キングコング対ゴジラ](https://movie.douban.com/subject/1463226/),1962,6.3, 
249,bs-#1000, , ,"Ghidorah, the Three-Headed Monster",Ishiro Honda,Japan,1964,[摩斯拉决战哥斯拉 モスラ対ゴジラ](https://movie.douban.com/subject/2059286/),1964,6.7, 
250,bs-#1000, , ,Mothra vs. Godzilla,Ishiro Honda,Japan,1964,[三大怪兽 地球最大决战 三大怪獣 地球最大の決戦](https://movie.douban.com/subject/2059285/),1964,6.7, 
251,bs-#1000, , ,Invasion of Astro-Monster,Ishiro Honda,Japan,1965,[哥斯拉之怪兽大战争 怪獣大戦争](https://movie.douban.com/subject/2059287/),1965,6.5, 
252,bs-#1000, , ,"Ebirah, Horror of the Deep",Jun Fukuda,Japan,1966,[哥斯拉·伊比拉·摩斯拉：南海大决斗 ゴジラ・エビラ・モスラ 南海の大決闘](https://movie.douban.com/subject/2067462/),1966,5.9, 
253,bs-#1000, , ,Son of Godzilla,Jun Fukuda,Japan,1967,[怪兽岛决战：哥斯拉之子 怪獣島の決戦 ゴジラの息子](https://movie.douban.com/subject/2067461/),1967,5.7, 
254,bs-#1000, , ,Destroy All Monsters,Ishiro Honda,Japan,1968,[战龙哥斯拉之怪兽总进击 怪獣総進撃](https://movie.douban.com/subject/2059299/),1968,6.5, 
255,bs-#1000, , ,All Monsters Attack,Ishiro Honda,Japan,1969,[哥斯拉·迷你拉·加巴拉：全体怪兽大进击 ゴジラ・ミニラ・ガバラ オール怪獣大進撃](https://movie.douban.com/subject/2059296/),1969,4.9, 
256,bs-#1000, , ,Godzilla vs. Hedorah,Yoshimitsu Banno,Japan,1971,[哥斯拉对黑多拉 ゴジラ対ヘドラ](https://movie.douban.com/subject/2063917/),1971,7.1, 
257,bs-#1000, , ,Godzilla vs. Gigan,Jun Fukuda,Japan,1972,[战龙哥斯拉之决战宇宙魔龙 地球攻撃命令 ゴジラ対ガイガン](https://movie.douban.com/subject/2062627/),1972,6.1, 
258,bs-#1000, , ,Godzilla vs. Megalon,Jun Fukuda,Japan,1973,[哥斯拉对美加洛 ゴジラ対メガロ](https://movie.douban.com/subject/2062626/),1973,5.2, 
259,bs-#1000, , ,Godzilla vs. Mechagodzilla,Jun Fukuda,Japan,1974,[哥斯拉对机械哥斯拉 ゴジラ対メカゴジラ](https://movie.douban.com/subject/1808435/),1974,6.4, 
260,bs-#1000, , ,Terror of Mechagodzilla,Ishiro Honda,Japan,1975,[哥斯拉之机械哥斯拉的反击 メカゴジラの逆襲](https://movie.douban.com/subject/2059277/),1975,6.6, 
261,bs-#1036, ,1036,[Bruce Lee: His Greatest Hits](https://www.criterion.com/boxsets/3205-bruce-lee-his-greatest-hits), , , ,**李小龙精选系列**, , , 
262,bs-#1036, , ,The Big Boss,Lo Wei,Hong Kong,1971,[猛龙过江 猛龍過江](https://movie.douban.com/subject/1306870/),1972,8.4, 
263,bs-#1036, , ,Fist of Fury,Lo Wei,Hong Kong,1972,[唐山大兄](https://movie.douban.com/subject/1307577/),1971,7.8, 
264,bs-#1036, , ,The Way of the Dragon,Bruce Lee,Hong Kong,1972,[精武门 精武門](https://movie.douban.com/subject/1294991/),1972,8.5, 
265,bs-#1036, , ,Enter the Dragon,Robert Clouse,Hong Kong,1973,[龙争虎斗 Enter the Dragon](https://movie.douban.com/subject/1293118/),1973,8.3, 
266,bs-#1036, , ,Game of Death,Robert Clouse,Hong Kong,1978,[死亡游戏 Game of Death](https://movie.douban.com/subject/1308456/),1978,7.8, 
267,bs-#1044, ,1044,[Martin Scorsese’s World Cinema Project No. 3](https://www.criterion.com/boxsets/3506-martin-scorseses-world-cinema-project-no-3), , , ,**马丁·斯科塞斯世界电影计划（第三辑）**, , , 
268,bs-#1044, ,1045,Lucía,Humberto Solás,Cuba,1968,[三个露西亚 Lucía](https://movie.douban.com/subject/1401369/),1968,7.8, 
269,bs-#1044, ,1046,After the Curfew,Usmar Ismail,Indonesia,1954,[戒严夜 Lewat Djam Malam](https://movie.douban.com/subject/10617189/),1953, , 
270,bs-#1044, ,1047,Pixote,Héctor Babenco,Brazil,1980,[街童 Pixote: A Lei do Mais Fraco](https://movie.douban.com/subject/1298835/),1981,7.8, 
271,bs-#1044, ,1048,Dos monjes,Juan Bustillo Oro,Mexico,1934,[两个僧侣 Dos Monjes](https://movie.douban.com/subject/2382810/),1934,7.3, 
272,bs-#1044, ,1049,Soleil Ô,Med Hondo,France,1970,[噢，太阳 Soleil Ô](https://movie.douban.com/subject/6030619/),1973,7.7, 
273,bs-#1044, ,1050,Downpour,Bahram Beyzaie,Iran,1972,[暴雨 رگبار](https://movie.douban.com/subject/16899635/),1972, , 
274,bs-#1082, ,1082,[The Signifyin’ Works of Marlon Riggs](https://www.criterion.com/boxsets/4431-the-signifyin-works-of-marlon-riggs), , , ,**马龙·里格斯的嬉弄录**, , , 
275,bs-#1082, , ,Ethnic Notions,Marlon Riggs,United States,1986,[民族观念 Ethnic Notions](https://movie.douban.com/subject/3213441/),1986, , 
276,bs-#1082, , ,Tongues Untied,Marlon Riggs,United States,1989,[舌头不打结 Tongues Untied](https://movie.douban.com/subject/1304347/),1990,8.0, 
277,bs-#1082, , ,Affirmations,Marlon Riggs,United States,1990,[申明 Affirmations](https://movie.douban.com/subject/26385858/),1990, , 
278,bs-#1082, , ,Anthem,Marlon Riggs,United States,1991,[国歌 Anthem](https://movie.douban.com/subject/4915083/),1991, , 
279,bs-#1082, , ,Color Adjustment,Marlon Riggs,United States,1992,[肤色适应 Color Adjustment](https://movie.douban.com/subject/25711833/),1992, , 
280,bs-#1082, , ,"Non, Je Ne Regrette Rien (No Regret)",Marlon Riggs,United States,1993,[不，我什么都不后悔 No Regret](https://movie.douban.com/subject/26385857/),1993, , 
281,bs-#1082, , ,Black Is . . . Black Ain’t,Marlon Riggs,United States,1995,[黑人意味着··· Black is...Black Ain't](https://movie.douban.com/subject/5342781/),1994, , 
282,bs-#1103, ,1103,[Once Upon a Time in China: The Complete Films](https://www.criterion.com/boxsets/5026-once-upon-a-time-in-china-the-complete-films), , , ,**（徐克等）中国往事：黄飞鸿系列全集**, , , 
283,bs-#1103, , ,Once Upon a Time in China,Tsui Hark,Hong Kong,1991,[黄飞鸿 黃飛鴻](https://movie.douban.com/subject/1298443/),1991,8.3,#1103 黄飞鸿系列 之一
284,bs-#1103, , ,Once Upon a Time in China II,Tsui Hark,Hong Kong,1992,[黄飞鸿之二：男儿当自强 黃飛鴻之二男兒當自強](https://movie.douban.com/subject/1293475/),1992,8.2,#1103 黄飞鸿系列 之二
285,bs-#1103, , ,Once Upon a Time in China III,Tsui Hark,Hong Kong,1993,[黄飞鸿之三：狮王争霸 黃飛鴻之三獅王爭霸](https://movie.douban.com/subject/1292704/),1992,8.2,#1103 黄飞鸿系列 之三
286,bs-#1103, , ,Once Upon a Time in China IV,Yuen Bun,Hong Kong,1993,[黄飞鸿之四：王者之风 黃飛鴻之四王者之風](https://movie.douban.com/subject/1294011/),1993,7.2,#1103 黄飞鸿系列 之四
287,bs-#1103, , ,Once Upon a Time in China V,Tsui Hark,Hong Kong,1994,[黄飞鸿之五：龙城歼霸 黃飛鴻之五龍城殲霸](https://movie.douban.com/subject/1307507/),1994,6.8,#1103 黄飞鸿系列 之五
288,bs-#1142, ,1142,[Martin Scorsese’s World Cinema Project No. 4](https://www.criterion.com/current/series/martin-scorsese-s-world-cinema-project-no-4), , , ,**马丁·斯科塞斯世界电影计划（第四辑）**, , , 
289,bs-#1142, ,1143,Sambizanga,Sarah Maldoror,Angola,1972,[桑比赞加 Sambizanga](https://movie.douban.com/subject/4729942/),1973, , 
290,bs-#1142, ,1144,Prisioneros de la tierra,Mario Soffici,Argentina,1939,[土地的囚徒 Prisioneros de la tierra](https://movie.douban.com/subject/3144308/),1939, , 
291,bs-#1142, ,1145,Chess of the Wind,Mohammad Reza Aslani,Iran,1976,[风之棋局 شطرنج باد](https://movie.douban.com/subject/26850972/),1976,7.3, 
292,bs-#1142, ,1146,Muna moto,Dikongué-Pipa,Cameroon,1975,[别人的孩子 Muna Moto](https://movie.douban.com/subject/3024663/),1975, , 
293,bs-#1142, ,1147,Two Girls on the Street,André de Toth,Hungary,1939,[街上的两个女孩 Két lány az utcán](https://movie.douban.com/subject/5071242/),1939, , 
294,bs-#1142, ,1148,Kalpana,Uday Shankar,India,1948,[卡尔帕娜 Kalpana](https://movie.douban.com/subject/5128575/),1948, , 
295,bs-#1159, ,1159,[The Infernal Affairs Trilogy](https://www.criterion.com/boxsets/6276-the-infernal-affairs-trilogy), , , ,**（刘伟强、麦兆辉）“无间道”三部曲**, , , 
296,bs-#1159, , ,Infernal Affairs,Andrew Lau Wai-keung and Alan Mak,Hong Kong,2002,[无间道 無間道](https://movie.douban.com/subject/1307914/),2002,9.3,#1159 无间道三部曲 之一
297,bs-#1159, , ,Infernal Affairs II,Andrew Lau Wai-keung and Alan Mak,Hong Kong,2003,[无间道2 無間道II](https://movie.douban.com/subject/1307106/),2003,8.7,#1159 无间道三部曲 之二
298,bs-#1159, , ,Infernal Affairs III,Andrew Lau Wai-keung and Alan Mak,Hong Kong,2003,[无间道3：终极无间 無間道III 終極無間](https://movie.douban.com/subject/1307694/),2003,8.2,#1159 无间道三部曲 之三
299,bs-#1162, ,1162,[Three Films by Mai Zetterling](https://www.criterion.com/boxsets/6324-three-films-by-mai-zetterling), , , ,**梅·扎特林的三部电影**, , , 
300,bs-#1162, , ,Loving Couples,Mai Zetterling,Sweden,1964,[相敬如宾 Älskande par](https://movie.douban.com/subject/1901993/),1964,8.0,#1162 梅·扎特林的三部电影 之一
301,bs-#1162, , ,Night Games,Mai Zetterling,Sweden,1966,[夜之游戏 Nattlek](https://movie.douban.com/subject/1826798/),1966,7.6,#1162 梅·扎特林的三部电影 之二
302,bs-#1162, , ,The Girls,Mai Zetterling,Sweden,1968,[女伶们 Flickorna](https://movie.douban.com/subject/2220739/),1968,8.0,#1162 梅·扎特林的三部电影 之三
303,bs-#1163, ,1163,[Michael Haneke: Trilogy](https://www.criterion.com/boxsets/6323-michael-haneke-trilogy), , , ,**迈克尔·哈内克：（冰川）三部曲**, , , 
304,bs-#1163, , ,The Seventh Continent,Michael Haneke,Austria,1989,[第七大陆 Der siebente Kontinent](https://movie.douban.com/subject/1437410/),1989,8.1, 
305,bs-#1163, , ,Benny’s Video,Michael Haneke,Austria,1992,[班尼的录像带 Benny's Video](https://movie.douban.com/subject/1401584/),1992,7.7, 
306,bs-#1163, , ,71 Fragments of a Chronology of Chance,Michael Haneke,Germany,1994,[机遇编年史的71块碎片 71 Fragmente einer Chronologie des Zufalls](https://movie.douban.com/subject/1437409/),1994,8.0, 
307,bs-#1168, ,1168,[Lars von Trier’s Europe Trilogy](https://www.criterion.com/boxsets/6344-lars-von-triers-europe-trilogy), , , ,**拉斯·冯·提尔的欧洲三部曲**, , , 
308,bs-#1168, ,80,The Element of Crime,Lars von Trier,Denmark,1984,[犯罪元素 Forbrydelsens element](https://movie.douban.com/subject/1298734/),1984,7.2,#80 （#1168 拉斯·冯·提尔欧洲三部曲 之一）
309,bs-#1168, , ,Epidemic,Lars von Trier,Denmark,1987,[瘟疫 Epidemic](https://movie.douban.com/subject/1466223/),1987,6.8,拉斯·冯·提尔欧洲三部曲 之二
310,bs-#1168, ,454,Europa,Lars von Trier,Denmark,1991,[欧洲特快车 Europa](https://movie.douban.com/subject/1296116/),1991,8.3,#454（#1168 拉斯·冯·提尔欧洲三部曲 之三）
311,bs-#1172, ,1172,[Two Films by Marguerite Duras](https://www.criterion.com/boxsets/6412-two-films-by-marguerite-duras), , , ,**玛格丽特·杜拉斯的两部电影**, , , 
312,bs-#1172, , ,India Song,Marguerite Duras,France,1975,[印度之歌 India Song](https://movie.douban.com/subject/1298347/),1975,7.5, 
313,bs-#1172, , ,"Baxter, Vera Baxter",Marguerite Duras,France,1977,"[巴克斯泰尔，薇拉·巴克斯泰尔 Baxter, Vera Baxter](https://movie.douban.com/subject/3103285/)",1977,6.9, 
314,bs-#1177, ,1177,[Small Axe](https://www.criterion.com/boxsets/6517-small-axe), , , ,**（史蒂夫·麦奎因）小斧子【合集】**, , , 
315,bs-#1177, , ,Mangrove,Steve McQueen,United Kingdom,2020,[红树林 Mangrove](https://movie.douban.com/subject/35207744/),2020,7.7, 
316,bs-#1177, , ,Lovers Rock,Steve McQueen,United Kingdom,2020,[情人的摇滚 Lovers Rock](https://movie.douban.com/subject/35191268/),2020,7.5, 
