Index,排名,日本映画,豆瓣电影,豆瓣年份,豆瓣ID,豆瓣打分,导演,类型,地区,备注,（空白）,排名,外国映画,豆瓣电影,豆瓣年份,豆瓣ID,豆瓣打分,导演,主演,类型,地区,desc,title
58,59位,大人の見る絵本　生れてはみたけれど（32）,我出生了，但…… 大人の見る絵本 生れてはみたけれど,1932,[1299360](https://movie.douban.com/subject/1299360/),8.7,小津安二郎,喜剧 / 剧情,日本,59位 大人の見る絵本 生れてはみたけれど（32）, ,59位,モロッコ（30）,摩洛哥 Morocco,1930,[1295600](https://movie.douban.com/subject/1295600/),7.4,约瑟夫·冯·斯登堡,加里·库珀 / 玛琳·黛德丽 / 阿道夫·门吉欧,爱情 / 剧情,美国,59位モロッコ（30）, 
59, ,淑女は何を忘れたか（37）,淑女忘记了什么 淑女は何を忘れたか,1937,[1307805](https://movie.douban.com/subject/1307805/),6.8,小津安二郎,喜剧 / 剧情,日本,59位 淑女は何を忘れたか（37）, , ,極楽特急（32）,天堂里的烦恼 Trouble in Paradise,1932,[1294746](https://movie.douban.com/subject/1294746/),8.2,恩斯特·刘别谦,米利亚姆·霍普金斯 / 凯·弗朗西斯 / 赫伯特·马歇尔,喜剧 / 犯罪 / 爱情,美国,59位極楽特急（32）, 
60, ,鴛鴦歌合戦(39),鸳鸯歌合战 鴛鴦歌合戦,1939,[1845786](https://movie.douban.com/subject/1845786/),7.9,牧野雅弘,喜剧 / 歌舞,日本,59位 鴛鴦歌合戦(39), , ,周遊する蒸気船（35）,洗冤录 Steamboat Round the Bend,1935,[3709739](https://movie.douban.com/subject/3709739/), ,约翰·福特,威尔·罗杰斯 / 安妮·雪莉,喜剧 / 剧情 / 爱情,美国,59位周遊する蒸気船（35）, 
61, ,無法松の一生（43）,无法松的一生 無法松の一生,1943,[1547172](https://movie.douban.com/subject/1547172/),7.7,稻垣浩,剧情,日本,59位 無法松の一生（43）, , ,大いなる幻影（37）,大幻影 La grande illusion,1937,[1294808](https://movie.douban.com/subject/1294808/),8.4,让·雷诺阿,让·迦本 / 迪塔·帕尔洛 / 皮埃尔·弗雷奈,剧情 / 战争,法国,59位大いなる幻影, 
62, ,カルメン故郷に帰る（51）,卡门归乡 カルメン故郷に帰る,1951,[1307453](https://movie.douban.com/subject/1307453/),6.9,木下惠介,喜剧,日本,59位 カルメン故郷に帰る（51）, , ,白雪姫（37）,白雪公主和七个小矮人 Snow White and the Seven Dwarfs,1937,[1297756](https://movie.douban.com/subject/1297756/),8.4,威廉·科特雷尔 / 戴维·汉德 / 威尔弗雷德·杰克逊 / 拉里·莫里 / 佩斯·皮尔斯 / 宾·沙普斯坦,阿德里亚娜·卡塞洛蒂 / 哈利·斯托克维尔 / 罗伊·阿特威尔,爱情 / 动画 / 奇幻 / 歌舞,美国,59位白雪姫（37）, 
63, ,人間の條件（59～61）,人间的条件(第一、二部) 人間の條件,1959,[1298561](https://movie.douban.com/subject/1298561/),8.8,小林正树,剧情 / 战争,日本,59位 人間の條件（59～61）, , ,舞踏会の手帖（37）,舞会名册 Un carnet de bal,1937,[1470830](https://movie.douban.com/subject/1470830/),7.1,朱利安·杜维威尔 Julien Duvivier,哈里·博尔 / 玛丽·贝儿 / 皮埃尔·里夏尔-威尔姆,剧情,法国,59位舞踏会の手帖（37）, 
64, ,ガス人間第１号（60）,气体人第一号 ガス人間第１号,1960,[3193876](https://movie.douban.com/subject/3193876/),6.8,本多猪四郎,犯罪 / 剧情 / 爱情 / 科幻,日本,59位 ガス人間第１号（60）, , ,赤ちゃん教育（38）,育婴奇谭 Bringing Up Baby,1938,[1297657](https://movie.douban.com/subject/1297657/),7.3,霍华德·霍克斯,凯瑟琳·赫本 / 加里·格兰特 / 查尔斯·拉格尔斯,喜剧 / 爱情,美国,59位赤ちゃん教育（38）, 
65, ,椿三十郎（62）,椿三十郎,1962,[1293310](https://movie.douban.com/subject/1293310/),8.8,黑泽明,剧情 / 喜剧 / 动作 / 犯罪 / 惊悚,日本,59位 椿三十郎（62）, , ,風と共に去りぬ（39）,乱世佳人 Gone with the Wind,1939,[1300267](https://movie.douban.com/subject/1300267/),9.3,维克多·弗莱明 / 乔治·库克 / 山姆·伍德,费雯·丽 / 克拉克·盖博 / 奥利维娅·德哈维兰,剧情 / 历史 / 爱情 / 战争,美国,59位風と共に去りぬ（39）, 
66, ,にっぽん昆虫記（63）,日本昆虫记 にっぽん昆虫記,1963,[1302917](https://movie.douban.com/subject/1302917/),8.3,今村昌平,剧情,日本,59位 にっぽん昆虫記（63）, , ,ヒズ・ガール・フライデー（40）,女友礼拜五 His Girl Friday,1940,[1299231](https://movie.douban.com/subject/1299231/),7.8,霍华德·霍克斯,加里·格兰特 / 罗莎琳德·拉塞尔 / 拉尔夫·贝拉米,喜剧 / 剧情 / 爱情,美国,59位ヒズ・ガール・フライデー（40）, 
67, ,乾いた花（64）,干花 乾いた花,1964,[1424656](https://movie.douban.com/subject/1424656/),8,筱田正浩,犯罪 / 惊悚,日本,59位 乾いた花（64）, , ,雨に唄えば（52）,雨中曲 Singin' in the Rain,1952,[1293460](https://movie.douban.com/subject/1293460/),9.1,斯坦利·多南 / 吉恩·凯利,吉恩·凯利 / 唐纳德·奥康纳 / 黛比·雷诺斯,喜剧 / 歌舞 / 爱情,美国,59位雨に唄えば（52）, 
68, ,乱れる（64）,情迷意乱 乱れる,1964,[1422091](https://movie.douban.com/subject/1422091/),9.1,成濑巳喜男,剧情 / 爱情 / 家庭,日本,59位 乱れる（64）, , ,禁じられた遊び（52）,禁忌的游戏 Jeux interdits,1952,[1421933](https://movie.douban.com/subject/1421933/),8.4,雷内·克莱芒,乔吉斯·伯乔利 / 布丽吉特·佛西 / 阿梅代,剧情 / 战争,法国,59位禁じられた遊び（52）, 
69, ,東京流れ者（66）,东京流浪汉 東京流れ者,1966,[1296517](https://movie.douban.com/subject/1296517/),7,铃木清顺,动作 / 犯罪,日本,59位 東京流れ者（66）, , ,シェーン（53）,原野奇侠 Shane,1953,[1292767](https://movie.douban.com/subject/1292767/),7.6,乔治·史蒂文斯,艾伦·拉德 / 琪恩·亚瑟 / 凡·赫夫林,剧情 / 西部,美国,59位シェーン（53）, 
70, ,日本のいちばん長い日（67）,日本最长的一天 日本のいちばん長い日,1967,[1301130](https://movie.douban.com/subject/1301130/),8,冈本喜八,剧情 / 历史 / 战争,日本,59位 日本のいちばん長い日（67）, , ,青春群像（53）,浪荡儿 I vitelloni,1953,[1300779](https://movie.douban.com/subject/1300779/),8.4,费德里科·费里尼,弗朗科·英特朗吉 / 阿尔贝托·索尔迪 / 佛朗哥·法布里齐,剧情 / 喜剧,意大利/法国,59位青春群像（53）, 
71, ,神々の深き欲望（68）,诸神的欲望 神々の深き欲望,1968,[1299125](https://movie.douban.com/subject/1299125/),8.4,今村昌平,剧情,日本,59位 神々の深き欲望（68）, , ,波止場（54）,码头风云 On the Waterfront,1954,[1292521](https://movie.douban.com/subject/1292521/),7.9,伊利亚·卡赞,马龙·白兰度 / 卡尔·莫尔登 / 李·科布,犯罪 / 剧情 / 爱情,美国,59位波止場（54）, 
72, ,肉弾(68),肉弹 肉弾,1968,[1459820](https://movie.douban.com/subject/1459820/),8,冈本喜八,剧情,日本,59位 肉弾(68), , ,ヘッドライト（56）,车灯 Des gens sans importance,1956,[1295509](https://movie.douban.com/subject/1295509/), ,亨利·韦纳伊,让·迦本 / 弗朗索瓦·阿努尔,剧情,法国,59位ヘッドライト（56）, 
73, ,博奕打ち　総長賭博（68）,赌一把 总头目之位 博奕打ち 総長賭博,1968,[3154844](https://movie.douban.com/subject/3154844/),7.4,山下耕作,动作,日本,59位 博奕打ち 総長賭博（68）, , ,十二人の怒れる男（57）,十二怒汉 12 Angry Men,1957,[1293182](https://movie.douban.com/subject/1293182/),9.4,西德尼·吕美特,亨利·方达 / 马丁·鲍尔萨姆 / 约翰·菲德勒,剧情,美国,59位十二人の怒れる男（57）, 
74, ,みな殺しの霊歌（68）,我的刽子手 みな殺しの霊歌,1968,[3158919](https://movie.douban.com/subject/3158919/),7.9,加藤泰,剧情,日本,59位 みな殺しの霊歌（68）, , ,野いちご（57）,野草莓 Smultronstället,1957,[1293071](https://movie.douban.com/subject/1293071/),8.8,英格玛·伯格曼,维克多·斯约斯特洛姆 / 毕比·安德松 / 英格丽·图林,剧情 / 爱情 / 家庭,瑞典,59位野いちご（57）, 
75, ,少年（69）,少年,1969,[1305020](https://movie.douban.com/subject/1305020/),8,大岛渚,剧情,日本,59位 少年（69）, , ,めぐり逢い（57）,金玉盟 An Affair to Remember,1957,[1293320](https://movie.douban.com/subject/1293320/),8.2,莱奥·麦卡雷,加里·格兰特 / 黛博拉·蔻儿 / 理查德·邓宁,喜剧 / 剧情 / 爱情,美国,59位めぐり逢い（57）, 
76, ,心中天綱島（69）,心中天网岛 心中天網島,1969,[1294378](https://movie.douban.com/subject/1294378/),7.9,筱田正浩,剧情,日本,59位 心中天綱島（69）, , ,リオ・ブラボー（59）,赤胆屠龙 Rio Bravo,1959,[1298497](https://movie.douban.com/subject/1298497/),8.1,霍华德·霍克斯,约翰·韦恩 / 迪恩·马丁 / 瑞奇·尼尔森,剧情 / 喜剧 / 爱情 / 西部,美国,59位リオ・ブラボー（59）, 
77, ,「男はつらいよ」シリーズ（69～95）,寅次郎的故事48：寅次郎红之花 男はつらいよ 寅次郎紅の花,1995,[1417013](https://movie.douban.com/subject/1417013/),8.9,山田洋次,喜剧 / 剧情 / 爱情,日本,59位 「男はつらいよ」シリーズ（69～95）, , ,アパートの鍵貸します（60）,桃色公寓 The Apartment,1960,[1394218](https://movie.douban.com/subject/1394218/),8.8,比利·怀尔德,杰克·莱蒙 / 雪莉·麦克雷恩 / 弗莱德·麦克莫瑞,爱情 / 喜剧 / 剧情,美国,59位アパートの鍵貸します（60）, 
78, ,赤頭巾ちゃん気をつけて（70）,赤頭巾ちゃん気をつけて,1970,[4229818](https://movie.douban.com/subject/4229818/), ,森谷司郎,剧情,日本,59位 赤頭巾ちゃん気をつけて（70）, , ,かくも長き不在（61）,长别离 Une aussi longue absence,1961,[1418427](https://movie.douban.com/subject/1418427/),8,亨利·柯比,阿莉达·瓦利 / 乔治·威尔森 / 夏尔·布拉韦特,剧情,法国/意大利,59位かくも長き不在（61）, 
79, ,緋牡丹博徒 お竜参上（70）,红牡丹赌徒：拜见阿龙 緋牡丹博徒 お竜参上,1970,[2122797](https://movie.douban.com/subject/2122797/), ,加藤泰,动作 / 犯罪,日本,59位 緋牡丹博徒 お竜参上（70）, , ,サウンド・オブ・ミュージック（65）,音乐之声 The Sound of Music,1965,[1294408](https://movie.douban.com/subject/1294408/),9.1,罗伯特·怀斯,朱莉·安德鲁斯 / 克里斯托弗·普卢默 / 埃琳诺·帕克,剧情 / 传记 / 爱情 / 歌舞,美国,59位サウンド・オブ・ミュージック（65）, 
80, ,顔役（71）,顔役,1971,[4229821](https://movie.douban.com/subject/4229821/), ,胜新太郎,动作 / 犯罪,日本,59位 顔役（71）, , ,暴力脱獄（67）,铁窗喋血 Cool Hand Luke,1967,[1293698](https://movie.douban.com/subject/1293698/),8.1,斯图尔特·罗森博格,保罗·纽曼 / 乔治·肯尼迪 / J·D·坎农,犯罪 / 剧情,美国,59位暴力脱獄（67）, 
81, ,八月の濡れた砂（71）,八月湿砂 八月の濡れた砂,1971,[1308298](https://movie.douban.com/subject/1308298/),6.6,藤田敏八,剧情,日本,59位 八月の濡れた砂（71）, , ,地獄に堕ちた勇者ども（69）,纳粹狂魔 La caduta degli dei (Götterdämmerung),1969,[1296591](https://movie.douban.com/subject/1296591/),7.7,卢基诺·维斯康蒂,德克·博加德 / 英格丽·图林 / 赫尔穆特·格里姆,剧情 / 战争,意大利/西德,59位地獄に堕ちた勇者ども（69）, 
82, ,人斬り与太 狂犬三兄弟（72）,杀手与太：狂犬三兄弟 人斬り与太 狂犬三兄弟,1972,[1777405](https://movie.douban.com/subject/1777405/),7.3,深作欣二,动作 / 犯罪,日本,59位 人斬り与太 狂犬三兄弟（72）, , ,ダーティハリー（71）,肮脏的哈里 Dirty Harry,1971,[1293045](https://movie.douban.com/subject/1293045/),7.7,唐·希格尔,克林特·伊斯特伍德 / 哈里·古蒂诺 / 雷尼·桑托尼,动作 / 犯罪 / 惊悚,美国,59位ダーティハリー（71）, 
83, ,（秘）色情めす市場（74）, , , , , , , , , , ,断絶（71）,双车道柏油路 Two-lane Blacktop,1971,[1868546](https://movie.douban.com/subject/1868546/),7.6,蒙特·赫尔曼,詹姆斯·泰勒 / 沃伦·奥茨 / 劳丽·伯德,剧情,美国,59位断絶（71）, 
84, ,ルパン三世　カリオストロの城（79）,鲁邦三世：卡里奥斯特罗城 ルパン三世 カリオストロの城,1979,[1432436](https://movie.douban.com/subject/1432436/),8.4,宫崎骏,爱情 / 动画 / 奇幻 / 冒险,日本,59位 ルパン三世 カリオストロの城（79）, , ,ファントム・オブ・パラダイス（74）,天堂魅影 Phantom of the Paradise,1974,[1754975](https://movie.douban.com/subject/1754975/),7.8,布莱恩·德·帕尔玛,威廉姆·菲利 / 保罗·威廉姆斯 / 杰西卡·哈珀,剧情 / 喜剧 / 奇幻,美国,59位ファントム・オブ・パラダイス（74）, 
85, ,影武者（80）,影武者,1980,[1303067](https://movie.douban.com/subject/1303067/),9.1,黑泽明,剧情 / 历史 / 战争,日本/美国,59位 影武者（80）, , ,ナッシュビル（75）,纳什维尔 Nashville,1975,[1293037](https://movie.douban.com/subject/1293037/),8.2,罗伯特·奥特曼,大卫·阿金 / 芭芭拉·巴斯里 / 尼德·巴蒂,剧情 / 喜剧 / 音乐,美国,59位ナッシュビル（75）, 
86, ,狂い咲きサンダーロード（80）,狂雷街区 狂い咲きサンダーロード,1980,[1460916](https://movie.douban.com/subject/1460916/),7.5,石井岳龙,动作,日本,59位 狂い咲きサンダーロード（80）, , ,アニー・ホール（77）,安妮·霍尔 Annie Hall,1977,[1296987](https://movie.douban.com/subject/1296987/),8.6,伍迪·艾伦,伍迪·艾伦 / 黛安·基顿 / 托尼·罗伯茨,喜剧 / 剧情 / 爱情,美国,59位アニー・ホール（77）, 
87, ,狂った果実（81）, , , , , , , , , , ,スター・ウォーズ（77）,星球大战 Star Wars,1977,[1293838](https://movie.douban.com/subject/1293838/),8.5,乔治·卢卡斯,哈里森·福特 / 马克·哈米尔 / 凯丽·费雪,动作 / 科幻 / 冒险,美国,59位スター・ウォーズ（77）, 
88, ,ニッポン国・古屋敷村(82),日本国 古屋敷村 ニッポン国 古屋敷村,1982,[3086804](https://movie.douban.com/subject/3086804/),8.9,小川绅介,纪录片,日本,59位 ニッポン国・古屋敷村(82), , ,ある日どこかで（80）,时光倒流七十年 Somewhere in Time,1980,[1292780](https://movie.douban.com/subject/1292780/),7.8,吉诺特·兹瓦克,克里斯托弗·里夫 / 简·西摩 / 克里斯托弗·普卢默,剧情 / 爱情 / 奇幻,美国,59位ある日どこかで（80）, 
89, ,ションベン・ライダー(83),乳臭未干的骑士 ションベン・ライダー,1983,[1547090](https://movie.douban.com/subject/1547090/),7.8,相米慎二,剧情,日本,59位 ションベン・ライダー(83), , ,グロリア（80）,女煞葛洛莉 Gloria,1980,[1293439](https://movie.douban.com/subject/1293439/),7.6,约翰·卡萨维蒂,吉娜·罗兰兹 / 巴克·亨利 / 朱莉·卡门,犯罪 / 剧情 / 惊悚,美国,59位グロリア（80）, 
90, ,戦場のメリークリスマス（83）,战场上的快乐圣诞 Merry Christmas Mr. Lawrence,1983,[1303535](https://movie.douban.com/subject/1303535/),8.8,大岛渚,剧情 / 战争 / 同性,英国/新西兰/日本,59位 戦場のメリークリスマス（83）, , ,隣の女（81）,隔墙花 La femme d'à côté,1981,[1296563](https://movie.douban.com/subject/1296563/),7.1,弗朗索瓦·特吕弗,热拉尔·德帕迪约 / 芬妮·阿尔丹 / 亨利·加尔辛,剧情 / 爱情,法国,59位隣の女（81）, 
91, ,時をかける少女（83）,穿越时空的少女 時をかける少女,1983,[1548767](https://movie.douban.com/subject/1548767/),7.3,大林宣彦,爱情 / 科幻,日本,59位 時をかける少女（83）, , ,ガープの世界（82）,盖普眼中的世界 The World According to Garp,1982,[1295859](https://movie.douban.com/subject/1295859/),7.3,乔治·罗伊·希尔,罗宾·威廉姆斯 / 格伦·克洛斯 / 约翰·利思戈,喜剧 / 剧情 / 爱情 / 运动,美国,59位ガープの世界（82）, 
92, ,ラブホテル（85）,爱的旅馆 ラブホテル,1985,[3068252](https://movie.douban.com/subject/3068252/),7.2,相米慎二,剧情,日本,59位 ラブホテル（85）, , ,ラルジャン（83）,钱 L'argent,1983,[1303536](https://movie.douban.com/subject/1303536/),8.3,罗伯特·布列松,克里斯蒂安·佩蒂 / Vincent Risterucci / Caroline Lang,剧情 / 犯罪,法国/瑞士,59位ラルジャン（83）, 
93, ,乱(85),乱,1985,[1296196](https://movie.douban.com/subject/1296196/),8.9,黑泽明,剧情 / 动作,日本/法国,59位 乱(85), , ,バック・トゥ・ザ・フューチャー（85）,回到未来 Back to the Future,1985,[1300555](https://movie.douban.com/subject/1300555/),8.8,罗伯特·泽米吉斯,迈克尔·J·福克斯 / 克里斯托弗·洛伊德 / 莉·汤普森,喜剧 / 科幻 / 冒险,美国,56位バック・トゥ・ザ・フューチャー（85）, 
94, ,コミック雑誌なんかいらない！（86）,不要滑稽杂志 コミック雑誌なんかいらない！,1986,[1442689](https://movie.douban.com/subject/1442689/),8.1,泷田洋二郎,喜剧,日本,59位 コミック雑誌なんかいらない！（86）, , ,マイライフ・アズ・ア・ドッグ（85）,狗脸的岁月 Mitt liv som hund,1985,[1291976](https://movie.douban.com/subject/1291976/),8.5,拉斯·霍尔斯道姆,安东·格兰泽柳斯 / 托马斯·冯·布罗姆森 / 安琪·丽登,剧情 / 喜剧,瑞典,59位マイライフ・アズ・ア・ドッグ（85）, 
95, ,天空の城ラピュタ（86）,天空之城 天空の城ラピュタ,1986,[1291583](https://movie.douban.com/subject/1291583/),9.2,宫崎骏,动画 / 奇幻 / 冒险,日本,59位 天空の城ラピュタ（86）, , ,汚れた血（86）,坏血 Mauvais sang,1986,[1301678](https://movie.douban.com/subject/1301678/),8.2,莱奥·卡拉克斯,米歇尔·皮科利 / 朱丽叶·比诺什 / 德尼·拉旺,剧情 / 爱情 / 犯罪,法国,59位汚れた血（86）, 
96, ,鉄男　TETSUO（89）,铁男1：金属兽 鉄男,1989,[1307800](https://movie.douban.com/subject/1307800/),7.2,冢本晋也,恐怖 / 科幻 / 惊悚,日本,59位 鉄男 TETSUO（89）, , ,ラヴソング（96）,甜蜜蜜,1996,[1305164](https://movie.douban.com/subject/1305164/),8.9,陈可辛,黎明 / 张曼玉 / 杨恭如,剧情 / 爱情,中国香港,59位ラヴソング（96）, 
97, ,お引越し（93）,搬家 お引越し,1993,[1401240](https://movie.douban.com/subject/1401240/),8.4,相米慎二,剧情 / 家庭,日本,59位 お引越し（93）, , ,グエムル―漢江の怪物―（06）,汉江怪物 괴물,2006,[1763134](https://movie.douban.com/subject/1763134/),7.6,奉俊昊,宋康昊 / 边希峰 / 朴海日,剧情 / 动作 / 科幻 / 恐怖,韩国,59位グエムル―漢江の怪物―（06）, 
98, ,ソナチネ(93),奏鸣曲 ソナチネ,1993,[1298351](https://movie.douban.com/subject/1298351/),8.4,北野武,剧情 / 犯罪,日本,59位 ソナチネ(93), ,99位,散り行く花（19）,血色天 Scarlet Days,1919,[3622627](https://movie.douban.com/subject/3622627/), ,大卫·格里菲斯,理查德·巴塞尔梅斯 / Eugenie Besserer / Carol Dempster,冒险 / 爱情 / 西部,美国,99位散り行く花（19）, 
99, ,キッズ・リターン（96）,坏孩子的天空 キッズ・リターン,1996,[1299062](https://movie.douban.com/subject/1299062/),8.6,北野武,剧情 / 犯罪 / 运动,日本,59位 キッズ・リターン（96）, , ,戦艦ポチョムキン（25）,战舰波将金号 Броненосец Потёмкин,1925,[1293492](https://movie.douban.com/subject/1293492/),8.7,谢尔盖·爱森斯坦,亚历山大·安东诺夫 / 弗拉迪米尔·巴斯基 / 格里高利·亚历山德罗夫,剧情 / 历史 / 战争,苏联,99位戦艦ポチョムキン（25）, 
100, ,クレヨンしんちゃん　嵐を呼ぶ モーレツ！　オトナ帝国の逆襲（01）,蜡笔小新：呼风唤雨！猛烈！大人帝国的反击 クレヨンしんちゃん 嵐を呼ぶ モーレツ!オトナ帝国の逆襲,2001,[1958667](https://movie.douban.com/subject/1958667/),9.4,原惠一 / 水岛努,动画 / 喜剧,日本,59位 クレヨンしんちゃん 嵐を呼ぶ モーレツ！ オトナ帝国の逆襲（01）, , ,新学期 操行ゼロ（33）,操行零分 Zéro de conduite: Jeunes diables au collège,1933,[1294518](https://movie.douban.com/subject/1294518/),8.1,让·维果,让·达斯特 / Robert le Flon / Du Verron,喜剧 / 短片 / 剧情,法国,99位新学期 操行ゼロ（33）, 
101, ,たそがれ清兵衛（02）,黄昏的清兵卫 たそがれ清兵衛,2002,[1307306](https://movie.douban.com/subject/1307306/),8.8,山田洋次,剧情 / 历史 / 爱情,日本,59位 たそがれ清兵衛（02）, , ,未完成交響楽（33),未完成交响乐 Leise flehen meine Lieder,1933,[4824771](https://movie.douban.com/subject/4824771/), ,维利·福斯特,玛莎·艾格丝 / 路易丝·乌尔里希 / Hans Jaray,剧情 / 传记 / 音乐,奥地利/德国,99位未完成交響楽（33), 
102, ,アカルイミライ(03),光明的未来 アカルイミライ,2002,[1305444](https://movie.douban.com/subject/1305444/),7.9,黑泽清,剧情,日本,59位 アカルイミライ(03), , ,天使（37）,天使 Angel,1937,[1297042](https://movie.douban.com/subject/1297042/),7.8,恩斯特·刘别谦,玛琳·黛德丽 / 赫伯特·马歇尔 / 茂文·道格拉斯,喜剧 / 剧情 / 爱情,美国,99位天使（37）, 
103, ,リアリズムの宿（04）,赖皮之宿 リアリズムの宿,2003,[1433160](https://movie.douban.com/subject/1433160/),7.8,山下敦弘,喜剧,日本,59位 リアリズムの宿（04）, , ,ゲームの規則（39）,游戏规则 La Règle du jeu,1939,[1401261](https://movie.douban.com/subject/1401261/),8.4,让·雷诺阿,诺拉·格雷戈尔 / 波莱特·杜博斯特 / 米拉·帕雷利,喜剧 / 剧情,法国,99位ゲームの規則（39）, 
104, ,河童のクゥと夏休み（07）,河童之夏 河童のクゥと夏休み,2007,[2982823](https://movie.douban.com/subject/2982823/),8.7,原惠一,喜剧 / 动画 / 奇幻,日本,59位 河童のクゥと夏休み（07）, , ,マルタの鷹（41）,马耳他之鹰 The Maltese Falcon,1941,[1297874](https://movie.douban.com/subject/1297874/),7.4,约翰·休斯顿,亨弗莱·鲍嘉 / 玛丽·阿斯特 / 格拉黛丝·乔治,犯罪 / 黑色电影 / 悬疑,美国,99位マルタの鷹（41）, 
105,106位,「忠次旅日記」三部作（27）,忠次旅日记 忠次旅日記 第3部「御用篇」,1927,[1303982](https://movie.douban.com/subject/1303982/), ,伊藤大辅,剧情 / 动作,日本,106位 「忠次旅日記」三部作（27）, , ,カサブランカ（42）,卡萨布兰卡 Casablanca,1942,[1296753](https://movie.douban.com/subject/1296753/),8.7,迈克尔·柯蒂兹,亨弗莱·鲍嘉 / 英格丽·褒曼 / 保罗·亨雷德,剧情 / 爱情 / 战争,美国,99位カサブランカ（42）, 
106, ,赤西蠣太（36）,赤西蛎太 赤西蠣太,1936,[1401332](https://movie.douban.com/subject/1401332/),7.7,伊丹万作,喜剧 / 历史 / 古装,日本,106位 赤西蠣太（36）, , ,逢びき（45）,相见恨晚 Brief Encounter,1945,[1294364](https://movie.douban.com/subject/1294364/),8,大卫·里恩,西莉亚·约翰逊 / 特瑞沃·霍华德 / 斯坦利·霍洛威,爱情 / 剧情,英国,99位逢びき（45）, 
107, ,祇園の姉妹（36）,祇园姊妹 祇園の姉妹,1936,[1297208](https://movie.douban.com/subject/1297208/),8,沟口健二,剧情,日本,106位 祇園の姉妹（36）, , ,戦火のかなた（46）,战火 Paisà,1946,[1299257](https://movie.douban.com/subject/1299257/),8.2,罗伯托·罗西里尼,卡米拉萨齐奥 / 罗伯托范隆 / Benjamin Emanuel,剧情 / 战争,意大利,99位戦火のかなた（46）, 
108, ,残菊物語（39）,残菊物语 殘菊物語,1939,[1293329](https://movie.douban.com/subject/1293329/),8.5,沟口健二,剧情,日本,106位 残菊物語（39）, , ,ピクニック（46）,野餐 Picnic,1955,[1298015](https://movie.douban.com/subject/1298015/),7,乔舒亚·洛根,威廉·霍尔登 / 金·诺瓦克 / 贝蒂·菲尔德,剧情 / 爱情,美国,99位ピクニック（46）, 
109, ,姿三四郎（43）,姿三四郎,1943,[1300208](https://movie.douban.com/subject/1300208/),7.5,黑泽明,剧情 / 动作 / 冒险,日本,106位 姿三四郎（43）, , ,赤い靴（48）,红菱艳 The Red Shoes,1948,[1299204](https://movie.douban.com/subject/1299204/),8.2,迈克尔·鲍威尔 / 埃默里克·普雷斯伯格,莫伊拉·希勒 / 安东·沃尔布鲁克 Anton Walbrook / 马留斯·戈尔林,剧情 / 爱情 / 音乐,英国,99位赤い靴（48）, 
110, ,われ幻の魚を見たり（50）,われ幻の魚見たり,1950,[4230039](https://movie.douban.com/subject/4230039/), ,伊藤大輔, ,日本,106位 われ幻の魚を見たり（50）, , ,イースター・パレード(48),花开蝶满枝 Easter Parade,1948,[1295085](https://movie.douban.com/subject/1295085/),7.7,Charles Walters,朱迪·加兰 / 弗雷德·阿斯泰尔 / 彼特·劳福德,歌舞 / 爱情,美国,99位イースター・パレード(48), 
111, ,麦秋（51）,麦秋 麥秋,1951,[1401842](https://movie.douban.com/subject/1401842/),8.7,小津安二郎,剧情 / 家庭,日本,106位 麦秋（51）, , ,緑色の髪の少年（48）,惨绿少年 The Boy with Green Hair,1948,[1297236](https://movie.douban.com/subject/1297236/),7,约瑟夫·罗西,帕特·奥布莱恩 / 罗伯特·瑞安 / Dean Stockwell,喜剧 / 剧情 / 家庭,美国,99位緑色の髪の少年（48）, 
112, ,稲妻(52),稻妻 稲妻,1952,[1404702](https://movie.douban.com/subject/1404702/),8.2,成濑巳喜男,剧情,日本,106位 稲妻(52), , ,白熱（49）,歼匪喋血战 White Heat,1949,[1301216](https://movie.douban.com/subject/1301216/),8.3,拉乌尔·沃尔什,詹姆斯·卡格尼 / 弗吉尼亚·梅奥 / 艾德蒙·奥布莱恩,剧情 / 犯罪 / 惊悚 / 黑色电影,美国,99位白熱（49）, 
113, ,おかあさん（52）,母亲 おかあさん,1952,[1404698](https://movie.douban.com/subject/1404698/),8,成濑巳喜男 (Mikio Naruse),剧情,日本,106位 おかあさん（52）, , ,巴里のアメリカ人（51）,一个美国人在巴黎 An American in Paris,1951,[1316522](https://movie.douban.com/subject/1316522/),7.1,文森特·明奈利,吉恩·凯利 / 莱斯莉·卡伦 / 奥斯卡·黎凡特,剧情 / 爱情 / 歌舞,美国,99位巴里のアメリカ人（51）, 
114, ,「次郎長三国志」シリーズ（東宝版）（52～54）,次郎長三国志 第一部 次郎長売出す,1952,[4168183](https://movie.douban.com/subject/4168183/), ,牧野正博,动作 / 剧情,日本,106位 「次郎長三国志」シリーズ（東宝版）（52～54）, , ,真昼の決闘（52）,正午 High Noon,1952,[1298521](https://movie.douban.com/subject/1298521/),8.4,弗雷德·金尼曼,加里·库珀 / 格蕾丝·凯利 / 托马斯·米切尔,剧情 / 西部,美国,99位真昼の決闘（52）, 
