Index,排名,日本映画,豆瓣电影,豆瓣年份,豆瓣ID,豆瓣打分,导演,类型,地区,备注,（空白）,排名,外国映画,豆瓣电影,豆瓣年份,豆瓣ID,豆瓣打分,导演,主演,类型,地区,desc,title
13, ,洲崎パラダイス 赤信号（56）,洲崎天堂红灯区 洲崎パラダイス～赤信号,1956,[3024676](https://movie.douban.com/subject/3024676/),7.9,川岛雄三,剧情,日本,13位 洲崎パラダイス 赤信号（56）, , ,アラビアのロレンス（62）,阿拉伯的劳伦斯 Lawrence of Arabia,1962,[1292349](https://movie.douban.com/subject/1292349/),8.7,大卫·里恩,彼得·奥图尔 / 亚历克·吉尼斯 / 安东尼·奎恩,剧情 / 传记 / 冒险,英国,10位アラビアのロレンス（62）, 
14, ,天国と地獄（63）,天国与地狱 天国と地獄,1963,[1293663](https://movie.douban.com/subject/1293663/),8.8,黑泽明,剧情 / 犯罪,日本,13位 天国と地獄（63）, , ,暗殺の森（70）,同流者 Il conformista,1970,[1300955](https://movie.douban.com/subject/1300955/),8.6,贝纳尔多·贝托鲁奇,让-路易·特兰蒂尼昂 / 斯特法尼娅·桑德雷莉 / 加斯通·莫辛,剧情,意大利/法国/西德,10位暗殺の森（70）, 
15, ,飢餓海峡（65）,饥饿海峡 飢餓海峽,1965,[1305567](https://movie.douban.com/subject/1305567/),8.3,内田吐梦,犯罪 / 剧情 / 悬疑,日本,13位 飢餓海峡（65）, , ,地獄の黙示録（79）,现代启示录 Apocalypse Now,1979,[1292260](https://movie.douban.com/subject/1292260/),8.5,弗朗西斯·福特·科波拉,马丁·辛 / 马龙·白兰度 / 罗伯特·杜瓦尔,剧情 / 战争,美国,10位地獄の黙示録（79）, 
16,17位,切腹（62）,切腹,1962,[1304920](https://movie.douban.com/subject/1304920/),9.4,小林正树,剧情 / 动作 / 悬疑,日本,17位 切腹（62）, , ,エル・スール（83）,南方 El sur,1983,[1477717](https://movie.douban.com/subject/1477717/),8.3,维克多·艾里斯,奥梅罗·安东努蒂 / Sonsoles Aranguren / 伊西亚尔·博利亚因,剧情 / 爱情,西班牙/法国,10位エル・スール（83）, 
17, ,赤い殺意（64）,赤色杀机 赤い殺意,1964,[1433503](https://movie.douban.com/subject/1433503/),8.1,今村昌平,剧情,日本,17位 赤い殺意（64）, , ,グラン・トリノ（08）,老爷车 Gran Torino,2008,[3026357](https://movie.douban.com/subject/3026357/),8.6,克林特·伊斯特伍德,克林特·伊斯特伍德 / 克里斯托弗·卡利 / 比·王,剧情,美国/德国,10位グラン・トリノ（08）, 
18, ,東京オリンピック（65）,东京奥林匹克 東京オリンピック,1965,[1301138](https://movie.douban.com/subject/1301138/),8.6,市川昆,纪录片 / 运动,日本,17位 東京オリンピック（65）, ,19位,望郷（37）,逃犯贝贝 Pépé le Moko,1937,[1304571](https://movie.douban.com/subject/1304571/),7.2,朱利安·杜维威尔,让·迦本 / 盖布瑞·加布埃尔 / 萨蒂南·法布尔,犯罪 / 剧情 / 爱情,法国,19位望郷（37）, 
19, ,砂の器（74）,砂之器 砂の器,1974,[1299195](https://movie.douban.com/subject/1299195/),8.1,野村芳太郎,犯罪 / 悬疑 / 惊悚,日本,17位 砂の器（74）, , ,市民ケーン（41）,公民凯恩 Citizen Kane,1941,[1292288](https://movie.douban.com/subject/1292288/),8.8,奥逊·威尔斯,奥逊·威尔斯 / 约瑟夫·科顿 / 多萝西·康明戈尔,剧情 / 悬疑,美国,19位市民ケーン（41）, 
20, ,青春の蹉跌（74）,青春之蹉跎 青春の蹉跌,1974,[1307096](https://movie.douban.com/subject/1307096/),6.8,神代辰巳,爱情 / 情色,日本,17位 青春の蹉跌（74）, , ,荒野の決闘（46）,侠骨柔情 My Darling Clementine,1946,[1299733](https://movie.douban.com/subject/1299733/),7.9,约翰·福特,亨利·方达 / 琳达·达内尔 / 维克多·迈彻,剧情 / 西部,美国,19位荒野の決闘（46）, 
21, ,風の谷のナウシカ（84）,风之谷 風の谷のナウシカ,1984,[1291585](https://movie.douban.com/subject/1291585/),8.9,宫崎骏,动画 / 奇幻 / 冒险,日本,17位 風の谷のナウシカ（84）, , ,自転車泥棒（48）,偷自行车的人 Ladri di biciclette,1948,[1295873](https://movie.douban.com/subject/1295873/),9.1,维托里奥·德西卡,兰贝托·马乔拉尼 / 恩佐·斯泰奥拉 / 莉安拉·卡雷尔,犯罪 / 剧情,意大利,19位自転車泥棒（48）, 
22,23位,人情紙風船（37）,人情纸风船 人情紙風船,1937,[1428377](https://movie.douban.com/subject/1428377/),8.5,山中贞雄,剧情,日本,23位 人情紙風船（37）, , ,大脱走（63）,大逃亡 The Great Escape,1963,[1294947](https://movie.douban.com/subject/1294947/),8.3,约翰·斯特奇斯,史蒂夫·麦奎因 / 詹姆斯·加纳 / 理查德·阿滕伯勒,剧情 / 历史 / 冒险,美国,19位大脱走（63）, 
