Group 分类,Rank 排名,Title 电影,ID 豆瓣,Score 打分,Staff 人员,Region 地区
豆瓣2016评分最高的|华语电影,1,驴得水,[25921812](https://movie.douban.com/subject/25921812/),8.3,周申 / 任素汐 / 大力,中国大陆
豆瓣2016评分最高的|华语电影,2,湄公河行动,[25815034](https://movie.douban.com/subject/25815034/),8.0,林超贤 / 张涵予 / 彭于晏,中国大陆 中国香港
豆瓣2016评分最高的|华语电影,3,树大招风 / 樹大招風,[26265170](https://movie.douban.com/subject/26265170/),8.1,许学文 / 林家栋 / 任贤齐,中国香港 中国大陆
豆瓣2016评分最高的|华语电影,4,百鸟朝凤,[10831445](https://movie.douban.com/subject/10831445/),8.3,吴天明 / 陶泽如 / 李岷城,中国大陆
豆瓣2016评分最高的|华语电影,5,幸运是我 / 幸運是我,[26351526](https://movie.douban.com/subject/26351526/),8.0,罗耀辉 / 惠英红 / 陈家乐,中国香港 中国大陆
豆瓣2016评分最高的|华语电影,6,罗曼蒂克消亡史,[24751763](https://movie.douban.com/subject/24751763/),7.7,程耳 / 葛优 / 章子怡,中国大陆 中国香港
豆瓣2016评分最高的|华语电影,7,路边野餐,[26337866](https://movie.douban.com/subject/26337866/),8.0,毕赣 / 陈永忠 / 谢理循,中国大陆
豆瓣2016评分最高的|华语电影,8,七月与安生,[25827935](https://movie.douban.com/subject/25827935/),7.5,曾国祥 / 周冬雨 / 马思纯,中国大陆 中国香港
豆瓣2016评分最高的|华语电影,9,追凶者也,[26284621](https://movie.douban.com/subject/26284621/),7.9,曹保平 / 刘烨 / 张译,中国大陆
豆瓣2016评分最高的|华语电影,10,踏血寻梅 / 踏血尋梅,[25966085](https://movie.douban.com/subject/25966085/),7.6,翁子光 / 郭富城 / 春夏,中国香港
 , , , , , , 
豆瓣2016评分最高的|外语电影,1,血战钢锯岭 / Hacksaw Ridge,[26325320](https://movie.douban.com/subject/26325320/),8.7,梅尔·吉布森 / 安德鲁·加菲尔德 / 萨姆·沃辛顿,澳大利亚 美国
豆瓣2016评分最高的|外语电影,2,一个叫欧维的男人决定去死 / En man som heter Ove,[26628357](https://movie.douban.com/subject/26628357/),8.9,汉内斯·赫尔姆 / 罗夫·拉斯加德 / 巴哈·帕斯,瑞典
豆瓣2016评分最高的|外语电影,3,比利·林恩的中场战事 / Billy Lynn's Long Halftime Walk,[25983044](https://movie.douban.com/subject/25983044/),8.3,李安 / 乔·阿尔文 / 加内特·赫德兰,美国 英国 中国大陆
豆瓣2016评分最高的|外语电影,4,完美陌生人 / Perfetti sconosciuti,[26614893](https://movie.douban.com/subject/26614893/),8.5,保罗·杰诺维塞 / 马可·贾利尼 / 卡夏·斯穆特尼亚克,意大利
豆瓣2016评分最高的|外语电影,5,萨利机长 / Sully,[26416603](https://movie.douban.com/subject/26416603/),8.3,克林特·伊斯特伍德 / 汤姆·汉克斯 / 艾伦·艾克哈特,美国
豆瓣2016评分最高的|外语电影,6,大空头 / The Big Short,[26303622](https://movie.douban.com/subject/26303622/),8.5,亚当·麦凯 / 克里斯蒂安·贝尔 / 史蒂夫·卡瑞尔,美国
豆瓣2016评分最高的|外语电影,7,初恋这首情歌 / Sing Street,[25855071](https://movie.douban.com/subject/25855071/),8.2,约翰·卡尼 / 福迪亚·瓦尔什-匹罗 / 露西·宝通,爱尔兰 英国 美国
豆瓣2016评分最高的|外语电影,8,神奇动物在哪里 / Fantastic Beasts and Where to Find Them,[25726614](https://movie.douban.com/subject/25726614/),7.7,大卫·叶茨 / 埃迪·雷德梅恩 / 凯瑟琳·沃特斯顿,英国 美国
豆瓣2016评分最高的|外语电影,9,X战警：天启 / X-Men: Apocalypse,[25786060](https://movie.douban.com/subject/25786060/),7.7,布莱恩·辛格 / 詹姆斯·麦卡沃伊 / 迈克尔·法斯宾德,美国
豆瓣2016评分最高的|外语电影,10,奇异博士 / Doctor Strange,[3025375](https://movie.douban.com/subject/3025375/),7.6,斯科特·德瑞克森 / 本尼迪克特·康伯巴奇 / 蒂尔达·斯文顿,美国
 , , , , , , 
豆瓣2016最受关注的|院线电影,1,疯狂动物城 / Zootopia,[25662329](https://movie.douban.com/subject/25662329/),9.2,拜伦·霍华德 / 金妮弗·古德温 / 杰森·贝特曼,美国
豆瓣2016最受关注的|院线电影,2,美人鱼,[19944106](https://movie.douban.com/subject/19944106/),6.7,周星驰 / 邓超 / 罗志祥,中国大陆 中国香港
豆瓣2016最受关注的|院线电影,3,你的名字。 / 君の名は。,[26683290](https://movie.douban.com/subject/26683290/),8.5,新海诚 / 神木隆之介 / 上白石萌音,日本
豆瓣2016最受关注的|院线电影,4,湄公河行动,[25815034](https://movie.douban.com/subject/25815034/),8.0,林超贤 / 张涵予 / 彭于晏,中国大陆 中国香港
豆瓣2016最受关注的|院线电影,5,美国队长3 / Captain America: Civil War,[25820460](https://movie.douban.com/subject/25820460/),7.9,安东尼·罗素 / 克里斯·埃文斯 / 小罗伯特·唐尼,美国
豆瓣2016最受关注的|院线电影,6,大鱼海棠,[5045678](https://movie.douban.com/subject/5045678/),7.0,梁旋 / 季冠霖 / 苏尚卿,中国大陆
豆瓣2016最受关注的|院线电影,7,神奇动物在哪里 / Fantastic Beasts and Where to Find Them,[25726614](https://movie.douban.com/subject/25726614/),7.7,大卫·叶茨 / 埃迪·雷德梅恩 / 凯瑟琳·沃特斯顿,英国 美国
豆瓣2016最受关注的|院线电影,8,七月与安生,[25827935](https://movie.douban.com/subject/25827935/),7.5,曾国祥 / 周冬雨 / 马思纯,中国大陆 中国香港
豆瓣2016最受关注的|院线电影,9,X战警：天启 / X-Men: Apocalypse,[25786060](https://movie.douban.com/subject/25786060/),7.7,布莱恩·辛格 / 詹姆斯·麦卡沃伊 / 迈克尔·法斯宾德,美国
豆瓣2016最受关注的|院线电影,10,魔兽 / Warcraft,[2131940](https://movie.douban.com/subject/2131940/),7.7,邓肯·琼斯 / 崔维斯·费米尔 / 托比·凯贝尔,美国 中国大陆 加拿大 日本
 , , , , , , 
豆瓣2016最受关注的|非院线电影,1,釜山行 / 부산행,[25986180](https://movie.douban.com/subject/25986180/),8.6,延尚昊 / 孔刘 / 郑有美,韩国
