Group 分类,Rank 排名,Title 电影,ID 豆瓣,Score 打分,Staff 人员,Region 地区
豆瓣2017评分最高的外语电影,1,摔跤吧！爸爸 / Dangal,[26387939](https://movie.douban.com/subject/26387939/),9.0,涅提·蒂瓦里 / 阿米尔·汗 / 法缇玛·萨那·纱卡,印度
豆瓣2017评分最高的外语电影,2,请以你的名字呼唤我 / Call Me by Your Name,[26799731](https://movie.douban.com/subject/26799731/),8.8,卢卡·瓜达尼诺 / 艾米·汉莫 / 提莫西·查拉梅,意大利 法国 巴西 美国
豆瓣2017评分最高的外语电影,3,看不见的客人 / Contratiempo,[26580232](https://movie.douban.com/subject/26580232/),8.8,奥里奥尔·保罗 / 马里奥·卡萨斯 / 阿娜·瓦格纳,西班牙
豆瓣2017评分最高的外语电影,4,海边的曼彻斯特 / Manchester by the Sea,[25980443](https://movie.douban.com/subject/25980443/),8.6,肯尼思·洛纳根 / 卡西·阿弗莱克 / 卢卡斯·赫奇斯,美国
豆瓣2017评分最高的外语电影,5,银翼杀手2049 / Blade Runner 2049,[10512661](https://movie.douban.com/subject/10512661/),8.3,丹尼斯·维伦纽瓦 / 瑞恩·高斯林 / 哈里森·福特,美国 英国 加拿大 西班牙
豆瓣2017评分最高的外语电影,6,至暗时刻 / Darkest Hour,[26761416](https://movie.douban.com/subject/26761416/),8.5,乔·赖特 / 加里·奥德曼 / 克里斯汀·斯科特·托马斯,英国 美国
豆瓣2017评分最高的外语电影,7,敦刻尔克 / Dunkirk,[26607693](https://movie.douban.com/subject/26607693/),8.4,克里斯托弗·诺兰 / 菲恩·怀特海德 / 汤姆·格林-卡尼,英国 法国 美国 荷兰
豆瓣2017评分最高的外语电影,8,爱乐之城 / La La Land,[25934014](https://movie.douban.com/subject/25934014/),8.4,达米恩·查泽雷 / 瑞恩·高斯林 / 艾玛·斯通,美国
豆瓣2017评分最高的外语电影,9,杰出公民 / El ciudadano ilustre,[26844922](https://movie.douban.com/subject/26844922/),8.4,加斯顿·杜帕拉特 / 奥斯卡·马丁内兹 / 达迪·布列瓦,阿根廷 西班牙
豆瓣2017评分最高的外语电影,10,天才枪手 / ฉลาดเกมส์โกง,[27024903](https://movie.douban.com/subject/27024903/),8.2,纳塔吾·彭皮里亚 / 茱蒂蒙·琼查容苏因 / 查侬·散顶腾古,泰国
 , , , , , , 
豆瓣2017评分最高的华语电影,1,嘉年华,[27019527](https://movie.douban.com/subject/27019527/),8.2,文晏 / 文淇 / 周美君,中国大陆 法国
豆瓣2017评分最高的华语电影,2,相爱相亲,[26773744](https://movie.douban.com/subject/26773744/),8.3,张艾嘉 / 张艾嘉 / 田壮壮,中国大陆 中国台湾
豆瓣2017评分最高的华语电影,3,不成问题的问题,[26657126](https://movie.douban.com/subject/26657126/),8.1,梅峰 / 范伟 / 殷桃,中国大陆 法国
豆瓣2017评分最高的华语电影,4,目击者之追凶 / 目擊者,[11600078](https://movie.douban.com/subject/11600078/),8.2,程伟豪 / 庄凯勋 / 许玮甯,中国台湾
豆瓣2017评分最高的华语电影,5,芳华,[26862829](https://movie.douban.com/subject/26862829/),7.7,冯小刚 / 黄轩 / 苗苗,中国大陆
豆瓣2017评分最高的华语电影,6,一念无明 / 一念無明,[26704590](https://movie.douban.com/subject/26704590/),7.9,黄进 / 曾志伟 / 余文乐,中国香港
豆瓣2017评分最高的华语电影,7,冈仁波齐,[26606242](https://movie.douban.com/subject/26606242/),7.7,张杨 / 尼玛扎堆 / 杨培,中国大陆
豆瓣2017评分最高的华语电影,8,绣春刀II：修罗战场,[26270502](https://movie.douban.com/subject/26270502/),7.2,路阳 / 张震 / 杨幂,中国大陆
豆瓣2017评分最高的华语电影,9,闪光少女,[26790961](https://movie.douban.com/subject/26790961/),7.2,王冉 / 徐璐 / 彭昱畅,中国大陆
豆瓣2017评分最高的华语电影,10,29+1,[26877237](https://movie.douban.com/subject/26877237/),7.1,彭秀慧 / 周秀娜 / 郑欣宜,中国香港
 , , , , , , 
豆瓣2017最受关注的院线电影,1,战狼2,[26363254](https://movie.douban.com/subject/26363254/),7.1,吴京 / 吴京 / 弗兰克·格里罗,中国大陆
豆瓣2017最受关注的院线电影,2,摔跤吧！爸爸 / Dangal,[26387939](https://movie.douban.com/subject/26387939/),9.0,涅提·蒂瓦里 / 阿米尔·汗 / 法缇玛·萨那·纱卡,印度
豆瓣2017最受关注的院线电影,3,爱乐之城 / La La Land,[25934014](https://movie.douban.com/subject/25934014/),8.4,达米恩·查泽雷 / 瑞恩·高斯林 / 艾玛·斯通,美国
豆瓣2017最受关注的院线电影,4,寻梦环游记 / Coco,[20495023](https://movie.douban.com/subject/20495023/),9.1,李·昂克里奇 / 安东尼·冈萨雷斯 / 盖尔·加西亚·贝纳尔,美国
豆瓣2017最受关注的院线电影,5,乘风破浪,[26862259](https://movie.douban.com/subject/26862259/),6.8,韩寒 / 邓超 / 彭于晏,中国大陆
豆瓣2017最受关注的院线电影,6,看不见的客人 / Contratiempo,[26580232](https://movie.douban.com/subject/26580232/),8.8,奥里奥尔·保罗 / 马里奥·卡萨斯 / 阿娜·瓦格纳,西班牙
豆瓣2017最受关注的院线电影,7,敦刻尔克 / Dunkirk,[26607693](https://movie.douban.com/subject/26607693/),8.4,克里斯托弗·诺兰 / 菲恩·怀特海德 / 汤姆·格林-卡尼,英国 法国 美国 荷兰
豆瓣2017最受关注的院线电影,8,羞羞的铁拳,[27038183](https://movie.douban.com/subject/27038183/),6.8,宋阳 / 艾伦 / 马丽,中国大陆
豆瓣2017最受关注的院线电影,9,天才枪手 / ฉลาดเกมส์โกง,[27024903](https://movie.douban.com/subject/27024903/),8.2,纳塔吾·彭皮里亚 / 茱蒂蒙·琼查容苏因 / 查侬·散顶腾古,泰国
豆瓣2017最受关注的院线电影,10,金刚狼3：殊死一战 / Logan,[25765735](https://movie.douban.com/subject/25765735/),8.3,詹姆斯·曼高德 / 休·杰克曼 / 帕特里克·斯图尔特,美国
 , , , , , , 
豆瓣2017最受关注的非院线电影,1,逃出绝命镇 / Get Out,[26688480](https://movie.douban.com/subject/26688480/),7.8,乔丹·皮尔 / 丹尼尔·卡卢亚 / 艾莉森·威廉姆斯,美国
豆瓣2017最受关注的非院线电影,2,月光男孩 / Moonlight,[26648249](https://movie.douban.com/subject/26648249/),7.4,巴里·詹金斯 / 崔凡特·罗兹 / 安德烈·霍兰,美国
豆瓣2017最受关注的非院线电影,3,怒 / 怒り,[26279289](https://movie.douban.com/subject/26279289/),7.7,李相日 / 渡边谦 / 森山未来,日本
豆瓣2017最受关注的非院线电影,4,分裂 / Split,[26600660](https://movie.douban.com/subject/26600660/),7.4,M·奈特·沙马兰 / 詹姆斯·麦卡沃伊 / 安雅·泰勒-乔伊,美国
豆瓣2017最受关注的非院线电影,5,请以你的名字呼唤我 / Call Me by Your Name,[26799731](https://movie.douban.com/subject/26799731/),8.8,卢卡·瓜达尼诺 / 艾米·汉莫 / 提莫西·查拉梅,意大利 法国 巴西 美国
豆瓣2017最受关注的非院线电影,6,小丑回魂 / It,[3604148](https://movie.douban.com/subject/3604148/),7.5,安德斯·穆斯切蒂 / 比尔·斯卡斯加德 / 杰登·马泰尔,美国 加拿大
豆瓣2017最受关注的非院线电影,7,天才少女 / Gifted,[26593587](https://movie.douban.com/subject/26593587/),8.3,马克·韦布 / 克里斯·埃文斯 / 麦肯娜·格瑞丝,美国
豆瓣2017最受关注的非院线电影,8,目击者之追凶 / 目擊者,[11600078](https://movie.douban.com/subject/11600078/),8.2,程伟豪 / 庄凯勋 / 许玮甯,中国台湾
豆瓣2017最受关注的非院线电影,9,隐藏人物 / Hidden Figures,[26615208](https://movie.douban.com/subject/26615208/),8.9,西奥多·梅尔菲 / 塔拉吉·P·汉森 / 奥克塔维亚·斯宾瑟,美国
豆瓣2017最受关注的非院线电影,10,猜火车2 / T2 Trainspotting,[22263645](https://movie.douban.com/subject/22263645/),8.0,丹尼·博伊尔 / 伊万·麦克格雷格 / 约翰尼·李·米勒,英国
 , , , , , , 
豆瓣2017年度最期待华语独立佳作,1,囚,[26961159](https://movie.douban.com/subject/26961159/),9.1,马莉,中国大陆
豆瓣2017年度最期待华语独立佳作,2,大佛普拉斯,[27059130](https://movie.douban.com/subject/27059130/),8.7,黄信尧 / 庄益增 / 陈竹升,中国台湾
豆瓣2017年度最期待华语独立佳作,3,村戏,[26738204](https://movie.douban.com/subject/26738204/),8.0,郑大圣 / 李志兵 / 梁春柱,中国大陆
豆瓣2017年度最期待华语独立佳作,4,中国梵高 / China's Van Goghs,[26903993](https://movie.douban.com/subject/26903993/),7.7,余海波 Haibo Yu / 赵小勇 / Yongjiu Zhou,中国大陆 荷兰 Holland
豆瓣2017年度最期待华语独立佳作,5,血观音 / 血觀音,[27113517](https://movie.douban.com/subject/27113517/),8.5,杨雅喆 / 惠英红 / 吴可熙,中国台湾
豆瓣2017年度最期待华语独立佳作,6,大世界,[26954003](https://movie.douban.com/subject/26954003/),6.9,刘健 / 朱昌龙 / 曹寇,中国大陆
豆瓣2017年度最期待华语独立佳作,7,米花之味,[27077266](https://movie.douban.com/subject/27077266/),7.3,鹏飞 / 英泽 / 叶不勒,中国大陆
豆瓣2017年度最期待华语独立佳作,8,暴裂无声,[26647117](https://movie.douban.com/subject/26647117/),8.2,忻钰坤 / 宋洋 / 姜武,中国大陆
豆瓣2017年度最期待华语独立佳作,9,强尼凯克 / 強尼·凱克,[26930782](https://movie.douban.com/subject/26930782/),6.6,黄熙 / 柯宇纶 / 瑞玛·席丹,中国台湾
豆瓣2017年度最期待华语独立佳作,10,笨鸟,[26969821](https://movie.douban.com/subject/26969821/),6.6,黄骥 / 姚红贵,中国大陆
 , , , , , , 
豆瓣2017年度中国大陆网络/电视电影,1,小戏骨：红楼梦之刘姥姥进大观园,[26951951](https://movie.douban.com/subject/26951951/),9.1,潘礼平 / 释小松 / 周漾玥,中国大陆
豆瓣2017年度中国大陆网络/电视电影,2,小戏骨：放开那三国,[26951953](https://movie.douban.com/subject/26951953/),7.8,潘礼平 / 陶奕希 / 李俊豪,中国大陆
豆瓣2017年度中国大陆网络/电视电影,3,我的上高,[26990713](https://movie.douban.com/subject/26990713/),7.9,钱泠泠 / 田小洁 / 耿黎明,中国大陆
豆瓣2017年度中国大陆网络/电视电影,4,星游记之风暴法米拉,[26771100](https://movie.douban.com/subject/26771100/),7.4,胡一泊 / 陶典 / 小连杀,中国大陆
豆瓣2017年度中国大陆网络/电视电影,5,在勾引中学会爱2,[26296026](https://movie.douban.com/subject/26296026/),8.1,叶明 / 马铭远 / 刘柳,中国大陆
豆瓣2017年度中国大陆网络/电视电影,6,灵魂摆渡之风华绝代,[26959223](https://movie.douban.com/subject/26959223/),7.4,巨兴茂 / 于毅 / 岳丽娜,中国大陆
豆瓣2017年度中国大陆网络/电视电影,7,哀乐女子天团,[27041519](https://movie.douban.com/subject/27041519/),6.6,桑木天 / 杨小兰 / 刘頔,中国大陆
豆瓣2017年度中国大陆网络/电视电影,8,小戏骨：花木兰,[26891314](https://movie.douban.com/subject/26891314/),6.4,袁慧玲 / 刘戴恩 / 陈禹衡,中国大陆
豆瓣2017年度中国大陆网络/电视电影,9,海带,[27133264](https://movie.douban.com/subject/27133264/),6.3,阚若涵 / 邓飞 / 刘颺,中国大陆
豆瓣2017年度中国大陆网络/电视电影,10,暴走刑警,[27065880](https://movie.douban.com/subject/27065880/),6.1,来牧宽 / 张隽溢 / 董博睿,中国大陆
 , , , , , , 
豆瓣2017年度冷门佳片,1,莫娣 / Maudie,[25938803](https://movie.douban.com/subject/25938803/),9.1,艾斯林·沃什 / 莎莉·霍金斯 / 伊桑·霍克,爱尔兰 加拿大
豆瓣2017年度冷门佳片,2,炙热 / Parched,[25822430](https://movie.douban.com/subject/25822430/),8.3,莉娜·亚达夫 / 阿迪勒·侯赛因 / 塔妮莎·查特吉,印度 美国 英国
豆瓣2017年度冷门佳片,3,契克 / Tschick,[26586432](https://movie.douban.com/subject/26586432/),8.4,法提赫·阿金 / 特里斯坦·勾贝尔 / 阿南德·巴特比勒格,德国
豆瓣2017年度冷门佳片,4,沃伦 / Wołyń,[26881114](https://movie.douban.com/subject/26881114/),8.3,沃伊切赫·斯玛若夫斯基 / 米卡丽娜·拉巴克斯 / 阿尔卡迪乌什·雅库比克,波兰
豆瓣2017年度冷门佳片,5,起跑线 / Hindi Medium,[26942631](https://movie.douban.com/subject/26942631/),7.9,萨基特·乔杜里 / 伊尔凡·可汗 / 萨巴·卡玛尔,印度
豆瓣2017年度冷门佳片,6,以女儿之名 / Au nom de ma fille,[26384493](https://movie.douban.com/subject/26384493/),8.4,文森特·贾洪 / 丹尼尔·奥特伊 / 塞巴斯蒂安·科赫,法国 德国
豆瓣2017年度冷门佳片,7,天才少女 / Gifted,[26593587](https://movie.douban.com/subject/26593587/),8.3,马克·韦布 / 克里斯·埃文斯 / 麦肯娜·格瑞丝,美国
豆瓣2017年度冷门佳片,8,流浪猫鲍勃 / A Street Cat Named Bob,[26685451](https://movie.douban.com/subject/26685451/),7.9,罗杰·斯波蒂斯伍德 / 卢克·崔德威 / 猫鲍勃,英国
豆瓣2017年度冷门佳片,9,我去哪儿？ / Quo vado?,[26700276](https://movie.douban.com/subject/26700276/),8.1,热纳罗·努基阿德 / 切柯·扎罗内 / 埃莉奥诺拉·吉奥瓦纳迪,意大利
豆瓣2017年度冷门佳片,10,女教师 / Učiteľka,[26727890](https://movie.douban.com/subject/26727890/),8.1,扬·霍布雷克 / 苏珊娜·莫拉利 / 苏珊娜·科内希纳,斯洛伐克 捷克
 , , , , , , 
豆瓣2017评分最高的韩国电影,1,我能说 / 아이 캔 스피크,[27000061](https://movie.douban.com/subject/27000061/),8.8,金炫锡 / 罗文姬 / 李帝勋,韩国
豆瓣2017评分最高的韩国电影,2,我们的世界 / 우리들,[26616436](https://movie.douban.com/subject/26616436/),8.4,尹佳恩 / 崔秀仁 / 薛惠茵,韩国
豆瓣2017评分最高的韩国电影,3,军舰岛 / 군함도,[26445216](https://movie.douban.com/subject/26445216/),7.9,柳昇完 / 黄政民 / 苏志燮,韩国
豆瓣2017评分最高的韩国电影,4,南汉山城 / 남한산성,[26800978](https://movie.douban.com/subject/26800978/),7.9,黄东赫 / 李秉宪 / 金允石,韩国
豆瓣2017评分最高的韩国电影,5,恋爱谈 / 연애담,[26748688](https://movie.douban.com/subject/26748688/),7.8,李贤珠 / 李相喜 / 柳善英,韩国
豆瓣2017评分最高的韩国电影,6,之后 / 그 후,[27018296](https://movie.douban.com/subject/27018296/),7.6,洪常秀 / 赵允熙 / 金玺碧,韩国
豆瓣2017评分最高的韩国电影,7,王者 / 더 킹,[26410593](https://movie.douban.com/subject/26410593/),7.8,韩在林 / 赵寅成 / 郑雨盛,韩国
豆瓣2017评分最高的韩国电影,8,潘多拉 / 판도라,[26169607](https://movie.douban.com/subject/26169607/),7.6,朴正祐 / 金南佶 / 金珠贤,韩国
豆瓣2017评分最高的韩国电影,9,被操纵的城市 / 조작된 도시,[26340301](https://movie.douban.com/subject/26340301/),7.5,朴光铉 / 池昌旭 / 沈恩敬,韩国
豆瓣2017评分最高的韩国电影,10,独自在夜晚的海边 / 밤의 해변에서 혼자,[26718282](https://movie.douban.com/subject/26718282/),7.7,洪常秀 / 金敏喜 / 徐永嬅,韩国
 , , , , , , 
豆瓣2017评分最高的日本电影,1,人生密密缝 / 彼らが本気で編むときは、,[26754513](https://movie.douban.com/subject/26754513/),8.5,荻上直子 / 生田斗真 / 桐谷健太,日本
豆瓣2017评分最高的日本电影,2,家族之苦2 / 家族はつらいよ2,[26848504](https://movie.douban.com/subject/26848504/),8.4,山田洋次 / 桥爪功 / 吉行和子,日本
豆瓣2017评分最高的日本电影,3,生存家族 / サバイバルファミリー,[26815162](https://movie.douban.com/subject/26815162/),8.0,矢口史靖 / 小日向文世 / 深津绘里,日本
豆瓣2017评分最高的日本电影,4,深夜食堂2 / 続・深夜食堂,[26798437](https://movie.douban.com/subject/26798437/),8.0,松冈锭司 / 小林薰 / 河井青叶,日本
豆瓣2017评分最高的日本电影,5,帝一之国 / 帝一の國,[26691320](https://movie.douban.com/subject/26691320/),8.1,永井聪 / 菅田将晖 / 野村周平,日本
豆瓣2017评分最高的日本电影,6,啊，荒野 前篇 / あゝ、荒野 前篇,[26842503](https://movie.douban.com/subject/26842503/),8.4,岸善幸 / 菅田将晖 / 梁益准,日本
豆瓣2017评分最高的日本电影,7,怒 / 怒り,[26279289](https://movie.douban.com/subject/26279289/),7.7,李相日 / 渡边谦 / 森山未来,日本
豆瓣2017评分最高的日本电影,8,滚烫的爱 / 湯を沸かすほどの熱い愛,[26421442](https://movie.douban.com/subject/26421442/),8.0,中野量太 / 宫泽理惠 / 杉咲花,日本
豆瓣2017评分最高的日本电影,9,愚行录 / 愚行録,[26751899](https://movie.douban.com/subject/26751899/),7.8,石川庆 / 妻夫木聪 / 满岛光,日本
豆瓣2017评分最高的日本电影,10,奇迹，那天如此重要 / キセキ　あの日のソビト,[26809007](https://movie.douban.com/subject/26809007/),7.7,兼重淳 / 松坂桃李 / 菅田将晖,日本
 , , , , , , 
豆瓣2017评分最高的欧洲电影,1,看不见的客人 / Contratiempo,[26580232](https://movie.douban.com/subject/26580232/),8.8,奥里奥尔·保罗 / 马里奥·卡萨斯 / 阿娜·瓦格纳,西班牙
豆瓣2017评分最高的欧洲电影,2,请以你的名字呼唤我 / Call Me by Your Name,[26799731](https://movie.douban.com/subject/26799731/),8.8,卢卡·瓜达尼诺 / 艾米·汉莫 / 提莫西·查拉梅,意大利 法国 巴西 美国
