Title 电影,Director 导演,Rank 排名,Year 年份,豆瓣电影,豆瓣打分,豆瓣信息,IMDb电影,IMDb打分
Citizen Kane,Orson Welles,🎉001,1941,[公民凯恩 Citizen Kane](https://movie.douban.com/subject/1292288/),🌟8.8,"导演: 奥逊·威尔斯, 主演: 奥逊·威尔斯 / 约瑟夫·科顿 / 多萝西·康明戈尔, 类型: 剧情 / 悬疑, 制片国家/地区: 美国, 年份: 1941",[Citizen Kane](https://www.imdb.com/title/tt0033467/),🌟8.3
Casablanca,Michael Curtiz,🎉002,1942,[卡萨布兰卡 Casablanca](https://movie.douban.com/subject/1296753/),🌟8.7,"导演: 迈克尔·柯蒂兹, 主演: 亨弗莱·鲍嘉 / 英格丽·褒曼 / 保罗·亨雷德, 类型: 剧情 / 爱情 / 战争, 制片国家/地区: 美国, 年份: 1942",[Casablanca](https://www.imdb.com/title/tt0034583/),🌟8.5
The Godfather,Francis Ford Coppola,🎉003,1972,[教父 The Godfather](https://movie.douban.com/subject/1291841/),🌟9.3,"导演: 弗朗西斯·福特·科波拉, 主演: 马龙·白兰度 / 阿尔·帕西诺 / 詹姆斯·肯恩, 类型: 剧情 / 犯罪, 制片国家/地区: 美国, 年份: 1972",[The Godfather](https://www.imdb.com/title/tt0068646/),🌟9.2
Gone with the Wind,"Victor Fleming, Sam Wood, George Cukor, Chester Franklin, James Fitzpatrick",🎉004,1939,[乱世佳人 Gone with the Wind](https://movie.douban.com/subject/1300267/),🌟9.3,"导演: 维克多·弗莱明 / 乔治·库克 / 山姆·伍德, 主演: 费雯·丽 / 克拉克·盖博 / 奥利维娅·德哈维兰, 类型: 剧情 / 历史 / 爱情 / 战争, 制片国家/地区: 美国, 年份: 1939",[Gone with the Wind](https://www.imdb.com/title/tt0031381/),🌟8.2
Lawrence of Arabia,David Lean,🎉005,1962,[阿拉伯的劳伦斯 Lawrence of Arabia](https://movie.douban.com/subject/1292349/),🌟8.7,"导演: 大卫·里恩, 主演: 彼得·奥图尔 / 亚历克·吉尼斯 / 安东尼·奎恩, 类型: 剧情 / 传记 / 冒险, 制片国家/地区: 英国, 年份: 1962",[Lawrence of Arabia](https://www.imdb.com/title/tt0056172/),🌟8.3
The Wizard of Oz,"Victor Fleming, King Vidor",🎉006,1939,[绿野仙踪 The Wizard of Oz](https://movie.douban.com/subject/1292625/),🌟8.2,"导演: 维克多·弗莱明, 主演: 朱迪·加兰 / 弗兰克·摩根 / 雷·博尔格, 类型: 歌舞 / 奇幻 / 冒险, 制片国家/地区: 美国, 年份: 1939",[The Wizard of Oz](https://www.imdb.com/title/tt0032138/),🌟8.1
The Graduate,Mike Nichols,🎉007,1967,[毕业生 The Graduate](https://movie.douban.com/subject/1292271/),🌟8.0,"导演: 迈克·尼科尔斯, 主演: 安妮·班克罗夫特 / 达斯汀·霍夫曼 / 凯瑟琳·罗斯, 类型: 剧情 / 喜剧 / 爱情, 制片国家/地区: 美国, 年份: 1967",[The Graduate](https://www.imdb.com/title/tt0061722/),🌟8
On the Waterfront,Elia Kazan,🎉008,1954,[码头风云 On the Waterfront](https://movie.douban.com/subject/1292521/),🌟7.9,"导演: 伊利亚·卡赞, 主演: 马龙·白兰度 / 卡尔·莫尔登 / 李·科布, 类型: 犯罪 / 剧情 / 爱情, 制片国家/地区: 美国, 年份: 1954",[On the Waterfront](https://www.imdb.com/title/tt0047296/),🌟8.1
Schindler's List,Steven Spielberg,🎉009,1993,[辛德勒的名单 Schindler's List](https://movie.douban.com/subject/1295124/),🌟9.6,"导演: 史蒂文·斯皮尔伯格, 主演: 连姆·尼森 / 本·金斯利 / 拉尔夫·费因斯, 类型: 剧情 / 历史 / 战争, 制片国家/地区: 美国, 年份: 1993",[Schindler's List](https://www.imdb.com/title/tt0108052/),🌟9
Singin' in the Rain,"Gene Kelly, Stanley Donen",🎉010,1952,[雨中曲 Singin' in the Rain](https://movie.douban.com/subject/1293460/),🌟9.1,"导演: 斯坦利·多南 / 吉恩·凯利, 主演: 吉恩·凯利 / 唐纳德·奥康纳 / 黛比·雷诺斯, 类型: 喜剧 / 歌舞 / 爱情, 制片国家/地区: 美国, 年份: 1952",[Singin' in the Rain](https://www.imdb.com/title/tt0045152/),🌟8.3
It's a Wonderful Life,Frank Capra,🎉011,1946,[生活多美好 It's a Wonderful Life](https://movie.douban.com/subject/1293749/),🌟9.3,"导演: 弗兰克·卡普拉, 主演: 詹姆斯·斯图尔特 / 唐娜·里德 / 莱昂纳尔·巴里摩尔, 类型: 剧情 / 爱情 / 奇幻, 制片国家/地区: 美国, 年份: 1946",[It's a Wonderful Life](https://www.imdb.com/title/tt0038650/),🌟8.6
Sunset Blvd.,Billy Wilder,🎉012,1950,[日落大道 Sunset Blvd.](https://movie.douban.com/subject/1298733/),🌟8.8,"导演: 比利·怀尔德, 主演: 威廉·霍尔登 / 葛洛丽亚·斯旺森 / 埃里克·冯·施特罗海姆, 类型: 剧情 / 黑色电影, 制片国家/地区: 美国, 年份: 1950",[Sunset Blvd.](https://www.imdb.com/title/tt0043014/),🌟8.4
The Bridge on the River Kwai,David Lean,🎉013,1957,[桂河大桥 The Bridge on the River Kwai](https://movie.douban.com/subject/1294958/),🌟8.4,"导演: 大卫·里恩, 主演: 威廉·霍尔登 / 亚历克·吉尼斯 / 杰克·霍金斯, 类型: 剧情 / 历史 / 战争, 制片国家/地区: 英国/美国, 年份: 1957",[The Bridge on the River Kwai](https://www.imdb.com/title/tt0050212/),🌟8.1
Some Like It Hot,Billy Wilder,🎉014,1959,[热情如火 Some Like It Hot](https://movie.douban.com/subject/1292574/),🌟8.9,"导演: 比利·怀尔德, 主演: 玛丽莲·梦露 / 托尼·柯蒂斯 / 杰克·莱蒙, 类型: 喜剧, 制片国家/地区: 美国, 年份: 1959",[Some Like It Hot](https://www.imdb.com/title/tt0053291/),🌟8.2
Star Wars,George Lucas,🎉015,1977,[星球大战 Star Wars](https://movie.douban.com/subject/1293838/),🌟8.5,"导演: 乔治·卢卡斯, 主演: 哈里森·福特 / 马克·哈米尔 / 凯丽·费雪, 类型: 动作 / 科幻 / 冒险, 制片国家/地区: 美国, 年份: 1977",[Star Wars: Episode IV - A New Hope](https://www.imdb.com/title/tt0076759/),🌟8.6
All About Eve,Joseph L. Mankiewicz,🎉016,1950,[彗星美人 All About Eve](https://movie.douban.com/subject/1401385/),🌟8.7,"导演: 约瑟夫·L·曼凯维奇, 主演: 贝蒂·戴维斯 / 安妮·巴克斯特 / 乔治·桑德斯, 类型: 剧情, 制片国家/地区: 美国, 年份: 1950",[All About Eve](https://www.imdb.com/title/tt0042192/),🌟8.2
The African Queen,John Huston,🎉017,1951,[非洲女王号 The African Queen](https://movie.douban.com/subject/1418997/),🌟7.6,"导演: 约翰·休斯顿, 主演: 亨弗莱·鲍嘉 / 凯瑟琳·赫本 / 罗伯特·莫利, 类型: 冒险 / 剧情 / 爱情 / 战争, 制片国家/地区: 英国/美国, 年份: 1951",[The African Queen](https://www.imdb.com/title/tt0043265/),🌟7.7
Psycho,Alfred Hitchcock,🎉018,1960,[惊魂记 Psycho](https://movie.douban.com/subject/1293181/),🌟9.0,"导演: 阿尔弗雷德·希区柯克, 主演: 安东尼·博金斯 / 维拉·迈尔斯 / 约翰·加文, 类型: 悬疑 / 惊悚 / 恐怖, 制片国家/地区: 美国, 年份: 1960",[Psycho](https://www.imdb.com/title/tt0054215/),🌟8.5
Chinatown,Roman Polanski,🎉019,1974,[唐人街 Chinatown](https://movie.douban.com/subject/1293889/),🌟8.4,"导演: 罗曼·波兰斯基, 主演: 杰克·尼科尔森 / 费·唐纳薇 / 约翰·休斯顿, 类型: 犯罪 / 剧情 / 悬疑 / 惊悚, 制片国家/地区: 美国, 年份: 1974",[Chinatown](https://www.imdb.com/title/tt0071315/),🌟8.2
One Flew Over the Cuckoo's Nest,Milos Forman,🎉020,1975,[飞越疯人院 One Flew Over the Cuckoo's Nest](https://movie.douban.com/subject/1292224/),🌟9.1,"导演: 米洛斯·福尔曼, 主演: 杰克·尼科尔森 / 丹尼·德维托 / 克里斯托弗·洛伊德, 类型: 剧情, 制片国家/地区: 美国, 年份: 1975",[One Flew Over the Cuckoo's Nest](https://www.imdb.com/title/tt0073486/),🌟8.7
The Grapes of Wrath,John Ford,🎉021,1940,[愤怒的葡萄 The Grapes of Wrath](https://movie.douban.com/subject/1292465/),🌟8.5,"导演: 约翰·福特, 主演: 亨利·方达 / 简·达威尔 / 约翰·卡拉丁, 类型: 剧情 / 历史, 制片国家/地区: 美国, 年份: 1940",[The Grapes of Wrath](https://www.imdb.com/title/tt0032551/),🌟8.1
2001: A Space Odyssey,Stanley Kubrick,🎉022,1968,[2001太空漫游 2001: A Space Odyssey](https://movie.douban.com/subject/1292226/),🌟8.9,"导演: 斯坦利·库布里克, 主演: 凯尔·杜拉 / 加里·洛克伍德 / 威廉姆·西尔维斯特, 类型: 科幻 / 惊悚 / 冒险, 制片国家/地区: 英国/美国, 年份: 1968",[2001: A Space Odyssey](https://www.imdb.com/title/tt0062622/),🌟8.3
The Maltese Falcon,John Huston,🎉023,1941,[马耳他之鹰 The Maltese Falcon](https://movie.douban.com/subject/1297874/),🌟7.4,"导演: 约翰·休斯顿, 主演: 亨弗莱·鲍嘉 / 玛丽·阿斯特 / 格拉黛丝·乔治, 类型: 犯罪 / 黑色电影 / 悬疑, 制片国家/地区: 美国, 年份: 1941",[The Maltese Falcon](https://www.imdb.com/title/tt0033870/),🌟8
Raging Bull,Martin Scorsese,🎉024,1980,[愤怒的公牛 Raging Bull](https://movie.douban.com/subject/1293155/),🌟8.4,"导演: 马丁·斯科塞斯, 主演: 罗伯特·德尼罗 / 凯西·莫拉蒂 / 乔·佩西, 类型: 剧情 / 传记 / 运动, 制片国家/地区: 美国, 年份: 1980",[Raging Bull](https://www.imdb.com/title/tt0081398/),🌟8.1
E.T.:  The Extra-Terrestrial,Steven Spielberg,🎉025,1982,[E.T.外星人 E.T. the Extra-Terrestrial](https://movie.douban.com/subject/1294638/),🌟8.6,"导演: 史蒂文·斯皮尔伯格, 主演: 亨利·托马斯 / 迪·沃伦斯 / 罗伯特·麦克纳夫顿, 类型: 剧情 / 科幻, 制片国家/地区: 美国, 年份: 1982",[E.T. the Extra-Terrestrial](https://www.imdb.com/title/tt0083866/),🌟7.9
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,🎉026,1964,[奇爱博士 Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb](https://movie.douban.com/subject/1322848/),🌟8.9,"导演: 斯坦利·库布里克, 主演: 彼得·塞勒斯 / 乔治·C·斯科特 / 斯特林·海登, 类型: 剧情 / 喜剧 / 战争, 制片国家/地区: 美国/英国, 年份: 1964",[Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb](https://www.imdb.com/title/tt0057012/),🌟8.4
Bonnie and Clyde,Arthur Penn,🎉027,1967,[雌雄大盗 Bonnie and Clyde](https://movie.douban.com/subject/1294584/),🌟8.2,"导演: 阿瑟·佩恩, 主演: 沃伦·比蒂 / 费·唐纳薇 / 迈克尔·波拉德, 类型: 动作 / 传记 / 犯罪, 制片国家/地区: 美国, 年份: 1967",[Bonnie and Clyde](https://www.imdb.com/title/tt0061418/),🌟7.7
