Group 分类,Rank 排名,Title 电影,ID 豆瓣,Score 打分,Staff 人员,Region 地区
豆瓣2018评分最高的华语电影,1,我不是药神,[26752088](https://movie.douban.com/subject/26752088/),9.0,文牧野 / 徐峥 / 王传君,中国大陆
豆瓣2018评分最高的华语电影,2,大佛普拉斯,[27059130](https://movie.douban.com/subject/27059130/),8.7,黄信尧 / 庄益增 / 陈竹升,中国台湾
豆瓣2018评分最高的华语电影,3,红海行动,[26861685](https://movie.douban.com/subject/26861685/),8.2,林超贤 / 张译 / 黄景瑜,中国大陆 中国香港
豆瓣2018评分最高的华语电影,4,狗十三,[25716096](https://movie.douban.com/subject/25716096/),8.2,曹保平 / 张雪迎 / 果靖霖,中国大陆
豆瓣2018评分最高的华语电影,5,无双,[26425063](https://movie.douban.com/subject/26425063/),8.0,庄文强 / 周润发 / 郭富城,中国大陆 中国香港
豆瓣2018评分最高的华语电影,6,无名之辈,[27110296](https://movie.douban.com/subject/27110296/),8.0,饶晓志 / 陈建斌 / 任素汐,中国大陆
豆瓣2018评分最高的华语电影,7,暴裂无声,[26647117](https://movie.douban.com/subject/26647117/),8.2,忻钰坤 / 宋洋 / 姜武,中国大陆
豆瓣2018评分最高的华语电影,8,血观音,[27113517](https://movie.douban.com/subject/27113517/),8.5,杨雅喆 / 惠英红 / 吴可熙,中国台湾
豆瓣2018评分最高的华语电影,9,大象席地而坐,[27172891](https://movie.douban.com/subject/27172891/),8.1,胡波 / 彭昱畅 / 章宇,中国大陆
豆瓣2018评分最高的华语电影,10,无问西东,[6874741](https://movie.douban.com/subject/6874741/),7.5,李芳芳 / 章子怡 / 黄晓明,中国大陆
 , , , , , , 
豆瓣2018评分最高的外语电影,1,头号玩家,[4920389](https://movie.douban.com/subject/4920389/),8.6,史蒂文·斯皮尔伯格 / 泰伊·谢里丹 / 奥利维亚·库克,美国
豆瓣2018评分最高的外语电影,2,三块广告牌,[26611804](https://movie.douban.com/subject/26611804/),8.7,马丁·麦克唐纳 / 弗兰西斯·麦克多蒙德 / 伍迪·哈里森,英国 美国
豆瓣2018评分最高的外语电影,3,小偷家族,[27622447](https://movie.douban.com/subject/27622447/),8.7,是枝裕和 / 中川雅也 / 安藤樱,日本
豆瓣2018评分最高的外语电影,4,奇迹男孩,[26787574](https://movie.douban.com/subject/26787574/),8.6,斯蒂芬·卓博斯基 / 雅各布·特伦布莱 / 朱莉娅·罗伯茨,美国 中国香港
豆瓣2018评分最高的外语电影,5,幸福的拉扎罗,[27072795](https://movie.douban.com/subject/27072795/),8.5,阿莉切·罗尔瓦赫尔 / 阿德里亚诺·塔尔迪奥洛 / 阿涅塞·格拉齐亚尼,意大利 瑞士 法国 德国
豆瓣2018评分最高的外语电影,6,网络谜踪,[27615441](https://movie.douban.com/subject/27615441/),8.5,阿尼什·查甘蒂 / 约翰·赵 / 米切尔·拉,美国 俄罗斯
豆瓣2018评分最高的外语电影,7,爱你，西蒙,[26654498](https://movie.douban.com/subject/26654498/),8.3,格里格·伯兰蒂 / 尼克·罗宾森 / 詹妮弗·加纳,美国
豆瓣2018评分最高的外语电影,8,特工,[26683421](https://movie.douban.com/subject/26683421/),8.7,尹钟彬 / 黄政民 / 李星民,韩国
豆瓣2018评分最高的外语电影,9,碟中谍6：全面瓦解,[26336252](https://movie.douban.com/subject/26336252/),8.1,克里斯托弗·麦奎里 / 汤姆·克鲁斯 / 亨利·卡维尔,美国 中国大陆 法国 挪威 英国
豆瓣2018评分最高的外语电影,10,华盛顿邮报,[26990609](https://movie.douban.com/subject/26990609/),8.3,史蒂文·斯皮尔伯格 / 梅丽尔·斯特里普 / 汤姆·汉克斯,美国 英国
 , , , , , , 
豆瓣2018最受关注的院线电影,1,我不是药神,[26752088](https://movie.douban.com/subject/26752088/),9.0,文牧野 / 徐峥 / 王传君,中国大陆
豆瓣2018最受关注的院线电影,2,头号玩家,[4920389](https://movie.douban.com/subject/4920389/),8.6,史蒂文·斯皮尔伯格 / 泰伊·谢里丹 / 奥利维亚·库克,美国
豆瓣2018最受关注的院线电影,3,红海行动,[26861685](https://movie.douban.com/subject/26861685/),8.2,林超贤 / 张译 / 黄景瑜,中国大陆 中国香港
豆瓣2018最受关注的院线电影,4,唐人街探案2,[26698897](https://movie.douban.com/subject/26698897/),6.6,陈思诚 / 王宝强 / 刘昊然,中国大陆
豆瓣2018最受关注的院线电影,5,西虹市首富,[27605698](https://movie.douban.com/subject/27605698/),6.6,闫非 / 沈腾 / 宋芸桦,中国大陆
豆瓣2018最受关注的院线电影,6,一出好戏,[26985127](https://movie.douban.com/subject/26985127/),7.1,黄渤 / 黄渤 / 舒淇,中国大陆
豆瓣2018最受关注的院线电影,7,复仇者联盟3：无限战争,[24773958](https://movie.douban.com/subject/24773958/),8.1,安东尼·罗素 / 小罗伯特·唐尼 / 克里斯·海姆斯沃斯,美国
豆瓣2018最受关注的院线电影,8,无问西东,[6874741](https://movie.douban.com/subject/6874741/),7.5,李芳芳 / 章子怡 / 黄晓明,中国大陆
豆瓣2018最受关注的院线电影,9,三块广告牌,[26611804](https://movie.douban.com/subject/26611804/),8.7,马丁·麦克唐纳 / 弗兰西斯·麦克多蒙德 / 伍迪·哈里森,英国 美国
豆瓣2018最受关注的院线电影,10,邪不压正,[26366496](https://movie.douban.com/subject/26366496/),7.0,姜文 / 彭于晏 / 廖凡,中国大陆
 , , , , , , 
豆瓣2018最受关注的非院线电影,1,伯德小姐,[26588314](https://movie.douban.com/subject/26588314/),7.9,格蕾塔·葛韦格 / 西尔莎·罗南 / 劳里·梅特卡夫,美国
豆瓣2018最受关注的非院线电影,2,死侍2：我爱我家,[26588308](https://movie.douban.com/subject/26588308/),7.3,大卫·雷奇 / 瑞安·雷诺兹 / 乔什·布洛林,美国
豆瓣2018最受关注的非院线电影,3,血观音,[27113517](https://movie.douban.com/subject/27113517/),8.5,杨雅喆 / 惠英红 / 吴可熙,中国台湾
豆瓣2018最受关注的非院线电影,4,大佛普拉斯,[27059130](https://movie.douban.com/subject/27059130/),8.7,黄信尧 / 庄益增 / 陈竹升,中国台湾
豆瓣2018最受关注的非院线电影,5,与神同行：罪与罚,[11584016](https://movie.douban.com/subject/11584016/),7.8,金容华 / 河正宇 / 车太贤,韩国
豆瓣2018最受关注的非院线电影,6,燃烧,[26842702](https://movie.douban.com/subject/26842702/),8.1,李沧东 / 刘亚仁 / 史蒂文·元,韩国
豆瓣2018最受关注的非院线电影,7,瞒天过海：美人计,[26654269](https://movie.douban.com/subject/26654269/),6.7,盖瑞·罗斯 / 桑德拉·布洛克 / 凯特·布兰切特,美国
豆瓣2018最受关注的非院线电影,8,昆池岩,[26945085](https://movie.douban.com/subject/26945085/),6.3,郑范识 / 魏嘏隽 / 朴智炫,韩国
豆瓣2018最受关注的非院线电影,9,爱你，西蒙,[26654498](https://movie.douban.com/subject/26654498/),8.3,格里格·伯兰蒂 / 尼克·罗宾森 / 詹妮弗·加纳,美国
豆瓣2018最受关注的非院线电影,10,解除好友2：暗网,[26725678](https://movie.douban.com/subject/26725678/),7.9,斯蒂芬·苏斯科 / 科林·伍德尔 / 斯蒂芬妮·诺格拉斯,美国
 , , , , , , 
豆瓣2018年度最期待华语独立佳作,1,四个春天,[27191492](https://movie.douban.com/subject/27191492/),8.8,陆庆屹 / 陆运坤 / 李桂贤,中国大陆
