index,排名,日本-电影名,豆瓣电影,豆瓣年份,豆瓣ID,豆瓣打分,导演,类型,地区,（空白）,排名,外国-电影名,豆瓣电影,豆瓣年份,豆瓣ID,豆瓣打分,导演,类型,地区
15,13,となりのトトロ（宮崎駿 / 《龙猫》（宫崎骏，1988））,龙猫 となりのトトロ,1988,[1291560](https://movie.douban.com/subject/1291560/),9.2,宫崎骏,动画 / 奇幻 / 冒险,日本, ,13,モダンタイムス / チャールズ・チャップリン,摩登时代 Modern Times,1936,[1294371](https://movie.douban.com/subject/1294371/),9.3,查理·卓别林,剧情 / 喜剧 / 爱情,美国
16,13,泥の河（小栗康平 / 《泥之河》（小栗康平，1981））,泥之河 泥の河,1981,[1303065](https://movie.douban.com/subject/1303065/),8.7,小栗康平,剧情,日本, ,17,自転車泥棒 / ヴィットリオ・デ・シーカ,偷自行车的人 Ladri di biciclette,1948,[1295873](https://movie.douban.com/subject/1295873/),9.1,维托里奥·德西卡,犯罪 / 剧情,意大利
17,18,人情紙風船（山中貞雄 / 《人情纸风船》（山中贞雄，1937））,人情纸风船 人情紙風船,1937,[1428377](https://movie.douban.com/subject/1428377/),8.5,山中贞雄,剧情,日本, ,18,戦艦ポチョムキン / セルゲイ・Ｍ・エイゼンシュタイン,战舰波将金号 Броненосец Потёмкин,1925,[1293492](https://movie.douban.com/subject/1293492/),8.7,谢尔盖·爱森斯坦,剧情 / 历史 / 战争,苏联
18,18,無法松の一生（稲垣浩 / 《手车夫之恋》（稻垣浩，1943））,无法松的一生 無法松の一生,1943,[1547172](https://movie.douban.com/subject/1547172/),7.7,稻垣浩,剧情,日本, ,19,アマデウス / ミロス・フォアマン,莫扎特传 Amadeus,1984,[1293399](https://movie.douban.com/subject/1293399/),8.7,米洛斯·福尔曼,剧情 / 传记 / 历史 / 音乐,美国/法国/捷克斯洛伐克/意大利
19,18,用心棒（黒澤明 / 《用心棒》（黑泽明，1961））,用心棒,1961,[1292515](https://movie.douban.com/subject/1292515/),9,黑泽明,剧情 / 动作 / 惊悚,日本, ,19,大いなる幻影 / ジャン・ルノワール,大幻影 La grande illusion,1937,[1294808](https://movie.douban.com/subject/1294808/),8.4,让·雷诺阿,剧情 / 战争,法国
20,21,蒲田行進曲（深作欣二 / 《情义两心知》（深作欣二，1982））,蒲田进行曲 蒲田行進曲,1982,[1294287](https://movie.douban.com/subject/1294287/),7.9,深作欣二,喜剧 / 爱情,日本, ,21,さらばわが愛　覇王別姫 / チェン・カイコー,霸王别姬,1993,[1291546](https://movie.douban.com/subject/1291546/),9.6,陈凯歌,剧情 / 爱情 / 同性,中国大陆/中国香港
21,21,少年（大島渚 / 《少年》（大岛渚，1969））,少年,1969,[1305020](https://movie.douban.com/subject/1305020/),8,大岛渚,剧情,日本, ,21,地獄の黙示録 / フランシス・フォード・コッポラ,现代启示录 Apocalypse Now,1979,[1292260](https://movie.douban.com/subject/1292260/),8.5,弗朗西斯·福特·科波拉,剧情 / 战争,美国
22,21,月はどっちに出ている（崔洋一 / 《月亮在哪边》（崔洋一，1993））,月出何方 月はどっちに出ている,1993,[1303319](https://movie.douban.com/subject/1303319/),7.3,崔洋一,剧情,日本, ,21,１２人の怒れる男 / シドニー・ルメット,十二怒汉 12 Angry Men,1957,[1293182](https://movie.douban.com/subject/1293182/),9.4,西德尼·吕美特,剧情,美国
23,21,麦秋（小津安二郎 / 《麦秋》（小津安二郎，1951））,麦秋 麥秋,1951,[1401842](https://movie.douban.com/subject/1401842/),8.7,小津安二郎,剧情 / 家庭,日本, ,21,ニューシネマ・パラダイス / ジュゼッペ・トルナトーレ,天堂电影院 Nuovo Cinema Paradiso,1988,[1291828](https://movie.douban.com/subject/1291828/),9.2,朱塞佩·托纳多雷,剧情 / 爱情,意大利/法国
24,21,復讐するは我にあり（今村昌平 / 《我要复仇》（今村昌平，1979））,复仇在我 復讐するは我にあり,1979,[1294940](https://movie.douban.com/subject/1294940/),8.5,今村昌平,剧情 / 犯罪,日本, ,21,望郷 / ジュリアン・デュヴィヴィエ,逃犯贝贝 Pépé le Moko,1937,[1304571](https://movie.douban.com/subject/1304571/),7.2,朱利安·杜维威尔,犯罪 / 剧情 / 爱情,法国
