Title 电影,Director 导演,Rank 排名,Year 年份,Region 地区,豆瓣电影,豆瓣打分,豆瓣信息,IMDb电影,IMDb打分
A Clockwork Orange,Directed by Stanley Kubrick,🎉243,1971,"USA, United Kingdom",[发条橙 A Clockwork Orange](https://movie.douban.com/subject/1292233/),🌟8.6,"导演: 斯坦利·库布里克, 主演: 马尔科姆·麦克道威尔 / 帕特里克·马基 / 迈克尔·贝茨, 类型: 犯罪 / 剧情 / 科幻, 制片国家/地区: 英国/美国, 年份: 1971",[A Clockwork Orange](https://www.imdb.com/title/tt0066921/),🌟8.3
A Canterbury Tale,"Directed by Michael Powell, Emeric Pressburger",🎉243,1944,United Kingdom,[夜夜春宵 A Canterbury Tale](https://movie.douban.com/subject/1295943/),🌟7.3,"导演: 迈克尔·鲍威尔 / 埃默里克·普雷斯伯格, 主演: 埃里克·波特曼 / 希拉·西姆 / 丹尼斯·普莱斯, 类型: 喜剧 / 剧情 / 悬疑 / 战争, 制片国家/地区: 英国, 年份: 1944",[A Canterbury Tale](https://www.imdb.com/title/tt0036695/),🌟7.4
Videodrome,Directed by David Cronenberg,🎉243,1983,Canada,[录影带谋杀案 Videodrome](https://movie.douban.com/subject/1295276/),🌟7.4,"导演: 大卫·柯南伯格, 主演: 詹姆斯·伍兹 / 索尼娅·史密茨 / 黛布拉·哈里, 类型: 科幻 / 悬疑 / 惊悚 / 恐怖, 制片国家/地区: 加拿大, 年份: 1983",[Videodrome](https://www.imdb.com/title/tt0086541/),🌟7.2
Possession,Directed by Andrzej Zulawski,🎉243,1981,"France, Federal Republic of Germany",[着魔 Possession](https://movie.douban.com/subject/1297203/),🌟8.0,"导演: 安德烈·祖拉斯基, 主演: 伊莎贝尔·阿佳妮 / 山姆·尼尔 / 玛吉特·卡斯滕森, 类型: 剧情 / 恐怖, 制片国家/地区: 法国/西德, 年份: 1981",[Possession](https://www.imdb.com/title/tt0082933/),🌟7.3
Soleil Ô,Directed by Med Hondo,🎉243,1970,France,[噢，太阳 Soleil Ô](https://movie.douban.com/subject/6030619/),🌟7.8,"导演: 梅德·翁多, 主演: Yane Barry / Bernard Bresson / Greg Germain, 类型: 剧情, 制片国家/地区: 法国/毛里塔尼亚, 年份: 1973","[Oh, Sun](https://www.imdb.com/title/tt0062285/)",🌟7.4
"Distant Voices, Still Lives",Directed by Terence Davies,🎉243,1988,"United Kingdom, Federal Republic of Germany","[远方的声音 Distant Voices, Still Lives](https://movie.douban.com/subject/1305878/)",🌟7.6,"导演: 特伦斯·戴维斯, 主演: Lorraine Ashbourne / 吉恩·波特 / Carl Chase, 类型: 剧情 / 音乐 / 家庭, 制片国家/地区: 英国, 年份: 1988","[Distant Voices, Still Lives](https://www.imdb.com/title/tt0095037/)",🌟7.4
Nostalgia for the Light,Directed by Patricio Guzmán,🎉243,2010,"France, Germany, Chile, Spain, USA",[故乡之光 Nostalgia de la luz](https://movie.douban.com/subject/4307515/),🌟8.4,"导演: 帕特里西奥·古斯曼, 主演: Gaspar Galaz / Lautaro Núñez / Luís Henríquez, 类型: 纪录片 / 剧情, 制片国家/地区: 法国/德国/智利/西班牙, 年份: 2010",[Nostalgia for the Light](https://www.imdb.com/title/tt1556190/),🌟7.6
Syndromes and a Century,Directed by Apichatpong Weerasethakul,🎉243,2006,"Thailand, France, Austria, Netherlands",[恋爱症候群 แสงศตวรรษ](https://movie.douban.com/subject/1857095/),🌟7.9,"导演: 阿彼察邦·韦拉斯哈古, 主演: Nantarat Sawaddikul / Jaruchai Iamaram / Sophon Pukanok, 类型: 剧情, 制片国家/地区: 泰国/法国/奥地利, 年份: 2006",[Syndromes and a Century](https://www.imdb.com/title/tt0477731/),🌟7.3
The Intruder,Directed by Claire Denis,🎉243,2004,"France, Republic of Korea",[入侵者 L'intrus](https://movie.douban.com/subject/1440407/),🌟7.3,"导演: 克莱尔·德尼, 主演: 米歇尔·索博 / 格莱戈尔·科林 / Yekaterina Golubeva, 类型: 剧情, 制片国家/地区: 法国, 年份: 2004",[The Intruder](https://www.imdb.com/title/tt0422491/),🌟6.7
Morvern Callar,Directed by Lynne Ramsay,🎉243,2001,"United Kingdom, Canada",[默文·卡拉 Morvern Callar](https://movie.douban.com/subject/1420042/),🌟7.6,"导演: 琳恩·拉姆塞, 主演: 萨曼莎·莫顿 / 凯瑟琳·麦克德莫特 / Linda McGuire, 类型: 剧情, 制片国家/地区: 英国/加拿大, 年份: 2002",[Morvern Callar](https://www.imdb.com/title/tt0300214/),🌟6.7
In Vanda's Room,Directed by Pedro Costa,🎉243,2000,"Portugal, Germany, Switzerland",[旺妲的房间 No Quarto da Vanda](https://movie.douban.com/subject/1829859/),🌟7.8,"导演: 佩德罗·科斯塔, 主演: Vanda Duarte / Lena Duarte / Zita Duarte, 类型: 剧情 / 纪录片, 制片国家/地区: 葡萄牙/德国/瑞士, 年份: 2000",[In Vanda's Room](https://www.imdb.com/title/tt0139500/),🌟7
Werckmeister Harmonies,Directed by Béla Tarr,🎉243,2000,"Hungary, Germany, France, Switzerland, Italy",[鲸鱼马戏团 Werckmeister harmóniák](https://movie.douban.com/subject/1416898/),🌟8.8,"导演: 贝拉·塔尔 / 阿尼亚斯·赫拉尼茨基, 主演: 拉尔斯·鲁道夫 / 彼得·菲茨 / 汉娜·许古拉, 类型: 剧情 / 悬疑, 制片国家/地区: 匈牙利/意大利/德国/法国, 年份: 2000",[Werckmeister Harmonies](https://www.imdb.com/title/tt0249241/),🌟8
Taste of Cherry,Directed by Abbas Kiarostami,🎉243,1997,Iran,[樱桃的滋味 طعم گیلاس](https://movie.douban.com/subject/1296177/),🌟8.1,"导演: 阿巴斯·基亚罗斯塔米, 主演: 赫玛永·厄沙迪 / 阿卜杜拉曼·巴赫里 / 阿夫欣·呼罗希德·巴赫蒂亚里, 类型: 剧情, 制片国家/地区: 法国/伊朗, 年份: 1997",[Taste of Cherry](https://www.imdb.com/title/tt0120265/),🌟7.7
The Quince Tree Sun,Directed by Víctor Erice,🎉243,1992,Spain,[榅桲树阳光 El sol del membrillo](https://movie.douban.com/subject/1401529/),🌟8.6,"导演: 维克多·艾里斯, 主演: Antonio López García / Marina Moreno / Enrique Gran, 类型: 纪录片 / 传记 / 剧情, 制片国家/地区: 西班牙, 年份: 1992",[Dream of Light](https://www.imdb.com/title/tt0105438/),🌟7.7
The Last Laugh,Directed by F.W. Murnau,🎉243,1924,Germany,[最卑贱的人 Der letzte Mann](https://movie.douban.com/subject/1307639/),🌟8.7,"导演: F·W·茂瑙, 主演: 埃米尔·雅宁斯 / 梅丽· 戴尔沙夫特 / Max Hiller, 类型: 剧情, 制片国家/地区: 德国, 年份: 1924",[The Last Laugh](https://www.imdb.com/title/tt0015064/),🌟8
