Title 电影,Director 导演,Rank 排名,Year 年份,Region 地区,豆瓣电影,豆瓣打分,豆瓣信息,IMDb电影,IMDb打分
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Directed by Stanley Kubrick,🎉196,1963,"United Kingdom, USA",[奇爱博士 Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb](https://movie.douban.com/subject/1322848/),🌟8.9,"导演: 斯坦利·库布里克, 主演: 彼得·塞勒斯 / 乔治·C·斯科特 / 斯特林·海登, 类型: 剧情 / 喜剧 / 战争, 制片国家/地区: 美国/英国, 年份: 1964",[Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb](https://www.imdb.com/title/tt0057012/),🌟8.4
One Way or Another,Directed by Sara Gómez,🎉196,1977,Cuba,[这样或那样 De cierta manera](https://movie.douban.com/subject/1902590/),🌟7.8,"导演: 萨拉·戈麦斯, 主演: 马里奥·巴尔马塞达 / Yolanda Cuéllar / Mario Limonta, 类型: 剧情, 制片国家/地区: 古巴, 年份: 1978",[One Way or Another](https://www.imdb.com/title/tt0075915/),🌟7.1
Nosferatu,Directed by F.W. Murnau,🎉196,1922,Germany,"[诺斯费拉图 Nosferatu, eine Symphonie des Grauens](https://movie.douban.com/subject/1296791/)",🌟8.2,"导演: F·W·茂瑙, 主演: 马科斯·夏瑞克 / 古斯塔·冯·瓦根海姆 / 格里塔·斯楚瑞德, 类型: 奇幻 / 恐怖, 制片国家/地区: 德国, 年份: 1922",[Nosferatu](https://www.imdb.com/title/tt0013442/),🌟7.9
Paisan,Directed by Roberto Rossellini,🎉196,1946,Italy,[战火 Paisà](https://movie.douban.com/subject/1299257/),🌟8.2,"导演: 罗伯托·罗西里尼, 主演: 卡米拉萨齐奥 / 罗伯托范隆 / Benjamin Emanuel, 类型: 剧情 / 战争, 制片国家/地区: 意大利, 年份: 1946",[Paisan](https://www.imdb.com/title/tt0038823/),🌟7.6
Zama,Directed by Lucrecia Martel,🎉196,2017,"Argentina, Brazil, Spain, France, Mexico, Netherlands, Monaco, Portugal, USA, Lebanon, United Kingdom, Dominican Republic",[扎马 Zama](https://movie.douban.com/subject/24719134/),🌟7.2,"导演: 卢奎西亚·马特尔, 主演: 丹尼尔·希梅内斯·卡乔 / 洛拉·杜埃尼亚斯 / 马修斯·纳克加勒, 类型: 剧情, 制片国家/地区: 阿根廷/西班牙/法国/荷兰/美国/巴西/墨西哥/葡萄牙/黎巴嫩/瑞士, 年份: 2017",[Zama](https://www.imdb.com/title/tt3409848/),🌟6.7
Mad Max: Fury Road,Directed by George Miller,🎉196,2015,"USA, Australia",[疯狂的麦克斯4：狂暴之路 Mad Max: Fury Road](https://movie.douban.com/subject/3592854/),🌟8.7,"导演: 乔治·米勒, 主演: 汤姆·哈迪 / 查理兹·塞隆 / 尼古拉斯·霍尔特, 类型: 动作 / 科幻 / 冒险, 制片国家/地区: 澳大利亚/美国, 年份: 2015",[Mad Max: Fury Road](https://www.imdb.com/title/tt1392190/),🌟8.1
The Tree of Life,Directed by Terrence Malick,🎉196,2010,USA,[生命之树 The Tree of Life](https://movie.douban.com/subject/2336735/),🌟7.1,"导演: 泰伦斯·马力克, 主演: 布拉德·皮特 / 西恩·潘 / 杰西卡·查斯坦, 类型: 剧情 / 奇幻 / 家庭, 制片国家/地区: 美国, 年份: 2011",[The Tree of Life](https://www.imdb.com/title/tt0478304/),🌟6.8
Uncle Boonmee Who Can Recall His Past Lives,Directed by Apichatpong Weerasethakul,🎉196,2010,"Thailand, United Kingdom, France, Germany, Spain, Netherlands",[能召回前世的布米叔叔 ลุงบุญมีระลึกชาติ](https://movie.douban.com/subject/4280102/),🌟7.4,"导演: 阿彼察邦·韦拉斯哈古, 主演: 萨那帕卡·塞塞玛 / 金吉拉·潘帕斯 / 萨卡达·卡温巴迪, 类型: 剧情 / 奇幻, 制片国家/地区: 泰国/英国/法国/德国/西班牙/荷兰, 年份: 2010",[Uncle Boonmee Who Can Recall His Past Lives](https://www.imdb.com/title/tt1588895/),🌟6.7
The Headless Woman,Directed by Lucrecia Martel,🎉196,2008,"Argentina, Spain, France, Italy",[无头的女人 La mujer sin cabeza](https://movie.douban.com/subject/3047620/),🌟7.2,"导演: 卢奎西亚·马特尔, 主演: 玛莉亚·奥内托 / Claudia Cantero / 伊娜丝·艾芙隆, 类型: 剧情 / 悬疑 / 惊悚, 制片国家/地区: 阿根廷/法国/意大利/西班牙, 年份: 2008",[The Headless Woman](https://www.imdb.com/title/tt1221141/),🌟6.6
Paris Is Burning,Directed by Jennie Livingston,🎉196,1990,"USA, United Kingdom",[巴黎在燃烧 Paris Is Burning](https://movie.douban.com/subject/1299344/),🌟9.0,"导演: 詹尼•利文斯通, 主演: Brooke Xtravaganza / André Christian / Dorian Corey, 类型: 纪录片 / 同性, 制片国家/地区: 美国, 年份: 1990",[Paris Is Burning](https://www.imdb.com/title/tt0100332/),🌟8.2
