Group 分类,Rank 排名,Title 电影,ID 豆瓣,Score 打分,Staff 人员,Region 地区
豆瓣2015最受关注的|非院线电影,3,五十度灰 / Fifty Shades of Grey,[24840488](https://movie.douban.com/subject/24840488/),5.6,萨姆·泰勒·约翰逊 / 詹米·多南 / 达科塔·约翰逊,美国
豆瓣2015最受关注的|非院线电影,4,女间谍 / Spy,[25752261](https://movie.douban.com/subject/25752261/),7.5,保罗·费格 / 梅丽莎·麦卡西 / 杰森·斯坦森,美国
豆瓣2015最受关注的|非院线电影,5,小森林 夏秋篇 / リトル・フォレスト 夏・秋,[25814705](https://movie.douban.com/subject/25814705/),9.0,森淳一 / 桥本爱 / 三浦贵大,日本
豆瓣2015最受关注的|非院线电影,6,荒蛮故事 / Relatos salvajes,[24750126](https://movie.douban.com/subject/24750126/),8.8,达米安·斯兹弗隆 / 达里奥·格兰迪内蒂 / 玛丽娅·玛努尔,阿根廷 西班牙
豆瓣2015最受关注的|非院线电影,7,泰迪熊2 / Ted 2,[19957083](https://movie.douban.com/subject/19957083/),6.7,塞思·麦克法兰 / 塞思·麦克法兰 / 马克·沃尔伯格,美国
豆瓣2015最受关注的|非院线电影,8,我是谁：没有绝对安全的系统 / Who Am I - Kein System ist sicher,[25932086](https://movie.douban.com/subject/25932086/),8.2,巴伦·博·欧达尔 / 汤姆·希林 / 埃利亚斯·穆巴里克,德国
豆瓣2015最受关注的|非院线电影,9,秘密特工 / The Man from U.N.C.L.E.,[6845667](https://movie.douban.com/subject/6845667/),8.1,盖·里奇 / 亨利·卡维尔 / 艾米·汉莫,美国 英国
豆瓣2015最受关注的|非院线电影,10,"如晴天，似雨天 / Like Sunday, Like Rain",[25738406](https://movie.douban.com/subject/25738406/),8.3,弗兰克·威利 / 朱利安·夏特金 / 莉顿·梅斯特,美国
 , , , , , , 
豆瓣2015年度|冷门佳片,1,贝利叶一家 / La famille Bélier,[25855951](https://movie.douban.com/subject/25855951/),8.4,艾里克·拉缇戈 / 露安·艾梅哈 / 嘉莲·维雅,法国 比利时
豆瓣2015年度|冷门佳片,2,危楼愚夫 / Дурак,[25882861](https://movie.douban.com/subject/25882861/),8.4,尤里·贝科夫 / 阿尔焦姆·贝斯特罗夫 / 娜塔莉亚·苏尔科娃,俄罗斯
豆瓣2015年度|冷门佳片,3,小男孩 / Little Boy,[10773239](https://movie.douban.com/subject/10773239/),8.3,亚历杭德罗·戈麦斯·蒙特维尔德 / 雅各布·萨尔瓦提 / 凯文·詹姆斯,墨西哥 美国
豆瓣2015年度|冷门佳片,4,我和厄尔以及将死的女孩 / Me and Earl and the Dying Girl,[24325923](https://movie.douban.com/subject/24325923/),8.2,阿方索·戈麦斯-雷洪 / 托马斯·曼 / 奥利维亚·库克,美国
豆瓣2015年度|冷门佳片,5,"麦克法兰 / McFarland, USA",[11520649](https://movie.douban.com/subject/11520649/),8.4,妮琪·卡罗 / 凯文·科斯特纳 / 拉米罗·罗德里格斯,美国
豆瓣2015年度|冷门佳片,6,出租车 / تاکسی,[26304167](https://movie.douban.com/subject/26304167/),8.1,贾法·帕纳西 / 贾法·帕纳西,伊朗
豆瓣2015年度|冷门佳片,7,诉讼 / גט - המשפט של ויויאן אמסאלם,[25687245](https://movie.douban.com/subject/25687245/),8.2,罗内特·艾尔卡贝兹 / 罗内特·艾尔卡贝兹 / 西蒙·阿布卡瑞安,以色列 法国 德国
豆瓣2015年度|冷门佳片,8,和谐课程 / Уроки гармонии,[21098725](https://movie.douban.com/subject/21098725/),7.8,埃米尔·拜加津 / 提穆尔·艾达贝科夫 / 阿桑·克尔卡巴科夫,哈萨克斯坦 德国 法国
豆瓣2015年度|冷门佳片,9,野马 / Mustang,[26372545](https://movie.douban.com/subject/26372545/),8.1,蒂尼斯·艾葛温 / 居内什·森索伊 / 多嘉·泽伊内普·多古斯鲁,土耳其 法国 卡塔尔 德国
豆瓣2015年度|冷门佳片,10,旅行终点 / The End of the Tour,[25821461](https://movie.douban.com/subject/25821461/),8.0,詹姆斯·庞索特 / 杰森·席格尔 / 杰西·艾森伯格,美国
 , , , , , , 
豆瓣2015评分最高的|韩国电影,1,思悼 / 사도,[25859495](https://movie.douban.com/subject/25859495/),8.5,李濬益 / 宋康昊 / 刘亚仁,韩国
豆瓣2015评分最高的|韩国电影,2,国际市场 / 국제시장,[21937450](https://movie.douban.com/subject/21937450/),8.6,尹济均 / 黄政民 / 金允珍,韩国
豆瓣2015评分最高的|韩国电影,3,暗杀 / 암살,[25823132](https://movie.douban.com/subject/25823132/),8.1,崔东勋 / 全智贤 / 李政宰,韩国
豆瓣2015评分最高的|韩国电影,4,长寿商会 / 장수상회,[25919385](https://movie.douban.com/subject/25919385/),7.8,姜帝圭 / 尹汝贞 / 朴根滢,韩国
豆瓣2015评分最高的|韩国电影,5,内在美 / 뷰티 인사이드,[26235839](https://movie.douban.com/subject/26235839/),7.7,白宗烈 / 韩孝周 / 金大明,韩国
豆瓣2015评分最高的|韩国电影,6,老手 / 베테랑,[25728010](https://movie.douban.com/subject/25728010/),7.7,柳昇完 / 黄政民 / 刘亚仁,韩国
豆瓣2015评分最高的|韩国电影,7,偷狗的完美方法 / 개를 훔치는 완벽한 방법,[25834457](https://movie.douban.com/subject/25834457/),7.3,金成浩 / 金惠子 / 李来,韩国
豆瓣2015评分最高的|韩国电影,8,这时对，那时错 / 지금은맞고그때는틀리다,[26297388](https://movie.douban.com/subject/26297388/),7.6,洪常秀 / 郑在泳 / 金敏喜,韩国
豆瓣2015评分最高的|韩国电影,9,许三观 / 허삼관,[11540651](https://movie.douban.com/subject/11540651/),7.4,河正宇 / 河正宇 / 河智苑,韩国
豆瓣2015评分最高的|韩国电影,10,妻子小姐 / 미쓰 와이프,[26050295](https://movie.douban.com/subject/26050295/),7.4,姜孝镇 / 严正化 / 宋承宪,韩国
 , , , , , , 
豆瓣2015评分最高的|日本电影,1,小森林 夏秋篇 / リトル・フォレスト 夏・秋,[25814705](https://movie.douban.com/subject/25814705/),9.0,森淳一 / 桥本爱 / 三浦贵大,日本
豆瓣2015评分最高的|日本电影,2,小森林 冬春篇 / リトル・フォレスト 冬・春,[25814707](https://movie.douban.com/subject/25814707/),9.0,森淳一 / 桥本爱 / 三浦贵大,日本
豆瓣2015评分最高的|日本电影,3,海街日记 / 海街diary,[25895901](https://movie.douban.com/subject/25895901/),8.8,是枝裕和 / 绫濑遥 / 长泽雅美,日本
豆瓣2015评分最高的|日本电影,4,百元之恋 / 百円の恋,[25761178](https://movie.douban.com/subject/25761178/),8.4,武正晴 / 安藤樱 / 新井浩文,日本
豆瓣2015评分最高的|日本电影,5,垫底辣妹 / ビリギャル,[26259677](https://movie.douban.com/subject/26259677/),8.3,土井裕泰 / 有村架纯 / 伊藤淳史,日本
豆瓣2015评分最高的|日本电影,6,投靠女与出走男 / 駆込み女と駆出し男,[25969201](https://movie.douban.com/subject/25969201/),8.2,原田真人 / 大泉洋 / 户田惠梨香,日本
豆瓣2015评分最高的|日本电影,7,0.5毫米 / 0.5ミリ,[21767183](https://movie.douban.com/subject/21767183/),8.3,安藤桃子 / 安藤樱 / 织本顺吉,日本
豆瓣2015评分最高的|日本电影,8,深夜食堂电影版 / 映画 深夜食堂,[25958787](https://movie.douban.com/subject/25958787/),7.9,松冈锭司 / 小林薰 / 高冈早纪,日本
豆瓣2015评分最高的|日本电影,9,愚人节 / エイプリルフールズ,[26270517](https://movie.douban.com/subject/26270517/),7.8,石川淳一 / 户田惠梨香 / 松坂桃李,日本
豆瓣2015评分最高的|日本电影,10,爱的成人式 / イニシエーション・ラブ,[26140405](https://movie.douban.com/subject/26140405/),7.7,堤幸彦 / 松田翔太 / 前田敦子,日本
 , , , , , , 
豆瓣2015评分最高的|欧洲电影,1,王牌特工：特工学院 / Kingsman: The Secret Service,[24405378](https://movie.douban.com/subject/24405378/),8.4,马修·沃恩 / 塔伦·埃哲顿 / 科林·费尔斯,英国 美国
豆瓣2015评分最高的|欧洲电影,2,罪恶之家 / An Inspector Calls,[25955491](https://movie.douban.com/subject/25955491/),8.3,艾斯林·沃什 / 大卫·休里斯 / 米兰达·理查森,英国
豆瓣2015评分最高的|欧洲电影,3,危楼愚夫 / Дурак,[25882861](https://movie.douban.com/subject/25882861/),8.4,尤里·贝科夫 / 阿尔焦姆·贝斯特罗夫 / 娜塔莉亚·苏尔科娃,俄罗斯
豆瓣2015评分最高的|欧洲电影,4,贝利叶一家 / La famille Bélier,[25855951](https://movie.douban.com/subject/25855951/),8.4,艾里克·拉缇戈 / 露安·艾梅哈 / 嘉莲·维雅,法国 比利时
豆瓣2015评分最高的|欧洲电影,5,年轻气盛 / Youth,[25766754](https://movie.douban.com/subject/25766754/),8.2,保罗·索伦蒂诺 / 迈克尔·凯恩 / 保罗·达诺,意大利 法国 瑞士 英国
豆瓣2015评分最高的|欧洲电影,6,龙虾 / The Lobster,[20514947](https://movie.douban.com/subject/20514947/),7.6,欧格斯·兰斯莫斯 / 科林·法瑞尔 / 蕾切尔·薇兹,爱尔兰 英国 希腊 法国 荷兰
豆瓣2015评分最高的|欧洲电影,7,我是谁：没有绝对安全的系统 / Who Am I - Kein System ist sicher,[25932086](https://movie.douban.com/subject/25932086/),8.2,巴伦·博·欧达尔 / 汤姆·希林 / 埃利亚斯·穆巴里克,德国
豆瓣2015评分最高的|欧洲电影,8,福尔摩斯先生 / Mr. Holmes,[25727048](https://movie.douban.com/subject/25727048/),7.8,比尔·康顿 / 伊恩·麦克莱恩 / 劳拉·琳妮,英国 美国
豆瓣2015评分最高的|欧洲电影,9,寒枝雀静 / En duva satt på en gren och funderade på tillvaron,[6521506](https://movie.douban.com/subject/6521506/),7.9,罗伊·安德森 / Holger Andersson / Nils Westblom,瑞典 德国 挪威 法国
豆瓣2015评分最高的|欧洲电影,10,锡尔斯玛利亚 / Clouds of Sils Maria,[19976774](https://movie.douban.com/subject/19976774/),7.7,奥利维耶·阿萨亚斯 / 朱丽叶·比诺什 / 克里斯汀·斯图尔特,法国 德国 瑞士
 , , , , , , 
豆瓣2015评分最高的|动画片,1,头脑特工队 / Inside Out,[10533913](https://movie.douban.com/subject/10533913/),8.8,彼特·道格特 / 艾米·波勒 / 菲利丝·史密斯,美国
豆瓣2015评分最高的|动画片,2,海洋之歌 / Song of the Sea,[11584019](https://movie.douban.com/subject/11584019/),8.8,汤姆·摩尔 / 大卫·罗尔 / 布莱丹·格里森,爱尔兰 丹麦 比利时 卢森堡 法国
豆瓣2015评分最高的|动画片,3,小羊肖恩 / Shaun the Sheep Movie,[24397586](https://movie.douban.com/subject/24397586/),8.4,马克·伯顿 / 贾斯汀·弗莱彻 / 约翰·斯帕克斯,英国 法国
豆瓣2015评分最高的|动画片,4,西游记之大圣归来,[26277313](https://movie.douban.com/subject/26277313/),8.3,田晓鹏 / 张磊 / 林子杰,中国大陆
豆瓣2015评分最高的|动画片,5,小王子 / Le Petit Prince,[20645098](https://movie.douban.com/subject/20645098/),8.3,马克·奥斯本 / 杰夫·布里吉斯 / 麦肯吉·弗依,法国
豆瓣2015评分最高的|动画片,6,花与爱丽丝杀人事件 / 花とアリス殺人事件,[26147706](https://movie.douban.com/subject/26147706/),8.2,岩井俊二 / 苍井优 / 铃木杏,日本
豆瓣2015评分最高的|动画片,7,精灵旅社2 / Hotel Transylvania 2,[21327493](https://movie.douban.com/subject/21327493/),7.9,格恩迪·塔塔科夫斯基 / 亚当·桑德勒 / 安迪·萨姆伯格,美国 加拿大
豆瓣2015评分最高的|动画片,8,记忆中的玛妮 / 思い出のマーニー,[25790555](https://movie.douban.com/subject/25790555/),7.9,米林宏昌 / 高月彩良 / 有村架纯,日本
豆瓣2015评分最高的|动画片,9,恐龙当家 / The Good Dinosaur,[6875863](https://movie.douban.com/subject/6875863/),7.5,彼得·孙 / 雷蒙德·奥乔亚 / 杰克·布赖特,美国
豆瓣2015评分最高的|动画片,10,不忠 / Cheatin',[20482777](https://movie.douban.com/subject/20482777/),7.7,比尔·普莱姆顿 / 索菲亚·塔卡尔 / Jeremy Baumann,美国
 , , , , , , 
豆瓣2015评分最高的|纪录片,1,地球之盐 / Le sel de la Terre,[10741871](https://movie.douban.com/subject/10741871/),9.3,维姆·文德斯 / 塞巴斯蒂昂·萨尔加多 / 维姆·文德斯,法国 意大利 巴西
