Title 电影,Director 导演,Rank 排名,Year 年份,Region 地区,豆瓣电影,豆瓣打分,豆瓣信息,IMDb电影,IMDb打分
Come and See,Directed by Elem Klimov,🎉041,1985,USSR,[自己去看 Иди и смотри](https://movie.douban.com/subject/1422186/),🌟8.8,"导演: 依莱姆·克里莫夫, 主演: 阿列克谢·克拉夫琴科 / 奥尔加·米罗诺娃 / 柳博米拉斯·劳恰维丘斯, 类型: 剧情 / 战争, 制片国家/地区: 苏联, 年份: 1985",[Come and See](https://www.imdb.com/title/tt0091251/),🌟8.4
Vagabond,Directed by Agnès Varda,🎉041,1985,"France, United Kingdom",[天涯沦落女 Sans toit ni loi](https://movie.douban.com/subject/1292445/),🌟8.3,"导演: 阿涅斯·瓦尔达, 主演: 桑德里娜·博内尔 / Setti Ramdane / Francis Balchère, 类型: 剧情, 制片国家/地区: 法国, 年份: 1985",[Vagabond](https://www.imdb.com/title/tt0089960/),🌟7.7
A Man Escaped,Directed by Robert Bresson,🎉041,1956,France,[死囚越狱 Un Condamné à mort s'est échappé](https://movie.douban.com/subject/1303562/),🌟8.5,"导演: 罗伯特·布列松, 主演: 弗朗索瓦·莱特瑞尔 / 查尔斯·勒克莱恩 / 莫里斯·贝尔布洛克, 类型: 剧情 / 战争 / 惊悚, 制片国家/地区: 法国, 年份: 1956",[A Man Escaped](https://www.imdb.com/title/tt0049902/),🌟8.2
The Night of the Hunter,Directed by Charles Laughton,🎉041,1955,USA,[猎人之夜 The Night of the Hunter](https://movie.douban.com/subject/1293582/),🌟8.0,"导演: 查尔斯·劳顿, 主演: 罗伯特·米彻姆 / 谢利·温特斯 / 丽莲·吉许, 类型: 犯罪 / 惊悚 / 黑色电影, 制片国家/地区: 美国, 年份: 1955",[The Night of the Hunter](https://www.imdb.com/title/tt0048424/),🌟8
Playtime,Directed by Jacques Tati,🎉041,1967,France,[玩乐时间 Play Time](https://movie.douban.com/subject/1303543/),🌟8.8,"导演: 雅克·塔蒂, 主演: 雅克·塔蒂 / Barbara Dennek / France Rumilly, 类型: 喜剧, 制片国家/地区: 法国/意大利, 年份: 1967",[Playtime](https://www.imdb.com/title/tt0062136/),🌟7.8
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Directed by Stanley Kubrick,🎉046,1963,"United Kingdom, USA",[奇爱博士 Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb](https://movie.douban.com/subject/1322848/),🌟8.9,"导演: 斯坦利·库布里克, 主演: 彼得·塞勒斯 / 乔治·C·斯科特 / 斯特林·海登, 类型: 剧情 / 喜剧 / 战争, 制片国家/地区: 美国/英国, 年份: 1964",[Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb](https://www.imdb.com/title/tt0057012/),🌟8.4
Don't Look Now,Directed by Nicolas Roeg,🎉046,1973,"United Kingdom, Italy",[威尼斯疑魂 Don't Look Now](https://movie.douban.com/subject/1302294/),🌟7.2,"导演: 尼古拉斯·罗伊格, 主演: 朱莉·克里斯蒂 / 唐纳德·萨瑟兰 / 希拉丽·梅森, 类型: 剧情 / 悬疑 / 恐怖, 制片国家/地区: 英国/意大利, 年份: 1973",[Don't Look Now](https://www.imdb.com/title/tt0069995/),🌟7.1
Once upon a Time in the West,Directed by Sergio Leone,🎉046,1968,"Italy, USA",[西部往事 C'era una volta il West](https://movie.douban.com/subject/1293394/),🌟8.7,"导演: 赛尔乔·莱昂内, 主演: 亨利·方达 / 查尔斯·布朗森 / 克劳迪娅·卡汀娜, 类型: 剧情 / 犯罪 / 西部, 制片国家/地区: 意大利/美国, 年份: 1968",[Once Upon a Time in the West](https://www.imdb.com/title/tt0064116/),🌟8.5
Le Mépris,Directed by Jean-Luc Godard,🎉046,1963,"France, Italy",[蔑视 Le mépris](https://movie.douban.com/subject/1303555/),🌟7.7,"导演: 让-吕克·戈达尔, 主演: 碧姬·芭铎 / 米歇尔·皮科利 / 杰克·帕兰斯, 类型: 剧情 / 爱情, 制片国家/地区: 法国/意大利, 年份: 1963",[Contempt](https://www.imdb.com/title/tt0057345/),🌟7.5
L'Atalante,Directed by Jean Vigo,🎉046,1934,France,[亚特兰大号 L'Atalante](https://movie.douban.com/subject/1299433/),🌟8.1,"导演: 让·维果, 主演: 米歇尔·西蒙 / 迪塔·帕尔洛 / 让·达斯特, 类型: 剧情 / 爱情, 制片国家/地区: 法国, 年份: 1934",[L'Atalante](https://www.imdb.com/title/tt0024844/),🌟7.8
