Title 电影,Director 导演,Rank 排名,Year 年份,Region 地区,豆瓣电影,豆瓣打分,豆瓣信息,IMDb电影,IMDb打分
Modern Times,Directed by Charles Chaplin,🎉072,1936,USA,[摩登时代 Modern Times](https://movie.douban.com/subject/1294371/),🌟9.3,"导演: 查理·卓别林, 主演: 查理·卓别林 / 宝莲·高黛 / 亨利·伯格曼, 类型: 剧情 / 喜剧 / 爱情, 制片国家/地区: 美国, 年份: 1936",[Modern Times](https://www.imdb.com/title/tt0027977/),🌟8.5
The Red Shoes,"Directed by Michael Powell, Emeric Pressburger",🎉072,1948,United Kingdom,[红菱艳 The Red Shoes](https://movie.douban.com/subject/1299204/),🌟8.2,"导演: 迈克尔·鲍威尔 / 埃默里克·普雷斯伯格, 主演: 莫伊拉·希勒 / 安东·沃尔布鲁克 Anton Walbrook / 马留斯·戈尔林, 类型: 剧情 / 爱情 / 音乐, 制片国家/地区: 英国, 年份: 1948",[The Red Shoes](https://www.imdb.com/title/tt0040725/),🌟8.1
Touki Bouki,Directed by Djibril Diop Mambéty,🎉072,1973,Senegal,[土狼之旅 Touki Bouki](https://movie.douban.com/subject/1424576/),🌟7.6,"导演: 吉布里尔·迪奥普·曼贝蒂, 主演: Magaye Niang / Mareme Niang / Christoph Colomb, 类型: 剧情, 制片国家/地区: 塞内加尔, 年份: 1973",[Touki Bouki](https://www.imdb.com/title/tt0070820/),🌟7
Sans Soleil,Directed by Chris Marker,🎉072,1982,France,[日月无光 Sans soleil](https://movie.douban.com/subject/1401901/),🌟8.5,"导演: 克里斯·马克, 主演: 弗洛朗丝·德莱 / 阿丽尔·朵巴丝勒 / Riyoko Ikeda, 类型: 纪录片, 制片国家/地区: 法国, 年份: 1983",[Sans Soleil](https://www.imdb.com/title/tt0084628/),🌟7.8
News from Home,Directed by Chantal Akerman,🎉072,1976,"France, Belgium",[家乡的消息 News from Home](https://movie.douban.com/subject/1902009/),🌟8.0,"导演: 香特尔·阿克曼, 主演: 香特尔·阿克曼, 类型: 纪录片, 制片国家/地区: 法国/比利时/西德, 年份: 1976",[News from Home](https://www.imdb.com/title/tt0076452/),🌟7.3
Shoah,Directed by Claude Lanzmann,🎉072,1985,France,[浩劫 Shoah](https://movie.douban.com/subject/1303328/),🌟9.0,"导演: 克洛德·朗兹曼, 主演: 克洛德·朗兹曼 / 西蒙·斯雷尼 / 迈克尔·波迪克雷尼克, 类型: 纪录片 / 历史 / 战争, 制片国家/地区: 法国, 年份: 1985",[Shoah](https://www.imdb.com/title/tt0090015/),🌟8.7
The Searchers,Directed by John Ford,🎉072,1956,USA,[搜索者 The Searchers](https://movie.douban.com/subject/1292668/),🌟7.9,"导演: 约翰·福特, 主演: 约翰·韦恩 / 杰弗里·亨特 / 维拉·迈尔斯, 类型: 剧情 / 西部 / 冒险, 制片国家/地区: 美国, 年份: 1956",[The Searchers](https://www.imdb.com/title/tt0049730/),🌟7.8
Throne of Blood,Directed by Akira Kurosawa,🎉093,1957,Japan,[蜘蛛巢城 蜘蛛巣城](https://movie.douban.com/subject/1294827/),🌟8.5,"导演: 黑泽明, 主演: 三船敏郎 / 山田五十铃 / 志村乔, 类型: 剧情 / 历史, 制片国家/地区: 日本, 年份: 1957",[Throne of Blood](https://www.imdb.com/title/tt0050613/),🌟8.1
Eternal Sunshine of the Spotless Mind,Directed by Michel Gondry,🎉093,2004,USA,[暖暖内含光 Eternal Sunshine of the Spotless Mind](https://movie.douban.com/subject/1308777/),🌟8.5,"导演: 米歇尔·贡德里, 主演: 金·凯瑞 / 凯特·温丝莱特 / 伊利亚·伍德, 类型: 剧情 / 爱情 / 科幻, 制片国家/地区: 美国, 年份: 2004",[Eternal Sunshine of the Spotless Mind](https://www.imdb.com/title/tt0338013/),🌟8.3
Hidden,Directed by Michael Haneke,🎉093,2004,"France, Austria, Germany, Italy",[隐藏摄像机 Caché](https://movie.douban.com/subject/1438066/),🌟7.6,"导演: 迈克尔·哈内克, 主演: 丹尼尔·奥特伊 / 朱丽叶·比诺什 / 莫里斯·贝尼舒, 类型: 剧情 / 悬疑 / 惊悚, 制片国家/地区: 法国/奥地利/德国/意大利/美国, 年份: 2005",[Caché](https://www.imdb.com/title/tt0387898/),🌟7.3
Taste of Cherry,Directed by Abbas Kiarostami,🎉093,1997,Iran,[樱桃的滋味 طعم گیلاس](https://movie.douban.com/subject/1296177/),🌟8.1,"导演: 阿巴斯·基亚罗斯塔米, 主演: 赫玛永·厄沙迪 / 阿卜杜拉曼·巴赫里 / 阿夫欣·呼罗希德·巴赫蒂亚里, 类型: 剧情, 制片国家/地区: 法国/伊朗, 年份: 1997",[Taste of Cherry](https://www.imdb.com/title/tt0120265/),🌟7.7
Pickpocket,Directed by Robert Bresson,🎉093,1959,France,[扒手 Pickpocket](https://movie.douban.com/subject/1303559/),🌟8.3,"导演: 罗伯特·布列松, 主演: 马丁·拉萨尔 / 玛莉卡·格林 / Jean Pélégri, 类型: 剧情 / 犯罪, 制片国家/地区: 法国, 年份: 1959",[Pickpocket](https://www.imdb.com/title/tt0053168/),🌟7.6
The Colour of Pomegranates,Directed by Sergei Paradjanov,🎉093,1968,USSR,[石榴的颜色 Նռան գույնը](https://movie.douban.com/subject/1303542/),🌟8.7,"导演: 谢尔盖·帕拉杰诺夫, 主演: 索菲柯·齐阿乌列里 / 米尔克·阿尔克桑亚 / 维勒·加尔斯特亚, 类型: 剧情 / 传记 / 历史, 制片国家/地区: 苏联, 年份: 1969",[The Color of Pomegranates](https://www.imdb.com/title/tt0063555/),🌟7.6
The Conformist,Directed by Bernardo Bertolucci,🎉093,1970,"Italy, France, Federal Republic of Germany",[同流者 Il conformista](https://movie.douban.com/subject/1300955/),🌟8.6,"导演: 贝纳尔多·贝托鲁奇, 主演: 让-路易·特兰蒂尼昂 / 斯特法尼娅·桑德雷莉 / 加斯通·莫辛, 类型: 剧情, 制片国家/地区: 意大利/法国/西德, 年份: 1970",[The Conformist](https://www.imdb.com/title/tt0065571/),🌟7.9
Parasite,Directed by Bong Joon-ho,🎉093,2019,Republic of Korea,[寄生虫 기생충](https://movie.douban.com/subject/27010768/),🌟8.8,"导演: 奉俊昊, 主演: 宋康昊 / 李善均 / 曹汝贞, 类型: 剧情, 制片国家/地区: 韩国, 年份: 2019",[Parasite](https://www.imdb.com/title/tt6751668/),🌟8.5
Yi Yi,Directed by Edward Yang,🎉093,1999,"Taiwan, Japan",[一一](https://movie.douban.com/subject/1292434/),🌟9.1,"导演: 杨德昌, 主演: 吴念真 / 李凯莉 / 金燕玲, 类型: 剧情 / 爱情 / 家庭, 制片国家/地区: 中国台湾/日本, 年份: 2000",[Yi Yi: A One and a Two...](https://www.imdb.com/title/tt0244316/),🌟8.1
Moonlight,Directed by Barry Jenkins,🎉093,2016,USA,[月光男孩 Moonlight](https://movie.douban.com/subject/26648249/),🌟7.4,"导演: 巴里·詹金斯, 主演: 崔凡特·罗兹 / 安德烈·霍兰 / 马赫沙拉·阿里, 类型: 剧情 / 同性, 制片国家/地区: 美国, 年份: 2016",[Moonlight](https://www.imdb.com/title/tt4975722/),🌟7.4
Battleship Potemkin,Directed by Sergei M. Eisenstein,🎉093,1925,USSR,[战舰波将金号 Броненосец Потёмкин](https://movie.douban.com/subject/1293492/),🌟8.7,"导演: 谢尔盖·爱森斯坦, 主演: 亚历山大·安东诺夫 / 弗拉迪米尔·巴斯基 / 格里高利·亚历山德罗夫, 类型: 剧情 / 历史 / 战争, 制片国家/地区: 苏联, 年份: 1925",[Battleship Potemkin](https://www.imdb.com/title/tt0015648/),🌟7.9
Wanda,Directed by Barbara Loden,🎉093,1970,USA,[旺达 Wanda](https://movie.douban.com/subject/1855338/),🌟8.2,"导演: 芭芭拉·洛登, 主演: 芭芭拉·洛登 / 迈克尔·希金斯, 类型: 剧情 / 犯罪, 制片国家/地区: 美国, 年份: 1970",[Wanda](https://www.imdb.com/title/tt0067961/),🌟7.1
