Group 分类,Rank 排名,Title 电影,ID 豆瓣,Score 打分,Staff 人员,Region 地区
豆瓣 2020-评分最高华语电影,1,阳光普照 / 陽光普照,[30292777](https://movie.douban.com/subject/30292777/),8.6,钟孟宏 / 陈以文 / 柯淑勤,中国台湾
豆瓣 2020-评分最高华语电影,2,一秒钟,[30257787](https://movie.douban.com/subject/30257787/),7.6,张艺谋 / 张译 / 刘浩存,中国大陆
豆瓣 2020-评分最高华语电影,3,气球,[30204413](https://movie.douban.com/subject/30204413/),7.7,万玛才旦 / 索朗旺姆 / 金巴,中国大陆
豆瓣 2020-评分最高华语电影,4,八佰,[26754233](https://movie.douban.com/subject/26754233/),7.5,管虎 / 王千源 / 张译,中国大陆
豆瓣 2020-评分最高华语电影,5,热带雨,[30371819](https://movie.douban.com/subject/30371819/),7.5,陈哲艺 / 杨雁雁 / 许家乐,新加坡 中国台湾 中国大陆
豆瓣 2020-评分最高华语电影,6,金都,[30159567](https://movie.douban.com/subject/30159567/),7.7,黄绮琳 / 邓丽欣 / 朱栢康,中国香港
豆瓣 2020-评分最高华语电影,7,叔·叔,[33428622](https://movie.douban.com/subject/33428622/),7.6,杨曜恺 / 太保 / 袁富华,中国香港
豆瓣 2020-评分最高华语电影,8,半个喜剧,[30269016](https://movie.douban.com/subject/30269016/),7.3,周申 / 任素汐 / 吴昱翰,中国大陆
豆瓣 2020-评分最高华语电影,9,我和我的家乡,[35051512](https://movie.douban.com/subject/35051512/),7.0,宁浩 / 葛优 / 黄渤,中国大陆
豆瓣 2020-评分最高华语电影,10,夺冠,[30128916](https://movie.douban.com/subject/30128916/),7.1,陈可辛 / 巩俐 / 黄渤,中国大陆
 , , , , , , 
豆瓣 2020-评分最高外语电影,1,1917,[30252495](https://movie.douban.com/subject/30252495/),8.5,萨姆·门德斯 / 乔治·麦凯 / 迪恩-查尔斯·查普曼,美国 英国 印度 西班牙 加拿大 中国大陆
豆瓣 2020-评分最高外语电影,2,极速车王 / Ford v Ferrari,[6538866](https://movie.douban.com/subject/6538866/),8.5,詹姆斯·曼高德 / 马特·达蒙 / 克里斯蒂安·贝尔,美国
豆瓣 2020-评分最高外语电影,3,乔乔的异想世界 / Jojo Rabbit,[30170546](https://movie.douban.com/subject/30170546/),8.3,塔伊加·维迪提 / 罗曼·格里芬·戴维斯 / 托马辛·麦肯齐,美国 捷克 新西兰
豆瓣 2020-评分最高外语电影,4,黑水 / Dark Waters,[30331959](https://movie.douban.com/subject/30331959/),8.6,托德·海因斯 / 马克·鲁弗洛 / 安妮·海瑟薇,美国
豆瓣 2020-评分最高外语电影,5,绅士们 / The Gentlemen,[30211998](https://movie.douban.com/subject/30211998/),8.3,盖·里奇 / 马修·麦康纳 / 查理·汉纳姆,英国 美国
豆瓣 2020-评分最高外语电影,6,小妇人 / Little Women,[26348103](https://movie.douban.com/subject/26348103/),8.0,格蕾塔·葛韦格 / 西尔莎·罗南 / 艾玛·沃森,美国
