Title 电影,Rank 排名,Rank-2022,Director 导演,豆瓣电影,豆瓣打分,豆瓣信息,Year 年份,Region 地区,Genre 类型,IMDb Movie,IMDb Score
"Tree of Life, The",🎉196,🎉154,Terrence Malick,[生命之树 The Tree of Life](https://movie.douban.com/subject/2336735/),🌟7.1,泰伦斯·马力克 / 布拉德·皮特 / 西恩·潘 / 杰西卡·查斯坦 / 剧情 / 奇幻 / 家庭 / 美国 / 2011,2011,USA,Drama,[The Tree of Life](https://www.imdb.com/title/tt0478304/),🌟6.8
Nights of Cabiria,🎉197,🎉196,Federico Fellini,[卡比利亚之夜 Le notti di Cabiria](https://movie.douban.com/subject/1294781/),🌟9.1,费德里科·费里尼 / 朱丽叶塔·马西纳 / 弗朗索瓦·佩里埃 / 弗兰卡·马尔齐 / 剧情 / 意大利/法国 / 1957,1957,Italy-France,Drama,[Nights of Cabiria](https://www.imdb.com/title/tt0050783/),🌟8.1
"Salò, or the 120 Days of Sodom",🎉198,🎉201,Pier Paolo Pasolini,[](),🌟,,1975,Italy-France,Drama-Political-Horror,"[Salò, or the 120 Days of Sodom](https://www.imdb.com/title/tt0073650/)",🌟5.8
"Lady Eve, The",🎉199,🎉142,Preston Sturges,[淑女伊芙 The Lady Eve](https://movie.douban.com/subject/1303415/),🌟7.6,普莱斯顿·斯特奇斯 / 芭芭拉·斯坦威克 / 亨利·方达 / 查尔斯·科本 / 喜剧 / 犯罪 / 爱情 / 美国 / 1941,1941,USA,Romance-Comedy,[The Lady Eve](https://www.imdb.com/title/tt0033804/),🌟7.7
"Last Laugh, The",🎉200,🎉180,F.W. Murnau,[最卑贱的人 Der letzte Mann](https://movie.douban.com/subject/1307639/),🌟8.7,F·W·茂瑙 / 埃米尔·雅宁斯 / 梅丽· 戴尔沙夫特 / Max Hiller / 剧情 / 德国 / 1924,1924,Germany,Drama,[The Last Laugh](https://www.imdb.com/title/tt0015064/),🌟8
"Paris, Texas",🎉201,🎉233,Wim Wenders,"[德州巴黎 Paris, Texas](https://movie.douban.com/subject/1302061/)",🌟8.5,维姆·文德斯 / 哈利·戴恩·斯坦通 / 萨姆·贝瑞 / 伯恩哈德·维基 / 剧情 / 西德/法国/英国/美国 / 1984,1984,USA,Drama,"[Paris, Texas](https://www.imdb.com/title/tt0087884/)",🌟8.1
On the Waterfront,🎉202,🎉162,Elia Kazan,[码头风云 On the Waterfront](https://movie.douban.com/subject/1292521/),🌟7.9,伊利亚·卡赞 / 马龙·白兰度 / 卡尔·莫尔登 / 李·科布 / 犯罪 / 剧情 / 爱情 / 美国 / 1954,1954,USA,Drama-Crime,[On the Waterfront](https://www.imdb.com/title/tt0047296/),🌟8.1
Death in Venice,🎉203,🎉187,Luchino Visconti,[魂断威尼斯 Morte a Venezia](https://movie.douban.com/subject/1300912/),🌟8.2,卢基诺·维斯康蒂 / 德克·博加德 / 罗慕洛·瓦利 / 马克·伯恩斯 / 剧情 / 同性 / 意大利/法国 / 1971,1971,Italy,Drama,[Death in Venice](https://www.imdb.com/title/tt0067445/),🌟7.4
Vagabond,🎉204,🎉424,Agnès Varda,[天涯沦落女 Sans toit ni loi](https://movie.douban.com/subject/1292445/),🌟8.3,阿涅斯·瓦尔达 / 桑德里娜·博内尔 / Setti Ramdane / Francis Balchère / 剧情 / 法国 / 1985,1985,France,Drama,[Vagabond](https://www.imdb.com/title/tt0089960/),🌟7.7
News from Home,🎉205,🎉816,Chantal Akerman,[家乡的消息 News from Home](https://movie.douban.com/subject/1902009/),🌟8.0,香特尔·阿克曼 / 香特尔·阿克曼 / 纪录片 / 法国/比利时/西德 / 1976,1976,Belgium-France-West Germany,Documentary,[News from Home](https://www.imdb.com/title/tt0076452/),🌟7.3
King Kong,🎉206,🎉168,Merian C. & Ernest B. Schoedsack Cooper,[金刚 King Kong](https://movie.douban.com/subject/1298593/),🌟7.7,梅里安·C·库珀 / 欧内斯特·B·舍德萨克 / 菲伊·雷 / 罗伯特·阿姆斯特朗 / 布鲁斯·卡伯特 / 动作 / 奇幻 / 冒险 / 美国 / 1933,1933,USA,Fantasy-Adventure-Horror,[King Kong](https://www.imdb.com/title/tt0024216/),🌟7.9
"Life and Death of Colonel Blimp, The",🎉207,🎉208,Michael & Emeric Pressburger Powell,[百战将军 The Life and Death of Colonel Blimp](https://movie.douban.com/subject/1299816/),🌟7.8,迈克尔·鲍威尔 / 埃默里克·普雷斯伯格 / 罗杰·莱伍赛 / 黛博拉·蔻儿 / 安东·沃尔布鲁克 / 剧情 / 爱情 / 战争 / 英国 / 1943,1943,UK,War-Drama-Comedy,[The Life and Death of Colonel Blimp](https://www.imdb.com/title/tt0036112/),🌟8
Raiders of the Lost Ark,🎉208,🎉192,Steven Spielberg,[夺宝奇兵 Raiders of the Lost Ark](https://movie.douban.com/subject/1296717/),🌟7.9,史蒂文·斯皮尔伯格 / 哈里森·福特 / 凯伦·阿兰 / 保罗·弗里曼 / 动作 / 冒险 / 美国 / 1981,1981,USA,Adventure-Action,[Raiders of the Lost Ark](https://www.imdb.com/title/tt0082971/),🌟8.4
Wavelength,🎉209,🎉232,Michael Snow,[波长 Wavelength](https://movie.douban.com/subject/1296621/),🌟7.1,迈克尔·斯诺 / 荷利斯·法朗普顿 / Lyne Grossman / Naoto Nakazawa / 剧情 / 短片 / 加拿大/美国 / 1967,1967,Canada-USA,Avant-Garde,[Wavelength](https://www.imdb.com/title/tt0127354/),🌟5.4
"Great Dictator, The",🎉210,🎉177,Charles Chaplin,[大独裁者 The Great Dictator](https://movie.douban.com/subject/1295646/),🌟9.2,查理·卓别林 / 查理·卓别林 / 宝莲·高黛 / 杰克·奥克 / 喜剧 / 剧情 / 战争 / 美国 / 1940,1940,USA,War-Comedy-Political,[The Great Dictator](https://www.imdb.com/title/tt0032553/),🌟8.4
"Gleaners & I, The",🎉211,🎉369,Agnès Varda,[拾穗者 Les glaneurs et la glaneuse](https://movie.douban.com/subject/1301279/),🌟9.1,阿涅斯·瓦尔达 / Bodan Litnanski / 阿涅斯·瓦尔达 / François Wertheimer / 纪录片 / 法国 / 2000,2000,France,Documentary,[The Gleaners & I](https://www.imdb.com/title/tt0247380/),🌟7.7
Solaris,🎉212,🎉194,Andrei Tarkovsky,[飞向太空 Солярис](https://movie.douban.com/subject/1300977/),🌟8.7,安德烈·塔可夫斯基 / 纳塔莉亚·邦达尔丘克 / 多纳塔斯•巴尼奥尼斯 / 尤里·贾维特 / 剧情 / 科幻 / 悬疑 / 苏联 / 1972,1972,USSR,Science Fiction-Drama-Mystery,[Solaris](https://www.imdb.com/title/tt0069293/),🌟8
Wings of Desire,🎉213,🎉219,Wim Wenders,[柏林苍穹下 Der Himmel über Berlin](https://movie.douban.com/subject/1292504/),🌟8.6,维姆·文德斯 / 布鲁诺·冈茨 / 索尔维格·多马尔坦 / 奥托·山德尔 / 奇幻 / 剧情 / 爱情 / 西德/法国 / 1987,1987,West Germany-France,Fantasy-Drama,[Wings of Desire](https://www.imdb.com/title/tt0093191/),🌟7.9
Zero for Conduct,🎉214,🎉230,Jean Vigo,[操行零分 Zéro de conduite: Jeunes diables au collège](https://movie.douban.com/subject/1294518/),🌟8.1,让·维果 / 让·达斯特 / Robert le Flon / Du Verron / 喜剧 / 短片 / 剧情 / 法国 / 1933,1933,France,Short-Drama,[Zero for Conduct](https://www.imdb.com/title/tt0024803/),🌟7.2
Umberto D.,🎉215,🎉199,Vittorio De Sica,[风烛泪 Umberto D.](https://movie.douban.com/subject/1296097/),🌟8.6,维托里奥·德西卡 / 卡洛·巴蒂斯蒂 / 玛丽亚-皮娅·卡西利奥 / 丽娜·甄纳里 / 剧情 / 意大利 / 1952,1952,Italy,Drama,[Umberto D.](https://www.imdb.com/title/tt0045274/),🌟8.2
