Group 分类,Rank 排名,Title 电影,ID 豆瓣,Score 打分,Staff 人员,Region 地区
豆瓣2023评分最高华语电影,1,流浪地球2,[35267208](https://movie.douban.com/subject/35267208/),8.3,郭帆 / 吴京 刘德华,中国大陆
豆瓣2023评分最高华语电影,2,长安三万里,[36035676](https://movie.douban.com/subject/36035676/),8.3,谢君伟 邹靖 / 杨天翔 凌振赫,中国大陆
豆瓣2023评分最高华语电影,3,椒麻堂会,[27305997](https://movie.douban.com/subject/27305997/),8.6,邱炯炯 / 易思成 关南,中国香港 法国
豆瓣2023评分最高华语电影,4,关于我和鬼变成家人的那件事,[35698284](https://movie.douban.com/subject/35698284/),8.1,程伟豪 / 许光汉 林柏宏,中国台湾
豆瓣2023评分最高华语电影,5,宇宙探索编辑部,[34941536](https://movie.douban.com/subject/34941536/),8.0,孔大山 / 杨皓宇 艾丽娅,中国大陆
豆瓣2023评分最高华语电影,6,封神第一部：朝歌风云,[10604086](https://movie.douban.com/subject/10604086/),7.8,乌尔善 / 费翔 李雪健,中国大陆
豆瓣2023评分最高华语电影,7,我爱你！,[35818074](https://movie.douban.com/subject/35818074/),7.9,韩延 / 倪大红 惠英红,中国大陆 中国香港
豆瓣2023评分最高华语电影,8,三大队,[35208463](https://movie.douban.com/subject/35208463/),7.8,戴墨 / 张译 李晨,中国大陆
豆瓣2023评分最高华语电影,9,保你平安,[35457272](https://movie.douban.com/subject/35457272/),7.7,大鹏 / 大鹏 李雪琴,中国大陆
豆瓣2023评分最高华语电影,10,涉过愤怒的海,[33456512](https://movie.douban.com/subject/33456512/),7.5,曹保平 / 黄渤 周迅,中国大陆
 , , , , , , 
豆瓣2023评分最高外语电影,1,奥本海默,[35593344](https://movie.douban.com/subject/35593344/),8.8,克里斯托弗·诺兰 / 基里安·墨菲 艾米莉·布朗特,美国 英国
豆瓣2023评分最高外语电影,2,蜘蛛侠：纵横宇宙,[30391186](https://movie.douban.com/subject/30391186/),8.5,乔伊姆·多斯·桑托斯 凯普·鲍尔斯 贾斯汀·汤普森 / 沙梅克·摩尔 海莉·斯坦菲尔德,美国
豆瓣2023评分最高外语电影,3,银河护卫队3,[26258779](https://movie.douban.com/subject/26258779/),8.4,詹姆斯·古恩 / 克里斯·帕拉特 佐伊·索尔达娜,美国
豆瓣2023评分最高外语电影,4,坠落的审判,[35633650](https://movie.douban.com/subject/35633650/),8.5,茹斯汀·特里耶 / 桑德拉·惠勒 斯万·阿劳德,法国
豆瓣2023评分最高外语电影,5,芭比,[4058939](https://movie.douban.com/subject/4058939/),8.1,格蕾塔·葛韦格 / 玛格特·罗比 瑞恩·高斯林,美国 加拿大
豆瓣2023评分最高外语电影,6,穿靴子的猫2,[25868125](https://movie.douban.com/subject/25868125/),8.1,乔尔·克劳福德 贾努埃尔·梅尔卡多 / 安东尼奥·班德拉斯 萨尔玛·海耶克,美国
豆瓣2023评分最高外语电影,7,狗神,[35736202](https://movie.douban.com/subject/35736202/),8.2,吕克·贝松 / 卡莱伯·兰德里·琼斯 克里斯托弗·邓汉,法国 美国
豆瓣2023评分最高外语电影,8,巴比伦,[34467461](https://movie.douban.com/subject/34467461/),8.0,达米恩·查泽雷 / 布拉德·皮特 玛格特·罗比,美国
豆瓣2023评分最高外语电影,9,网络谜踪2,[34795100](https://movie.douban.com/subject/34795100/),7.9,尼古拉斯·D·约翰逊 威尔·梅瑞克 / 蒂姆·格里芬 艾娃·扎里亚·李,美国
豆瓣2023评分最高外语电影,10,伊尼舍林的报丧女妖,[34969348](https://movie.douban.com/subject/34969348/),7.9,马丁·麦克唐纳 / 科林·法瑞尔 布莱丹·格里森,爱尔兰 英国 美国
 , , , , , , 
豆瓣2023冷门佳片,1,俄罗斯方块,[26087471](https://movie.douban.com/subject/26087471/),8.0,乔·拜尔德 / 塔伦·埃哲顿 尼基塔·叶甫列莫夫,英国 美国
豆瓣2023冷门佳片,2,奈德,[35385225](https://movie.douban.com/subject/35385225/),8.3,伊丽莎白·柴·瓦沙瑞莉 金国威 / 安妮特·贝宁 朱迪·福斯特,美国
豆瓣2023冷门佳片,3,鲸,[35312421](https://movie.douban.com/subject/35312421/),7.9,达伦·阿伦诺夫斯基 / 布兰登·费舍 萨迪·辛克,美国
豆瓣2023冷门佳片,4,金币灰黄,[35869849](https://movie.douban.com/subject/35869849/),8.2,赛义德·鲁斯塔伊 / 塔拉内·阿里多斯蒂,伊朗
豆瓣2023冷门佳片,5,达尔瓦,[35354592](https://movie.douban.com/subject/35354592/),8.2,艾曼纽·妮可 / 塞尔达·萨姆森 亚历克西斯·曼蒂,法国 比利时
豆瓣2023冷门佳片,6,小士兵,[30472706](https://movie.douban.com/subject/30472706/),8.1,维多利亚·范纳西蒂娜 / 安德烈·安德烈耶夫 维克多·多勃朗拉沃夫,俄罗斯
豆瓣2023冷门佳片,7,本日公休,[34850550](https://movie.douban.com/subject/34850550/),8.1,傅天余 / 陆小芬 傅孟柏,中国台湾
豆瓣2023冷门佳片,8,脐带,[34948595](https://movie.douban.com/subject/34948595/),7.9,乔思雪 / 巴德玛 伊德尔,中国大陆
豆瓣2023冷门佳片,9,剧透预警,[30396388](https://movie.douban.com/subject/30396388/),8.0,迈克尔·肖沃特 / 吉姆·帕森斯 本·奥德里基,美国
豆瓣2023冷门佳片,10,自由之声,[30454682](https://movie.douban.com/subject/30454682/),7.8,亚历杭德罗·戈麦斯·蒙特维尔德 / 吉姆·卡维泽 比尔·坎普,美国
 , , , , , , 
豆瓣2023评分最高日本电影,1,鲭鱼罐头,[35700910](https://movie.douban.com/subject/35700910/),8.5,金泽知树 / 番家一路 原田琥之佑,日本
豆瓣2023评分最高日本电影,2,鱼之子,[35797506](https://movie.douban.com/subject/35797506/),8.1,冲田修一 / 能年玲奈 柳乐优弥,日本
豆瓣2023评分最高日本电影,3,河畔须臾,[35230630](https://movie.douban.com/subject/35230630/),8.1,荻上直子 / 松山研一 室毅,日本
豆瓣2023评分最高日本电影,4,萍水相腐檐廊下,[35316486](https://movie.douban.com/subject/35316486/),8.0,狩山俊辅 / 芦田爱菜 宫本信子,日本
豆瓣2023评分最高日本电影,5,惠子，凝视,[35727254](https://movie.douban.com/subject/35727254/),7.9,三宅唱 / 岸井雪乃 三浦友和,日本
豆瓣2023评分最高日本电影,6,千寻小姐,[35791966](https://movie.douban.com/subject/35791966/),7.7,今泉力哉 / 有村架纯 丰岛花,日本
豆瓣2023评分最高日本电影,7,今夜，就算这份爱恋从世界上消失,[35772573](https://movie.douban.com/subject/35772573/),7.8,三木孝浩 / 道枝骏佑 福本莉子,日本
豆瓣2023评分最高日本电影,8,完美的日子,[35902857](https://movie.douban.com/subject/35902857/),8.0,维姆·文德斯 / 役所广司 柄本时生,日本 德国
豆瓣2023评分最高日本电影,9,美丽的他电影版,[35907236](https://movie.douban.com/subject/35907236/),7.7,酒井麻衣 / 萩原利久 八木勇征,日本
豆瓣2023评分最高日本电影,10,赤脚鸣声,[35559560](https://movie.douban.com/subject/35559560/),7.7,工藤梨穂 / 佐々木詩音 諏訪珠理,日本
 , , , , , , 
豆瓣2023评分最高韩国电影,1,下一个素熙,[35739931](https://movie.douban.com/subject/35739931/),8.3,郑朱莉 / 金时恩 裴斗娜,韩国
豆瓣2023评分最高韩国电影,2,语义错误 电影版,[35913191](https://movie.douban.com/subject/35913191/),8.0,김수정 KIM Soo Jung / 朴栖含 朴宰灿,韩国
豆瓣2023评分最高韩国电影,3,过往人生,[34963356](https://movie.douban.com/subject/34963356/),7.6,席琳·宋 / 格蕾塔·李 刘台午,美国 韩国
豆瓣2023评分最高韩国电影,4,第八感,[35983210](https://movie.douban.com/subject/35983210/),7.6,白仁宇 维尔纳·杜·普莱西斯 / 林志燮 吴俊泽,韩国
豆瓣2023评分最高韩国电影,5,塔楼上,[36015057](https://movie.douban.com/subject/36015057/),7.4,洪常秀 / 权海骁 李慧英,韩国
 , , , , , , 
豆瓣2023评分最高喜剧片,1,银河护卫队3,[26258779](https://movie.douban.com/subject/26258779/),8.4,詹姆斯·古恩 / 克里斯·帕拉特 佐伊·索尔达娜,美国
豆瓣2023评分最高喜剧片,2,芭比,[4058939](https://movie.douban.com/subject/4058939/),8.1,格蕾塔·葛韦格 / 玛格特·罗比 瑞恩·高斯林,美国 加拿大
豆瓣2023评分最高喜剧片,3,关于我和鬼变成家人的那件事,[35698284](https://movie.douban.com/subject/35698284/),8.1,程伟豪 / 许光汉 林柏宏,中国台湾
豆瓣2023评分最高喜剧片,4,宇宙探索编辑部,[34941536](https://movie.douban.com/subject/34941536/),8.0,孔大山 / 杨皓宇 艾丽娅,中国大陆
豆瓣2023评分最高喜剧片,5,巴比伦,[34467461](https://movie.douban.com/subject/34467461/),8.0,达米恩·查泽雷 / 布拉德·皮特 玛格特·罗比,美国
 , , , , , , 
豆瓣2023评分最高爱情片,1,我爱你！,[35818074](https://movie.douban.com/subject/35818074/),7.9,韩延 / 倪大红 惠英红,中国大陆 中国香港
豆瓣2023评分最高爱情片,2,星条红与皇室蓝,[33406097](https://movie.douban.com/subject/33406097/),7.6,马修·洛佩兹 / 泰勒·扎克哈尔·佩雷斯 尼古拉斯·加利齐纳,美国
豆瓣2023评分最高爱情片,3,今夜，就算这份爱恋从世界上消失,[35772573](https://movie.douban.com/subject/35772573/),7.8,三木孝浩 / 道枝骏佑 福本莉子,日本
豆瓣2023评分最高爱情片,4,过往人生,[34963356](https://movie.douban.com/subject/34963356/),7.6,席琳·宋 / 格蕾塔·李 刘台午,美国 韩国
豆瓣2023评分最高爱情片,5,红色天空,[35221425](https://movie.douban.com/subject/35221425/),7.7,克里斯蒂安·佩措尔德 / 托马斯·舒伯特 葆拉·贝尔,德国
 , , , , , , 
豆瓣2023评分最高恐怖片,1,电锯惊魂10,[36116844](https://movie.douban.com/subject/36116844/),7.4,凯文·格劳特 / 托宾·贝尔 肖妮·史密斯,美国 墨西哥 加拿大
豆瓣2023评分最高恐怖片,2,祭屋出租,[36244313](https://movie.douban.com/subject/36244313/),7.3,索分·沙达菲斯 / 尼塔莎·吉拉尤吉恩 苏格拉瓦·卡那诺,泰国
