Group 分类,Rank 排名,Title 电影,ID 豆瓣,Score 打分,Staff 人员,Region 地区
豆瓣2021评分最高华语电影,1,雄狮少年,[35144311](https://movie.douban.com/subject/35144311/),8.3,孙海鹏 / 大昕 / 大雄,中国大陆
豆瓣2021评分最高华语电影,2,孤味,[34805873](https://movie.douban.com/subject/34805873/),8.0,许承杰 / 陈淑芳 / 谢盈萱,中国台湾
豆瓣2021评分最高华语电影,3,你好，李焕英,[34841067](https://movie.douban.com/subject/34841067/),7.7,贾玲 / 贾玲 / 张小斐,中国大陆
豆瓣2021评分最高华语电影,4,白蛇传·情,[34825976](https://movie.douban.com/subject/34825976/),8.0,张险峰 / 曾小敏 / 文汝清,中国大陆
豆瓣2021评分最高华语电影,5,同学麦娜丝,[34902639](https://movie.douban.com/subject/34902639/),7.9,黄信尧 / 施名帅 / 郑人硕,中国台湾
豆瓣2021评分最高华语电影,6,悬崖之上,[32493124](https://movie.douban.com/subject/32493124/),7.4,张艺谋 / 张译 / 于和伟,中国大陆 中国香港
豆瓣2021评分最高华语电影,7,吉祥如意,[35068230](https://movie.douban.com/subject/35068230/),7.7,大鹏 / 王吉祥 / 大鹏,中国大陆
豆瓣2021评分最高华语电影,8,无声,[34850598](https://movie.douban.com/subject/34850598/),7.8,柯贞年 / 陈妍霏 / 刘子铨,中国台湾
豆瓣2021评分最高华语电影,9,拆弹专家2,[30171424](https://movie.douban.com/subject/30171424/),7.4,邱礼涛 / 刘德华 / 刘青云,中国大陆 中国香港
豆瓣2021评分最高华语电影,10,扬名立万,[35422807](https://movie.douban.com/subject/35422807/),7.4,刘循子墨 / 尹正 / 邓家佳,中国大陆
 , , , , , , 
豆瓣2021评分最高外语电影,1,心灵奇旅,[24733428](https://movie.douban.com/subject/24733428/),8.7,彼特·道格特 / 杰米·福克斯 / 蒂娜·菲,美国
豆瓣2021评分最高外语电影,2,花束般的恋爱,[34874432](https://movie.douban.com/subject/34874432/),8.6,土井裕泰 / 菅田将晖 / 有村架纯,日本
豆瓣2021评分最高外语电影,3,困在时间里的父亲,[33432655](https://movie.douban.com/subject/33432655/),8.6,佛罗莱恩·泽勒 / 安东尼·霍普金斯 / 奥利维娅·科尔曼,英国 法国
豆瓣2021评分最高外语电影,4,芬奇,[26897885](https://movie.douban.com/subject/26897885/),8.4,米格尔·萨普什尼克 / 汤姆·汉克斯 / 卡莱伯·兰德里·琼斯,美国
豆瓣2021评分最高外语电影,5,扎克·施奈德版正义联盟,[35076714](https://movie.douban.com/subject/35076714/),8.1,扎克·施奈德 / 本·阿弗莱克 / 亨利·卡维尔,美国
豆瓣2021评分最高外语电影,6,波斯语课,[30466931](https://movie.douban.com/subject/30466931/),8.1,瓦迪姆·佩尔曼 / 纳威尔·佩雷兹·毕斯卡亚特 / 拉斯·艾丁格,俄罗斯 德国 白俄罗斯
豆瓣2021评分最高外语电影,7,X特遣队：全员集结,[26741632](https://movie.douban.com/subject/26741632/),8.0,詹姆斯·古恩 / 玛格特·罗比 / 伊德里斯·艾尔巴,美国 加拿大 英国
