序号,豆瓣电影,年份,豆瓣打分,豆瓣信息,IMDb电影,IMDb年份,IMDb打分,IMDb信息,烂番茄电影,烂番茄年份,烂番茄新鲜度
317,[搜索者 The Searchers](https://movie.douban.com/subject/1292668/),1956.0,7.9,导演: 约翰·福特; 类型: 剧情; 地区: 美国,[The Searchers](https://www.imdb.com/title/tt0049730/),1956,7.8,"119 min | Adventure, Drama, Western",[The Searchers](https://www.rottentomatoes.com/m/searchers/),1956,96%
318,[死囚越狱 Un Condamné à mort s'est échappé](https://movie.douban.com/subject/1303562/),1956.0,8.5,导演: 罗伯特·布列松; 类型: 剧情; 地区: 法国,[Biruma no tategoto](https://www.imdb.com/title/tt0049012/),1956,8,"116 min | Drama, Music, War",[The Burmese Harp](https://www.rottentomatoes.com/m/burmese_harp/),1956,91%
319,[苦雨恋春风 Written on the Wind](https://movie.douban.com/subject/1303302/),1956.0,7.3,导演: 道格拉斯·塞克; 类型: 剧情; 地区: 美国,[Forbidden Planet](https://www.imdb.com/title/tt0049223/),1956,7.5,"98 min | Adventure, Sci-Fi",[Forbidden Planet](https://www.rottentomatoes.com/m/9400/),1956,96%
320,[擒凶记 The Man Who Knew Too Much](https://movie.douban.com/subject/1301233/),1956.0,7.6,导演: 阿尔弗雷德·希区柯克; 类型: 剧情; 地区: 美国,[Written on the Wind](https://www.imdb.com/title/tt0049966/),1956,7.4,99 min | Drama,[Written on the Wind](https://www.rottentomatoes.com/m/written_on_the_wind/),1956,83%
321,[巨人传 Giant](https://movie.douban.com/subject/1298289/),1956.0,8.0,导演: 乔治·史蒂文斯; 类型: 剧情; 地区: 美国,[Un condamné à mort s'est échappé ou Le vent souffle où il veut](https://www.imdb.com/title/tt0049902/),1956,8.2,"101 min | Drama, Thriller, War",[A Man Escaped](https://www.rottentomatoes.com/m/man_escaped/),1956,100%
322,[天外魔花 Invasion of the Body Snatchers](https://movie.douban.com/subject/1296030/),1956.0,7.8,导演: 唐·希格尔; 类型: 恐怖; 地区: 美国,[Bigger Than Life](https://www.imdb.com/title/tt0049010/),1956,7.4,95 min | Drama,[Bigger Than Life](https://www.rottentomatoes.com/m/10007194-bigger_than_life/),1956,91%
323,[伸冤记 The Wrong Man](https://movie.douban.com/subject/1301234/),1956.0,7.5,导演: 阿尔弗雷德·希区柯克; 类型: 犯罪; 地区: 美国,[Invasion of the Body Snatchers](https://www.imdb.com/title/tt0049366/),1956,7.7,"80 min | Drama, Horror, Sci-Fi",[Invasion of the Body Snatchers](https://www.rottentomatoes.com/m/1010678-invasion_of_the_body_snatchers/),1956,98%
324,[高于生活 Bigger Than Life](https://movie.douban.com/subject/1855271/),1956.0,7.6,导演: 尼古拉斯·雷; 类型: 剧情; 地区: 美国,[Giant](https://www.imdb.com/title/tt0049261/),1956,7.6,"G | 201 min | Drama, Western",[Giant](https://www.rottentomatoes.com/m/giant/),1956,91%
325,[上流社会 High Society](https://movie.douban.com/subject/1299422/),1956.0,6.7,导演: 查尔斯·沃尔特斯; 类型: 喜剧; 地区: 美国,[The Wrong Man](https://www.imdb.com/title/tt0051207/),1956,7.4,"105 min | Drama, Film-Noir",[The Wrong Man](https://www.rottentomatoes.com/m/1024191-wrong_man/),1956,92%
326,[十诫 The Ten Commandments](https://movie.douban.com/subject/1293692/),1956.0,8.3,导演: 塞西尔·B·戴米尔; 类型: 冒险; 地区: 美国,[High Society](https://www.imdb.com/title/tt0049314/),1956,6.9,"111 min | Comedy, Musical, Romance",[High Society](https://www.rottentomatoes.com/m/high_society/),1956,82%
327,[大河之歌 অপরাজিত](https://movie.douban.com/subject/1306559/),1956.0,8.7,导演: 萨蒂亚吉特·雷伊; 类型: 剧情; 地区: 印度,[The Man Who Knew Too Much](https://www.imdb.com/title/tt0049470/),1956,7.4,"120 min | Drama, Thriller",[The Man Who Knew Too Much](https://www.rottentomatoes.com/m/the_man_who_knew_too_much_1956/),1956,87%
328,[十二怒汉 12 Angry Men](https://movie.douban.com/subject/1293182/),1957.0,9.4,导演: 西德尼·吕美特; 类型: 剧情; 地区: 美国,[Kumonosu-jô](https://www.imdb.com/title/tt0050613/),1957,8.1,110 min | Drama,[Throne of Blood](https://www.rottentomatoes.com/m/throne_of_blood/),1957,96%
329,[第七封印 Det sjunde inseglet](https://movie.douban.com/subject/1293234/),1957.0,8.5,导演: 英格玛·伯格曼; 类型: 剧情; 地区: 瑞典,[Paths of Glory](https://www.imdb.com/title/tt0050825/),1957,8.4,"88 min | Drama, War",[Paths of Glory](https://www.rottentomatoes.com/m/paths_of_glory/),1957,96%
330,[金玉盟 An Affair to Remember](https://movie.douban.com/subject/1293320/),1957.0,8.2,导演: 莱奥·麦卡雷; 类型: 喜剧; 地区: 美国,[An Affair to Remember](https://www.imdb.com/title/tt0050105/),1957,7.4,"115 min | Drama, Romance",[An Affair to Remember](https://www.rottentomatoes.com/m/affair_to_remember/),1957,65%
331,[野草莓 Smultronstället](https://movie.douban.com/subject/1293071/),1957.0,8.8,导演: 英格玛·伯格曼; 类型: 剧情; 地区: 瑞典,[Det sjunde inseglet](https://www.imdb.com/title/tt0050976/),1957,8.1,"96 min | Drama, Fantasy",[The Seventh Seal](https://www.rottentomatoes.com/m/seventh_seal/),1957,94%
332,[卡比利亚之夜 Le notti di Cabiria](https://movie.douban.com/subject/1294781/),1957.0,9.1,导演: 费德里科·费里尼; 类型: 剧情; 地区: 意大利/法国,[12 Angry Men](https://www.imdb.com/title/tt0050083/),1957,9,"96 min | Crime, Drama",[12 Angry Men](https://www.rottentomatoes.com/m/1000013-12_angry_men/),1957,100%
333,[蜘蛛巢城 蜘蛛巣城](https://movie.douban.com/subject/1294827/),1957.0,8.5,导演: 黑泽明; 类型: 剧情; 地区: 日本,[Smultronstället](https://www.imdb.com/title/tt0050986/),1957,8.1,"91 min | Drama, Romance",[Wild Strawberries](https://www.rottentomatoes.com/m/wild_strawberries/),1957,94%
