Group 分类,Rank 排名,Title 电影,ID 豆瓣,Score 打分,Staff 人员,Genre 类型
豆瓣2014最受关注的非院线电影,10,少年时代,[2209575](https://movie.douban.com/subject/2209575/),8.5,导演：理查德·林克莱特,类型：剧情 家庭
 , , , , , , 
豆瓣2014年度冷门佳片,1,另一个故乡,[22265121](https://movie.douban.com/subject/22265121/),8.5,导演：爱德嘉·莱兹,类型：剧情 历史
豆瓣2014年度冷门佳片,2,骄傲,[25740192](https://movie.douban.com/subject/25740192/),8.3,导演：马修·沃楚斯,类型：剧情 喜剧 同性
豆瓣2014年度冷门佳片,3,爱，简单,[20441632](https://movie.douban.com/subject/20441632/),8.3,导演：丹尼尔·里贝罗,类型：剧情 爱情 同性
豆瓣2014年度冷门佳片,4,夜行者,[25750969](https://movie.douban.com/subject/25750969/),8.3,导演：丹·吉尔罗伊,类型：剧情 犯罪 惊悚
豆瓣2014年度冷门佳片,5,冬眠,[21770915](https://movie.douban.com/subject/21770915/),8.2,导演：努里·比格·锡兰,类型：剧情
豆瓣2014年度冷门佳片,6,吸血鬼生活,[25794230](https://movie.douban.com/subject/25794230/),7.9,导演：杰梅奈·克莱门特 塔伊加·维迪提,类型：喜剧 奇幻 恐怖
豆瓣2014年度冷门佳片,7,一路有你,[25817712](https://movie.douban.com/subject/25817712/),8.0,导演：周青元,类型：剧情 喜剧 家庭
豆瓣2014年度冷门佳片,8,法官老爹,[10546747](https://movie.douban.com/subject/10546747/),8.0,导演：大卫·道金,类型：剧情
豆瓣2014年度冷门佳片,9,普罗旺斯的夏天,[25858604](https://movie.douban.com/subject/25858604/),8.4,导演：罗丝·博斯,类型：剧情 喜剧 家庭
豆瓣2014年度冷门佳片,10,教师日记,[25840484](https://movie.douban.com/subject/25840484/),7.8,导演：尼提瓦·塔拉吞,类型：喜剧 爱情
 , , , , , , 
豆瓣2014评分最高的韩国电影,1,辩护人,[21937445](https://movie.douban.com/subject/21937445/),9.2,导演：杨宇硕,类型：剧情
豆瓣2014评分最高的韩国电影,2,奇怪的她,[24879820](https://movie.douban.com/subject/24879820/),8.3,导演：黄东赫,类型：喜剧 奇幻
豆瓣2014评分最高的韩国电影,3,回家的路,[6080840](https://movie.douban.com/subject/6080840/),8.5,导演：方银振,类型：剧情 犯罪 家庭
豆瓣2014评分最高的韩国电影,4,夜间飞行,[25823035](https://movie.douban.com/subject/25823035/),8.3,导演：李宋喜一,类型：剧情 爱情 同性
豆瓣2014评分最高的韩国电影,5,走到尽头,[25766529](https://movie.douban.com/subject/25766529/),8.0,导演：金成勋,类型：动作 犯罪 惊悚
豆瓣2014评分最高的韩国电影,6,好朋友们,[25780578](https://movie.douban.com/subject/25780578/),7.6,导演：李道允,类型：剧情 犯罪
豆瓣2014评分最高的韩国电影,7,优雅的谎言,[23712691](https://movie.douban.com/subject/23712691/),7.5,导演：李翰,类型：剧情 悬疑
豆瓣2014评分最高的韩国电影,8,道熙呀,[25762566](https://movie.douban.com/subject/25762566/),7.8,导演：郑朱莉,类型：剧情
豆瓣2014评分最高的韩国电影,9,计划男,[24879816](https://movie.douban.com/subject/24879816/),7.4,导演：成时翕,类型：喜剧 音乐
豆瓣2014评分最高的韩国电影,10,雪国列车,[3071441](https://movie.douban.com/subject/3071441/),7.6,导演：奉俊昊,类型：剧情 动作 科幻
 , , , , , , 
豆瓣2014评分最高的日本电影,1,哪啊哪啊神去村,[24741412](https://movie.douban.com/subject/24741412/),8.6,导演：矢口史靖,类型：剧情 喜剧
豆瓣2014评分最高的日本电影,2,如父如子,[10571509](https://movie.douban.com/subject/10571509/),8.7,导演：是枝裕和,类型：剧情 家庭
豆瓣2014评分最高的日本电影,3,小小的家,[20389706](https://movie.douban.com/subject/20389706/),8.2,导演：山田洋次,类型：剧情 传记 历史 爱情 家庭
豆瓣2014评分最高的日本电影,4,少年H,[10540062](https://movie.douban.com/subject/10540062/),8.3,导演：降旗康男,类型：剧情
豆瓣2014评分最高的日本电影,5,向阳处的她,[20426995](https://movie.douban.com/subject/20426995/),7.9,导演：三木孝浩,类型：爱情
豆瓣2014评分最高的日本电影,6,神的病历簿2,[20445157](https://movie.douban.com/subject/20445157/),7.9,导演：深川荣洋,类型：剧情
豆瓣2014评分最高的日本电影,7,去见小洋葱的母亲,[11523496](https://movie.douban.com/subject/11523496/),7.6,导演：森崎东,类型：剧情 喜剧 家庭
豆瓣2014评分最高的日本电影,8,三分之一,[21339392](https://movie.douban.com/subject/21339392/),7.7,导演：品川祐,类型：剧情 喜剧
豆瓣2014评分最高的日本电影,9,白雪公主杀人事件,[24858414](https://movie.douban.com/subject/24858414/),7.5,导演：中村义洋,类型：剧情 悬疑
豆瓣2014评分最高的日本电影,10,地狱为何恶劣,[19955790](https://movie.douban.com/subject/19955790/),7.6,导演：园子温,类型：剧情 喜剧
 , , , , , , 
豆瓣2014评分最高的欧洲电影,1,时空恋旅人,[10577869](https://movie.douban.com/subject/10577869/),8.8,导演：理查德·柯蒂斯,类型：喜剧 爱情 奇幻
