Title 电影,Rank 排名,Rank-2022,Director 导演,豆瓣电影,豆瓣打分,豆瓣信息,Year 年份,Region 地区,Genre 类型,IMDb Movie,IMDb Score
"Big Lebowski, The",🎉261,🎉214,Joel & Ethan Coen Coen,[谋杀绿脚趾 The Big Lebowski](https://movie.douban.com/subject/1300044/),🌟7.7,乔尔·科恩 / 伊桑·科恩 / 杰夫·布里吉斯 / 约翰·古德曼 / 朱丽安·摩尔 / 喜剧 / 犯罪 / 美国/英国 / 1998,1998,USA-UK,Comedy-Crime,[The Big Lebowski](https://www.imdb.com/title/tt0118715/),🌟8.1
"Cabinet of Dr. Caligari, The",🎉262,🎉215,Robert Wiene,[卡里加里博士的小屋 Das Cabinet des Dr. Caligari](https://movie.douban.com/subject/1292547/),🌟8.9,罗伯特·维内 / 维尔纳·克劳斯 / 康拉德·韦特 / 弗里德里希·费赫尔 / 犯罪 / 悬疑 / 恐怖 / 德国 / 1920,1920,Germany,Horror-Fantasy,[The Cabinet of Dr. Caligari](https://www.imdb.com/title/tt0010323/),🌟8
"Story of the Last Chrysanthemums, The",🎉263,🎉267,Kenji Mizoguchi,[残菊物语 殘菊物語](https://movie.douban.com/subject/1293329/),🌟8.5,沟口健二 / 花柳章太郎 / 森赫子 / 高田浩吉 / 剧情 / 日本 / 1939,1939,Japan,Romance-Drama,[The Story of the Last Chrysanthemum](https://www.imdb.com/title/tt0032156/),🌟7.8
Heat,🎉264,🎉308,Michael Mann,[盗火线 Heat](https://movie.douban.com/subject/1295686/),🌟8.5,迈克尔·曼 / 阿尔·帕西诺 / 罗伯特·德尼罗 / 方·基默 / 剧情 / 动作 / 犯罪 / 惊悚 / 美国 / 1995,1995,USA,Thriller-Drama-Crime,[Heat](https://www.imdb.com/title/tt0113277/),🌟8.3
Uncle Boonmee Who Can Recall His Past Lives,🎉265,🎉244,Apichatpong Weerasethakul,[能召回前世的布米叔叔 ลุงบุญมีระลึกชาติ](https://movie.douban.com/subject/4280102/),🌟7.4,阿彼察邦·韦拉斯哈古 / 萨那帕卡·塞塞玛 / 金吉拉·潘帕斯 / 萨卡达·卡温巴迪 / 剧情 / 奇幻 / 泰国/英国/法国/德国/西班牙/荷兰 / 2010,2010,Thailand-UK-France-Germany-Spain-Netherlands,Drama-Fantasy,[Uncle Boonmee Who Can Recall His Past Lives](https://www.imdb.com/title/tt1588895/),🌟6.7
Black Girl,🎉266,🎉890,Ousmane Sembene,[黑女孩 La Noire de...](https://movie.douban.com/subject/2060678/),🌟7.3,乌斯曼·塞姆班 / Mbissine Thérèse Diop / 阿内-玛丽·耶利内克 / 罗贝尔·方丹 / 剧情 / 塞内加尔/法国 / 1966,1966,Senegal-France,Drama,[Black Girl](https://www.imdb.com/title/tt0060758/),🌟7.4
"Graduate, The",🎉267,🎉211,Mike Nichols,[毕业生 The Graduate](https://movie.douban.com/subject/1292271/),🌟8.0,迈克·尼科尔斯 / 安妮·班克罗夫特 / 达斯汀·霍夫曼 / 凯瑟琳·罗斯 / 剧情 / 喜剧 / 爱情 / 美国 / 1967,1967,USA,Romance-Drama-Comedy,[The Graduate](https://www.imdb.com/title/tt0061722/),🌟8
"Treasure of the Sierra Madre, The",🎉268,🎉239,John Huston,[碧血金沙 The Treasure of the Sierra Madre](https://movie.douban.com/subject/1292516/),🌟8.6,约翰·休斯顿 / 亨弗莱·鲍嘉 / 沃尔特·休斯顿 / 提姆·霍尔特 / 剧情 / 西部 / 冒险 / 美国 / 1948,1948,USA,Adventure-Drama,[The Treasure of the Sierra Madre](https://www.imdb.com/title/tt0040897/),🌟8.2
"Shop Around the Corner, The",🎉269,🎉259,Ernst Lubitsch,[街角的商店 The Shop Around the Corner](https://movie.douban.com/subject/1299166/),🌟8.6,恩斯特·刘别谦 / 玛格里特·苏利文 / 詹姆斯·斯图尔特 / 弗兰克·摩根 / 喜剧 / 爱情 / 剧情 / 美国 / 1940,1940,USA,Romance-Comedy,[The Shop Around the Corner](https://www.imdb.com/title/tt0033045/),🌟8
Night and Fog,🎉270,🎉182,Alain Resnais,[夜与雾 Nuit et brouillard](https://movie.douban.com/subject/1298270/),🌟9.3,阿伦·雷乃 / 米歇尔·布凯 / 纪录片 / 短片 / 历史 / 战争 / 法国 / 1956,1955,France,War-Documentary-Short,[Night and Fog](https://www.imdb.com/title/tt0048434/),🌟8.6
Fargo,🎉271,🎉200,Joel & Ethan Coen Coen,[冰血暴 Fargo](https://movie.douban.com/subject/1292067/),🌟8.0,乔尔·科恩 / 威廉姆·H·梅西 / 史蒂夫·布西密 / 彼得·斯特曼 / 犯罪 / 剧情 / 惊悚 / 美国/英国 / 1996,1996,USA,Drama-Crime-Comedy,[Fargo](https://www.imdb.com/title/tt0116282/),🌟8.1
F for Fake,🎉272,🎉253,Orson Welles,[赝品 Vérités et mensonges](https://movie.douban.com/subject/1440610/),🌟8.2,奥逊·威尔斯 / 奥逊·威尔斯 / Oja Kodar / 约瑟夫·科顿 / 纪录片 / 法国/伊朗/西德 / 1973,1973,France-Iran-West Germany,Documentary-Avant-Garde,[F for Fake](https://www.imdb.com/title/tt0072962/),🌟7.7
"Green Ray, The",🎉273,🎉325,Eric Rohmer,[绿光 Le rayon vert](https://movie.douban.com/subject/1294039/),🌟8.1,埃里克·侯麦 / 艾琳.申科布莱恩 / 玛丽·里维埃 / 碧翠丝·罗曼德 / 剧情 / 爱情 / 法国 / 1986,1986,France,Romance-Drama,[The Green Ray](https://www.imdb.com/title/tt0091830/),🌟7.6
Throne of Blood,🎉274,🎉289,Akira Kurosawa,[蜘蛛巢城 蜘蛛巣城](https://movie.douban.com/subject/1294827/),🌟8.5,黑泽明 / 三船敏郎 / 山田五十铃 / 志村乔 / 剧情 / 历史 / 日本 / 1957,1957,Japan,Drama-War,[Throne of Blood](https://www.imdb.com/title/tt0050613/),🌟8.1
Day of Wrath,🎉275,🎉263,Carl Theodor Dreyer,[复仇之日 Vredens dag](https://movie.douban.com/subject/1305896/),🌟8.3,卡尔·西奥多·德莱叶 / Thorkild Roose / Lisbeth Movin / Preben Lerdorff Rye / 剧情 / 恐怖 / 爱情 / 丹麦 / 1943,1943,Denmark,Drama,[Day of Wrath](https://www.imdb.com/title/tt0036506/),🌟8.1
Three Colours: Red,🎉276,🎉275,Krzysztof Kieslowski,[蓝白红三部曲之红 Trois couleurs: Rouge](https://movie.douban.com/subject/1292047/),🌟8.7,克日什托夫·基耶斯洛夫斯基 / 伊莲娜·雅各布 / 让-路易·特兰蒂尼昂 / 弗雷德里奎·费德 / 剧情 / 爱情 / 悬疑 / 法国/波兰/瑞士 / 1994,1994,France-Switzerland-Poland,Drama,[Three Colors: Red](https://www.imdb.com/title/tt0111495/),🌟8.1
All That Heaven Allows,🎉277,🎉372,Douglas Sirk,[深锁春光一院愁 All That Heaven Allows](https://movie.douban.com/subject/1303345/),🌟7.5,道格拉斯·塞克 / 简·怀曼 / 罗克·赫德森 / 阿格妮丝·摩尔海德 / 剧情 / 爱情 / 美国 / 1955,1955,USA,Romance-Drama,[All That Heaven Allows](https://www.imdb.com/title/tt0047811/),🌟7.6
"Ascent, The",🎉278,🎉590,Larisa Shepitko,[上升 Восхождение](https://movie.douban.com/subject/1303255/),🌟8.1,拉莉萨·舍皮琴科 / Boris Plotnikov / Vladimir Gostyukhin / 剧情 / 战争 / 苏联 / 1977,1976,USSR,War-Drama,[The Ascent](https://www.imdb.com/title/tt0075404/),🌟8.2
"Goodbye, Dragon Inn",🎉279,🎉556,Tsai Ming-liang,[不散](https://movie.douban.com/subject/1304862/),🌟7.8,蔡明亮 / 李康生 / 杨贵媚 / 石隽 / 剧情 / 中国台湾 / 2003,2003,Taiwan,Drama-Comedy,"[Goodbye, Dragon Inn](https://www.imdb.com/title/tt0377556/)",🌟7.1
Pandora's Box,🎉280,🎉292,G.W. Pabst,[潘多拉的魔盒 Die Büchse der Pandora](https://movie.douban.com/subject/1401368/),🌟8.2,G·W·帕布斯特 / 露易丝·布鲁克斯 / 弗里茨·科特讷 / 弗朗西斯·莱德雷尔 / 犯罪 / 剧情 / 爱情 / 德国 / 1929,1929,Germany,Drama-Crime-Romance,[Pandora's Box](https://www.imdb.com/title/tt0018737/),🌟7.8
Eyes Wide Shut,🎉281,🎉270,Stanley Kubrick,[大开眼戒 Eyes Wide Shut](https://movie.douban.com/subject/1300275/),🌟8.1,斯坦利·库布里克 / 汤姆·克鲁斯 / 妮可·基德曼 / 麦迪逊·埃金顿 / 剧情 / 悬疑 / 惊悚 / 情色 / 英国/美国 / 1999,1999,USA-UK,Drama-Mystery-Thriller,[Eyes Wide Shut](https://www.imdb.com/title/tt0120663/),🌟7.5
Groundhog Day,🎉282,🎉227,Harold Ramis,[土拨鼠之日 Groundhog Day](https://movie.douban.com/subject/1300613/),🌟8.6,哈罗德·雷米斯 / 比尔·默瑞 / 安迪·麦克道威尔 / 克里斯·艾略特 / 剧情 / 喜剧 / 爱情 / 奇幻 / 美国 / 1993,1993,USA,Romance-Fantasy-Comedy,[Groundhog Day](https://www.imdb.com/title/tt0107048/),🌟8
Sweet Smell of Success,🎉283,🎉220,Alexander Mackendrick,[成功的滋味 Sweet Smell of Success](https://movie.douban.com/subject/1302808/),🌟7.8,亚历山大·麦肯德里克 / 伯特·兰卡斯特 / 托尼·柯蒂斯 / 苏珊·哈里森 / 剧情 / 黑色电影 / 美国 / 1957,1957,USA,Drama,[Sweet Smell of Success](https://www.imdb.com/title/tt0051036/),🌟8
2 or 3 Things I Know About Her,🎉284,🎉256,Jean-Luc Godard,[我略知她一二 2 ou 3 choses que je sais d'elle](https://movie.douban.com/subject/1300964/),🌟7.5,让-吕克·戈达尔 / 安妮·杜普蕾 / 玛丽娜·维拉迪 / Joseph Gehrard / 喜剧 / 剧情 / 法国 / 1967,1967,France,Drama,[2 or 3 Things I Know About Her](https://www.imdb.com/title/tt0060304/),🌟6.5
"Exorcist, The",🎉285,🎉202,William Friedkin,[驱魔人 The Exorcist](https://movie.douban.com/subject/1293755/),🌟7.7,威廉·弗莱德金 / 艾伦·伯斯汀 / 马克斯·冯·叙多夫 / 李·科布 / 恐怖 / 美国 / 1973,1973,USA,Horror,[The Exorcist](https://www.imdb.com/title/tt0070047/),🌟8.1
Cinema Paradiso,🎉286,🎉273,Giuseppe Tornatore,[天堂电影院 Nuovo Cinema Paradiso](https://movie.douban.com/subject/1291828/),🌟9.2,朱塞佩·托纳多雷 / 菲利普·努瓦雷 / 萨瓦特利·卡西欧 / 雅克·贝汉 / 剧情 / 爱情 / 意大利/法国 / 1988,1988,Italy-France,Drama,[Cinema Paradiso](https://www.imdb.com/title/tt0095765/),🌟8.5
Taste of Cherry,🎉287,🎉390,Abbas Kiarostami,[樱桃的滋味 طعم گیلاس](https://movie.douban.com/subject/1296177/),🌟8.1,阿巴斯·基亚罗斯塔米 / 赫玛永·厄沙迪 / 阿卜杜拉曼·巴赫里 / 阿夫欣·呼罗希德·巴赫蒂亚里 / 剧情 / 法国/伊朗 / 1997,1997,Iran,Drama,[Taste of Cherry](https://www.imdb.com/title/tt0120265/),🌟7.7
My Night at Maud's,🎉288,🎉266,Eric Rohmer,[慕德家一夜 Ma nuit chez Maud](https://movie.douban.com/subject/1296283/),🌟8.3,埃里克·侯麦 / 让-路易·特兰蒂尼昂 / 弗兰西丝·法比安 / 玛丽-克里斯汀·巴洛特 / 剧情 / 爱情 / 法国 / 1969,1969,France,Romance-Drama,[My Night at Maud's](https://www.imdb.com/title/tt0064612/),🌟7.8
India Song,🎉289,🎉501,Marguerite Duras,[印度之歌 India Song](https://movie.douban.com/subject/1298347/),🌟7.4,玛格丽特·杜拉斯 / 德菲因·塞里格 / 迈克尔·朗斯代尔 / 马修·加里瑞 / 剧情 / 爱情 / 法国 / 1975,1975,France,Drama,[India Song](https://www.imdb.com/title/tt0073166/),🌟6.2
All About My Mother,🎉290,🎉301,Pedro Almodóvar,[关于我母亲的一切 Todo sobre mi madre](https://movie.douban.com/subject/1291937/),🌟8.6,佩德罗·阿莫多瓦 / 塞西莉亚·罗特 / 玛丽萨·帕雷德斯 / 坎德拉·佩尼亚 / 剧情 / 西班牙/法国 / 1999,1999,Spain-France,Drama-Comedy,[All About My Mother](https://www.imdb.com/title/tt0185125/),🌟7.8
"Ciénaga, La",🎉291,🎉604,Lucrecia Martel,[沼泽 La Ciénaga](https://movie.douban.com/subject/1420225/),🌟7.9,卢奎西亚·马特尔 / 梅赛黛斯·莫朗 / 格拉谢拉·博尔赫斯 / 马丁·艾德赫米安 / 剧情 / 阿根廷/法国/西班牙 / 2001,2001,Argentina-France-Spain,Drama-Comedy,[La Ciénaga](https://www.imdb.com/title/tt0240419/),🌟7
Paths of Glory,🎉292,🎉236,Stanley Kubrick,[光荣之路 Paths of Glory](https://movie.douban.com/subject/1292969/),🌟9.1,斯坦利·库布里克 / 柯克·道格拉斯 / 拉尔夫·米克 / 阿道夫·门吉欧 / 剧情 / 战争 / 美国 / 1957,1957,USA,War-Drama,[Paths of Glory](https://www.imdb.com/title/tt0050825/),🌟8.4
"Big Sleep, The",🎉293,🎉296,Howard Hawks,[夜长梦多 The Big Sleep](https://movie.douban.com/subject/1293352/),🌟7.3,霍华德·霍克斯 / 亨弗莱·鲍嘉 / 劳伦·白考尔 / 约翰·里德格利 / 犯罪 / 黑色电影 / 悬疑 / 惊悚 / 美国 / 1946,1946,USA,Mystery-Crime,[The Big Sleep](https://www.imdb.com/title/tt0038355/),🌟7.9
"Sacrifice, The",🎉294,🎉309,Andrei Tarkovsky,[牺牲 Offret](https://movie.douban.com/subject/1294531/),🌟8.8,安德烈·塔可夫斯基 / 厄兰·约瑟夫森 / 苏珊·弗利特伍德 / 艾伦·埃德渥 / 剧情 / 瑞典/法国/英国 / 1986,1986,France-Sweden,Drama,[The Sacrifice](https://www.imdb.com/title/tt0091670/),🌟7.9
Mean Streets,🎉295,🎉262,Martin Scorsese,[穷街陋巷 Mean Streets](https://movie.douban.com/subject/1293511/),🌟7.6,马丁·斯科塞斯 / 罗伯特·德尼罗 / 哈威·凯特尔 / 大卫·普罗瓦尔 / 犯罪 / 剧情 / 美国 / 1973,1973,USA,Drama-Crime,[Mean Streets](https://www.imdb.com/title/tt0070379/),🌟7.2
Floating Clouds,🎉296,🎉252,Mikio Naruse,[浮云 浮雲](https://movie.douban.com/subject/1298870/),🌟8.6,成濑巳喜男 / 高峰秀子 / 森雅之 / 冈田茉莉子 / 剧情 / 爱情 / 日本 / 1955,1955,Japan,Romance-Drama,[Floating Clouds](https://www.imdb.com/title/tt0048757/),🌟7.6
"Music Room, The",🎉297,🎉293,Satyajit Ray,[音乐室 জলসাঘর](https://movie.douban.com/subject/1440613/),🌟8.2,萨蒂亚吉特·雷伊 / Chhabi Biswas / Padmadevi / Pinaki Sengupta / 剧情 / 音乐 / 印度 / 1958,1958,India,Drama,[The Music Room](https://www.imdb.com/title/tt0051792/),🌟7.9
Back to the Future,🎉298,🎉285,Robert Zemeckis,[回到未来 Back to the Future](https://movie.douban.com/subject/1300555/),🌟8.8,罗伯特·泽米吉斯 / 迈克尔·J·福克斯 / 克里斯托弗·洛伊德 / 莉·汤普森 / 喜剧 / 科幻 / 冒险 / 美国 / 1985,1985,USA,Science Fiction-Comedy,[Back to the Future](https://www.imdb.com/title/tt0088763/),🌟8.5
Unforgiven,🎉299,🎉210,Clint Eastwood,[不可饶恕 Unforgiven](https://movie.douban.com/subject/1293566/),🌟8.5,克林特·伊斯特伍德 / 克林特·伊斯特伍德 / 吉恩·哈克曼 / 摩根·弗里曼 / 剧情 / 西部 / 美国 / 1992,1992,USA,Western,[Unforgiven](https://www.imdb.com/title/tt0105695/),🌟8.2
Terra em Transe,🎉300,🎉306,Glauber Rocha,[痛苦的大地 Terra em Transe](https://movie.douban.com/subject/1791033/),🌟7.8,Glauber Rocha / Jardel Filho / Paulo Autran / José Lewgoy / 剧情 / 巴西 / 1967,1967,Brazil,Drama-Political,[Entranced Earth](https://www.imdb.com/title/tt0062352/),🌟7.3
"Distant Voices, Still Lives",🎉301,🎉271,Terence Davies,"[远方的声音 Distant Voices, Still Lives](https://movie.douban.com/subject/1305878/)",🌟7.6,特伦斯·戴维斯 / Lorraine Ashbourne / 吉恩·波特 / Carl Chase / 剧情 / 音乐 / 家庭 / 英国 / 1988,1988,UK,Drama,"[Distant Voices, Still Lives](https://www.imdb.com/title/tt0095037/)",🌟7.4
Army of Shadows,🎉302,🎉352,Jean-Pierre Melville,[影子部队 L'armée des ombres](https://movie.douban.com/subject/1466419/),🌟8.6,让-皮埃尔·梅尔维尔 / 利诺·文图拉 / 保罗·默里斯 / 让-皮埃尔·卡塞尔 / 剧情 / 战争 / 法国/意大利 / 1969,1969,France-Italy,War-Drama,[Army of Shadows](https://www.imdb.com/title/tt0064040/),🌟8.1
"Verdugo, El",🎉303,🎉269,Luis García Berlanga,[刽子手 El Verdugo](https://movie.douban.com/subject/1485059/),🌟8.0,路易斯·加西亚·贝尔兰加 / 尼诺·曼弗雷迪 / 埃玛·佩内利亚 / 何塞·伊斯贝尔特 / 剧情 / 喜剧 / 西班牙/意大利 / 1963,1963,Spain-Italy,Drama-Comedy,[The Executioner](https://www.imdb.com/title/tt0057643/),🌟7.9
Nanook of the North,🎉304,🎉235,Robert Flaherty,[北方的纳努克 Nanook of the North](https://movie.douban.com/subject/1292735/),🌟8.5,罗伯特·弗拉哈迪 / Allakariallak / Nyla / 纪录片 / 法国 / 1922,1922,USA,Documentary,[Nanook of the North](https://www.imdb.com/title/tt0013427/),🌟7.6
Happy Together,🎉305,🎉343,Wong Kar-wai,[春光乍泄 春光乍洩](https://movie.douban.com/subject/1292679/),🌟9.0,王家卫 / 张国荣 / 梁朝伟 / 张震 / 剧情 / 爱情 / 同性 / 中国香港/日本/韩国 / 1997,1997,Hong Kong,Romance-Drama,[Happy Together](https://www.imdb.com/title/tt0118845/),🌟7.7
Melancholia,🎉306,🎉321,Lars von Trier,[忧郁症 Melancholia](https://movie.douban.com/subject/4086853/),🌟7.1,拉斯·冯·提尔 / 克斯汀·邓斯特 / 夏洛特·甘斯布 / 基弗·萨瑟兰 / 剧情 / 科幻 / 惊悚 / 丹麦/瑞典/法国/德国 / 2011,2011,Denmark-Sweden-France-Germany,Drama-Science Fiction,[Melancholia](https://www.imdb.com/title/tt1527186/),🌟7.1
Charulata,🎉307,🎉477,Satyajit Ray,[孤独的妻子 চারুলতা](https://movie.douban.com/subject/1468782/),🌟7.8,萨蒂亚吉特·雷伊 / 松米特拉·查特吉 / 马达比·慕克吉 / 沙伊伦·慕克吉 / 剧情 / 爱情 / 印度 / 1964,1964,India,Romance-Drama,[Charulata](https://www.imdb.com/title/tt0057935/),🌟8.1
Faces,🎉308,🎉264,John Cassavetes,[面孔 Faces](https://movie.douban.com/subject/1292644/),🌟8.0,约翰·卡萨维蒂 / 约翰·马利 / 琳恩·卡林 / 吉娜·罗兰兹 / 剧情 / 美国 / 1968,1968,USA,Drama,[Faces](https://www.imdb.com/title/tt0062952/),🌟7.4
"World of Apu, The",🎉309,🎉334,Satyajit Ray,[大树之歌 অপুর সংসার](https://movie.douban.com/subject/1295720/),🌟8.7,萨蒂亚吉特·雷伊 / 松米特拉·查特吉 / 莎米拉·泰戈尔 / Alok Chakravarty / 剧情 / 印度 / 1959,1959,India,Drama,[The World of Apu](https://www.imdb.com/title/tt0052572/),🌟8.5
Mr. Hulot's Holiday,🎉310,🎉257,Jacques Tati,[于洛先生的假期 Les vacances de Monsieur Hulot](https://movie.douban.com/subject/1305790/),🌟8.0,雅克·塔蒂 / 雅克·塔蒂 / 娜塔莉·帕斯考德 / 米舍利娜·罗拉 / 喜剧 / 法国 / 1953,1953,France,Comedy,[Monsieur Hulot's Holiday](https://www.imdb.com/title/tt0046487/),🌟7.3
"Maltese Falcon, The",🎉311,🎉258,John Huston,[马耳他之鹰 The Maltese Falcon](https://movie.douban.com/subject/1297874/),🌟7.4,约翰·休斯顿 / 亨弗莱·鲍嘉 / 玛丽·阿斯特 / 格拉黛丝·乔治 / 犯罪 / 黑色电影 / 悬疑 / 美国 / 1941,1941,USA,Mystery-Crime,[The Maltese Falcon](https://www.imdb.com/title/tt0033870/),🌟8
Freaks,🎉312,🎉265,Tod Browning,[畸形人 Freaks](https://movie.douban.com/subject/1295942/),🌟7.9,托德·布朗宁 / 华莱士·福特 / 丽拉·海厄姆斯 / 奥尔加·巴古拉诺娃 / 剧情 / 恐怖 / 美国 / 1932,1932,USA,Horror-Drama,[Freaks](https://www.imdb.com/title/tt0022913/),🌟7.8
Kings of the Road,🎉313,🎉287,Wim Wenders,[公路之王 Im Lauf der Zeit](https://movie.douban.com/subject/1437023/),🌟8.4,维姆·文德斯 / 吕迪格·福格勒 / 汉斯·齐施勒 / 丽萨·克鲁泽 / 剧情 / 西德 / 1976,1976,West Germany,Drama,[Kings of the Road](https://www.imdb.com/title/tt0073152/),🌟7.7
"Separation, A",🎉314,🎉304,Asghar Farhadi,[一次别离 جدایی نادر از سیمین](https://movie.douban.com/subject/5964718/),🌟8.8,阿斯加·法哈蒂 / 佩曼·莫阿迪 / 蕾拉·哈塔米 / 萨瑞·巴亚特 / 剧情 / 家庭 / 伊朗/法国 / 2011,2011,Iran,Drama,[A Separation](https://www.imdb.com/title/tt1832382/),🌟8.3
Videodrome,🎉315,🎉294,David Cronenberg,[录影带谋杀案 Videodrome](https://movie.douban.com/subject/1295276/),🌟7.4,大卫·柯南伯格 / 詹姆斯·伍兹 / 索尼娅·史密茨 / 黛布拉·哈里 / 科幻 / 悬疑 / 惊悚 / 恐怖 / 加拿大 / 1983,1983,Canada,Horror-Science Fiction,[Videodrome](https://www.imdb.com/title/tt0086541/),🌟7.2
I Am Cuba,🎉316,🎉354,Mikhail Kalatozov,[我是古巴 Я - Куба](https://movie.douban.com/subject/1432669/),🌟9.1,米哈伊尔·卡拉托佐夫 / 塞吉欧·柯瑞里 / Salvador Wood / José Gallardo / 剧情 / 苏联/古巴 / 1964,1964,USSR-Cuba,Political-Drama,[I Am Cuba](https://www.imdb.com/title/tt0058604/),🌟8.2
Lola Montès,🎉317,🎉360,Max Ophüls,[劳拉·蒙特斯 Lola Montès](https://movie.douban.com/subject/1293401/),🌟7.8,马克斯·奥菲尔斯 / 玛蒂妮·卡洛 / 彼得·乌斯蒂诺夫 / 安东·沃尔布鲁克 / 传记 / 剧情 / 爱情 / 法国/西德 / 1955,1955,France-West Germany,Drama-Biography-Romance,[Lola Montès](https://www.imdb.com/title/tt0048308/),🌟7.2
Berlin Alexanderplatz [TV],🎉318,🎉327,Rainer Werner Fassbinder,[柏林亚历山大广场 Berlin Alexanderplatz](https://movie.douban.com/subject/1300660/),🌟8.9,赖纳·维尔纳·法斯宾德 / 古特·拉姆普雷切特 / 汉娜·许古拉 / 高夫莱德·约翰 / 剧情 / 意大利/西德 / 1980,1980,West Germany-Italy,Drama-History-Political,[Berlin Alexanderplatz](https://www.imdb.com/title/tt0080196/),🌟8.4
Monsieur Verdoux,🎉319,🎉299,Charles Chaplin,[凡尔杜先生 Monsieur Verdoux](https://movie.douban.com/subject/1294047/),🌟8.8,查理·卓别林 / 查理·卓别林 / 马迪·科雷尔 / 艾莉森·罗丹 / 喜剧 / 犯罪 / 剧情 / 美国 / 1947,1947,USA,Crime-Comedy,[Monsieur Verdoux](https://www.imdb.com/title/tt0039631/),🌟7.8
