Title 电影,Rank 排名,Rank-2022,Director 导演,豆瓣电影,豆瓣打分,豆瓣信息,Year 年份,Region 地区,Genre 类型,IMDb Movie,IMDb Score
Caché,🎉251,🎉221,Michael Haneke,[隐藏摄像机 Caché](https://movie.douban.com/subject/1438066/),🌟7.6,迈克尔·哈内克 / 丹尼尔·奥特伊 / 朱丽叶·比诺什 / 莫里斯·贝尼舒 / 剧情 / 悬疑 / 惊悚 / 法国/奥地利/德国/意大利/美国 / 2005,2005,France-Austria-Germany-Italy-USA,Thriller-Drama,[Caché (Hidden)](https://www.imdb.com/title/tt0387898/),🌟7.3
In a Lonely Place,🎉252,🎉281,Nicholas Ray,[兰闺艳血 In a Lonely Place](https://movie.douban.com/subject/1302923/),🌟7.9,尼古拉斯·雷 / 亨弗莱·鲍嘉 / 格洛丽亚·格雷厄姆 / 弗兰克·洛夫乔伊 / 剧情 / 黑色电影 / 悬疑 / 爱情 / 惊悚 / 美国 / 1950,1950,USA,Drama-Mystery,[In a Lonely Place](https://www.imdb.com/title/tt0042593/),🌟7.9
Red River,🎉253,🎉216,Howard Hawks,[红河 Red River](https://movie.douban.com/subject/1292565/),🌟8.2,霍华德·霍克斯 / 阿瑟·罗森 / 蒙哥马利·克利夫特 / 约翰·韦恩 / 沃尔特·布伦南 / 西部 / 动作 / 冒险 / 美国 / 1948,1948,USA,Western,[Red River](https://www.imdb.com/title/tt0040724/),🌟7.8
Tabu,🎉254,🎉261,F.W. Murnau,[禁忌 Tabu: A Story of the South Seas](https://movie.douban.com/subject/1296577/),🌟7.9,F·W·茂瑙 / Matahi / 安妮·希瓦利埃 / 比尔·班布里奇 / 剧情 / 爱情 / 冒险 / 美国 / 1931,1931,USA,Romance-Drama-Adventure,[Tabu: A Story of the South Seas](https://www.imdb.com/title/tt0022458/),🌟7.4
Belle de jour,🎉255,🎉204,Luis Buñuel,[白日美人 Belle de jour](https://movie.douban.com/subject/1301649/),🌟7.6,路易斯·布努埃尔 / 凯瑟琳·德纳芙 / 让·索雷尔 / 米歇尔·皮科利 / 剧情 / 情色 / 法国/意大利 / 1967,1967,France-Italy,Drama,[Belle de Jour](https://www.imdb.com/title/tt0061395/),🌟7.7
Diary of a Country Priest,🎉256,🎉238,Robert Bresson,[乡村牧师日记 Journal d'un curé de campagne](https://movie.douban.com/subject/1401618/),🌟8.2,罗伯特·布列松 / 克罗德·莱杜 / 让·里韦尔 / Adrien Borel / 剧情 / 法国 / 1951,1951,France,Religious-Drama,[Diary of a Country Priest](https://www.imdb.com/title/tt0042619/),🌟7.8
Eternal Sunshine of the Spotless Mind,🎉257,🎉193,Michel Gondry,[暖暖内含光 Eternal Sunshine of the Spotless Mind](https://movie.douban.com/subject/1308777/),🌟8.5,米歇尔·贡德里 / 金·凯瑞 / 凯特·温丝莱特 / 伊利亚·伍德 / 剧情 / 爱情 / 科幻 / 美国 / 2004,2004,USA,Romance-Drama-Comedy,[Eternal Sunshine of the Spotless Mind](https://www.imdb.com/title/tt0338013/),🌟8.3
Kind Hearts and Coronets,🎉258,🎉228,Robert Hamer,[仁心与冠冕 Kind Hearts and Coronets](https://movie.douban.com/subject/1295995/),🌟8.5,罗伯特·哈默 / 亚历克·吉尼斯 / 瓦莱莉娅·霍布森 / 丹尼斯·普莱斯 / 喜剧 / 犯罪 / 英国 / 1949,1949,UK,Comedy-Crime,[Kind Hearts and Coronets](https://www.imdb.com/title/tt0041546/),🌟8
Schindler's List,🎉259,🎉224,Steven Spielberg,[辛德勒的名单 Schindler's List](https://movie.douban.com/subject/1295124/),🌟9.6,史蒂文·斯皮尔伯格 / 连姆·尼森 / 本·金斯利 / 拉尔夫·费因斯 / 剧情 / 历史 / 战争 / 美国 / 1993,1993,USA,War-History-Drama,[Schindler's List](https://www.imdb.com/title/tt0108052/),🌟9
Three Colours: Blue,🎉260,🎉274,Krzysztof Kieslowski,[蓝白红三部曲之蓝 Trois couleurs: Bleu](https://movie.douban.com/subject/1292048/),🌟8.5,克日什托夫·基耶斯洛夫斯基 / 朱丽叶·比诺什 / 贝努特·里格恩特 / 弗罗伦斯·派梅尔 / 剧情 / 爱情 / 音乐 / 法国/波兰/瑞士 / 1993,1993,France-Poland-Switzerland,Drama,[Three Colors: Blue](https://www.imdb.com/title/tt0108394/),🌟7.9
