Index,Group 分榜,Rank 排名,Title 电影,Score 打分,Region 地区,Genre 类型,Staff 人员
0,豆瓣2018评分最高的华语电影,1,我不是药神,9.00,中国大陆, ,文牧野 / 徐峥 / 王传君
1,豆瓣2018评分最高的华语电影,2,大佛普拉斯,8.70,中国台湾, ,黄信尧 / 庄益增 / 陈竹升
2,豆瓣2018评分最高的华语电影,3,红海行动,8.20,中国大陆 中国香港, ,林超贤 / 张译 / 黄景瑜
3,豆瓣2018评分最高的华语电影,4,狗十三,8.20,中国大陆, ,曹保平 / 张雪迎 / 果靖霖
4,豆瓣2018评分最高的华语电影,5,无双,8.00,中国大陆 中国香港, ,庄文强 / 周润发 / 郭富城
5,豆瓣2018评分最高的华语电影,6,无名之辈,8.00,中国大陆, ,饶晓志 / 陈建斌 / 任素汐
6,豆瓣2018评分最高的华语电影,7,暴裂无声,8.20,中国大陆, ,忻钰坤 / 宋洋 / 姜武
7,豆瓣2018评分最高的华语电影,8,血观音,8.50,中国台湾, ,杨雅喆 / 惠英红 / 吴可熙
8,豆瓣2018评分最高的华语电影,9,大象席地而坐,8.10,中国大陆, ,胡波 / 彭昱畅 / 章宇
9,豆瓣2018评分最高的华语电影,10,无问西东,7.50,中国大陆, ,李芳芳 / 章子怡 / 黄晓明
10, , , , , , , 
11,豆瓣2018评分最高的外语电影,1,头号玩家,8.60,美国, ,史蒂文·斯皮尔伯格 / 泰伊·谢里丹 / 奥利维亚·库克
12,豆瓣2018评分最高的外语电影,2,三块广告牌,8.70,英国 美国, ,马丁·麦克唐纳 / 弗兰西斯·麦克多蒙德 / 伍迪·哈里森
13,豆瓣2018评分最高的外语电影,3,小偷家族,8.70,日本, ,是枝裕和 / 中川雅也 / 安藤樱
14,豆瓣2018评分最高的外语电影,4,奇迹男孩,8.60,美国 中国香港, ,斯蒂芬·卓博斯基 / 雅各布·特伦布莱 / 朱莉娅·罗伯茨
15,豆瓣2018评分最高的外语电影,5,幸福的拉扎罗,8.50,意大利 瑞士 法国 德国, ,阿莉切·罗尔瓦赫尔 / 阿德里亚诺·塔尔迪奥洛 / 阿涅塞·格拉齐亚尼
16,豆瓣2018评分最高的外语电影,6,网络谜踪,8.50,美国 俄罗斯, ,阿尼什·查甘蒂 / 约翰·赵 / 米切尔·拉
17,豆瓣2018评分最高的外语电影,7,爱你，西蒙,8.30,美国, ,格里格·伯兰蒂 / 尼克·罗宾森 / 詹妮弗·加纳
18,豆瓣2018评分最高的外语电影,8,特工,8.70,韩国, ,尹钟彬 / 黄政民 / 李星民
19,豆瓣2018评分最高的外语电影,9,碟中谍6：全面瓦解,8.10,美国 中国大陆 法国 挪威 英国, ,克里斯托弗·麦奎里 / 汤姆·克鲁斯 / 亨利·卡维尔
20,豆瓣2018评分最高的外语电影,10,华盛顿邮报,8.30,美国 英国, ,史蒂文·斯皮尔伯格 / 梅丽尔·斯特里普 / 汤姆·汉克斯
21, , , , , , , 
22,豆瓣2018最受关注的院线电影,1,我不是药神,9.00,中国大陆, ,文牧野 / 徐峥 / 王传君
23,豆瓣2018最受关注的院线电影,2,头号玩家,8.60,美国, ,史蒂文·斯皮尔伯格 / 泰伊·谢里丹 / 奥利维亚·库克
24,豆瓣2018最受关注的院线电影,3,红海行动,8.20,中国大陆 中国香港, ,林超贤 / 张译 / 黄景瑜
25,豆瓣2018最受关注的院线电影,4,唐人街探案2,6.60,中国大陆, ,陈思诚 / 王宝强 / 刘昊然
26,豆瓣2018最受关注的院线电影,5,西虹市首富,6.60,中国大陆, ,闫非 / 沈腾 / 宋芸桦
27,豆瓣2018最受关注的院线电影,6,一出好戏,7.10,中国大陆, ,黄渤 / 黄渤 / 舒淇
28,豆瓣2018最受关注的院线电影,7,复仇者联盟3：无限战争,8.10,美国, ,安东尼·罗素 / 小罗伯特·唐尼 / 克里斯·海姆斯沃斯
29,豆瓣2018最受关注的院线电影,8,无问西东,7.50,中国大陆, ,李芳芳 / 章子怡 / 黄晓明
30,豆瓣2018最受关注的院线电影,9,三块广告牌,8.70,英国 美国, ,马丁·麦克唐纳 / 弗兰西斯·麦克多蒙德 / 伍迪·哈里森
31,豆瓣2018最受关注的院线电影,10,邪不压正,7.00,中国大陆, ,姜文 / 彭于晏 / 廖凡
32, , , , , , , 
33,豆瓣2018最受关注的非院线电影,1,伯德小姐,7.90,美国, ,格蕾塔·葛韦格 / 西尔莎·罗南 / 劳里·梅特卡夫
34,豆瓣2018最受关注的非院线电影,2,死侍2：我爱我家,7.30,美国, ,大卫·雷奇 / 瑞安·雷诺兹 / 乔什·布洛林
35,豆瓣2018最受关注的非院线电影,3,血观音,8.50,中国台湾, ,杨雅喆 / 惠英红 / 吴可熙
36,豆瓣2018最受关注的非院线电影,4,大佛普拉斯,8.70,中国台湾, ,黄信尧 / 庄益增 / 陈竹升
37,豆瓣2018最受关注的非院线电影,5,与神同行：罪与罚,7.80,韩国, ,金容华 / 河正宇 / 车太贤
38,豆瓣2018最受关注的非院线电影,6,燃烧,8.10,韩国, ,李沧东 / 刘亚仁 / 史蒂文·元
39,豆瓣2018最受关注的非院线电影,7,瞒天过海：美人计,6.70,美国, ,盖瑞·罗斯 / 桑德拉·布洛克 / 凯特·布兰切特
40,豆瓣2018最受关注的非院线电影,8,昆池岩,6.30,韩国, ,郑范识 / 魏嘏隽 / 朴智炫
41,豆瓣2018最受关注的非院线电影,9,爱你，西蒙,8.30,美国, ,格里格·伯兰蒂 / 尼克·罗宾森 / 詹妮弗·加纳
42,豆瓣2018最受关注的非院线电影,10,解除好友2：暗网,7.90,美国, ,斯蒂芬·苏斯科 / 科林·伍德尔 / 斯蒂芬妮·诺格拉斯
43, , , , , , , 
44,豆瓣2018年度最期待华语独立佳作,1,四个春天,8.80,中国大陆, ,陆庆屹 / 陆运坤 / 李桂贤
45,豆瓣2018年度最期待华语独立佳作,2,谁先爱上他的,8.60,中国台湾, ,徐誉庭 / 邱泽 / 谢盈萱
46,豆瓣2018年度最期待华语独立佳作,3,过春天,7.70,中国大陆, ,白雪 / 黄尧 / 孙阳
47,豆瓣2018年度最期待华语独立佳作,4,逆流大叔,6.60,中国香港, ,陈咏燊 / 吴镇宇 / 潘灿良
48,豆瓣2018年度最期待华语独立佳作,5,女他,7.40,中国大陆, ,周圣崴 / 吕伏阳 / 周圣崴
49,豆瓣2018年度最期待华语独立佳作,6,驯马,7.70,加拿大 中国大陆, ,古涛 / 冬冬
50,豆瓣2018年度最期待华语独立佳作,7,地球最后的夜晚,6.90,中国大陆 法国, ,毕赣 / 汤唯 / 黄觉
51,豆瓣2018年度最期待华语独立佳作,8,阿浪的远方,7.00,中国大陆, ,宋媚 / 周子龙
52,豆瓣2018年度最期待华语独立佳作,9,只有大海知道,7.50,中国台湾, ,崔永徽​​ / 黄尚禾 / 钟家骏
53,豆瓣2018年度最期待华语独立佳作,10,撞死了一只羊,7.10,中国大陆, ,万玛才旦 / 金巴 / 更登彭措
54, , , , , , , 
55,豆瓣2018年度冷门佳片,1,巴斯特·斯克鲁格斯的歌谣,8.50,美国, ,伊桑·科恩 / 哈利·米尔林 / 佐伊·卡赞
56,豆瓣2018年度冷门佳片,2,冒牌上尉,8.60,德国 波兰 法国, ,罗伯特·施文特克 / 麦克斯·胡巴赫 / 米兰·佩舍尔
57,豆瓣2018年度冷门佳片,3,阿德尔曼夫妇,8.30,法国 比利时, ,尼古拉斯·贝多斯 / 多莉亚·蒂利耶 / 尼古拉斯·贝多斯
58,豆瓣2018年度冷门佳片,4,信笺故事,8.20,美国, ,珍妮芬·福克斯 / 劳拉·邓恩 / 约翰·赫德
59,豆瓣2018年度冷门佳片,5,罗马,8.20,墨西哥 美国, ,阿方索·卡隆 / 雅利扎·阿巴里西奥 / 玛丽娜·德·塔维拉
60,豆瓣2018年度冷门佳片,6,沉默的教室,8.40,德国, ,拉斯·克劳梅 / 乔纳斯·达斯勒 / 汤姆·格兰门兹
61,豆瓣2018年度冷门佳片,7,天上再见,8.00,法国 加拿大, ,阿尔贝·杜邦泰尔 / 纳威尔·佩雷兹·毕斯卡亚特 / 阿尔贝·杜邦泰尔
62,豆瓣2018年度冷门佳片,8,马斯顿教授与神奇女侠,7.90,美国, ,安吉拉·罗宾森 / 卢克·伊万斯 / 丽贝卡·豪尔
63,豆瓣2018年度冷门佳片,9,罪人,7.60,丹麦, ,古斯塔夫·莫勒 / 雅各布·克德格恩 / 杰西卡·迪内奇
64,豆瓣2018年度冷门佳片,10,九三年夏天,7.90,西班牙, ,卡拉·西蒙 / 莱娅·阿蒂加斯 / 保拉·罗伯斯
65, , , , , , , 
66,豆瓣2018评分最高的韩国电影,1,特工,8.70,韩国, ,尹钟彬 / 黄政民 / 李星民
67,豆瓣2018评分最高的韩国电影,2,现在去见你,8.30,韩国, ,李章焄 / 苏志燮 / 孙艺珍
68,豆瓣2018评分最高的韩国电影,3,铁雨,8.20,韩国, ,杨宇硕 / 郑雨盛 / 郭度沅
69,豆瓣2018评分最高的韩国电影,4,燃烧,8.10,韩国, ,李沧东 / 刘亚仁 / 史蒂文·元
70,豆瓣2018评分最高的韩国电影,5,小公女,7.90,韩国, ,全高云 / 李絮 / 安宰弘
71,豆瓣2018评分最高的韩国电影,6,与神同行：罪与罚,7.80,韩国, ,金容华 / 河正宇 / 车太贤
72,豆瓣2018评分最高的韩国电影,7,文集,7.50,韩国, ,李允正 / 郑帝元 / 申银秀
73,豆瓣2018评分最高的韩国电影,8,那就是我的世界,7.80,韩国, ,崔成贤 / 李秉宪 / 朴正民
74,豆瓣2018评分最高的韩国电影,9,与神同行2：因与缘,7.60,韩国, ,金容华 / 河正宇 / 朱智勋
75,豆瓣2018评分最高的韩国电影,10,小森林,7.50,韩国, ,林顺礼 / 金泰梨 / 柳俊烈
76, , , , , , , 
77,豆瓣2018评分最高的日本电影,1,小偷家族,8.70,日本, ,是枝裕和 / 中川雅也 / 安藤樱
78,豆瓣2018评分最高的日本电影,2,摄影机不要停！,8.20,日本, ,上田慎一郎 / 滨津隆之 / 真鱼
79,豆瓣2018评分最高的日本电影,3,有熊谷守一在的地方,8.40,日本, ,冲田修一 / 山崎努 / 青木崇高
80,豆瓣2018评分最高的日本电影,4,祈祷落幕时,7.90,日本, ,福泽克雄 / 阿部宽 / 松岛菜菜子
81,豆瓣2018评分最高的日本电影,5,花牌情缘：结,7.90,日本, ,小泉德宏 / 广濑铃 / 野村周平
82,豆瓣2018评分最高的日本电影,6,家族之苦3,8.00,日本, ,山田洋次 / 桥爪功 / 吉行和子
83,豆瓣2018评分最高的日本电影,7,孤狼之血,7.90,日本, ,白石和弥 / 役所广司 / 松坂桃李
84,豆瓣2018评分最高的日本电影,8,去年冬天与你分手,7.70,日本, ,泷本智行 / 岩田刚典 / 山本美月
85,豆瓣2018评分最高的日本电影,9,浪矢解忧杂货店,7.10,日本, ,广木隆一 / 山田凉介 / 村上虹郎
86,豆瓣2018评分最高的日本电影,10,恋爱回旋,7.00,日本, ,石川淳一 / 新垣结衣 / 永山瑛太
87, , , , , , , 
88,豆瓣2018评分最高的欧洲电影,1,幸福的拉扎罗,8.50,意大利 瑞士 法国 德国, ,阿莉切·罗尔瓦赫尔 / 阿德里亚诺·塔尔迪奥洛 / 阿涅塞·格拉齐亚尼
89,豆瓣2018评分最高的欧洲电影,2,上帝之国,8.40,英国, ,弗朗西斯·李 / 乔什·奥康纳 / 亚力克·塞克雷亚努
90,豆瓣2018评分最高的欧洲电影,3,养家之人,8.30,爱尔兰 加拿大 卢森堡 美国 英国 法国, ,诺拉·托梅 / 莎拉·乔德利 / 索玛·查亚
91,豆瓣2018评分最高的欧洲电影,4,爱在记忆消逝前,8.10,意大利 法国, ,保罗·维尔齐 / 海伦·米伦 / 唐纳德·萨瑟兰
92,豆瓣2018评分最高的欧洲电影,5,羞辱,8.30,黎巴嫩 法国 塞浦路斯 比利时 美国, ,齐德·多尔里 / 阿德尔·卡拉姆 / 卡梅尔·巴沙
