Index,Y2024 排名,豆瓣,IMDb,TSPDT-ID,Title 电影,Director 导演,Year 年份,Region 地区,Genre 类型,Length 片长,Colour 色彩
927,928,[米克的近路 Meek's Cutoff-凯莉·莱卡特](https://movie.douban.com/subject/4067195/),[https://www.imdb.com/title/tt1518812/](https://www.imdb.com/title/https://www.imdb.com/title/tt1518812//),30766,Meek's Cutoff,Kelly Reichardt,2010,USA,Western-Drama,104,Col
928,929,[飞蛾之光 Mothlight-斯坦·布拉哈格](https://movie.douban.com/subject/1463715/),[https://www.imdb.com/title/tt0057324/](https://www.imdb.com/title/https://www.imdb.com/title/tt0057324//),21401,Mothlight,Stan Brakhage,1963,USA,Short,4,Col
929,930,[从云端到反抗 Dalla nube alla resistenza-达尼埃尔·于伊耶 / 让-马里·斯特劳布](https://movie.douban.com/subject/2978169/),[https://www.imdb.com/title/tt0079023/](https://www.imdb.com/title/https://www.imdb.com/title/tt0079023//),21864,From the Clouds to the Resistance,Jean-Marie Straub & Danièle Huillet,1979,Italy-West Germany-UK-France,Drama,104,Col
930,931,[肮脏的哈里 Dirty Harry-唐·希格尔](https://movie.douban.com/subject/1293045/),[https://www.imdb.com/title/tt0066999/](https://www.imdb.com/title/https://www.imdb.com/title/tt0066999//),11232,Dirty Harry,Don Siegel,1971,USA,Crime-Action,102,Col
931,932,[罗马假日 Roman Holiday-威廉·惠勒](https://movie.douban.com/subject/1293839/),[https://www.imdb.com/title/tt0046250/](https://www.imdb.com/title/https://www.imdb.com/title/tt0046250//),5863,Roman Holiday,William Wyler,1953,USA,Romance-Comedy-Drama,118,BW
932,933,[第七天堂 7th Heaven-弗兰克·鲍沙其](https://movie.douban.com/subject/1300790/),[https://www.imdb.com/title/tt0018379/](https://www.imdb.com/title/https://www.imdb.com/title/tt0018379//),1359,7th Heaven,Frank Borzage,1927,USA,Romance-Drama-War,119,BW
933,934,[我的美国舅舅 Mon oncle d'Amérique-阿伦·雷乃](https://movie.douban.com/subject/1295740/),[https://www.imdb.com/title/tt0081176/](https://www.imdb.com/title/https://www.imdb.com/title/tt0081176//),13511,Mon oncle d'Amérique,Alain Resnais,1980,France,Drama-Comedy,123,Col
934,935,[珍妮的画像 Portrait of Jennie-威廉·迪亚特尔](https://movie.douban.com/subject/1292509/),[https://www.imdb.com/title/tt0040705/](https://www.imdb.com/title/https://www.imdb.com/title/tt0040705//),4263,Portrait of Jennie,William Dieterle,1948,USA,Romance-Fantasy-Mystery,86,BW
935,936,[赤裸童年 L'enfance nue-莫里斯·皮亚拉](https://movie.douban.com/subject/1427865/),[https://www.imdb.com/title/tt0065695/](https://www.imdb.com/title/https://www.imdb.com/title/tt0065695//),18577,"Enfance nue, L'",Maurice Pialat,1968,France,Drama,80,Col
936,937,[星期天的人们 Menschen am Sonntag-罗伯特·西奥德梅克 / 埃德加·G·乌默](https://movie.douban.com/subject/1940179/),[https://www.imdb.com/title/tt0020163/](https://www.imdb.com/title/https://www.imdb.com/title/tt0020163//),21495,People on Sunday,Robert Siodmak & Edgar G. Ulmer,1930,Germany,Romance-Comedy-Drama,74,BW
