Index,Y2024 排名,豆瓣,IMDb,TSPDT-ID,Title 电影,Director 导演,Year 年份,Region 地区,Genre 类型,Length 片长,Colour 色彩
0,1,[公民凯恩 Citizen Kane-奥逊·威尔斯](https://movie.douban.com/subject/1292288/),[https://www.imdb.com/title/tt0033467/](https://www.imdb.com/title/https://www.imdb.com/title/tt0033467//),2425,Citizen Kane,Orson Welles,1941,USA,Drama-Mystery,119,BW
1,2,[迷魂记 Vertigo-阿尔弗雷德·希区柯克](https://movie.douban.com/subject/1297294/),[https://www.imdb.com/title/tt0052357/](https://www.imdb.com/title/https://www.imdb.com/title/tt0052357//),7704,Vertigo,Alfred Hitchcock,1958,USA,Thriller-Drama-Mystery,128,Col
2,3,[2001太空漫游 2001: A Space Odyssey-斯坦利·库布里克](https://movie.douban.com/subject/1292226/),[https://www.imdb.com/title/tt0062622/](https://www.imdb.com/title/https://www.imdb.com/title/tt0062622//),10165,2001: A Space Odyssey,Stanley Kubrick,1968,UK-USA,Science Fiction,139,Col
3,4,[东京物语 東京物語-小津安二郎](https://movie.douban.com/subject/1291568/),[https://www.imdb.com/title/tt0046438/](https://www.imdb.com/title/https://www.imdb.com/title/tt0046438//),5929,Tokyo Story,Yasujiro Ozu,1953,Japan,Drama,134,BW
4,5,[游戏规则 La Règle du jeu-让·雷诺阿](https://movie.douban.com/subject/1401261/),[https://www.imdb.com/title/tt0031885/](https://www.imdb.com/title/https://www.imdb.com/title/tt0031885//),2077,"Rules of the Game, The",Jean Renoir,1939,France,Drama-Comedy,113,BW
5,6,[教父 The Godfather-弗朗西斯·福特·科波拉](https://movie.douban.com/subject/1291841/),[https://www.imdb.com/title/tt0068646/](https://www.imdb.com/title/https://www.imdb.com/title/tt0068646//),11414,"Godfather, The",Francis Ford Coppola,1972,USA,Drama-Crime,175,Col
6,7,[八部半 8½-费德里科·费里尼](https://movie.douban.com/subject/1361276/),[https://www.imdb.com/title/tt0056801/](https://www.imdb.com/title/https://www.imdb.com/title/tt0056801//),8883,8½,Federico Fellini,1963,Italy,Drama,135,BW
7,8,[日出 Sunrise: A Song of Two Humans-F·W·茂瑙](https://movie.douban.com/subject/1295753/),[https://www.imdb.com/title/tt0018455/](https://www.imdb.com/title/https://www.imdb.com/title/tt0018455//),1514,Sunrise,F.W. Murnau,1927,USA,Romance-Drama-Crime,110,BW
8,9,[搜索者 The Searchers-约翰·福特](https://movie.douban.com/subject/1292668/),[https://www.imdb.com/title/tt0049730/](https://www.imdb.com/title/https://www.imdb.com/title/tt0049730//),6866,"Searchers, The",John Ford,1956,USA,Western,119,Col
9,10,[七武士 七人の侍-黑泽明](https://movie.douban.com/subject/1295399/),[https://www.imdb.com/title/tt0047478/](https://www.imdb.com/title/https://www.imdb.com/title/tt0047478//),6207,Seven Samurai,Akira Kurosawa,1954,Japan,Drama-Action,200,BW
10,11,[雨中曲 Singin' in the Rain-斯坦利·多南 / 吉恩·凯利](https://movie.douban.com/subject/1293460/),[https://www.imdb.com/title/tt0045152/](https://www.imdb.com/title/https://www.imdb.com/title/tt0045152//),5535,Singin' in the Rain,Stanley Donen & Gene Kelly,1952,USA,Musical-Dance-Comedy,102,Col
11,12,"[让娜·迪尔曼 Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles-香特尔·阿克曼](https://movie.douban.com/subject/1868933/)",[https://www.imdb.com/title/tt0073198/](https://www.imdb.com/title/https://www.imdb.com/title/tt0073198//),18521,"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles",Chantal Akerman,1975,Belgium-France,Drama-Avant-Garde,201,Col
12,13,[现代启示录 Apocalypse Now-弗朗西斯·福特·科波拉](https://movie.douban.com/subject/1292260/),[https://www.imdb.com/title/tt0078788/](https://www.imdb.com/title/https://www.imdb.com/title/tt0078788//),13082,Apocalypse Now,Francis Ford Coppola,1979,USA,War-Drama-Adventure,150,Col
13,14,[出租车司机 Taxi Driver-马丁·斯科塞斯](https://movie.douban.com/subject/1292222/),[https://www.imdb.com/title/tt0075314/](https://www.imdb.com/title/https://www.imdb.com/title/tt0075314//),12567,Taxi Driver,Martin Scorsese,1976,USA,Drama-Crime,113,Col
14,15,[偷自行车的人 Ladri di biciclette-维托里奥·德西卡](https://movie.douban.com/subject/1295873/),[https://www.imdb.com/title/tt0040522/](https://www.imdb.com/title/https://www.imdb.com/title/tt0040522//),4377,Bicycle Thieves,Vittorio De Sica,1948,Italy,Drama,89,BW
15,16,[假面 Persona-英格玛·伯格曼](https://movie.douban.com/subject/1294438/),[https://www.imdb.com/title/tt0060827/](https://www.imdb.com/title/https://www.imdb.com/title/tt0060827//),9827,Persona,Ingmar Bergman,1966,Sweden,Drama,83,BW
16,17,[花样年华 花樣年華-王家卫](https://movie.douban.com/subject/1291557/),[https://www.imdb.com/title/tt0118694/](https://www.imdb.com/title/https://www.imdb.com/title/tt0118694//),20090,In the Mood for Love,Wong Kar-wai,2000,Hong Kong-France,Romance-Drama,97,Col
17,18,[圣女贞德蒙难记 La Passion de Jeanne d'Arc-卡尔·西奥多·德莱叶](https://movie.douban.com/subject/1293783/),[https://www.imdb.com/title/tt0019254/](https://www.imdb.com/title/https://www.imdb.com/title/tt0019254//),1167,"Passion of Joan of Arc, The",Carl Theodor Dreyer,1928,France,History-Drama-Biography,110,BW
18,19,[精疲力尽 À bout de souffle-让-吕克·戈达尔](https://movie.douban.com/subject/1353745/),[https://www.imdb.com/title/tt0053472/](https://www.imdb.com/title/https://www.imdb.com/title/tt0053472//),7764,Breathless,Jean-Luc Godard,1960,France,Romance-Drama-Crime,89,BW
19,20,[亚特兰大号 L'Atalante-让·维果](https://movie.douban.com/subject/1299433/),[https://www.imdb.com/title/tt0024844/](https://www.imdb.com/title/https://www.imdb.com/title/tt0024844//),839,"Atalante, L'",Jean Vigo,1934,France,Romance-Drama,89,BW
20,21,[战舰波将金号 Броненосец Потёмкин-谢尔盖·爱森斯坦](https://movie.douban.com/subject/1293492/),[https://www.imdb.com/title/tt0015648/](https://www.imdb.com/title/https://www.imdb.com/title/tt0015648//),1216,Battleship Potemkin,Sergei Eisenstein,1925,USSR,War-History,71,BW
21,22,[持摄影机的人 Человек с Киноаппаратом-吉加·维尔托夫](https://movie.douban.com/subject/1293199/),[https://www.imdb.com/title/tt0019760/](https://www.imdb.com/title/https://www.imdb.com/title/tt0019760//),18517,"Man with a Movie Camera, The",Dziga Vertov,1929,USSR,Documentary-Avant-Garde,80,BW
22,23,[镜子 Зеркало-安德烈·塔可夫斯基](https://movie.douban.com/subject/1299248/),[https://www.imdb.com/title/tt0072443/](https://www.imdb.com/title/https://www.imdb.com/title/tt0072443//),12499,Mirror,Andrei Tarkovsky,1975,USSR,Drama-Biography,107,Col-BW
23,24,[罗生门 羅生門-黑泽明](https://movie.douban.com/subject/1291879/),[https://www.imdb.com/title/tt0042876/](https://www.imdb.com/title/https://www.imdb.com/title/tt0042876//),4843,Rashomon,Akira Kurosawa,1950,Japan,Drama-Crime-Mystery,88,BW
24,25,[城市之光 City Lights-查理·卓别林](https://movie.douban.com/subject/1293908/),[https://www.imdb.com/title/tt0021749/](https://www.imdb.com/title/https://www.imdb.com/title/tt0021749//),285,City Lights,Charles Chaplin,1931,USA,Romance-Comedy,86,BW
25,26,[四百击 Les quatre cents coups-弗朗索瓦·特吕弗](https://movie.douban.com/subject/1300056/),[https://www.imdb.com/title/tt0053198/](https://www.imdb.com/title/https://www.imdb.com/title/tt0053198//),7825,"400 Blows, The",François Truffaut,1959,France,Drama,99,BW
26,27,[安德烈·卢布廖夫 Андрей Рублёв-安德烈·塔可夫斯基](https://movie.douban.com/subject/1298248/),[https://www.imdb.com/title/tt0060107/](https://www.imdb.com/title/https://www.imdb.com/title/tt0060107//),9636,Andrei Rublev,Andrei Tarkovsky,1966,USSR,History-Biography,185,Col-BW
27,28,[惊魂记 Psycho-阿尔弗雷德·希区柯克](https://movie.douban.com/subject/1293181/),[https://www.imdb.com/title/tt0054215/](https://www.imdb.com/title/https://www.imdb.com/title/tt0054215//),8209,Psycho,Alfred Hitchcock,1960,USA,Thriller-Horror,109,BW
28,29,[驴子巴特萨 Au hasard Balthazar-罗伯特·布列松](https://movie.douban.com/subject/1401619/),[https://www.imdb.com/title/tt0060138/](https://www.imdb.com/title/https://www.imdb.com/title/tt0060138//),9644,Au hasard Balthazar,Robert Bresson,1966,France,Drama,95,BW
29,30,[穆赫兰道 Mulholland Dr.-大卫·林奇](https://movie.douban.com/subject/1292217/),[https://www.imdb.com/title/tt0166924/](https://www.imdb.com/title/https://www.imdb.com/title/tt0166924//),20595,Mulholland Dr.,David Lynch,2001,France-USA,Mystery-Drama-Thriller,147,Col
30,31,[教父2 The Godfather: Part II-弗朗西斯·福特·科波拉](https://movie.douban.com/subject/1299131/),[https://www.imdb.com/title/tt0071562/](https://www.imdb.com/title/https://www.imdb.com/title/tt0071562//),11963,"Godfather Part II, The",Francis Ford Coppola,1974,USA,Drama-Crime,200,Col
31,32,[热情如火 Some Like It Hot-比利·怀尔德](https://movie.douban.com/subject/1292574/),[https://www.imdb.com/title/tt0053291/](https://www.imdb.com/title/https://www.imdb.com/title/tt0053291//),7966,Some Like it Hot,Billy Wilder,1959,USA,Comedy-Romance,121,BW
32,33,[词语 Ordet-卡尔·西奥多·德莱叶](https://movie.douban.com/subject/1303566/),[https://www.imdb.com/title/tt0048452/](https://www.imdb.com/title/https://www.imdb.com/title/tt0048452//),6482,Ordet,Carl Theodor Dreyer,1955,Denmark,Religious-Drama,125,BW
33,34,[甜蜜的生活 La dolce vita-费德里科·费里尼](https://movie.douban.com/subject/1293271/),[https://www.imdb.com/title/tt0053779/](https://www.imdb.com/title/https://www.imdb.com/title/tt0053779//),8151,"Dolce vita, La",Federico Fellini,1960,Italy,Drama,175,BW
34,35,[愤怒的公牛 Raging Bull-马丁·斯科塞斯](https://movie.douban.com/subject/1293155/),[https://www.imdb.com/title/tt0081398/](https://www.imdb.com/title/https://www.imdb.com/title/tt0081398//),13548,Raging Bull,Martin Scorsese,1980,USA,Drama-Biography-Sport,129,BW
35,36,[猎人之夜 The Night of the Hunter-查尔斯·劳顿](https://movie.douban.com/subject/1293582/),[https://www.imdb.com/title/tt0048424/](https://www.imdb.com/title/https://www.imdb.com/title/tt0048424//),6473,"Night of the Hunter, The",Charles Laughton,1955,USA,Drama-Crime-Thriller,92,BW
36,37,[奇遇 L'avventura-米开朗基罗·安东尼奥尼](https://movie.douban.com/subject/1389923/),[https://www.imdb.com/title/tt0053619/](https://www.imdb.com/title/https://www.imdb.com/title/tt0053619//),8150,"Avventura, L'",Michelangelo Antonioni,1960,Italy-France,Drama-Mystery-Romance,145,BW
37,38,[卡萨布兰卡 Casablanca-迈克尔·柯蒂兹](https://movie.douban.com/subject/1296753/),[https://www.imdb.com/title/tt0034583/](https://www.imdb.com/title/https://www.imdb.com/title/tt0034583//),2673,Casablanca,Michael Curtiz,1942,USA,War-Romance-Drama,102,BW
38,39,[后窗 Rear Window-阿尔弗雷德·希区柯克](https://movie.douban.com/subject/1299080/),[https://www.imdb.com/title/tt0047396/](https://www.imdb.com/title/https://www.imdb.com/title/tt0047396//),6175,Rear Window,Alfred Hitchcock,1954,USA,Thriller-Mystery,112,Col
39,40,[玩乐时间 Play Time-雅克·塔蒂](https://movie.douban.com/subject/1303543/),[https://www.imdb.com/title/tt0062136/](https://www.imdb.com/title/https://www.imdb.com/title/tt0062136//),10075,Playtime,Jacques Tati,1967,France,Comedy,108,Col
40,41,[银翼杀手 Blade Runner-雷德利·斯科特](https://movie.douban.com/subject/1291839/),[https://www.imdb.com/title/tt0083658/](https://www.imdb.com/title/https://www.imdb.com/title/tt0083658//),13928,Blade Runner,Ridley Scott,1982,USA,Science Fiction-Thriller-Drama,118,Col
41,42,[蔑视 Le mépris-让-吕克·戈达尔](https://movie.douban.com/subject/1303555/),[https://www.imdb.com/title/tt0057345/](https://www.imdb.com/title/https://www.imdb.com/title/tt0057345//),8925,Contempt,Jean-Luc Godard,1963,France-Italy,Drama,103,Col
42,43,[巴里·林登 Barry Lyndon-斯坦利·库布里克](https://movie.douban.com/subject/1292472/),[https://www.imdb.com/title/tt0072684/](https://www.imdb.com/title/https://www.imdb.com/title/tt0072684//),12142,Barry Lyndon,Stanley Kubrick,1975,UK,Drama,183,Col
43,44,[大地之歌 পথের পাঁচালী-萨蒂亚吉特·雷伊](https://movie.douban.com/subject/1306019/),[https://www.imdb.com/title/tt0048473/](https://www.imdb.com/title/https://www.imdb.com/title/tt0048473//),6484,Pather Panchali,Satyajit Ray,1955,India,Drama,112,BW
44,45,[历劫佳人 Touch of Evil-奥逊·威尔斯](https://movie.douban.com/subject/1294756/),[https://www.imdb.com/title/tt0052311/](https://www.imdb.com/title/https://www.imdb.com/title/tt0052311//),7693,Touch of Evil,Orson Welles,1958,USA,Thriller-Crime,108,BW
45,46,[日落大道 Sunset Blvd.-比利·怀尔德](https://movie.douban.com/subject/1298733/),[https://www.imdb.com/title/tt0043014/](https://www.imdb.com/title/https://www.imdb.com/title/tt0043014//),4879,Sunset Blvd.,Billy Wilder,1950,USA,Drama,110,BW
46,47,[潜行者 Сталкер-安德烈·塔可夫斯基](https://movie.douban.com/subject/1295656/),[https://www.imdb.com/title/tt0079944/](https://www.imdb.com/title/https://www.imdb.com/title/tt0079944//),13280,Stalker,Andrei Tarkovsky,1979,USSR,Science Fiction-Mystery,160,Col-BW
47,48,[特写 کلوزآپ-阿巴斯·基亚罗斯塔米](https://movie.douban.com/subject/1303521/),[https://www.imdb.com/title/tt0100234/](https://www.imdb.com/title/https://www.imdb.com/title/tt0100234//),18810,Close-Up,Abbas Kiarostami,1990,Iran,Documentary-Drama-Crime,98,Col
48,49,[阿拉伯的劳伦斯 Lawrence of Arabia-大卫·里恩](https://movie.douban.com/subject/1292349/),[https://www.imdb.com/title/tt0056172/](https://www.imdb.com/title/https://www.imdb.com/title/tt0056172//),8722,Lawrence of Arabia,David Lean,1962,UK,War-Biography-Adventure,216,Col
49,50,[将军号 The General-巴斯特·基顿 / 克莱德·布鲁克曼](https://movie.douban.com/subject/1292778/),[https://www.imdb.com/title/tt0017925/](https://www.imdb.com/title/https://www.imdb.com/title/tt0017925//),560,"General, The",Buster Keaton & Clyde Bruckman,1926,USA,Comedy-Adventure,74,BW
50,51,[军中禁恋 Beau travail-克莱尔·德尼](https://movie.douban.com/subject/1306791/),[https://www.imdb.com/title/tt0209933/](https://www.imdb.com/title/https://www.imdb.com/title/tt0209933//),20025,Beau travail,Claire Denis,1999,France,Drama,92,Col
51,52,[摩登时代 Modern Times-查理·卓别林](https://movie.douban.com/subject/1294371/),[https://www.imdb.com/title/tt0027977/](https://www.imdb.com/title/https://www.imdb.com/title/tt0027977//),1020,Modern Times,Charles Chaplin,1936,USA,Comedy-Romance,89,BW
52,53,[晚春 晩春-小津安二郎](https://movie.douban.com/subject/1307265/),[https://www.imdb.com/title/tt0041154/](https://www.imdb.com/title/https://www.imdb.com/title/tt0041154//),18527,Late Spring,Yasujiro Ozu,1949,Japan,Drama,108,BW
53,54,[M就是凶手 M - Eine Stadt sucht einen Mörder-弗里茨·朗](https://movie.douban.com/subject/1293381/),[https://www.imdb.com/title/tt0022100/](https://www.imdb.com/title/https://www.imdb.com/title/tt0022100//),914,M,Fritz Lang,1931,Germany,Thriller-Drama-Crime,99,BW
54,55,[第三人 The Third Man-卡罗尔·里德](https://movie.douban.com/subject/1295451/),[https://www.imdb.com/title/tt0041959/](https://www.imdb.com/title/https://www.imdb.com/title/tt0041959//),4606,"Third Man, The",Carol Reed,1949,UK,Mystery-Thriller,104,BW
55,56,[西北偏北 North by Northwest-阿尔弗雷德·希区柯克](https://movie.douban.com/subject/1295872/),[https://www.imdb.com/title/tt0053125/](https://www.imdb.com/title/https://www.imdb.com/title/tt0053125//),7921,North by Northwest,Alfred Hitchcock,1959,USA,Thriller-Spy-Romance,136,Col
56,57,[雨月物语 雨月物語-沟口健二](https://movie.douban.com/subject/1303577/),[https://www.imdb.com/title/tt0046478/](https://www.imdb.com/title/https://www.imdb.com/title/tt0046478//),5942,Ugetsu monogatari,Kenji Mizoguchi,1953,Japan,Drama,96,BW
57,58,[阿尔及尔之战 La battaglia di Algeri-吉洛·彭泰科沃](https://movie.douban.com/subject/1419005/),[https://www.imdb.com/title/tt0058946/](https://www.imdb.com/title/https://www.imdb.com/title/tt0058946//),9166,"Battle of Algiers, The",Gillo Pontecorvo,1966,Italy-Algeria,War-Political-Drama,123,BW
58,59,[桃色公寓 The Apartment-比利·怀尔德](https://movie.douban.com/subject/1394218/),[https://www.imdb.com/title/tt0053604/](https://www.imdb.com/title/https://www.imdb.com/title/tt0053604//),8036,"Apartment, The",Billy Wilder,1960,USA,Drama-Comedy,125,BW
59,60,[大幻影 La grande illusion-让·雷诺阿](https://movie.douban.com/subject/1294808/),[https://www.imdb.com/title/tt0028950/](https://www.imdb.com/title/https://www.imdb.com/title/tt0028950//),604,"Grande illusion, La",Jean Renoir,1937,France,Prison-Drama-War,117,BW
60,61,[野草莓 Smultronstället-英格玛·伯格曼](https://movie.douban.com/subject/1293071/),[https://www.imdb.com/title/tt0050986/](https://www.imdb.com/title/https://www.imdb.com/title/tt0050986//),7343,Wild Strawberries,Ingmar Bergman,1957,Sweden,Drama,90,BW
61,62,[芬妮与亚历山大 Fanny och Alexander-英格玛·伯格曼](https://movie.douban.com/subject/1292784/),[https://www.imdb.com/title/tt0083922/](https://www.imdb.com/title/https://www.imdb.com/title/tt0083922//),14232,Fanny and Alexander,Ingmar Bergman,1982,Sweden,Drama,189,Col
62,63,[好家伙 GoodFellas-马丁·斯科塞斯](https://movie.douban.com/subject/1292268/),[https://www.imdb.com/title/tt0099685/](https://www.imdb.com/title/https://www.imdb.com/title/tt0099685//),16501,GoodFellas,Martin Scorsese,1990,USA,Drama-Crime,146,Col
63,64,[浩劫 Shoah-克洛德·朗兹曼](https://movie.douban.com/subject/1303328/),[https://www.imdb.com/title/tt0090015/](https://www.imdb.com/title/https://www.imdb.com/title/tt0090015//),14967,Shoah,Claude Lanzmann,1985,France,Documentary-War-History,566,Col
64,65,[赤胆屠龙 Rio Bravo-霍华德·霍克斯](https://movie.douban.com/subject/1298497/),[https://www.imdb.com/title/tt0053221/](https://www.imdb.com/title/https://www.imdb.com/title/tt0053221//),7945,Rio Bravo,Howard Hawks,1959,USA,Western,141,Col
65,66,[奇爱博士 Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb-斯坦利·库布里克](https://movie.douban.com/subject/1322848/),[https://www.imdb.com/title/tt0057012/](https://www.imdb.com/title/https://www.imdb.com/title/tt0057012//),9331,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,1964,UK-USA,War-Comedy,93,BW
66,67,[狂人皮埃罗 Pierrot le fou-让-吕克·戈达尔](https://movie.douban.com/subject/1292533/),[https://www.imdb.com/title/tt0059592/](https://www.imdb.com/title/https://www.imdb.com/title/tt0059592//),9519,Pierrot le fou,Jean-Luc Godard,1965,France-Italy,Drama-Crime-Romance,110,Col
67,68,[游览意大利 Viaggio in Italia-罗伯托·罗西里尼](https://movie.douban.com/subject/1303576/),[https://www.imdb.com/title/tt0046511/](https://www.imdb.com/title/https://www.imdb.com/title/tt0046511//),5910,Journey to Italy,Roberto Rossellini,1954,Italy,Romance-Drama,97,BW
68,69,[西部往事 C'era una volta il West-赛尔乔·莱昂内](https://movie.douban.com/subject/1293394/),[https://www.imdb.com/title/tt0064116/](https://www.imdb.com/title/https://www.imdb.com/title/tt0064116//),10351,Once Upon a Time in the West,Sergio Leone,1968,Italy-USA,Western,165,Col
69,70,[唐人街 Chinatown-罗曼·波兰斯基](https://movie.douban.com/subject/1293889/),[https://www.imdb.com/title/tt0071315/](https://www.imdb.com/title/https://www.imdb.com/title/tt0071315//),11929,Chinatown,Roman Polanski,1974,USA,Mystery-Crime,131,Col
70,71,[为所应为 Do the Right Thing-斯派克·李](https://movie.douban.com/subject/1293958/),[https://www.imdb.com/title/tt0097216/](https://www.imdb.com/title/https://www.imdb.com/title/tt0097216//),16146,Do the Right Thing,Spike Lee,1989,USA,Drama-Comedy,120,Col
71,72,[大都会 Metropolis-弗里茨·朗](https://movie.douban.com/subject/1298107/),[https://www.imdb.com/title/tt0017136/](https://www.imdb.com/title/https://www.imdb.com/title/tt0017136//),1000,Metropolis,Fritz Lang,1927,Germany,Fantasy-Science Fiction-Drama,153,BW
72,73,[大路 La strada-费德里科·费里尼](https://movie.douban.com/subject/1292719/),[https://www.imdb.com/title/tt0047528/](https://www.imdb.com/title/https://www.imdb.com/title/tt0047528//),6109,"Strada, La",Federico Fellini,1954,Italy,Drama,115,BW
73,74,[醉酒的女人 A Woman Under the Influence-约翰·卡萨维蒂](https://movie.douban.com/subject/1293525/),[https://www.imdb.com/title/tt0072417/](https://www.imdb.com/title/https://www.imdb.com/title/tt0072417//),12122,"Woman Under the Influence, A",John Cassavetes,1974,USA,Drama,155,Col
74,75,[天堂的孩子 Les enfants du paradis-马塞尔·卡尔内](https://movie.douban.com/subject/1300375/),[https://www.imdb.com/title/tt0037674/](https://www.imdb.com/title/https://www.imdb.com/title/tt0037674//),3379,"Enfants du paradis, Les",Marcel Carné,1945,France,Romance-Drama,195,BW
75,76,[豹 Il gattopardo-卢基诺·维斯康蒂](https://movie.douban.com/subject/1293146/),[https://www.imdb.com/title/tt0057091/](https://www.imdb.com/title/https://www.imdb.com/title/tt0057091//),9002,"Leopard, The",Luchino Visconti,1963,Italy-France,History-Drama,186,Col
76,77,[阿玛柯德 Amarcord-费德里科·费里尼](https://movie.douban.com/subject/1298672/),[https://www.imdb.com/title/tt0071129/](https://www.imdb.com/title/https://www.imdb.com/title/tt0071129//),11889,Amarcord,Federico Fellini,1973,Italy,Drama-Comedy,127,Col
77,78,[死囚越狱 Un Condamné à mort s'est échappé-罗伯特·布列松](https://movie.douban.com/subject/1303562/),[https://www.imdb.com/title/tt0049902/](https://www.imdb.com/title/https://www.imdb.com/title/tt0049902//),6785,"Man Escaped, A",Robert Bresson,1956,France,Prison-Drama,102,BW
78,79,[低俗小说 Pulp Fiction-昆汀·塔伦蒂诺](https://movie.douban.com/subject/1291832/),[https://www.imdb.com/title/tt0110912/](https://www.imdb.com/title/https://www.imdb.com/title/tt0110912//),17944,Pulp Fiction,Quentin Tarantino,1994,USA,Drama-Crime-Comedy,154,Col
79,80,[日落黄沙 The Wild Bunch-萨姆·佩金帕](https://movie.douban.com/subject/1296963/),[https://www.imdb.com/title/tt0065214/](https://www.imdb.com/title/https://www.imdb.com/title/tt0065214//),10719,"Wild Bunch, The",Sam Peckinpah,1969,USA,Western-Action,135,Col
80,81,[生活多美好 It's a Wonderful Life-弗兰克·卡普拉](https://movie.douban.com/subject/1293749/),[https://www.imdb.com/title/tt0038650/](https://www.imdb.com/title/https://www.imdb.com/title/tt0038650//),3697,It's a Wonderful Life,Frank Capra,1946,USA,Fantasy-Drama-Family,129,BW
81,82,[第七封印 Det sjunde inseglet-英格玛·伯格曼](https://movie.douban.com/subject/1293234/),[https://www.imdb.com/title/tt0050976/](https://www.imdb.com/title/https://www.imdb.com/title/tt0050976//),7262,"Seventh Seal, The",Ingmar Bergman,1957,Sweden,Fantasy-Drama,96,BW
82,83,[同流者 Il conformista-贝纳尔多·贝托鲁奇](https://movie.douban.com/subject/1300955/),[https://www.imdb.com/title/tt0065571/](https://www.imdb.com/title/https://www.imdb.com/title/tt0065571//),11216,"Conformist, The",Bernardo Bertolucci,1970,Italy-France-West Germany,Political-Drama,107,Col
83,84,[山椒大夫-沟口健二](https://movie.douban.com/subject/1303573/),[https://www.imdb.com/title/tt0047445/](https://www.imdb.com/title/https://www.imdb.com/title/tt0047445//),6197,Sansho the Bailiff,Kenji Mizoguchi,1954,Japan,Drama,125,BW
84,85,[伟大的安巴逊 The Magnificent Ambersons-奥逊·威尔斯](https://movie.douban.com/subject/1299214/),[https://www.imdb.com/title/tt0035015/](https://www.imdb.com/title/https://www.imdb.com/title/tt0035015//),2759,"Magnificent Ambersons, The",Orson Welles,1942,USA,Drama,88,BW
85,86,[闪灵 The Shining-斯坦利·库布里克](https://movie.douban.com/subject/1292225/),[https://www.imdb.com/title/tt0081505/](https://www.imdb.com/title/https://www.imdb.com/title/tt0081505//),13567,"Shining, The",Stanley Kubrick,1980,USA-UK,Horror-Drama,142,Col
86,87, ,[https://www.imdb.com/title/tt0090756/](https://www.imdb.com/title/https://www.imdb.com/title/tt0090756//),15074,Blue Velvet,David Lynch,1986,USA,Mystery-Crime-Drama,120,Col
87,88,[维莉蒂安娜 Viridiana-路易斯·布努埃尔](https://movie.douban.com/subject/1303557/),[https://www.imdb.com/title/tt0055601/](https://www.imdb.com/title/https://www.imdb.com/title/tt0055601//),8577,Viridiana,Luis Buñuel,1961,Spain,Drama,90,BW
88,89,[扒手 Pickpocket-罗伯特·布列松](https://movie.douban.com/subject/1303559/),[https://www.imdb.com/title/tt0053168/](https://www.imdb.com/title/https://www.imdb.com/title/tt0053168//),7930,Pickpocket,Robert Bresson,1959,France,Drama-Crime,75,BW
89,90,[纳什维尔 Nashville-罗伯特·奥特曼](https://movie.douban.com/subject/1293037/),[https://www.imdb.com/title/tt0073440/](https://www.imdb.com/title/https://www.imdb.com/title/tt0073440//),12265,Nashville,Robert Altman,1975,USA,Drama-Music,160,Col
90,91,[双虎屠龙 The Man Who Shot Liberty Valance-约翰·福特](https://movie.douban.com/subject/1295134/),[https://www.imdb.com/title/tt0056217/](https://www.imdb.com/title/https://www.imdb.com/title/tt0056217//),8742,"Man Who Shot Liberty Valance, The",John Ford,1962,USA,Western,119,BW
91,92,[大白鲨 Jaws-史蒂文·斯皮尔伯格](https://movie.douban.com/subject/1294941/),[https://www.imdb.com/title/tt0073195/](https://www.imdb.com/title/https://www.imdb.com/title/tt0073195//),12223,Jaws,Steven Spielberg,1975,USA,Horror-Thriller-Adventure,124,Col
92,93,[淘金记 The Gold Rush-查理·卓别林](https://movie.douban.com/subject/1298817/),[https://www.imdb.com/title/tt0015864/](https://www.imdb.com/title/https://www.imdb.com/title/tt0015864//),593,"Gold Rush, The",Charles Chaplin,1925,USA,Comedy-Adventure-Family,82,BW
93,94,[葛楚 Gertrud-卡尔·西奥多·德莱叶](https://movie.douban.com/subject/1420116/),[https://www.imdb.com/title/tt0058138/](https://www.imdb.com/title/https://www.imdb.com/title/tt0058138//),18510,Gertrud,Carl Theodor Dreyer,1964,Denmark,Drama,116,BW
94,95,[堤 La jetée-克里斯·马克](https://movie.douban.com/subject/1306626/),[https://www.imdb.com/title/tt0056119/](https://www.imdb.com/title/https://www.imdb.com/title/tt0056119//),18531,"Jetée, La",Chris Marker,1962,France,Science Fiction-Drama-Short,27,BW
95,96,[日月无光 Sans soleil-克里斯·马克](https://movie.douban.com/subject/1401901/),[https://www.imdb.com/title/tt0084628/](https://www.imdb.com/title/https://www.imdb.com/title/tt0084628//),18518,Sans soleil,Chris Marker,1983,France,Avant-Garde-Documentary,100,Col
96,97,[五至七时的克莱奥 Cléo de 5 à 7-阿涅斯·瓦尔达](https://movie.douban.com/subject/1294565/),[https://www.imdb.com/title/tt0055852/](https://www.imdb.com/title/https://www.imdb.com/title/tt0055852//),8627,Cléo from 5 to 7,Agnès Varda,1962,France,Drama,90,BW
97,98,[祖与占 Jules et Jim-弗朗索瓦·特吕弗](https://movie.douban.com/subject/1292338/),[https://www.imdb.com/title/tt0055032/](https://www.imdb.com/title/https://www.imdb.com/title/tt0055032//),8441,Jules et Jim,François Truffaut,1962,France,Romance-Drama,104,BW
