Index,Rank,Title,Director,Imdb,Year,Length,Color,Region,Genre
84,85,Viridiana,LUIS BUNUEL,tt0055601,1961 , 90m , BW , Spain , Drama
85,86,Playtime,JACQUES TATI,tt0062136,1967 , 108m , Col , France , Drama-Comedy
86,87,The Apartment,BILLY WILDER,tt0053604,1960 , 125m , BW , USA , Drama-Comedy
87,88,The Wild Bunch,SAM PECKINPAH,tt0065214,1969 , 144m , Col , USA , Western
88,89,The Man Who Shot Liberty Valance,JOHN FORD,tt0056217,1962 , 119m , BW , USA , Western
89,90,Once Upon a Time in the West,SERGIO LEONE,tt0064116,1968 , 165m , Col , Italy-USA , Western
90,91,Ran,AKIRA KUROSAWA,tt0089881,1985 , 161m , Col , France-Japan , War-Historical-Drama
91,92,The Leopard,LUCHINO VISCONTI,tt0057091,1963 , 205m , Col , France-Italy , Historical-Drama
92,93,Aguirre: The Wrath of God,WERNER HERZOG,tt0068182,1972 , 94m , Col , Germany , Historical-Drama-Adventure
93,94,"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles",CHANTAL AKERMAN,tt0073198,1975 , 201m , Col , Belgium-France , Drama
94,95,Dekalog,KRZYSZTOF KIESLOWSKI,tttt0092337,1987 , 550m , Col , Poland , Drama
95,96,Ikiru,AKIRA KUROSAWA,tt0044741,1952 , 143m , BW , Japan , Drama
96,97,Los Olvidados,LUIS BUNUEL,tt0042804,1950 , 88m , BW , Mexico , Drama
97,98,Pulp Fiction,QUENTIN TARANTINO,tt0110912,1994 , 154m , Col , USA , Drama-Crime-Comedy
98,99,Letter From an Unknown Woman,MAX OPHULS,tt0040536,1948 , 90m , BW , USA , Drama
99,100,The Lady Eve,PRESTON STURGES,tt0033804,1941 , 94m , BW , USA , Romance-Comedy
