Index,排名,电影名,豆瓣电影,豆瓣年份,豆瓣打分,导演,主演,类型,地区
49,50,《假面》（1966，英格玛·伯格曼 Ingmar Bergman）,[假面 Persona](https://movie.douban.com/subject/1294438/),1966,8.8,英格玛·伯格曼,毕比·安德松 / 丽芙·乌曼 / 玛格丽塔·克罗克,剧情 / 惊悚,瑞典
50,50,《发条橙》（1971，斯坦利·库布里克 Stanley Kubrick）,[发条橙 A Clockwork Orange](https://movie.douban.com/subject/1292233/),1971,8.6,斯坦利·库布里克,马尔科姆·麦克道威尔 / 帕特里克·马基 / 迈克尔·贝茨,犯罪 / 剧情 / 科幻,英国/美国
51,50,《堤》（1962，克利斯·马克 Chris Marker）,[堤 La jetée](https://movie.douban.com/subject/1306626/),1962,9.0,克里斯·马克,让·内格罗尼 / 埃莱娜·夏特兰 / 达沃斯·哈尼奇,短片 / 剧情 / 爱情 / 科幻,法国
52,50,《大路》（1954，费德里科·费里尼 Federico Fellini）,[大路 La strada](https://movie.douban.com/subject/1292719/),1954,8.9,费德里科·费里尼,安东尼·奎恩 / 朱丽叶塔·马西纳 / 理查德·贝斯哈特,剧情,意大利
53,50,《天堂的孩子》（1945，马塞尔·卡尔内 Marcel Carné）,[天堂的孩子 Les enfants du paradis](https://movie.douban.com/subject/1300375/),1945,8.5,马塞尔·卡尔内,阿莱蒂 / 让-路易斯·巴劳特 / 皮埃尔·布拉瑟,剧情 / 爱情,法国
54,50,《戏梦人生》（1993，侯孝贤 Hsiao-hsien Hou）,[戏梦人生 戲夢人生](https://movie.douban.com/subject/1302941/),1993,8.4,侯孝贤,蔡振南 / 洪流 / 黄倩茹,传记 / 剧情 / 战争,中国台湾
55,50,《教父2》（1974，弗朗西斯·福特·科波拉 Francis Ford Coppola）,[教父2 The Godfather: Part II](https://movie.douban.com/subject/1299131/),1974,9.3,弗朗西斯·福特·科波拉,阿尔·帕西诺 / 罗伯特·杜瓦尔 / 黛安·基顿,剧情 / 犯罪,美国
56,50,《牺牲》（1986，安德烈·塔科夫斯基 Andrei Tarkovsky）,[牺牲 Offret](https://movie.douban.com/subject/1294531/),1986,8.8,安德烈·塔可夫斯基,厄兰·约瑟夫森 / 苏珊·弗利特伍德 / 艾伦·埃德渥,剧情,瑞典/法国/英国
57,50,《电影史》（1988，让-吕克·戈达尔 Jean-Luc Godard）,[电影史-3B 新浪潮 Histoire(s) du cinéma: Une vague nouvelle](https://movie.douban.com/subject/1439720/),2001,8.5,Jean-Luc Godard, ,短片,法国
58,50,《祖与占》（1962，弗朗索瓦·特吕弗 François Truffaut）,[祖与占 Jules et Jim](https://movie.douban.com/subject/1292338/),1962,8.4,弗朗索瓦·特吕弗,让娜·莫罗 / 奥斯卡·威内尔 / 亨利·赛尔,剧情 / 爱情,法国
59,50,《美国往事》（1984，赛尔乔·莱翁内 Sergio Leone）,[美国往事 Once Upon a Time in America](https://movie.douban.com/subject/1292262/),1984,9.2,赛尔乔·莱昂内,罗伯特·德尼罗 / 詹姆斯·伍兹 / 伊丽莎白·麦戈文,犯罪 / 剧情,美国/意大利
60,50,《蔑视》（1963，让-吕克·戈达尔 Jean-Luc Godard）,[蔑视 Le mépris](https://movie.douban.com/subject/1303555/),1963,7.7,让-吕克·戈达尔,碧姬·芭铎 / 米歇尔·皮科利 / 杰克·帕兰斯,剧情 / 爱情,法国/意大利
61,50,《野草莓》（1957，英格玛·伯格曼 Ingmar Bergman）,[野草莓 Smultronstället](https://movie.douban.com/subject/1293071/),1957,8.8,英格玛·伯格曼,维克多·斯约斯特洛姆 / 毕比·安德松 / 英格丽·图林,剧情 / 爱情 / 家庭,瑞典
62,63,《侠女》（1971，胡金铨 King Hu）,[侠女 俠女](https://movie.douban.com/subject/1306490/),1970,8.6,胡金铨,徐枫 / 石隽 / 白鹰,剧情 / 动作 / 武侠 / 古装,中国台湾/中国香港
63,63,《切腹》（1962，小林正树 Masaki Kobayashi）,[切腹](https://movie.douban.com/subject/1304920/),1962,9.4,小林正树,仲代达矢 / 石浜朗 / 岩下志麻,剧情 / 动作 / 悬疑,日本
64,63,《卡比利亚之夜》（1957，费德里科·费里尼 Federico Fellini）,[卡比利亚之夜 Le notti di Cabiria](https://movie.douban.com/subject/1294781/),1957,9.1,费德里科·费里尼,朱丽叶塔·马西纳 / 弗朗索瓦·佩里埃 / 弗兰卡·马尔齐,剧情,意大利/法国
