Index,Title 电影,Rank 排名,Rank-2022,Director 导演,豆瓣电影,豆瓣打分,豆瓣信息,Year 年份,Region 地区,Genre 类型,IMDb Movie,IMDb Score
880,"Spring, Summer, Autumn, Winter… and Spring",🎉881,🎉956,Kim Ki-duk,[春夏秋冬又一春 봄 여름 가을 겨울 그리고 봄](https://movie.douban.com/subject/1316580/),🌟8.5,金基德 / 吴永洙 / 金基德 / 金永敏 / 剧情 / 韩国/德国 / 2003,2003,South Korea-Germany,Drama,"[Spring, Summer, Fall, Winter... and Spring](https://www.imdb.com/title/tt0374546/)",🌟8
881,Welfare,🎉882,🎉1046,Frederick Wiseman,[福利 Welfare](https://movie.douban.com/subject/1981967/),🌟8.6,弗雷德里克·怀斯曼 / 纪录片 / 美国 / 1975,1975,USA,Documentary,[Welfare](https://www.imdb.com/title/tt0073887/),🌟8.2
882,Shanghai Express,🎉883,🎉1144,Josef von Sternberg,[上海快车 Shanghai Express](https://movie.douban.com/subject/1293996/),🌟7.0,约瑟夫·冯·斯登堡 / 玛琳·黛德丽 / 克里夫·布洛克 / 黄柳霜 / 冒险 / 剧情 / 爱情 / 美国 / 1932,1932,USA,Drama-Adventure,[Shanghai Express](https://www.imdb.com/title/tt0023458/),🌟7.3
883,Gloria,🎉884,🎉1150,John Cassavetes,[女煞葛洛莉 Gloria](https://movie.douban.com/subject/1293439/),🌟7.6,约翰·卡萨维蒂 / 吉娜·罗兰兹 / 巴克·亨利 / 朱莉·卡门 / 犯罪 / 剧情 / 惊悚 / 美国 / 1980,1980,USA,Drama-Crime,[Gloria](https://www.imdb.com/title/tt0080798/),🌟7.1
884,"Amour fou, L'",🎉885,🎉941,Jacques Rivette,[疯狂的爱情 L'amour fou](https://movie.douban.com/subject/1477848/),🌟8.3,雅克·里维特 / 布鲁·欧吉尔 / 琼-皮尔里·卡尔弗恩 / 安德烈·S·拉巴尔特 / 剧情 / 法国 / 1969,1968,France,Drama,[L'amour fou](https://www.imdb.com/title/tt0062663/),🌟7.4
885,Stroszek,🎉886,🎉1113,Werner Herzog,[史楚锡流浪记 Stroszek](https://movie.douban.com/subject/1306027/),🌟8.5,沃纳·赫尔佐格 / 布鲁诺·斯列斯坦 / 埃娃·马特斯 / 克莱门斯·沙伊茨 / 剧情 / 喜剧 / 西德 / 1977,1977,West Germany,Drama-Comedy,[Stroszek](https://www.imdb.com/title/tt0075276/),🌟7.7
886,Exotica,🎉887,🎉1089,Atom Egoyan,性感俱乐部,🌟, ,1994,Canada,Drama,[Exotica](https://www.imdb.com/title/tt0109759/),🌟7
887,Female Trouble,🎉888,🎉1000,John Waters,[女人的烦恼 Female Trouble](https://movie.douban.com/subject/1304866/),🌟7.5,约翰·沃特斯 / 迪韦恩 / 大卫·劳克里 / 玛丽·薇薇安·皮尔斯 / 喜剧 / 犯罪 / 美国 / 1974,1974,USA,Crime-Comedy,[Female Trouble](https://www.imdb.com/title/tt0072979/),🌟7.1
888,Juliet of the Spirits,🎉889,🎉974,Federico Fellini,[朱丽叶与魔鬼 Giulietta degli spiriti](https://movie.douban.com/subject/1299485/),🌟7.7,费德里科·费里尼 / 朱丽叶塔·马西纳 / 桑德拉·米洛 / 马里奥·皮苏 / 剧情 / 喜剧 / 奇幻 / 意大利/法国 / 1965,1965,Italy,Fantasy-Drama,[Juliet of the Spirits](https://www.imdb.com/title/tt0059229/),🌟7.5
889,Mysteries of Lisbon,🎉890,🎉1011,Raúl Ruiz,[秘境里斯本 Mistérios de Lisboa](https://movie.douban.com/subject/3082472/),🌟7.6,劳尔·鲁伊斯 / 阿德里亚诺·拉兹 / 雷卡杜·佩雷拉 / 玛利亚·乔安·巴斯托丝 / 剧情 / 悬疑 / 葡萄牙/法国 / 2010,2010,Portugal-France,Drama-Mystery,[Mysteries of Lisbon](https://www.imdb.com/title/tt20259142/),🌟7.6
890,Persepolis,🎉891,🎉1198,Vincent & Marjane Satrapi Paronnaud,[我在伊朗长大 Persepolis](https://movie.douban.com/subject/1962116/),🌟8.7,文森特·帕兰德 / 玛嘉·莎塔琵 / 齐雅拉·马斯楚安尼 / 达尼埃尔·达里约 / 凯瑟琳·德纳芙 / 剧情 / 传记 / 动画 / 法国/美国 / 2007,2007,France-USA,Animated-Biography-Drama,[Persepolis](https://www.imdb.com/title/tt0808417/),🌟8
