Index,Group 分榜,Rank 排名,Title 电影,Score 打分,Region 地区,Genre 类型,Staff 人员
0,豆瓣2022评分最高华语电影,1,爱情神话,8.10,中国大陆, ,邵艺辉 / 徐峥 / 马伊琍
1,豆瓣2022评分最高华语电影,2,狙击手,7.70,中国大陆, ,张艺谋 / 陈永胜 / 章宇
2,豆瓣2022评分最高华语电影,3,一场很（没）有必要的春晚,7.60,加拿大, ,汪英伦 / 王赛丽 / Rocky Sun
3,豆瓣2022评分最高华语电影,4,瀑布,7.70,中国台湾, ,钟孟宏 / 贾静雯 / 王净
4,豆瓣2022评分最高华语电影,5,还是觉得你最好,7.30,中国香港, ,陈咏燊 / 黄子华 / 邓丽欣
5,豆瓣2022评分最高华语电影,6,奇迹·笨小孩,7.40,中国大陆, ,文牧野 / 易烊千玺 / 田雨
6,豆瓣2022评分最高华语电影,7,人生大事,7.30,中国大陆 中国香港, ,刘江江 / 朱一龙 / 杨恩又
7,豆瓣2022评分最高华语电影,8,妈妈！,7.50,中国大陆, ,杨荔钠 / 吴彦姝 / 奚美娟
8,豆瓣2022评分最高华语电影,9,带你去见我妈,7.40,中国大陆, ,蓝鸿春 / 郑润奇 / 钟少贤
9,豆瓣2022评分最高华语电影,10,万里归途,7.20,中国大陆, ,饶晓志 / 张译 / 王俊凯
10, , , , , , , 
11,豆瓣2022评分最高外语电影,1,西线无战事,8.50,德国 美国 英国, ,爱德华·贝尔格 / 费利克斯·卡默雷尔 / 阿尔布雷希特·舒赫
12,豆瓣2022评分最高外语电影,2,青春变形记,8.20,美国, ,石之予 / 姜晋安 / 吴珊卓
13,豆瓣2022评分最高外语电影,3,阿凡达：水之道,7.80,美国, ,詹姆斯·卡梅隆 / 萨姆·沃辛顿 / 佐伊·索尔达娜
14,豆瓣2022评分最高外语电影,4,祝你好运，里奥·格兰德,8.10,英国, ,苏菲·海德 / 艾玛·汤普森 / 达利尔·麦克科马克
15,豆瓣2022评分最高外语电影,5,子弹列车,7.80,美国 日本, ,大卫·雷奇 / 布拉德·皮特 / 乔伊·金
16,豆瓣2022评分最高外语电影,6,壮志凌云2：独行侠,8.00,美国 中国大陆, ,约瑟夫·科辛斯基 / 汤姆·克鲁斯 / 詹妮弗·康纳利
17,豆瓣2022评分最高外语电影,7,套装,7.90,美国, ,格拉汉姆·摩尔 / 马克·里朗斯 / 西蒙·拉塞尔·比尔
18,豆瓣2022评分最高外语电影,8,世界上最糟糕的人,7.90,挪威 法国 瑞典 丹麦, ,约阿希姆·提尔 / 雷娜特·赖因斯夫 / 安德斯·丹尼尔森·李
19,豆瓣2022评分最高外语电影,9,瞬息全宇宙,7.60,美国, ,关家永 / 杨紫琼 / 许玮伦
20,豆瓣2022评分最高外语电影,10,不要抬头,7.60,美国, ,亚当·麦凯 / 莱昂纳多·迪卡普里奥 / 詹妮弗·劳伦斯
21, , , , , , , 
22,豆瓣2022年度冷门佳片,1,宿敌,8.50,印度, ,Dijo Jose Antony / 普利特维拉吉·苏库玛兰 / 玛玛塔·莫汉达斯
23,豆瓣2022年度冷门佳片,2,十三条命,8.50,美国 加拿大 英国, ,朗·霍华德 / 维果·莫腾森 / 科林·法瑞尔
24,豆瓣2022年度冷门佳片,3,法比安,8.40,德国 奥地利, ,多米尼克·格拉夫 / 汤姆·希林 / 莎斯琪亚·罗森道尔
25,豆瓣2022年度冷门佳片,4,唐顿庄园2,8.20,英国 美国, ,西蒙·柯蒂斯 / 米歇尔·道克瑞 / 休·博纳维尔
26,豆瓣2022年度冷门佳片,5,万湖会议,8.10,德国, ,马蒂·格肖内克 / 菲利普·霍奇迈尔 / 约翰尼斯·艾麦亚
27,豆瓣2022年度冷门佳片,6,天鹅挽歌,8.10,美国, ,本杰明·克利里 / 马赫沙拉·阿里 / 娜奥米·哈里斯
28,豆瓣2022年度冷门佳片,7,巴黎夜旅人,8.10,法国, ,米夏埃尔·艾斯 / 夏洛特·甘斯布 / 基多·雷昂-里希特
29,豆瓣2022年度冷门佳片,8,正发生,8.20,法国, ,奥黛丽·迪万 / 安娜玛丽亚·沃特鲁梅 / 卡西·莫泰·克莱恩
30,豆瓣2022年度冷门佳片,9,亲密,8.10,比利时 荷兰 法国, ,卢卡斯·德霍特 / 伊登·丹布林 / 古斯塔夫·德·瓦埃勒
31,豆瓣2022年度冷门佳片,10,晒后假日,8.20,英国 美国, ,夏洛特·威尔斯 / 保罗·麦斯卡 / 弗兰基·科里奥
32, , , , , , , 
33,豆瓣2022评分最高韩国电影,1,分手的决心,7.60,韩国, ,朴赞郁 / 汤唯 / 朴海日
34,豆瓣2022评分最高韩国电影,2,狩猎,7.70,韩国, ,李政宰 / 李政宰 / 郑雨盛
35,豆瓣2022评分最高韩国电影,3,6/45,7.60,韩国, ,朴奎泰 / 高庚杓 / 李伊庚
36,豆瓣2022评分最高韩国电影,4,犯罪都市2,7.50,韩国, ,李相龙 / 马东锡 / 孙锡久
37,豆瓣2022评分最高韩国电影,5,小说家的电影,7.50,韩国, ,洪常秀 / 李慧英 / 金敏喜
38, , , , , , , 
39,豆瓣2022评分最高日本电影,1,昨日的美食 电影版,7.90,日本, ,中江和仁 / 西岛秀俊 / 内野圣阳
40,豆瓣2022评分最高日本电影,2,稍微想起一些,7.70,日本, ,松居大悟 / 池松壮亮 / 伊藤沙莉
41,豆瓣2022评分最高日本电影,3,在街上,7.60,日本, ,今泉力哉 / 若叶龙也 / 穗志萌香
42,豆瓣2022评分最高日本电影,4,由宇子的天平,7.60,日本, ,春本雄二郎 / 泷内公美 / 光石研
43,豆瓣2022评分最高日本电影,5,老师，您能坐在我旁边吗？,7.40,日本, ,堀江贵大 / 黑木华 / 柄本佑
44, , , , , , , 
45,豆瓣2022评分最高喜剧片,1,祝你好运，里奥·格兰德,8.10,英国, ,苏菲·海德 / 艾玛·汤普森 / 达利尔·麦克科马克
46,豆瓣2022评分最高喜剧片,2,子弹列车,7.80,美国 日本, ,大卫·雷奇 / 布拉德·皮特 / 乔伊·金
47,豆瓣2022评分最高喜剧片,3,瞬息全宇宙,7.60,美国, ,关家永 / 杨紫琼 / 许玮伦
48,豆瓣2022评分最高喜剧片,4,不要抬头,7.60,美国, ,亚当·麦凯 / 莱昂纳多·迪卡普里奥 / 詹妮弗·劳伦斯
49,豆瓣2022评分最高喜剧片,5,伊尼舍林的报丧女妖,7.90,爱尔兰 英国 美国, ,马丁·麦克唐纳 / 科林·法瑞尔 / 布莱丹·格里森
50, , , , , , , 
51,豆瓣2022评分最高爱情片,1,爱情神话,8.10,中国大陆, ,邵艺辉 / 徐峥 / 马伊琍
52,豆瓣2022评分最高爱情片,2,唐顿庄园2,8.20,英国 美国, ,西蒙·柯蒂斯 / 米歇尔·道克瑞 / 休·博纳维尔
