Index,Group 分榜,Rank 排名,Title 电影,Score 打分,Region 地区,Genre 类型,Staff 人员
0,豆瓣2020评分最高华语电影,1,阳光普照,8.60,中国台湾, ,钟孟宏 / 陈以文 / 柯淑勤
1,豆瓣2020评分最高华语电影,2,一秒钟,7.60,中国大陆, ,张艺谋 / 张译 / 刘浩存
2,豆瓣2020评分最高华语电影,3,气球,7.70,中国大陆, ,万玛才旦 / 索朗旺姆 / 金巴
3,豆瓣2020评分最高华语电影,4,八佰,7.50,中国大陆, ,管虎 / 王千源 / 张译
4,豆瓣2020评分最高华语电影,5,热带雨,7.50,新加坡 中国台湾 中国大陆, ,陈哲艺 / 杨雁雁 / 许家乐
5,豆瓣2020评分最高华语电影,6,金都,7.70,中国香港, ,黄绮琳 / 邓丽欣 / 朱栢康
6,豆瓣2020评分最高华语电影,7,叔·叔,7.60,中国香港, ,杨曜恺 / 太保 / 袁富华
7,豆瓣2020评分最高华语电影,8,半个喜剧,7.30,中国大陆, ,周申 / 任素汐 / 吴昱翰
8,豆瓣2020评分最高华语电影,9,我和我的家乡,7.00,中国大陆, ,宁浩 / 葛优 / 黄渤
9,豆瓣2020评分最高华语电影,10,夺冠,7.10,中国大陆, ,陈可辛 / 巩俐 / 黄渤
10, , , , , , , 
11,豆瓣2020评分最高外语电影,1,1917,8.50,美国 英国 印度 西班牙 加拿大 中国大陆, ,萨姆·门德斯 / 乔治·麦凯 / 迪恩-查尔斯·查普曼
12,豆瓣2020评分最高外语电影,2,极速车王,8.50,美国, ,詹姆斯·曼高德 / 马特·达蒙 / 克里斯蒂安·贝尔
13,豆瓣2020评分最高外语电影,3,乔乔的异想世界,8.30,美国 捷克 新西兰, ,塔伊加·维迪提 / 罗曼·格里芬·戴维斯 / 托马辛·麦肯齐
14,豆瓣2020评分最高外语电影,4,黑水,8.60,美国, ,托德·海因斯 / 马克·鲁弗洛 / 安妮·海瑟薇
15,豆瓣2020评分最高外语电影,5,绅士们,8.30,英国 美国, ,盖·里奇 / 马修·麦康纳 / 查理·汉纳姆
16,豆瓣2020评分最高外语电影,6,小妇人,8.00,美国, ,格蕾塔·葛韦格 / 西尔莎·罗南 / 艾玛·沃森
17,豆瓣2020评分最高外语电影,7,理查德·朱维尔的哀歌,8.20,美国, ,克林特·伊斯特伍德 / 保罗·沃尔特·豪泽 / 山姆·洛克威尔
18,豆瓣2020评分最高外语电影,8,南山的部长们,8.20,韩国, ,禹民镐 / 李秉宪 / 李星民
19,豆瓣2020评分最高外语电影,9,疯狂原始人2,7.70,美国, ,乔尔·克劳福德 / 尼古拉斯·凯奇 / 艾玛·斯通
20,豆瓣2020评分最高外语电影,10,信条,7.60,美国 英国, ,克里斯托弗·诺兰 / 约翰·大卫·华盛顿 / 罗伯特·帕丁森
21, , , , , , , 
22,豆瓣2020年度冷门佳片,1,多哥,8.80,美国, ,埃里克松·科尔 / 威廉·达福 / 朱丽安妮·尼科尔森
23,豆瓣2020年度冷门佳片,2,芝加哥七君子审判,8.60,美国 英国 印度, ,艾伦·索金 / 埃迪·雷德梅恩 / 艾利克斯·夏普
24,豆瓣2020年度冷门佳片,3,给我翅膀,8.80,法国, ,尼古拉·瓦尼埃 / 让-保罗·卢弗 / 梅拉妮·杜泰
25,豆瓣2020年度冷门佳片,4,教宗的承继,8.60,英国 意大利, ,费尔南多·梅里尔斯 / 安东尼·霍普金斯 / 乔纳森·普雷斯
26,豆瓣2020年度冷门佳片,5,对不起，我们错过了你,8.50,英国 法国 比利时, ,肯·洛奇 / 克里斯·希钦 / 黛比·哈尼伍德
27,豆瓣2020年度冷门佳片,6,标准之外,8.30,法国 比利时, ,奥利维埃·纳卡什 / 文森特·卡塞尔 / 勒达·卡代布
28,豆瓣2020年度冷门佳片,7,悲惨世界,8.10,法国, ,拉吉·利 / 达米安·勃纳尔 / 亚历克西斯·曼蒂
29,豆瓣2020年度冷门佳片,8,灰猎犬号,7.80,美国 加拿大 中国大陆, ,亚伦·施耐德 / 汤姆·汉克斯 / 斯蒂芬·格拉汉姆
30,豆瓣2020年度冷门佳片,9,好梦一日游,8.10,法国 比利时, ,尼古拉斯·贝多斯 / 丹尼尔·奥特伊 / 吉约姆·卡内
31,豆瓣2020年度冷门佳片,10,马丁·伊登,8.00,意大利 法国 德国, ,皮耶特罗·马切罗 / 卢卡·马里内利 / 杰西卡·塞西
32, , , , , , , 
33,豆瓣2020评分最高日本电影,1,在京都小住,8.10,日本, ,吉见拓真 / 木村文乃 / 近藤正臣
34,豆瓣2020评分最高日本电影,2,剧场,7.80,日本, ,行定勋 / 山崎贤人 / 松冈茉优
35,豆瓣2020评分最高日本电影,3,默片解说员,7.70,日本, ,周防正行 / 成田凌 / 黑岛结菜
36,豆瓣2020评分最高日本电影,4,明日家族,7.70,日本, ,土井裕泰 / 宫崎葵 / 永山瑛太
37,豆瓣2020评分最高日本电影,5,阿基米德大战,7.40,日本, ,山崎贵 / 菅田将晖 / 馆博
38,豆瓣2020评分最高日本电影,6,寅次郎的故事：欢迎归来,8.00,日本, ,山田洋次 / 渥美清 / 倍赏千惠子
39,豆瓣2020评分最高日本电影,7,从宫本到你,7.20,日本, ,真利子哲也 / 池松壮亮 / 苍井优
40,豆瓣2020评分最高日本电影,8,你好世界,6.80,日本, ,伊藤智彦 / 北村匠海 / 松坂桃李
41,豆瓣2020评分最高日本电影,9,最后一封信,7.60,日本, ,岩井俊二 / 松隆子 / 福山雅治
42,豆瓣2020评分最高日本电影,10,影里,7.50,日本, ,大友启史 / 绫野刚 / 松田龙平
43, , , , , , , 
44,豆瓣2020评分最高韩国电影,1,南山的部长们,8.20,韩国, ,禹民镐 / 李秉宪 / 李星民
45,豆瓣2020评分最高韩国电影,2,致允熙,8.30,韩国, ,任大炯 / 金喜爱 / 中村优子
46,豆瓣2020评分最高韩国电影,3,电话,7.60,韩国, ,李聪贤 / 朴信惠 / 全钟瑞
