Index,年度十佳,排名,豆瓣电影,豆瓣年份,豆瓣打分,导演,主演,类型,制片国家/地区
243,1998年,5B,[苏 Sue](https://movie.douban.com/subject/1437755/),1997.0,8.0, 阿莫斯·科莱克, 安娜·莱文 / Matthew Powers / 塔妮·韦尔奇, 剧情, 美国
244,1998年,7A,《马丁的恋情》L' Ennui,1998, ,塞德瑞克·卡恩, , ,法国
245,1998年,7B,[天鹅绒金矿 Velvet Goldmine](https://movie.douban.com/subject/1294136/),1998.0,8.4, 托德·海因斯, 伊万·麦克格雷格 / 乔纳森·莱斯·梅耶斯 / 克里斯蒂安·贝尔, 剧情 / 同性 / 音乐, 英国/美国
246,1998年,9,[蛇眼 Snake Eyes](https://movie.douban.com/subject/1298354/),1998.0,6.9, 布莱恩·德·帕尔玛, 尼古拉斯·凯奇 / 加里·西尼斯 / 约翰·赫德, 犯罪 / 悬疑 / 惊悚, 美国
247,1998年,10A,[骨未成灰 Ossos](https://movie.douban.com/subject/1768144/),1997.0,7.2, 佩德罗·科斯塔, Vanda Duarte / Nuno Vaz / Mariya Lipkina, 剧情, 葡萄牙/法国/丹麦
248,1998年,10B,[泰坦尼克号 Titanic](https://movie.douban.com/subject/1292722/),1997.0,9.5, 詹姆斯·卡梅隆, 莱昂纳多·迪卡普里奥 / 凯特·温丝莱特 / 比利·赞恩, 剧情 / 爱情 / 灾难, 美国/墨西哥
249,1998年,10C,[危险关系 Jackie Brown](https://movie.douban.com/subject/1292335/),1997.0,7.5, 昆汀·塔伦蒂诺, 帕姆·格里尔 / 塞缪尔·杰克逊 / 罗伯特·福斯特, 犯罪 / 剧情 / 惊悚, 美国
250,1997年,1,[花火 HANA-BI](https://movie.douban.com/subject/1302642/),1997.0,8.7, 北野武, 北野武 / 岸本加世子 / 大杉涟, 剧情 / 爱情 / 犯罪 / 惊悚, 日本
251,1997年,2,[南国再见，南国 南國再見，南國](https://movie.douban.com/subject/1303458/),1996.0,8.1, 侯孝贤, 高捷 / 林强 / 伊能静, 犯罪 / 剧情, 中国台湾
252,1997年,3,[妖夜慌踪 Lost Highway](https://movie.douban.com/subject/1303459/),1997.0,8.1, 大卫·林奇, 比尔·普尔曼 / 帕特丽夏·阿奎特 / 巴萨扎·盖提, 悬疑 / 惊悚, 法国/美国
253,1997年,4A,[鳗鱼 うなぎ](https://movie.douban.com/subject/1303453/),1997.0,7.9, 今村昌平, 役所广司 / 清水美沙 / 常田富士男, 剧情 / 犯罪, 日本
254,1997年,4B,[河流](https://movie.douban.com/subject/1303456/),1997.0,7.7, 蔡明亮, 李康生 / 苗天 / 陆弈静, 剧情 / 爱情 / 同性, 中国台湾
255,1997年,6A,[樱桃的滋味 طعم گیلاس](https://movie.douban.com/subject/1296177/),1997.0,8.1, 阿巴斯·基亚罗斯塔米, 赫玛永·厄沙迪 / 阿卜杜拉曼·巴赫里 / 阿夫欣·呼罗希德·巴赫蒂亚里, 剧情, 法国/伊朗
256,1997年,6B,[法国香颂 On connaît la chanson](https://movie.douban.com/subject/1303454/),1997.0,7.2, 阿伦·雷乃, 皮埃尔·阿迪提 / 萨宾·阿泽玛 / 让-皮埃尔·巴克里, 喜剧 / 剧情 / 歌舞 / 爱情, 法国/瑞士/英国
257,1997年,6C,[第七天堂 Le septième ciel](https://movie.douban.com/subject/1444591/),1997.0,6.6, 伯努瓦·雅克, 桑德琳娜·基贝兰 / 文森特·林顿 / 弗朗索瓦·贝莱昂, 剧情, 法国
258,1997年,9A,[变脸 Face/Off](https://movie.douban.com/subject/1292659/),1997.0,8.5, 吴宇森, 约翰·特拉沃尔塔 / 尼古拉斯·凯奇 / 琼·艾伦, 动作 / 科幻 / 犯罪 / 惊悚, 美国
259,1997年,9B,[惊声尖叫 Scream](https://movie.douban.com/subject/1301630/),1996.0,7.2, 韦斯·克雷文, 德鲁·巴里摩尔 / 罗格·杰克逊 / 内芙·坎贝尔, 惊悚 / 恐怖, 美国
260,1997年,9C,[春光乍泄 春光乍洩](https://movie.douban.com/subject/1292679/),1997.0,9.0, 王家卫, 张国荣 / 梁朝伟 / 张震, 剧情 / 爱情 / 同性, 中国香港/日本/韩国
261,1996年,1,[欲望号快车 Crash](https://movie.douban.com/subject/1292682/),1996.0,7.0, 大卫·柯南伯格, 詹姆斯·斯派德 / 霍利·亨特 / 伊莱亚斯·科泰斯, 剧情, 加拿大/美国/英国
262,1996年,2,[永远的莫扎特 For Ever Mozart](https://movie.douban.com/subject/1419341/),1996.0,7.6, 让-吕克·戈达尔, Madeleine Assas / Ghalia Lacroix / Bérangère Allaux, 喜剧 / 剧情 / 战争, 法国/瑞士
263,1996年,3,[赌城风云 Casino](https://movie.douban.com/subject/1299799/),1995.0,8.3, 马丁·斯科塞斯, 罗伯特·德尼罗 / 莎朗·斯通 / 乔·佩西, 传记 / 犯罪 / 剧情, 美国/法国
264,1996年,4,[我的性生活 Comment je me suis disputé... (ma vie sexuelle)](https://movie.douban.com/subject/1421891/),1996.0,7.7, 阿诺·戴普勒尚, 马修·阿马立克 / 艾曼纽·德芙 / 埃马努埃尔·萨兰热, 剧情 / 喜剧 / 爱情, 法国
265,1996年,5,[上帝的喜剧 A Comédia de Deus](https://movie.douban.com/subject/1303464/),1995.0,7.3, 约阿·凯撒·蒙泰罗, 约阿·凯撒·蒙泰罗 / Mario Barroso / Cláudia Teixeira, 喜剧 / 剧情, 丹麦/法国/意大利/葡萄牙
266,1996年,6,[离魂异客 Dead Man](https://movie.douban.com/subject/1303462/),1995.0,8.0, 吉姆·贾木许, 约翰尼·德普 / 加利·法梅尔 / 克里斯平·格洛弗, 剧情 / 西部 / 奇幻 / 冒险, 美国/德国/日本
267,1996年,7,[夜夜夜贼 Les voleurs](https://movie.douban.com/subject/1301668/),1996.0,6.9, 安德烈·泰希内, 凯瑟琳·德纳芙 / 丹尼尔·奥特伊 / 洛朗斯·科特, 犯罪 / 剧情 / 爱情, 法国
268,1996年,8,[碟中谍 Mission: Impossible](https://movie.douban.com/subject/1292484/),1996.0,8.2, 布莱恩·德·帕尔玛, 汤姆·克鲁斯 / 强·沃特 / 艾曼纽·贝阿, 动作 / 冒险 / 惊悚, 美国
269,1996年,9A,[更多 Encore](https://movie.douban.com/subject/1958514/),1996.0, , 帕斯卡尔·博尼策尔, 杰基·贝约尔 / 瓦莱丽亚·布鲁尼·泰德斯基 / 娜塔莎·雷尼埃, 喜剧 / 爱情 / 剧情, 法国
270,1996年,9B,[非对称情爱 Parfait amour!](https://movie.douban.com/subject/1303457/),1996.0,6.6, 凯瑟琳·布雷亚, 伊莎贝拉·雷纳德 / 法朗西斯·瑞纳德 /, 剧情 / 爱情 / 情色, 法国
271,1996年,10,[别忘记你将死 N'oublie pas que tu vas mourir](https://movie.douban.com/subject/1948455/),1995.0,6.8, 泽维尔·布瓦, 泽维尔·布瓦 / 齐雅拉·马斯楚安尼 / 罗什迪·泽姆, 剧情, 法国
272,1995年,1,[冷酷祭典 La cérémonie](https://movie.douban.com/subject/1303463/),1995.0,8.0, 克洛德·夏布洛尔, 伊莎贝尔·于佩尔 / 桑德里娜·博内尔 / 让-皮埃尔·卡塞尔, 犯罪 / 剧情 / 惊悚, 法国/德国
273,1995年,2,[难为了爸爸 Le garçu](https://movie.douban.com/subject/1303461/),1995.0,7.1, 莫里斯·皮亚拉, 热拉尔·德帕迪约 / 热拉尔丁娜·帕亚 / Antoine Pialat, 剧情, 法国
274,1995年,3,[时间 Waati](https://movie.douban.com/subject/1869696/),1995.0, , 苏莱曼·西塞, 苏莱曼·西塞 / Mariame Amerou Mohamed Dicko / Balla Moussa Keita, 剧情, 法国/马里/布基纳法索
275,1995年,4,[廊桥遗梦 The Bridges of Madison County](https://movie.douban.com/subject/1293929/),1995.0,8.7, 克林特·伊斯特伍德, 克林特·伊斯特伍德 / 梅丽尔·斯特里普 / 安妮·科利, 剧情 / 爱情, 美国
276,1995年,5,[请忘记我 Oublie-moi](https://movie.douban.com/subject/1958509/),1994.0, , 诺埃米·洛夫斯基, 瓦莱丽亚·布鲁尼·泰德斯基 / 艾曼纽·德芙 / 洛朗·格雷维尔, 剧情, 法国
277,1995年,6,[我的秘密之花 La flor de mi secreto](https://movie.douban.com/subject/1300954/),1995.0,7.8, 佩德罗·阿莫多瓦, 玛丽萨·帕雷德斯 / 胡安·埃查诺维 / 卡梅·埃利亚斯, 剧情, 西班牙/法国
278,1995年,7,[奏鸣曲 ソナチネ](https://movie.douban.com/subject/1298351/),1993.0,8.4, 北野武, 北野武 / 国舞亚矢 / 渡边哲, 剧情 / 犯罪, 日本
279,1995年,8,[艾德·伍德 Ed Wood](https://movie.douban.com/subject/1293683/),1994.0,8.2, 蒂姆·波顿, 约翰尼·德普 / 莎拉·杰茜卡·帕克 / 比尔·默瑞, 传记 / 喜剧 / 剧情, 美国
280,1995年,9,[橄榄树下的情人 زير درختان زيتون](https://movie.douban.com/subject/1303465/),1994.0,8.4, 阿巴斯·基亚罗斯塔米, 默罕默德·阿里·科沙瓦兹 / 法德哈·基德曼 / Zarifeh Shiva, 剧情, 伊朗/法国
281,1995年,10,[战栗黑洞 In the Mouth of Madness](https://movie.douban.com/subject/1303460/),1994.0,7.8, 约翰·卡朋特, 山姆·尼尔 / 朱莉·卡门 / 尤尔根·普洛斯诺, 悬疑 / 奇幻 / 恐怖, 美国
282,1994年,1,[亲爱的日记 Caro diario](https://movie.douban.com/subject/1303466/),1993.0,7.7, 南尼·莫莱蒂, 南尼·莫莱蒂 / 朱利叶斯·贝斯 / 卡洛·马扎库拉蒂, 传记 / 喜剧 / 剧情, 法国/意大利
283,1994年,2,[难以入眠 J'ai pas sommeil](https://movie.douban.com/subject/1429124/),1994.0,7.5, 克莱尔·德尼, 叶卡捷琳娜·戈卢别娃 / Richard Courcet / Vincent Dupont, 剧情 / 悬疑 / 惊悚, 法国/瑞士
284,1994年,3,[情枭的黎明 Carlito's Way](https://movie.douban.com/subject/1292646/),1993.0,8.7, 布莱恩·德·帕尔玛, 阿尔·帕西诺 / 西恩·潘 / 佩内洛普·安·米勒, 犯罪 / 剧情 / 惊悚, 美国
285,1994年,4,[野芦苇 Les roseaux sauvages](https://movie.douban.com/subject/1296049/),1994.0,7.8, 安德烈·泰希内, 埃洛迪·布歇 / 加埃尔·莫雷尔 / 斯特凡·里多, 剧情 / 同性, 法国
286,1994年,5,[圣诞夜惊魂 The Nightmare Before Christmas](https://movie.douban.com/subject/1297131/),1993.0,8.2, 亨利·塞利克, 丹尼·艾夫曼 / 克里斯·萨兰登 / 凯瑟琳·欧哈拉, 动画 / 奇幻 / 音乐, 美国
287,1994年,6,[特沃塔和我 Travolta et moi](https://movie.douban.com/subject/1958501/),1994.0,8.2, 帕特里西亚·玛佐, Leslie Azzoulai / Hélène Eichers / Julien Gerin, 剧情, 法国
288,1994年,7,[美丽的折磨 L'enfer](https://movie.douban.com/subject/1297011/),1994.0,6.8, 克洛德·夏布洛尔, 艾曼纽·贝阿 / 弗朗索瓦·克鲁塞 / 纳塔莉·卡多内, 犯罪 / 剧情, 法国
289,1994年,8,[圣女贞德：监狱篇 Jeanne la Pucelle II - Les prisons](https://movie.douban.com/subject/1765328/),1994.0,8.1,雅克·里维特,桑德里娜·博内尔,剧情 / 传记 / 历史,法国
290,1994年,9,[美国回老家 U.S. Go Home](https://movie.douban.com/subject/1764357/),1994.0,7.9, 克莱尔·德尼, 格莱戈尔·科林 / 文森特·加洛 / Alice Houri, 剧情, 法国
291,1994年,10A,[同死者谈判 Petits arrangements avec les morts](https://movie.douban.com/subject/1901705/),1994.0,7.4, 帕斯卡尔·费兰, 迪迪埃·桑德尔 / Alexandre Zloto / Catherine Ferran, 剧情, 法国
292,1994年,10B,[蝴蝶君 M. Butterfly](https://movie.douban.com/subject/1293643/),1993.0,8.5, 大卫·柯南伯格, 杰瑞米·艾恩斯 / 尊龙 / 芭芭拉·苏科瓦, 剧情 / 爱情 / 同性, 美国/加拿大
293,1993年,1,[完美的世界 A Perfect World](https://movie.douban.com/subject/1300992/),1993.0,9.1, 克林特·伊斯特伍德, 凯文·科斯特纳 / 劳拉·邓恩 / 克林特·伊斯特伍德, 剧情 / 犯罪, 美国
294,1993年,2,[亚伯拉罕山谷 Vale Abraão](https://movie.douban.com/subject/1303467/),1993.0,8.1, 曼努埃尔·德·奥利维拉, 里诺尔·森微娜 / 路易斯·米格尔·辛特拉 / 鲁伊·德·卡瓦略, 剧情, 法国/葡萄牙/瑞士
295,1993年,3,"[大树、市长和文化馆 L'arbre, le maire et la médiathèque](https://movie.douban.com/subject/1303470/)",1993.0,7.3, 埃里克·侯麦, 帕斯卡尔·格雷戈里 / 阿丽尔·朵巴丝勒 / 法布莱斯·鲁奇尼, 剧情 / 喜剧, 法国
296,1993年,4,[吸烟/不吸烟 Smoking/No Smoking](https://movie.douban.com/subject/1303468/),1993.0,7.8, 阿伦·雷乃, 萨宾·阿泽玛 / 皮埃尔·阿迪提 / Peter Hudson, 喜剧, 法国/意大利/瑞士
297,1993年,5,[无声国度 Le pays des sourds](https://movie.douban.com/subject/1428371/),1992.0,8.7, 尼古拉·菲利伯特, Jean-Claude Poulain / Abou Bakar / Anh Tuan, 纪录片, 意大利/法国/英国/瑞士
298,1993年,6,[森林中的日与夜 Aranyer Din Ratri](https://movie.douban.com/subject/1303541/),1970.0,7.4, 萨蒂亚吉特·雷伊, 莎米拉·泰戈尔 / Kaberi Bose / Simi Garewal, 剧情, 印度
299,1993年,7,[疯狗与格拉瑞小姐 Mad Dog and Glory](https://movie.douban.com/subject/1293933/),1993.0,6.5, 约翰·麦克诺顿, 罗伯特·德尼罗 / 乌玛·瑟曼 / 比尔·默瑞, 剧情 / 喜剧 / 爱情 / 犯罪, 美国
300,1993年,8,[午夜猎物 Innocent Blood](https://movie.douban.com/subject/1297175/),1992.0,6.2, 约翰·兰迪斯, 安娜·帕里约 / 大卫·普罗瓦尔 / 罗科·西斯托, 喜剧 / 恐怖 / 爱情, 美国
301,1993年,9,[坏中尉 Bad Lieutenant](https://movie.douban.com/subject/1293494/),1992.0,7.3, 阿贝尔·费拉拉, 哈威·凯特尔 / 佩吉·戈尔姆利 / 维克多·阿尔果, 犯罪 / 剧情, 美国
302,1993年,10,[悲哀于我 Hélas pour moi](https://movie.douban.com/subject/1303469/),1993.0,7.4, 让-吕克·戈达尔, 热拉尔·德帕迪约 / Laurence Masliah / 贝尔纳·维尔莱, 喜剧 / 剧情, 法国/瑞士
303,1992年,1,[不可饶恕 Unforgiven](https://movie.douban.com/subject/1293566/),1992.0,8.5, 克林特·伊斯特伍德, 克林特·伊斯特伍德 / 吉恩·哈克曼 / 摩根·弗里曼, 剧情 / 西部, 美国
304,1992年,2,[不速之客 Agantuk](https://movie.douban.com/subject/1303582/),1991.0, , 萨蒂亚吉特·雷伊, 乌特帕尔·道特 / 迪潘卡尔·戴伊 / 玛玛塔·尚卡尔, 剧情, 法国/印度
305,1992年,3,[生生长流 زندگی و دیگر هیچ](https://movie.douban.com/subject/1303471/),1992.0,8.8, 阿巴斯·基亚罗斯塔米, 法德哈·基德曼 / 布巴·巴尤尔· / 奥西纳·法赫, 剧情 / 灾难, 伊朗
306,1992年,4,[丈夫、太太与情人 Husbands and Wives](https://movie.douban.com/subject/1301616/),1992.0,8.3, 伍迪·艾伦, 伍迪·艾伦 / 布莱思·丹纳 / 朱迪·戴维斯, 剧情 / 爱情, 美国
307,1992年,5A,[野兽之夜 Les nuits fauves](https://movie.douban.com/subject/1303473/),1992.0,7.3, 西里尔·科拉尔, 罗曼娜·波琳热 / 让-克里斯托夫·布维 / Régine Arniaud, 剧情 / 同性 / 传记, 法国/意大利/英国
308,1992年,5B,[国境线 Border Line](https://movie.douban.com/subject/1303517/),1992.0, , 丹尼尔·达布洛克斯, 丹尼尔·达布洛克斯 / David Léotard / 安德烈·杜索里埃, 剧情, 法国/瑞士
309,1992年,5C,[哨兵 La sentinelle](https://movie.douban.com/subject/1293479/),1992.0,7.7, 阿诺·戴普勒尚, 埃马努埃尔·萨兰热 / 蒂博·德·蒙塔朗贝尔 / 让-路易·里夏尔, 惊悚, 法国
310,1992年,8A,[冬天的故事 Conte d'hiver](https://movie.douban.com/subject/1293388/),1992.0,8.5, 埃里克·侯麦, 夏洛特·韦里 / 弗里德里克·范登德里舍 / 米歇尔·瓦莱蒂, 剧情 / 爱情, 法国
311,1992年,8B,[追逐蝴蝶 La chasse aux papillons](https://movie.douban.com/subject/1303516/),1992.0,7.9, 奥塔·埃索里亚尼, Narda Blanchet / Pierette Pompom Bailhache / Aleksandr Cherkasov, 剧情, 法国/德国/意大利
312,1992年,10A,[牯岭街少年杀人事件 牯嶺街少年殺人事件](https://movie.douban.com/subject/1292329/),1991.0,8.9, 杨德昌, 张震 / 杨静怡 / 张国柱, 剧情 / 犯罪, 中国台湾
313,1992年,10B,[橡树 Balanţa](https://movie.douban.com/subject/1303475/),1992.0,7.6, 卢奇安·平蒂列, 玛雅·摩根斯特恩 / 勒兹万·瓦西莱斯库 / 维克托·雷本久克, 喜剧 / 剧情, 法国/罗马尼亚
314,1992年,10C,[妄想 Le mirage](https://movie.douban.com/subject/1303474/),1992.0, , 让-克劳德·吉盖, 露易丝·玛鲁 / 法比恩·巴布 / 马科·霍夫斯奇奈德, 剧情, 加拿大/法国/德国/瑞士
315,1992年,10D,[微笑之屋 La casa del sorriso](https://movie.douban.com/subject/1303527/),1991.0,6.7, 马可·费雷里, 英格丽·图林 / 达多·鲁斯波利 / 恩佐·卡拉瓦勒, 剧情, 意大利
316,1991年,1,[梵高 Van Gogh](https://movie.douban.com/subject/1418998/),1991.0,7.7, 莫里斯·皮亚拉, 雅克·迪特隆 / 亚历山德拉·伦敦 / 贝尔纳·勒科克, 剧情 / 传记 / 爱情 / 冒险, 法国
317,1991年,2,[米勒的十字路口 Miller's Crossing](https://movie.douban.com/subject/1292060/),1990.0,7.8, 乔尔·科恩 / 伊桑·科恩, 加布里埃尔·伯恩 / 马西娅·盖伊·哈登 / 约翰·特托罗, 犯罪 / 剧情 / 惊悚, 美国
318,1991年,3,[巴顿·芬克 Barton Fink](https://movie.douban.com/subject/1298043/),1991.0,8.1, 乔尔·科恩 / 伊桑·科恩, 约翰·特托罗 / 约翰·古德曼 / 朱迪·戴维斯, 剧情 / 喜剧 / 惊悚, 美国/英国
319,1991年,4,[教父3 The Godfather: Part III](https://movie.douban.com/subject/1294240/),1990.0,9.0, 弗朗西斯·福特·科波拉, 阿尔·帕西诺 / 黛安·基顿 / 塔莉娅·夏尔, 剧情 / 犯罪, 美国
320,1991年,5,[特写 کلوزآپ](https://movie.douban.com/subject/1303521/),1990.0,8.8, 阿巴斯·基亚罗斯塔米, Hossain Sabzian / 莫森·玛克玛尔巴夫 / Abolfazl Ahankhah, 犯罪 / 剧情, 伊朗
321,1991年,6,[我再也听不见吉他声 J'entends plus la guitare](https://movie.douban.com/subject/1825599/),1991.0,7.4, 菲利普·加瑞尔, 贝努特·里格恩特 / 约翰娜·特尔·斯蒂格 / 亚纳·柯勒特, 剧情, 法国
322,1991年,7,[剪刀手爱德华 Edward Scissorhands](https://movie.douban.com/subject/1292370/),1990.0,8.7, 蒂姆·波顿, 约翰尼·德普 / 薇诺娜·瑞德 / 黛安·韦斯特, 剧情 / 奇幻 / 爱情, 美国
323,1991年,8,[八月狂想曲 八月の狂詩曲](https://movie.douban.com/subject/1302619/),1991.0,7.5, 黑泽明, 村濑幸子 / 井川比佐志 / 茅岛成美, 剧情, 日本
324,1991年,9,[新桥恋人 Les amants du Pont-Neuf](https://movie.douban.com/subject/1291559/),1991.0,8.2, 莱奥·卡拉克斯, 朱丽叶·比诺什 / 德尼·拉旺, 剧情 / 爱情, 法国
325,1991年,10,[巴黎苏醒 Paris s'éveille](https://movie.douban.com/subject/1958496/),1991.0, , 奥利维耶·阿萨亚斯, 朱迪丝·戈德雷什 / 让-皮埃尔·利奥德 / 托马斯·朗曼, 剧情, 法国/意大利
326,1990年,1A,[小罪犯 Le petit criminel](https://movie.douban.com/subject/1303519/),1990.0,7.1, 雅克·杜瓦隆, 里夏尔·安科尼纳 / 热拉尔德·托马森 / 克洛蒂尔·蔻洛, 剧情, 法国
327,1990年,1B,[死亡与复活 Замри-Умри-Воскресни!](https://movie.douban.com/subject/1303518/),1990.0,8.2, 瓦拉里·康涅夫斯基, 蒂娜拉·卓卡洛娃 / Pavel Nazarov / Yelena Popova, 剧情, 苏联
328,1990年,3A,[新浪潮 Nouvelle vague](https://movie.douban.com/subject/1303520/),1990.0,7.7, 让-吕克·戈达尔, 阿兰·德龙 / 多米齐亚娜·焦尔达诺 / 雅克·达克米纳, 剧情, 法国/瑞士
329,1990年,3B,[好家伙 GoodFellas](https://movie.douban.com/subject/1292268/),1990.0,8.5, 马丁·斯科塞斯, 罗伯特·德尼罗 / 雷·利奥塔 / 乔·佩西, 剧情 / 传记 / 犯罪, 美国
330,1990年,5A,"[亚历山大再次和永远 Iskanderija, kaman oue kaman](https://movie.douban.com/subject/1303522/)",1990.0, , 尤瑟夫·夏因, 尤斯拉 / 尤瑟夫·夏因 / Hussein Fahmy, 剧情, 埃及/法国
331,1990年,5B,"[战士的荣誉 'Non', ou A Vã Glória de Mandar](https://movie.douban.com/subject/1460601/)",1990.0,7.7, 曼努埃尔·德·奥利维拉, Diogo Dória / 路易斯·米格尔·辛特拉 / 米格尔·古伊尔赫梅, 剧情 / 历史 / 战争, 法国/西班牙/葡萄牙
332,1990年,5C,[云遮星 মেঘে ঢাকা তারা](https://movie.douban.com/subject/1460605/),1960.0,7.7, 李维克·伽塔克, Supriya Choudhury / 阿尼尔·查特吉 / 贾内什·慕克吉, 剧情, 印度
333,1990年,8A,[梦 夢](https://movie.douban.com/subject/1299112/),1990.0,8.7, 黑泽明, 寺尾聪 / 倍赏美津子 / 根岸季衣, 剧情 / 奇幻, 日本/美国
334,1990年,8B,[不再着迷 La désenchantée](https://movie.douban.com/subject/1303523/),1990.0,7.5, 伯努瓦·雅克, 朱迪丝·戈德雷什 / Marcel Bozonnet / 伊凡·德斯尼, 剧情 / 爱情, 法国
335,1990年,8C,[罪与错 Crimes and Misdemeanors](https://movie.douban.com/subject/1292536/),1989.0,8.0, 伍迪·艾伦, 比尔·伯恩斯坦 / 马丁·兰道 / 克莱尔·布鲁姆, 喜剧 / 剧情, 美国
336,1989年,1A,[为所应为 Do the Right Thing](https://movie.douban.com/subject/1293958/),1989.0,8.2, 斯派克·李, 丹尼·爱罗 / 奥西·戴维斯 / 露比·迪, 剧情 / 喜剧, 美国
337,1989年,1B,[红色木鸽 Palombella rossa](https://movie.douban.com/subject/1303524/),1989.0,7.0, 南尼·莫莱蒂, 南尼·莫莱蒂 / 西尔维奥·奥兰多 / Mariella Valentini, 喜剧 / 运动, 法国/意大利
338,1989年,3A,[四个女人的故事 La Bande des quatre](https://movie.douban.com/subject/1419862/),1989.0,7.8, 雅克·里维特, 布鲁·欧吉尔 / 贝努特·里格恩特 / Fejria Deliba, 剧情 / 冒险 / 悬疑, 法国/瑞士
339,1989年,3B,[孽扣 Dead Ringers](https://movie.douban.com/subject/1293297/),1988.0,7.8, 大卫·柯南伯格, 杰瑞米·艾恩斯 / 詹妮薇芙·布卓 / Heidi von Palleske, 剧情 / 爱情 / 惊悚, 加拿大
340,1989年,5A,[食人族 Os Canibais](https://movie.douban.com/subject/1958490/),1988.0,6.5, 曼努埃尔·德·奥利维拉, 路易斯·米格尔·辛特拉 / 里诺尔·森微娜 / Diogo Dória, 歌舞 / 剧情 / 奇幻 / 悬疑, 葡萄牙/法国/西德/意大利/瑞士
341,1989年,5B,[雅巴 Yaaba](https://movie.douban.com/subject/1958491/),1989.0,6.6, 伊德沙·渥德拉戈, Fatimata Sanga / 伊德沙·渥德拉戈 / Roukietou Barry, 剧情 / 家庭, 布基纳法索/瑞士/法国
342,1989年,7A,[黑雨 黒い雨](https://movie.douban.com/subject/1294867/),1989.0,8.1, 今村昌平, 田中好子 / 北村和夫 / 市原悦子, 剧情, 日本
343,1989年,7B,[厚牛皮 Peaux de vaches](https://movie.douban.com/subject/1958492/),1989.0,7.9, 帕特里西亚·玛佐, 桑德里娜·博内尔 / 让-弗朗索瓦·斯泰弗南 / 雅克·斯皮埃塞, 剧情, 法国
344,1989年,7C,[小薇拉 Маленькая Вера](https://movie.douban.com/subject/1788109/),1988.0,7.1, 瓦西里·皮楚尔, Natalya Negoda / 安德烈·索可洛夫 / 尤里·纳扎罗夫, 剧情 / 爱情, 苏联
345,1989年,10A,[我要回家 Je veux rentrer à la maison](https://movie.douban.com/subject/1417485/),1989.0,6.3, 阿伦·雷乃, 阿多夫·格林 / Laura Benson / 琳达·拉文, 喜剧, 法国
346,1989年,10B,[流浪者之歌 Дом за вешање](https://movie.douban.com/subject/1303525/),1988.0,9.1, 埃米尔·库斯图里卡, 达沃尔·杜伊莫维奇 / 博拉·托德洛维奇 / Ljubica Adzovic, 喜剧 / 犯罪 / 剧情 / 奇幻, 意大利/英国/南斯拉夫
347,1989年,10C,[意外的旅客 The Accidental Tourist](https://movie.douban.com/subject/1293736/),1988.0,7.4, 劳伦斯·卡斯丹, 威廉·赫特 / 凯瑟琳·特纳 / 吉娜·戴维斯, 剧情 / 爱情, 美国
348,1988年,1,[十诫 Dekalog](https://movie.douban.com/subject/1301252/),1989.0,9.2,克日什托夫·基耶斯洛夫斯基,阿图尔·巴奇斯 / 昂里克·巴兰诺斯基 / 胡契克·卡勒塔 / 马娅·科莫罗夫斯卡 / 克里斯提娜·杨达 / 亚历山大·巴尔迪尼 / 奥尔基尔德·鲁卡斯瑟维克茨 / 斯塔尼斯拉娃·加瓦里克 / 克日什托夫·库摩尔 / 达尼尔·奥勒布里斯基 / 玛利亚·帕库尔尼斯 / 乔安娜·斯泽普科斯卡 / 阿德里安娜·别德耶斯卡 / 扬努斯·加约斯 / 亚当·哈努斯科维奇 / 安杰伊·布卢门菲尔德 / 米罗斯洛·巴卡 / 克日什托夫·格洛比什 / 扬·特萨利兹 / 比涅尤·扎塔西奇斯 / 格拉日娜·沙波沃夫斯卡 / 奥拉夫·卢巴申科 / 斯特凡尼亚·伊文斯卡 / 安娜·波洛尼 / 玛雅·芭蕾科沃斯卡 / 瓦迪斯瓦夫·科瓦尔斯基 / 博古斯瓦夫·林达 / 卡塔兹亚娜·皮沃瓦兹克 / 玛丽亚·克斯采科斯卡 / 特蕾莎·玛索丝嘉 / 塔德乌什·罗姆尼斯基 / 伊娃·布拉什奇克 / 比奥迪·玛查里卡 / 扬·扬科夫斯基 / 约兰塔·皮特卡-格雷奇卡 / 杰吉·特雷拉 / 耶日·斯图尔 / 泽比纽·扎马洲斯基 / 亨里克·比斯塔 / 马赛杰·斯图尔,剧情,波兰 / 西德
349,1988年,2,[布拉格之恋 The Unbearable Lightness of Being](https://movie.douban.com/subject/1291859/),1988.0,8.2, 菲利普·考夫曼, 丹尼尔·戴-刘易斯 / 朱丽叶·比诺什 / 莉娜·奥琳, 剧情 / 爱情, 美国
350,1988年,3,[死者 The Dead](https://movie.douban.com/subject/1303529/),1987.0,7.5, 约翰·休斯顿, 安杰丽卡·休斯顿 / 多纳尔·麦卡恩 / 丹·奥赫里奇, 剧情, 英国/爱尔兰
351,1988年,4,[急救 Urgences](https://movie.douban.com/subject/1468822/),1988.0, , 雷蒙·德帕东, , 纪录片, 法国
352,1988年,5,[爵士乐手 Bird](https://movie.douban.com/subject/1294214/),1988.0,7.2, 克林特·伊斯特伍德, 福里斯特·惠特克 / 戴安·维诺拉 / Michael Zelniker, 传记 / 剧情 / 音乐, 美国
