Index,Group 分榜,Rank 排名,Title 电影,Score 打分,Region 地区,Genre 类型,Staff 人员
46,豆瓣2017年度最期待华语独立佳作,3,村戏,8.00,中国大陆, ,郑大圣 / 李志兵 / 梁春柱
47,豆瓣2017年度最期待华语独立佳作,4,中国梵高,7.70,中国大陆 荷兰 Holland, ,余海波 Haibo Yu / 赵小勇 / Yongjiu Zhou
48,豆瓣2017年度最期待华语独立佳作,5,血观音,8.50,中国台湾, ,杨雅喆 / 惠英红 / 吴可熙
49,豆瓣2017年度最期待华语独立佳作,6,大世界,6.90,中国大陆, ,刘健 / 朱昌龙 / 曹寇
50,豆瓣2017年度最期待华语独立佳作,7,米花之味,7.30,中国大陆, ,鹏飞 / 英泽 / 叶不勒
51,豆瓣2017年度最期待华语独立佳作,8,暴裂无声,8.20,中国大陆, ,忻钰坤 / 宋洋 / 姜武
52,豆瓣2017年度最期待华语独立佳作,9,强尼凯克,6.60,中国台湾, ,黄熙 / 柯宇纶 / 瑞玛·席丹
53,豆瓣2017年度最期待华语独立佳作,10,笨鸟,6.70,中国大陆, ,黄骥 / 姚红贵
54, , , , , , , 
55,豆瓣2017年度中国大陆网络/电视电影,1,小戏骨：红楼梦之刘姥姥进大观园,9.10,中国大陆, ,潘礼平 / 释小松 / 周漾玥
56,豆瓣2017年度中国大陆网络/电视电影,2,小戏骨：放开那三国,7.80,中国大陆, ,潘礼平 / 陶奕希 / 李俊豪
57,豆瓣2017年度中国大陆网络/电视电影,3,我的上高,7.90,中国大陆, ,钱泠泠 / 田小洁 / 耿黎明
58,豆瓣2017年度中国大陆网络/电视电影,4,星游记之风暴法米拉,7.40,中国大陆, ,胡一泊 / 陶典 / 小连杀
59,豆瓣2017年度中国大陆网络/电视电影,5,在勾引中学会爱2,8.10,中国大陆, ,叶明 / 马铭远 / 刘柳
60,豆瓣2017年度中国大陆网络/电视电影,6,灵魂摆渡之风华绝代,7.40,中国大陆, ,巨兴茂 / 于毅 / 岳丽娜
61,豆瓣2017年度中国大陆网络/电视电影,7,哀乐女子天团,6.60,中国大陆, ,桑木天 / 杨小兰 / 刘頔
62,豆瓣2017年度中国大陆网络/电视电影,8,小戏骨：花木兰,6.40,中国大陆, ,袁慧玲 / 刘戴恩 / 陈禹衡
63,豆瓣2017年度中国大陆网络/电视电影,9,海带,6.30,中国大陆, ,阚若涵 / 邓飞 / 刘颺
64,豆瓣2017年度中国大陆网络/电视电影,10,暴走刑警,6.10,中国大陆, ,来牧宽 / 张隽溢 / 董博睿
65, , , , , , , 
