Title 电影,Rank 排名,Score 打分,Year 年份
[哈利波特与阿兹卡班的囚徒 / Harry Potter and the Prisoner of Azkaban](https://www.themoviedb.org/movie/673),🎉262,🌟80.21,2004
[美国丽人 / American Beauty](https://www.themoviedb.org/movie/14),🎉263,🌟80.21,1999
[德尔苏·乌扎拉 / Dersu Uzala](https://www.themoviedb.org/movie/9764),🎉264,🌟80.19,1977
[黄昏双镖客 / For a Few Dollars More](https://www.themoviedb.org/movie/938),🎉265,🌟80.18,1967
[电话谋杀案 / Dial M for Murder](https://www.themoviedb.org/movie/521),🎉266,🌟80.18,1954
[银河护卫队3 / Guardians of the Galaxy Vol. 3](https://www.themoviedb.org/movie/447365),🎉267,🌟80.18,2023
"[罗马，不设防的城市 / Rome, Open City](https://www.themoviedb.org/movie/307)",🎉268,🌟80.17,1946
[公民凯恩 / Citizen Kane](https://www.themoviedb.org/movie/15),🎉269,🌟80.17,1941
[与我为邻 / Won't You Be My Neighbor?](https://www.themoviedb.org/movie/490003),🎉270,🌟80.15,2018
[小人物 / Nobody](https://www.themoviedb.org/movie/615457),🎉271,🌟80.14,2021
[天气之子 / Weathering with You](https://www.themoviedb.org/movie/568160),🎉272,🌟80.14,2020
[海洋之歌 / Song of the Sea](https://www.themoviedb.org/movie/110416),🎉273,🌟80.16,2014
[镜子 / Mirror](https://www.themoviedb.org/movie/1396),🎉274,🌟80.12,2014
[极速车王 / Ford v Ferrari](https://www.themoviedb.org/movie/359724),🎉275,🌟80.10,2019
[心跳瞬间 / In a Heartbeat](https://www.themoviedb.org/movie/455661),🎉276,🌟80.09,2017
[赌城风云 / Casino](https://www.themoviedb.org/movie/524),🎉277,🌟80.09,1995
[忠犬八公的故事 / Hachi: A Dog's Tale](https://www.themoviedb.org/movie/28178),🎉278,🌟80.00,2009
[巴里·林登 / Barry Lyndon](https://www.themoviedb.org/movie/3175),🎉279,🌟80.08,1975
[模仿游戏 / The Imitation Game](https://www.themoviedb.org/movie/205596),🎉280,🌟80.07,2014
[卡比利亚之夜 / Nights of Cabiria](https://www.themoviedb.org/movie/19426),🎉281,🌟80.07,1957
[马戏团 / The Circus](https://www.themoviedb.org/movie/28978),🎉282,🌟80.04,1928
[杀死一只知更鸟 / To Kill a Mockingbird](https://www.themoviedb.org/movie/595),🎉283,🌟80.04,1962
[秋日奏鸣曲 / Autumn Sonata](https://www.themoviedb.org/movie/12761),🎉284,🌟80.00,1978
[爱的曝光 / Love Exposure](https://www.themoviedb.org/movie/28422),🎉285,🌟80.01,2011
[猎鹿人 / The Deer Hunter](https://www.themoviedb.org/movie/11778),🎉286,🌟80.01,1978
[重庆森林 / Chungking Express](https://www.themoviedb.org/movie/11104),🎉287,🌟80.00,1996
[晚春 / Late Spring](https://www.themoviedb.org/movie/20530),🎉288,🌟80.00,1972
[怪物之子 / The Boy and the Beast](https://www.themoviedb.org/movie/315465),🎉289,🌟79.99,2016
[纸人 / Paperman](https://www.themoviedb.org/movie/140420),🎉290,🌟79.99,2012
[波西米亚狂想曲 / Bohemian Rhapsody](https://www.themoviedb.org/movie/424694),🎉291,🌟79.96,2018
[在这世界的角落 / In This Corner of the World](https://www.themoviedb.org/movie/378108),🎉292,🌟79.95,2017
[老爷车 / Gran Torino](https://www.themoviedb.org/movie/13223),🎉293,🌟79.94,2008
[金氏漂流记 / Castaway on the Moon](https://www.themoviedb.org/movie/18438),🎉294,🌟79.92,2010
[1917 / 1917](https://www.themoviedb.org/movie/530915),🎉295,🌟79.91,2019
[三傻大闹宝莱坞 / 3 Idiots](https://www.themoviedb.org/movie/20453),🎉296,🌟79.90,2009
[Spider-Man: No Way Home / Spider-Man: No Way Home](https://www.themoviedb.org/movie/634649),🎉297,🌟79.88,2021
[谜一样的双眼 / The Secret in Their Eyes](https://www.themoviedb.org/movie/25376),🎉298,🌟79.89,2010
[西北偏北 / North by Northwest](https://www.themoviedb.org/movie/213),🎉299,🌟79.87,1959
[学校整蛊联盟2 / No Manches Frida 2](https://www.themoviedb.org/movie/554596),🎉300,🌟79.85,2019
