Title 电影,Director 导演,Rank 排名,Score 打分,Alias 别名,Year 年份,Region 地区,Genre 类型
[神偷奶爸](https://movie.douban.com/subject/3287562/),皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,🎉142,🌟8.7,Despicable Me / 卑鄙的我  /  坏蛋奖门人(港),2010,美国 法国,喜剧 动画 冒险
[玛丽和马克思](https://movie.douban.com/subject/3072124/),亚当·艾略特 Adam Elliot,🎉143,🌟9.0,Mary and Max / 巧克力情缘(台)  /  同是天涯寂寞客,2009,澳大利亚 美国,剧情 喜剧 动画
[告白](https://movie.douban.com/subject/4268598/),中岛哲也 Tetsuya Nakashima,🎉144,🌟8.8,自白  /  母亲,2010,日本,剧情 悬疑
[茶馆](https://movie.douban.com/subject/1461403/),谢添 Tian Xie,🎉145,🌟9.6,The Teahouse,1982,中国大陆,剧情 历史
[哪吒闹海](https://movie.douban.com/subject/1307315/),王树忱 Shuchen Wang / 严定宪 Dingxian Yan,🎉146,🌟9.2,Prince Nezha's Triumph Against Dragon King  /  Nezha Conquers the Dragon King,1979,中国大陆,冒险 动画 奇幻
[大鱼](https://movie.douban.com/subject/1291545/),蒂姆·波顿 Tim Burton,🎉147,🌟8.8,Big Fish / 大鱼奇缘(港)  /  大智若鱼(台),2003,美国,剧情 家庭 奇幻 冒险
[九品芝麻官](https://movie.douban.com/subject/1297518/),王晶 Jing Wong,🎉148,🌟8.7,九品芝麻官之白面包青天  /  Hail the Judge,1994,中国香港 中国大陆,剧情 喜剧 古装
[喜宴](https://movie.douban.com/subject/1303037/),李安 Ang Lee,🎉149,🌟9.0,囍宴 / The Wedding Banquet,1993,中国台湾 美国,剧情 喜剧 爱情 同性 家庭
[色，戒](https://movie.douban.com/subject/1828115/),李安 Ang Lee,🎉150,🌟8.7,色|戒  /  色·戒,2007,中国台湾 中国大陆 美国 中国香港,剧情 爱情 情色
[模仿游戏](https://movie.douban.com/subject/10463953/),莫滕·泰杜姆 Morten Tyldum,🎉151,🌟8.8,The Imitation Game / 解码游戏(港)  /  模拟游戏,2014,英国 美国,剧情 传记 战争 同性
[头号玩家](https://movie.douban.com/subject/4920389/),史蒂文·斯皮尔伯格 Steven Spielberg,🎉152,🌟8.7,Ready Player One / 玩家一号  /  挑战者1号(港),2018,美国,动作 科幻 冒险
[射雕英雄传之东成西就](https://movie.douban.com/subject/1316510/),刘镇伟 Jeffrey Lau,🎉153,🌟8.7,射鵰英雄傳之東成西就 / 东成西就  /  大英雄 (日本),1993,中国香港,喜剧 奇幻 武侠 古装
[花样年华](https://movie.douban.com/subject/1291557/),王家卫 Kar Wai Wong,🎉154,🌟8.7,花樣年華 / In the Mood for Love,2000,中国香港,剧情 爱情
[我是山姆](https://movie.douban.com/subject/1306861/),杰茜·尼尔森 Jessie Nelson,🎉155,🌟9.0,I Am Sam / 不一样的爸爸(港)  /  他不笨，他是我爸爸(台),2001,美国,剧情 家庭
[阳光姐妹淘](https://movie.douban.com/subject/4917726/),姜炯哲 Hyeong-Cheol Kang,🎉156,🌟8.8,써니 / 阳光姊妹淘(港)  /  桑尼,2011,韩国,剧情 喜剧
[头脑特工队](https://movie.douban.com/subject/10533913/),彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen,🎉157,🌟8.8,Inside Out / 玩转脑朋友(港)  /  脑筋急转弯(台),2015,美国,喜剧 动画 冒险
[血战钢锯岭](https://movie.douban.com/subject/26325320/),梅尔·吉布森 Mel Gibson,🎉158,🌟8.7,Hacksaw Ridge / 钢锯岭  /  钢铁英雄(台),2016,澳大利亚 美国,剧情 传记 历史 战争
[七武士](https://movie.douban.com/subject/1295399/),黑泽明 Akira Kurosawa,🎉159,🌟9.3,七人の侍 / 七侠四义(港)  /  七剑客(港),1954,日本,动作 冒险 剧情
[恐怖直播](https://movie.douban.com/subject/21360417/),金秉祐 Byeong-woo Kim,🎉160,🌟8.7,더 테러 라이브 / 死亡“动”新闻(港)  /  恐怖攻击直播(台),2013,韩国,剧情 犯罪 悬疑
[惊魂记](https://movie.douban.com/subject/1293181/),阿尔弗雷德·希区柯克 Alfred Hitchcock,🎉161,🌟9.0,Psycho / 精神病患者  /  触目惊心(港),1960,美国,悬疑 惊悚 恐怖
[黑客帝国3：矩阵革命](https://movie.douban.com/subject/1302467/),拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,🎉162,🌟8.8,The Matrix Revolutions / 22世纪杀人网络3：惊变世纪(港)  /  骇客任务完结篇：最后战役(台),2003,美国,动作 科幻
[你的名字。](https://movie.douban.com/subject/26683290/),新海诚 Makoto Shinkai,🎉163,🌟8.5,君の名は。 / 你的名字  /  君之名,2016,日本,剧情 爱情 动画
[电锯惊魂](https://movie.douban.com/subject/1417598/),詹姆斯·温 James Wan,🎉164,🌟8.8,Saw / 恐惧斗室(港)  /  夺魂锯(台),2004,美国,悬疑 惊悚 恐怖
[三块广告牌](https://movie.douban.com/subject/26611804/),马丁·麦克唐纳 Martin McDonagh,🎉165,🌟8.7,"Three Billboards Outside Ebbing, Missouri / 广告牌杀人事件(港)  /  意外(台)",2017,英国 美国,剧情 犯罪
[达拉斯买家俱乐部](https://movie.douban.com/subject/1793929/),让-马克·瓦雷 Jean-Marc Vallée,🎉166,🌟8.8,Dallas Buyers Club / 续命枭雄(港)  /  药命俱乐部(台),2013,美国,剧情 传记 同性
[疯狂原始人](https://movie.douban.com/subject/1907966/),科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,🎉167,🌟8.7,The Croods / 古鲁家族(港 / 台),2013,美国,喜剧 动画 冒险
[心迷宫](https://movie.douban.com/subject/25917973/),忻钰坤 Yukun Xin,🎉168,🌟8.7,殡棺  /  The Coffin in the Mountain,2014,中国大陆,剧情 犯罪 悬疑
[谍影重重3](https://movie.douban.com/subject/1578507/),保罗·格林格拉斯 Paul Greengrass,🎉169,🌟8.8,The Bourne Ultimatum / 叛谍追击3：最后通牒(港)  /  神鬼认证：最后通牒 (台),2007,美国 德国 法国 英国,动作 悬疑 惊悚
[上帝之城](https://movie.douban.com/subject/1292208/),费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund,🎉170,🌟9.0,Cidade de Deus / 无主之城(港)  /  无法无天(台),2002,巴西 法国,犯罪 剧情
[英雄本色](https://movie.douban.com/subject/1297574/),吴宇森 John Woo,🎉171,🌟8.6,A Better Tomorrow  /  Gangland Boss,1986,中国香港,剧情 动作 犯罪
[风之谷](https://movie.douban.com/subject/1291585/),宫崎骏 Hayao Miyazaki,🎉172,🌟8.9,風の谷のナウシカ / 风谷少女  /  Kaze no tani no Naushika,1984,日本,动画 奇幻 冒险
[纵横四海](https://movie.douban.com/subject/1295409/),吴宇森 John Woo,🎉173,🌟8.8,緃横四海 / Once a Thief,1991,中国香港,剧情 喜剧 动作 犯罪
[卢旺达饭店](https://movie.douban.com/subject/1291822/),特瑞·乔治 Terry George,🎉174,🌟8.9,Hotel Rwanda / 卢安达饭店(台),2004,英国 南非 意大利 美国,剧情 传记 历史 战争
[爱在午夜降临前](https://movie.douban.com/subject/10808442/),理查德·林克莱特 Richard Linklater,🎉175,🌟8.9,Before Midnight / 情约半生(港)  /  爱在午夜希腊时(台),2013,美国 希腊,剧情 爱情
[海街日记](https://movie.douban.com/subject/25895901/),是枝裕和 Hirokazu Koreeda,🎉176,🌟8.8,海街diary / 海街女孩日记(港)  /  Kamakura Diary,2015,日本,剧情 家庭
[绿里奇迹](https://movie.douban.com/subject/1300374/),弗兰克·德拉邦特 Frank Darabont,🎉177,🌟8.9,The Green Mile / 绿色奇迹(台)  /  绿色英里,1999,美国,犯罪 剧情 奇幻 悬疑
[记忆碎片](https://movie.douban.com/subject/1304447/),克里斯托弗·诺兰 Christopher Nolan,🎉178,🌟8.7,Memento / 凶心人(港)  /  记忆拼图(台),2000,美国,犯罪 剧情 悬疑 惊悚
[小丑](https://movie.douban.com/subject/27119724/),托德·菲利普斯 Todd Phillips,🎉179,🌟8.7,Joker / 小丑起源电影：罗密欧  /  Romeo,2019,美国 加拿大,剧情 犯罪 惊悚
[疯狂的石头](https://movie.douban.com/subject/1862151/),宁浩 Hao Ning,🎉180,🌟8.6,Crazy Stone,2006,中国大陆 中国香港,喜剧 犯罪
[背靠背，脸对脸](https://movie.douban.com/subject/1307856/),黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang,🎉181,🌟9.5,"背对背，脸对脸  /  Back to Back, Face to Face",1994,中国大陆 中国香港,剧情
[雨中曲](https://movie.douban.com/subject/1293460/),斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,🎉182,🌟9.1,Singin' in the Rain / 万花嬉春(港 / 台),1952,美国,喜剧 歌舞 爱情
[岁月神偷](https://movie.douban.com/subject/3792799/),罗启锐 Alex Law,🎉183,🌟8.7,歲月神偷 / 1969太空漫游  /  Echoes Of The Rainbow,2010,中国香港 中国大陆,剧情 家庭
[2001太空漫游](https://movie.douban.com/subject/1292226/),斯坦利·库布里克 Stanley Kubrick,🎉184,🌟8.9,2001: A Space Odyssey / 2001：星际漫游  /  2001：太空奥德赛,1968,英国 美国,科幻 惊悚 冒险
[忠犬八公物语](https://movie.douban.com/subject/1959195/),神山征二郎 Seijirô Kôyama,🎉185,🌟9.2,ハチ公物語 / 八千公物语  /  阿八的故事,1987,日本,剧情
[心灵奇旅](https://movie.douban.com/subject/24733428/),彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers,🎉186,🌟8.7,Soul / 灵魂奇遇记(港)  /  灵魂急转弯(台),2020,美国,动画 奇幻 音乐
[荒蛮故事](https://movie.douban.com/subject/24750126/),达米安·斯兹弗隆 Damián Szifron,🎉187,🌟8.8,Relatos salvajes / 蛮荒故事  /  生命中最抓狂的小事(台),2014,阿根廷 西班牙,剧情 喜剧 犯罪
[无间道2](https://movie.douban.com/subject/1307106/),刘伟强 / 麦兆辉,🎉188,🌟8.7,無間道II / 无间道前传  /  Infernal Affairs II,2003,中国香港,剧情 犯罪 惊悚
[小偷家族](https://movie.douban.com/subject/27622447/),是枝裕和 Hirokazu Koreeda,🎉189,🌟8.7,万引き家族 / Shoplifters  /  Une Affaire de Famille,2018,日本,剧情 犯罪 家庭
[无敌破坏王](https://movie.douban.com/subject/6534248/),瑞奇·莫尔 Rich Moore,🎉190,🌟8.7,Wreck-It Ralph / 破坏王拉尔夫  /  破坏王大冒险,2012,美国,喜剧 动画 奇幻 冒险
[爆裂鼓手](https://movie.douban.com/subject/25773932/),达米恩·查泽雷 Damien Chazelle,🎉191,🌟8.7,Whiplash / 鼓动真我(港)  /  进击的鼓手(台),2014,美国,剧情 音乐
[冰川时代](https://movie.douban.com/subject/1291578/),卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,🎉192,🌟8.6,Ice Age / 冰河世纪  /  冰原历险记,2002,美国,喜剧 动画 冒险
[恐怖游轮](https://movie.douban.com/subject/3011051/),克里斯托弗·史密斯 Christopher Smith,🎉193,🌟8.5,Triangle / 汪洋血迷宮(台)  /  轮回三角,2009,英国 澳大利亚,剧情 悬疑 惊悚
[贫民窟的百万富翁](https://movie.douban.com/subject/2209573/),丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,🎉194,🌟8.6,Slumdog Millionaire / 一百万零一夜(港)  /  贫民百万富翁(台),2008,英国,剧情 爱情
[东邪西毒](https://movie.douban.com/subject/1292328/),王家卫 Kar Wai Wong,🎉195,🌟8.6,東邪西毒 / Ashes of Time,1994,中国香港 中国台湾,剧情 动作 爱情 武侠 古装
[牯岭街少年杀人事件](https://movie.douban.com/subject/1292329/),杨德昌 Edward Yang,🎉196,🌟8.9,牯嶺街少年殺人事件 / A Brighter Summer Day,1991,中国台湾,剧情 犯罪
[魔女宅急便](https://movie.douban.com/subject/1307811/),宫崎骏 Hayao Miyazaki,🎉197,🌟8.7,魔女の宅急便 / 魔女琪琪(台)  /  小魔女限时专送,1989,日本,动画 奇幻 冒险
[遗愿清单](https://movie.douban.com/subject/1867345/),罗伯·莱纳 Rob Reiner,🎉198,🌟8.7,The Bucket List / 玩转身前事(港)  /  一路玩到挂(台),2007,美国,冒险 喜剧 剧情
[东京教父](https://movie.douban.com/subject/1310177/),今敏 Satoshi Kon,🎉199,🌟9.0,東京ゴッドファーザーズ / Tokyo Godfathers,2003,日本,剧情 喜剧 动画
[大佛普拉斯](https://movie.douban.com/subject/27059130/),黄信尧 Hsin-yao Huang,🎉200,🌟8.7,The Great Buddha+,2017,中国台湾,剧情 喜剧
[你看起来好像很好吃](https://movie.douban.com/subject/4848115/),藤森雅也 Masaya Fujimori,🎉201,🌟8.9,おまえうまそうだな / 你看起来很好吃(台)  /  你看上去好像很好吃,2010,日本,剧情 动画 儿童
[真爱至上](https://movie.douban.com/subject/1292401/),理查德·柯蒂斯 Richard Curtis,🎉202,🌟8.6,Love Actually / 真的恋爱了(港)  /  爱是您，爱是我(台),2003,英国 美国 法国,喜剧 剧情 爱情
[黑天鹅](https://movie.douban.com/subject/1978709/),达伦·阿罗诺夫斯基 Darren Aronofsky,🎉203,🌟8.6,Black Swan / 夺命黑天鹅  /  霸王别鹅(豆友译名),2010,美国,剧情 惊悚
[可可西里](https://movie.douban.com/subject/1308857/),陆川 Chuan Lu,🎉204,🌟8.9,Kekexili: Mountain Patrol,2004,中国大陆 中国香港,剧情 犯罪
[城市之光](https://movie.douban.com/subject/1293908/),Charles Chaplin,🎉205,🌟9.3,City Lights / City Lights: A Comedy Romance in Pantomime  /  Lichter der Großstadt,1931,美国,喜剧 剧情 爱情
[源代码](https://movie.douban.com/subject/3075287/),邓肯·琼斯 Duncan Jones,🎉206,🌟8.5,Source Code / 启动原始码(台)  /  危机解密(港),2011,美国 加拿大,科幻 悬疑 惊悚
[海边的曼彻斯特](https://movie.douban.com/subject/25980443/),肯尼斯·罗纳根 Kenneth Lonergan,🎉207,🌟8.6,Manchester by the Sea / 情系海边之城(港),2016,美国,剧情 家庭
[雨人](https://movie.douban.com/subject/1291870/),巴瑞·莱文森 Barry Levinson,🎉208,🌟8.7,Rain Man / 手足情未了(港)  /  手足情深,1988,美国,剧情
[波西米亚狂想曲](https://movie.douban.com/subject/5300054/),布莱恩·辛格 Bryan Singer,🎉209,🌟8.6,Bohemian Rhapsody / 波希米亚狂想曲：摇滚传说(港)  /  波希米亚狂想曲(台),2018,英国 美国,剧情 传记 同性 音乐
[初恋这件小事](https://movie.douban.com/subject/4739952/),普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...,🎉210,🌟8.5,สิ่งเล็กเล็กที่เรียกว่า...รัก / 初恋那件小事(港)  /  暗恋那点小事,2010,泰国,剧情 喜剧 爱情
[恋恋笔记本](https://movie.douban.com/subject/1309163/),尼克·卡索维茨 Nick Cassavetes,🎉211,🌟8.5,The Notebook / 忘了·忘不了(港)  /  手札情缘(台),2004,美国,剧情 爱情
[人工智能](https://movie.douban.com/subject/1302827/),史蒂文·斯皮尔伯格 Steven Spielberg,🎉212,🌟8.7,A.I. Artificial Intelligence / AI人工智慧,2001,美国 英国,剧情 科幻
[青蛇](https://movie.douban.com/subject/1303394/),徐克 Hark Tsui,🎉213,🌟8.6,Green Snake,1993,中国香港 中国大陆,剧情 爱情 奇幻 古装
[虎口脱险](https://movie.douban.com/subject/1296909/),杰拉尔·乌里 Gérard Oury,🎉214,🌟8.9,La grande vadrouille / 横冲直撞出重围(港)  /  大進擊(台),1966,法国 英国,喜剧 战争
[终结者2：审判日](https://movie.douban.com/subject/1291844/),詹姆斯·卡梅隆 James Cameron,🎉215,🌟8.8,Terminator 2: Judgment Day / 未来战士2(港)  /  魔鬼终结者2(台),1991,美国 法国,动作 科幻
[疯狂的麦克斯4：狂暴之路](https://movie.douban.com/subject/3592854/),乔治·米勒 George Miller,🎉216,🌟8.7,Mad Max: Fury Road / 末日先锋：战甲飞车(港)  /  疯狂麦斯：愤怒道(台),2015,澳大利亚 美国,动作 科幻 冒险
[末路狂花](https://movie.douban.com/subject/1291992/),雷德利·斯科特 Ridley Scott,🎉217,🌟8.9,Thelma & Louise / 塞尔玛与路易丝  /  末路狂花,1991,美国 英国 法国,犯罪 剧情 惊悚
[罗生门](https://movie.douban.com/subject/1291879/),黑泽明 Akira Kurosawa,🎉218,🌟8.8,羅生門 / Rashomon,1950,日本,剧情 犯罪 悬疑
[新龙门客栈](https://movie.douban.com/subject/1292287/),李惠民 Raymond Lee,🎉219,🌟8.7,新龍門客棧 / New Dragon Gate Inn,1992,中国香港 中国大陆,动作 爱情 武侠 古装
[千钧一发](https://movie.douban.com/subject/1300117/),安德鲁·尼科尔 Andrew Niccol,🎉220,🌟8.8,Gattaca / 变种异煞(港)  /  自然人,1997,美国,剧情 科幻 惊悚
[萤火虫之墓](https://movie.douban.com/subject/1293318/),高畑勋 Isao Takahata,🎉221,🌟8.7,火垂るの墓 / 再见萤火虫(港)  /  萤火挽歌,1988,日本,动画 剧情 战争
[无耻混蛋](https://movie.douban.com/subject/1438652/),昆汀·塔伦蒂诺 Quentin Tarantino,🎉222,🌟8.7,Inglourious Basterds / 希魔撞正杀人狂(港)  /  恶棍特工(台),2009,德国 美国,剧情 犯罪
[崖上的波妞](https://movie.douban.com/subject/1959877/),宫崎骏 Hayao Miyazaki,🎉223,🌟8.6,崖の上のポニョ / 悬崖上的金鱼姬  /  悬崖上的金鱼公主,2008,日本,动画 奇幻 冒险
[花束般的恋爱](https://movie.douban.com/subject/34874432/),土井裕泰 Nobuhiro Doi,🎉224,🌟8.6,花束みたいな恋をした / 她和他的恋爱花期(港)  /  Hanataba mitaina koi o shita,2021,日本,剧情 爱情
[彗星来的那一夜](https://movie.douban.com/subject/25807345/),詹姆斯·沃德·布柯特 James Ward Byrkit,🎉225,🌟8.6,Coherence / 相干性  /  相干效应,2013,美国 英国,科幻 悬疑 惊悚
[芙蓉镇](https://movie.douban.com/subject/1297880/),谢晋 Jin Xie,🎉226,🌟9.3,Hibiscus Town,1987,中国大陆,剧情 爱情
[奇迹男孩](https://movie.douban.com/subject/26787574/),斯蒂芬·卓博斯基 Stephen Chbosky,🎉227,🌟8.6,Wonder / 奇迹,2017,美国 中国香港,剧情 儿童 家庭
[爱乐之城](https://movie.douban.com/subject/25934014/),达米恩·查泽雷 Damien Chazelle,🎉228,🌟8.4,La La Land / 星声梦里人(港)  /  乐来越爱你(台),2016,美国,剧情 爱情 歌舞
[二十二](https://movie.douban.com/subject/26430107/),郭柯 Ke Guo,🎉229,🌟8.7,Twenty Two  /  22,2015,中国大陆,纪录片
[黑客帝国2：重装上阵](https://movie.douban.com/subject/1304141/),拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,🎉230,🌟8.7,The Matrix Reloaded / 22世纪杀人网络2：决战未来(港)  /  骇客任务：重装上阵(台),2003,美国,动作 科幻
[哈利·波特与死亡圣器(上)](https://movie.douban.com/subject/2051007/),大卫·叶茨 David Yates,🎉231,🌟8.5,Harry Potter and the Deathly Hallows: Part 1 / 哈利波特7：死神的圣物1(港 / 台),2010,英国 美国,奇幻 冒险
[血钻](https://movie.douban.com/subject/1428175/),爱德华·兹威克 Edward Zwick,🎉232,🌟8.7,Blood Diamond / 血钻石(台)  /  血腥钻石,2006,美国 德国 英国,剧情 惊悚 冒险
[战争之王](https://movie.douban.com/subject/1419936/),安德鲁·尼科尔 Andrew Niccol,🎉233,🌟8.7,Lord of War / 军火之王(台 / 港),2005,美国 德国,剧情 犯罪
[步履不停](https://movie.douban.com/subject/2222996/),是枝裕和 Hirokazu Koreeda,🎉234,🌟8.8,歩いても 歩いても / 横山家之味(港 / 台),2008,日本,剧情 家庭
[房间](https://movie.douban.com/subject/25724855/),伦尼·阿伯拉罕森 Lenny Abrahamson,🎉235,🌟8.8,Room / 不存在的房间(台)  /  抖室(港),2015,爱尔兰 加拿大 英国 美国,剧情 家庭
[火星救援](https://movie.douban.com/subject/25864085/),雷德利·斯科特 Ridley Scott,🎉236,🌟8.5,The Martian / 火星任务(港)  /  绝地救援(台),2015,英国 美国 匈牙利 约旦,剧情 科幻 冒险
[魂断蓝桥](https://movie.douban.com/subject/1293964/),茂文·勒鲁瓦 Mervyn LeRoy,🎉237,🌟8.8,Waterloo Bridge / 滑铁卢桥  /  断桥残梦,1940,美国,剧情 爱情 战争
[千年女优](https://movie.douban.com/subject/1307394/),今敏 Satoshi Kon,🎉238,🌟8.8,千年女優 / Millennium Actress,2001,日本,动画 剧情 爱情
[谍影重重2](https://movie.douban.com/subject/1308767/),保罗·格林格拉斯 Paul Greengrass,🎉239,🌟8.7,The Bourne Supremacy / 叛谍追击2：机密圈套(港)  /  神鬼认证：神鬼疑云(台),2004,美国 德国,动作 悬疑 惊悚
[白日梦想家](https://movie.douban.com/subject/2133323/),本·斯蒂勒 Ben Stiller,🎉240,🌟8.6,The Secret Life of Walter Mitty / 发梦王大历险(港)  /  白日梦冒险王(台),2013,美国 英国,剧情 喜剧 冒险
[哈利·波特与凤凰社](https://movie.douban.com/subject/1457217/),大卫·叶茨 David Yates,🎉241,🌟8.5,Harry Potter and the Order of the Phoenix / 哈利波特5：凤凰会的密令(港 / 台),2007,英国 美国,奇幻 冒险
[弱点](https://movie.douban.com/subject/3552028/),约翰·李·汉考克 John Lee Hancock,🎉242,🌟8.7,The Blind Side / 守护有心人(港)  /  攻其不备(台),2009,美国,剧情 家庭 传记 运动
[阿飞正传](https://movie.douban.com/subject/1305690/),王家卫 Kar Wai Wong,🎉243,🌟8.5,阿飛正傳 / Days of Being Wild,1990,中国香港,犯罪 剧情 爱情
[蜘蛛侠：平行宇宙](https://movie.douban.com/subject/26374197/),鲍勃·佩尔西凯蒂 Bob Persichetti / 彼得·拉姆齐 Peter Ramsey,🎉244,🌟8.6,Spider-Man: Into the Spider-Verse / 蜘蛛侠：新纪元  /  蜘蛛人：新宇宙(台),2018,美国,动作 科幻 动画 冒险
[谍影重重](https://movie.douban.com/subject/1304102/),道格·里曼 Doug Liman,🎉245,🌟8.6,The Bourne Identity / 叛谍追击(港)  /  神鬼认证(台),2002,美国 德国 捷克,动作 悬疑 惊悚
[朗读者](https://movie.douban.com/subject/2213597/),史蒂芬·戴德利 Stephen Daldry,🎉246,🌟8.6,The Reader / 为爱朗读(台)  /  读爱(港),2008,美国 德国,剧情 爱情
[燃情岁月](https://movie.douban.com/subject/1295865/),爱德华·兹威克 Edward Zwick,🎉247,🌟8.7,Legends of the Fall / 秋日传奇  /  真爱一世情(台),1994,美国,剧情 爱情 战争 西部
[再次出发之纽约遇见你](https://movie.douban.com/subject/6874403/),约翰·卡尼 John Carney,🎉248,🌟8.6,Begin Again / 再次出发  /  歌曲改变人生,2013,美国,喜剧 爱情 音乐
[香水](https://movie.douban.com/subject/1760622/),汤姆·提克威 Tom Tykwer,🎉249,🌟8.5,Perfume: The Story of a Murderer / 香水：一个杀人犯的故事  /  香水：一个谋杀犯的故事,2006,德国 法国 西班牙 美国 比利时,剧情 犯罪 奇幻
[发条橙](https://movie.douban.com/subject/1292233/),斯坦利·库布里克 Stanley Kubrick,🎉250,🌟8.6,A Clockwork Orange / 发条橘子(台)  /  发条桔子,1971,英国 美国,犯罪 剧情 科幻
