Title 电影,Director 导演,Rank 排名,Score 打分,Alias 别名,Year 年份,Region 地区,Genre 类型
[少年派的奇幻漂流](https://movie.douban.com/subject/1929463/),李安 Ang Lee,🎉045,🌟9.1,Life of Pi / 少年Pi的奇幻漂流  /  漂流少年Pi,2012,美国 中国台湾 英国 加拿大,剧情 奇幻 冒险
[海蒂和爷爷](https://movie.douban.com/subject/25958717/),阿兰·葛斯彭纳 Alain Gsponer,🎉046,🌟9.3,Heidi / 飘零燕(港)  /  海蒂,2015,德国 瑞士,剧情 冒险 家庭
[钢琴家](https://movie.douban.com/subject/1296736/),罗曼·波兰斯基 Roman Polanski,🎉047,🌟9.3,The Pianist / 钢琴战曲(港)  /  战地琴人(台),2002,英国 法国 波兰 德国,剧情 传记 战争 音乐
[大话西游之月光宝盒](https://movie.douban.com/subject/1299398/),刘镇伟 Jeffrey Lau,🎉048,🌟9.0,西遊記第壹佰零壹回之月光寶盒 / 西游记101回月光宝盒  /  齐天大圣东游记,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装
[指环王2：双塔奇兵](https://movie.douban.com/subject/1291572/),彼得·杰克逊 Peter Jackson,🎉049,🌟9.2,The Lord of the Rings: The Two Towers / 魔戒二部曲：双城奇谋  /  指环王II：双塔,2002,美国 新西兰,剧情 动作 奇幻 冒险
[闻香识女人](https://movie.douban.com/subject/1298624/),马丁·布莱斯 Martin Brest,🎉050,🌟9.1,Scent of a Woman / 女人香  /  女人的芳香,1992,美国,剧情
[死亡诗社](https://movie.douban.com/subject/1291548/),彼得·威尔 Peter Weir,🎉051,🌟9.2,Dead Poets Society / 暴雨骄阳(港)  /  春风化雨(台),1989,美国,剧情
[罗马假日](https://movie.douban.com/subject/1293839/),威廉·惠勒 William Wyler,🎉052,🌟9.1,Roman Holiday / 金枝玉叶(港)  /  罗马假期(台),1953,美国,喜剧 剧情 爱情
[绿皮书](https://movie.douban.com/subject/27060077/),彼得·法雷里 Peter Farrelly,🎉053,🌟8.9,Green Book / 绿簿旅友(港)  /  幸福绿皮书(台),2018,美国 中国大陆,剧情 喜剧 传记 音乐
[大闹天宫](https://movie.douban.com/subject/1418019/),万籁鸣 Laiming Wan,🎉054,🌟9.4,大闹天宫 上下集  /  The Monkey King,1961,中国大陆,剧情 动画 奇幻 古装
[天堂电影院](https://movie.douban.com/subject/1291828/),朱塞佩·托纳多雷 Giuseppe Tornatore,🎉055,🌟9.2,Nuovo Cinema Paradiso / 星光伴我心(港)  /  新天堂乐园(台),1988,意大利 法国,剧情 爱情
[指环王1：护戒使者](https://movie.douban.com/subject/1291571/),彼得·杰克逊 Peter Jackson,🎉056,🌟9.1,The Lord of the Rings: The Fellowship of the Ring / 指环王1：魔戒再现  /  指环王I：护戒使者,2001,新西兰 美国,剧情 动作 奇幻 冒险
[黑客帝国](https://movie.douban.com/subject/1291843/),安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski,🎉057,🌟9.1,The Matrix / 22世纪杀人网络(港)  /  廿二世纪杀人网络(港),1999,美国,动作 科幻
[教父2](https://movie.douban.com/subject/1299131/),弗朗西斯·福特·科波拉 Francis Ford Coppola,🎉058,🌟9.3,The Godfather: Part II / 教父续集(港)  /  教父II,1974,美国,剧情 犯罪
[狮子王](https://movie.douban.com/subject/1301753/),Roger Allers / 罗伯·明可夫 Rob Minkoff,🎉059,🌟9.1,The Lion King / 狮子王3D,1994,美国,动画 冒险 歌舞
[辩护人](https://movie.douban.com/subject/21937445/),杨宇硕 Woo-seok Yang,🎉060,🌟9.2,변호인 / 逆权大状(港)  /  正义辩护人(台),2013,韩国,剧情
[饮食男女](https://movie.douban.com/subject/1291818/),李安 Ang Lee,🎉061,🌟9.2,飲食男女 / Eat Drink Man Woman,1994,中国台湾 美国,剧情 家庭
[搏击俱乐部](https://movie.douban.com/subject/1292000/),大卫·芬奇 David Fincher,🎉062,🌟9.0,Fight Club / 搏击会(港)  /  斗阵俱乐部(台),1999,美国,剧情 动作 悬疑 惊悚
[本杰明·巴顿奇事](https://movie.douban.com/subject/1485260/),大卫·芬奇 David Fincher,🎉063,🌟9.0,The Curious Case of Benjamin Button / 奇幻逆缘(港)  /  班杰明的奇幻旅程(台),2008,美国,剧情 爱情 奇幻
[美丽心灵](https://movie.douban.com/subject/1306029/),朗·霍华德 Ron Howard,🎉064,🌟9.1,A Beautiful Mind / 有你终生美丽(港)  /  美丽境界(台),2001,美国,传记 剧情
[穿条纹睡衣的男孩](https://movie.douban.com/subject/3008247/),马克·赫尔曼 Mark Herman,🎉065,🌟9.2,The Boy in the Striped Pajamas / 穿条纹衣服的男孩  /  穿条纹衣的男孩,2008,英国 美国,剧情 战争
[窃听风暴](https://movie.douban.com/subject/1900841/),弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck,🎉066,🌟9.2,Das Leben der Anderen / 窃听者(港)  /  他人的生活,2006,德国,剧情 悬疑
[情书](https://movie.douban.com/subject/1292220/),岩井俊二 Shunji Iwai,🎉067,🌟8.9,Love Letter / When I Close My Eyes  /  Letters of Love,1995,日本,剧情 爱情
