Index,Group 分榜,Rank 排名,Title 电影,Score 打分,Region 地区,Genre 类型,Staff 人员
0,豆瓣2016评分最高的|华语电影,1,驴得水,8.30,中国大陆, ,周申 / 任素汐 / 大力
1,豆瓣2016评分最高的|华语电影,2,湄公河行动,8.00,中国大陆 中国香港, ,林超贤 / 张涵予 / 彭于晏
2,豆瓣2016评分最高的|华语电影,3,树大招风,8.10,中国香港 中国大陆, ,许学文 / 林家栋 / 任贤齐
3,豆瓣2016评分最高的|华语电影,4,百鸟朝凤,8.30,中国大陆, ,吴天明 / 陶泽如 / 李岷城
4,豆瓣2016评分最高的|华语电影,5,幸运是我,8.00,中国香港 中国大陆, ,罗耀辉 / 惠英红 / 陈家乐
5,豆瓣2016评分最高的|华语电影,6,罗曼蒂克消亡史,7.70,中国大陆 中国香港, ,程耳 / 葛优 / 章子怡
6,豆瓣2016评分最高的|华语电影,7,路边野餐,8.00,中国大陆, ,毕赣 / 陈永忠 / 谢理循
7,豆瓣2016评分最高的|华语电影,8,七月与安生,7.50,中国大陆 中国香港, ,曾国祥 / 周冬雨 / 马思纯
8,豆瓣2016评分最高的|华语电影,9,追凶者也,7.90,中国大陆, ,曹保平 / 刘烨 / 张译
9,豆瓣2016评分最高的|华语电影,10,踏血寻梅,7.50,中国香港, ,翁子光 / 郭富城 / 春夏
10, , , , , , , 
11,豆瓣2016评分最高的|外语电影,1,血战钢锯岭,8.70,澳大利亚 美国, ,梅尔·吉布森 / 安德鲁·加菲尔德 / 萨姆·沃辛顿
12,豆瓣2016评分最高的|外语电影,2,一个叫欧维的男人决定去死,8.90,瑞典, ,汉内斯·赫尔姆 / 罗夫·拉斯加德 / 巴哈·帕斯
13,豆瓣2016评分最高的|外语电影,3,比利·林恩的中场战事,8.30,美国 英国 中国大陆, ,李安 / 乔·阿尔文 / 加内特·赫德兰
14,豆瓣2016评分最高的|外语电影,4,完美陌生人,8.50,意大利, ,保罗·杰诺维塞 / 马可·贾利尼 / 卡夏·斯穆特尼亚克
15,豆瓣2016评分最高的|外语电影,5,萨利机长,8.30,美国, ,克林特·伊斯特伍德 / 汤姆·汉克斯 / 艾伦·艾克哈特
16,豆瓣2016评分最高的|外语电影,6,大空头,8.50,美国, ,亚当·麦凯 / 克里斯蒂安·贝尔 / 史蒂夫·卡瑞尔
17,豆瓣2016评分最高的|外语电影,7,初恋这首情歌,8.20,爱尔兰 英国 美国, ,约翰·卡尼 / 福迪亚·瓦尔什-匹罗 / 露西·宝通
18,豆瓣2016评分最高的|外语电影,8,神奇动物在哪里,7.70,英国 美国, ,大卫·叶茨 / 埃迪·雷德梅恩 / 凯瑟琳·沃特斯顿
19,豆瓣2016评分最高的|外语电影,9,X战警：天启,7.70,美国, ,布莱恩·辛格 / 詹姆斯·麦卡沃伊 / 迈克尔·法斯宾德
