Index,Group 分榜,Rank 排名,Title 电影,Score 打分,Region 地区,Genre 类型,Staff 人员
0,豆瓣2021评分最高华语电影,1,雄狮少年,8.30,中国大陆, ,孙海鹏 / 大昕 / 大雄
1,豆瓣2021评分最高华语电影,2,孤味,8.00,中国台湾, ,许承杰 / 陈淑芳 / 谢盈萱
2,豆瓣2021评分最高华语电影,3,你好，李焕英,7.70,中国大陆, ,贾玲 / 贾玲 / 张小斐
3,豆瓣2021评分最高华语电影,4,白蛇传·情,8.00,中国大陆, ,张险峰 / 曾小敏 / 文汝清
4,豆瓣2021评分最高华语电影,5,同学麦娜丝,7.90,中国台湾, ,黄信尧 / 施名帅 / 郑人硕
5,豆瓣2021评分最高华语电影,6,悬崖之上,7.40,中国大陆 中国香港, ,张艺谋 / 张译 / 于和伟
6,豆瓣2021评分最高华语电影,7,吉祥如意,7.70,中国大陆, ,大鹏 / 王吉祥 / 大鹏
7,豆瓣2021评分最高华语电影,8,无声,7.80,中国台湾, ,柯贞年 / 陈妍霏 / 刘子铨
8,豆瓣2021评分最高华语电影,9,拆弹专家2,7.40,中国大陆 中国香港, ,邱礼涛 / 刘德华 / 刘青云
9,豆瓣2021评分最高华语电影,10,扬名立万,7.40,中国大陆, ,刘循子墨 / 尹正 / 邓家佳
10, , , , , , , 
11,豆瓣2021评分最高外语电影,1,心灵奇旅,8.70,美国, ,彼特·道格特 / 杰米·福克斯 / 蒂娜·菲
12,豆瓣2021评分最高外语电影,2,花束般的恋爱,8.60,日本, ,土井裕泰 / 菅田将晖 / 有村架纯
13,豆瓣2021评分最高外语电影,3,困在时间里的父亲,8.60,英国 法国, ,佛罗莱恩·泽勒 / 安东尼·霍普金斯 / 奥利维娅·科尔曼
14,豆瓣2021评分最高外语电影,4,芬奇,8.40,美国, ,米格尔·萨普什尼克 / 汤姆·汉克斯 / 卡莱伯·兰德里·琼斯
15,豆瓣2021评分最高外语电影,5,扎克·施奈德版正义联盟,8.10,美国, ,扎克·施奈德 / 本·阿弗莱克 / 亨利·卡维尔
16,豆瓣2021评分最高外语电影,6,波斯语课,8.10,俄罗斯 德国 白俄罗斯, ,瓦迪姆·佩尔曼 / 纳威尔·佩雷兹·毕斯卡亚特 / 拉斯·艾丁格
17,豆瓣2021评分最高外语电影,7,X特遣队：全员集结,8.00,美国 加拿大 英国, ,詹姆斯·古恩 / 玛格特·罗比 / 伊德里斯·艾尔巴
18,豆瓣2021评分最高外语电影,8,沙丘,7.70,美国, ,丹尼斯·维伦纽瓦 / 提莫西·查拉梅 / 丽贝卡·弗格森
19,豆瓣2021评分最高外语电影,9,小人物,7.80,美国 日本, ,伊利亚·奈舒勒 / 鲍勃·奥登科克 / 阿列克谢·谢列布里亚科夫
20,豆瓣2021评分最高外语电影,10,失控玩家,7.50,美国 加拿大, ,肖恩·利维 / 瑞安·雷诺兹 / 朱迪·科默
21, , , , , , , 
22,豆瓣2021年度冷门佳片,1,健听女孩,8.60,美国 法国 加拿大, ,夏安·海德 / 艾米莉亚·琼斯 / 特洛伊·科特苏尔
23,豆瓣2021年度冷门佳片,2,杰伊·比姆,8.70,印度, ,塔·塞·纳纳维尔 / 苏利耶·西瓦库马 / Lijo Mol Jose
24,豆瓣2021年度冷门佳片,3,最后的决斗,8.30,美国 英国, ,雷德利·斯科特 / 朱迪·科默 / 马特·达蒙
25,豆瓣2021年度冷门佳片,4,倒数时刻,8.10,美国, ,林-曼努尔·米兰达 / 安德鲁·加菲尔德 / 亚历山德拉·希普
26,豆瓣2021年度冷门佳片,5,打开心世界,8.20,美国, ,莫娜·法斯特欧德 / 凯瑟琳·沃特斯顿 / 凡妮莎·柯比
27,豆瓣2021年度冷门佳片,6,玫瑰岛的不可思议的历史,8.00,意大利, ,希德尼·希比利亚 / 埃利奥·杰曼诺 / 莱昂纳多·利迪
28,豆瓣2021年度冷门佳片,7,发掘,7.90,英国, ,西蒙·斯通 / 凯瑞·穆里根 / 拉尔夫·费因斯
29,豆瓣2021年度冷门佳片,8,酒精计划,7.90,丹麦 瑞典 荷兰, ,托马斯·温特伯格 / 麦斯·米科尔森 / 托玛斯·博·拉森
30,豆瓣2021年度冷门佳片,9,圣母,7.80,法国 荷兰, ,保罗·范霍文 / 维尔日妮·埃菲拉 / 夏洛特·兰普林
31,豆瓣2021年度冷门佳片,10,法兰西特派,7.70,美国 德国, ,韦斯·安德森 / 本尼西奥·德尔·托罗 / 阿德里安·布罗迪
32, , , , , , , 
33,豆瓣2021评分最高日本电影,1,花束般的恋爱,8.60,日本, ,土井裕泰 / 菅田将晖 / 有村架纯
34,豆瓣2021评分最高日本电影,2,浪客剑心 最终章 追忆篇,8.50,日本, ,大友启史 / 佐藤健 / 有村架纯
35,豆瓣2021评分最高日本电影,3,偶然与想象,8.30,日本, ,滨口龙介 / 古川琴音 / 涩川清彦
36,豆瓣2021评分最高日本电影,4,浅田家！,8.30,日本, ,中野量太 / 二宫和也 / 妻夫木聪
37,豆瓣2021评分最高日本电影,5,美好的世界,8.30,日本, ,西川美和 / 役所广司 / 仲野太贺
38,豆瓣2021评分最高日本电影,6,我是大哥大 电影版,7.90,日本, ,福田雄一 / 贺来贤人 / 伊藤健太郎
39,豆瓣2021评分最高日本电影,7,驾驶我的车,7.90,日本, ,滨口龙介 / 西岛秀俊 / 三浦透子
40,豆瓣2021评分最高日本电影,8,黑道与家族,7.80,日本, ,藤井道人 / 绫野刚 / 馆博
41,豆瓣2021评分最高日本电影,9,浅草小子,8.30,日本, ,剧团一人 / 大泉洋 / 柳乐优弥
42,豆瓣2021评分最高日本电影,10,穷途鼠的奶酪梦,7.60,日本, ,行定勋 / 大仓忠义 / 成田凌
43, , , , , , , 
