Index,Group 分榜,Rank 排名,Title 电影,Score 打分,Region 地区,Genre 类型,Staff 人员
0,豆瓣2023评分最高华语电影,1,流浪地球2,8.30,中国大陆,科幻 冒险 灾难,郭帆 / 吴京 刘德华
1,豆瓣2023评分最高华语电影,2,长安三万里,8.30,中国大陆,动画 历史,谢君伟 邹靖 / 杨天翔 凌振赫
2,豆瓣2023评分最高华语电影,3,椒麻堂会,8.60,中国香港 法国,剧情,邱炯炯 / 易思成 关南
3,豆瓣2023评分最高华语电影,4,关于我和鬼变成家人的那件事,8.10,中国台湾,喜剧 悬疑 同性 奇幻,程伟豪 / 许光汉 林柏宏
4,豆瓣2023评分最高华语电影,5,宇宙探索编辑部,8.00,中国大陆,喜剧 科幻,孔大山 / 杨皓宇 艾丽娅
5,豆瓣2023评分最高华语电影,6,封神第一部：朝歌风云,7.80,中国大陆,动作 战争 奇幻 古装,乌尔善 / 费翔 李雪健
6,豆瓣2023评分最高华语电影,7,我爱你！,7.90,中国大陆 中国香港,剧情 爱情 家庭,韩延 / 倪大红 惠英红
7,豆瓣2023评分最高华语电影,8,三大队,7.80,中国大陆,剧情 犯罪,戴墨 / 张译 李晨
8,豆瓣2023评分最高华语电影,9,保你平安,7.70,中国大陆,剧情 喜剧,大鹏 / 大鹏 李雪琴
9,豆瓣2023评分最高华语电影,10,涉过愤怒的海,7.50,中国大陆,剧情 悬疑 犯罪,曹保平 / 黄渤 周迅
10, , , , , , , 
11,豆瓣2023评分最高外语电影,1,奥本海默,8.80,美国 英国,剧情 传记 历史,克里斯托弗·诺兰 / 基里安·墨菲 艾米莉·布朗特
12,豆瓣2023评分最高外语电影,2,蜘蛛侠：纵横宇宙,8.50,美国,喜剧 动作 科幻 动画 奇幻 冒险,乔伊姆·多斯·桑托斯 凯普·鲍尔斯 贾斯汀·汤普森 / 沙梅克·摩尔 海莉·斯坦菲尔德
13,豆瓣2023评分最高外语电影,3,银河护卫队3,8.40,美国,喜剧 动作 科幻 惊悚 冒险,詹姆斯·古恩 / 克里斯·帕拉特 佐伊·索尔达娜
14,豆瓣2023评分最高外语电影,4,坠落的审判,8.50,法国,剧情 家庭,茹斯汀·特里耶 / 桑德拉·惠勒 斯万·阿劳德
