Index,Tag,Eclipse-Series,Spine #,Title,Director,Country,Year,豆瓣电影,豆瓣年份,豆瓣打分,豆瓣信息,IMDb电影,IMDb原名,IMDb年份,IMDb评分,IMDb信息
113,eclipse,Eclipse Series 24, ,Warrendale,Allan King,Canada,1967.0,[沃伦代尔 Warrendale](https://movie.douban.com/subject/1896659/),1967,8.2,导演: 亚伦·金; 类型: 纪录片; 地区: 加拿大,[Warrendale](https://www.imdb.com/title/tt0062474/), ,1967.0,7.6,100 min | Documentary
114,eclipse,Eclipse Series 24, ,A Married Couple,Allan King,Canada,1969.0,[一对夫妇 A Married Couple](https://movie.douban.com/subject/3421302/),1969,7.5,导演: 亚伦·金; 类型: 纪录片; 地区: 加拿大,[A Married Couple](https://www.imdb.com/title/tt0064640/), ,1969.0,7.5,97 min | Documentary
115,eclipse,Eclipse Series 24, ,Come On Children,Allan King,Canada,1972.0,[来吧，孩子 Come On Children](https://movie.douban.com/subject/4899887/),1973, ,导演: Allan King; 类型: 纪录片; 地区: 加拿大,[Come on Children](https://www.imdb.com/title/tt0269104/), ,1973.0,6.8,96 min | Documentary
116,eclipse,Eclipse Series 24, ,Dying at Grace,Allan King,Canada,2003.0,[优雅中死去 Dying at Grace](https://movie.douban.com/subject/2117645/),2003,7.9,导演: 亚伦·金; 类型: 纪录片; 地区: 加拿大,[Dying at Grace](https://www.imdb.com/title/tt0379269/), ,2003.0,8.2,148 min | Documentary
117,eclipse,Eclipse Series 24, ,"Memory for Max, Claire, Ida and Company",Allan King,Canada,2005.0,"[怀念马克思、克莱尔、艾达和同伴 Memory for Max, Claire, Ida and Company](https://movie.douban.com/subject/4899888/)",2005, ,导演: Allan King; 类型: 纪录片; 地区: 加拿大,"[Memory for Max, Claire, Ida and Company](https://www.imdb.com/title/tt0478000/)", ,2005.0,7.6,112 min | Documentary
118,eclipse,Eclipse Series 25,#,[Eclipse Series 25: Basil Dearden’s London Underground](https://www.criterion.com/boxsets/776-eclipse-series-25-basil-deardens-london-underground), , , ,**Eclipse Series 25: Basil Dearden’s London Underground 巴兹尔·巴尔登的地下伦敦**, , , ,Eclipse Series 25: Basil Dearden’s London Underground, , , , 
119,eclipse,Eclipse Series 25, ,Sapphire,Basil Dearden,United Kingdom,1959.0,[艳尸凶案 Sapphire](https://movie.douban.com/subject/1304195/),1959,6.9,导演: 巴兹尔·迪尔登; 类型: 犯罪; 地区: 英国,[Sapphire](https://www.imdb.com/title/tt0053242/), ,1959.0,7.2,"Not Rated | 92 min | Crime, Drama, Mystery"
120,eclipse,Eclipse Series 25, ,The League of Gentlemen,Basil Dearden,United Kingdom,1960.0,[绅士联盟 The League of Gentlemen](https://movie.douban.com/subject/3105237/),1960,7.6,导演: 巴兹尔·迪尔登; 类型: 冒险; 地区: 英国,[The League of Gentlemen](https://www.imdb.com/title/tt0052997/), ,1960.0,7.2,"Unrated | 116 min | Comedy, Crime, Drama"
121,eclipse,Eclipse Series 25, ,Victim,Basil Dearden,United Kingdom,1961.0,[受害者 Victim](https://movie.douban.com/subject/1302493/),1961,8.2,导演: 巴兹尔·迪尔登; 类型: 剧情; 地区: 英国,[Victim](https://www.imdb.com/title/tt0055597/), ,1961.0,7.7,Not Rated | 100 min | Drama
122,eclipse,Eclipse Series 25, ,All Night Long,Basil Dearden,United Kingdom,1962.0,[一整夜 All Night Long](https://movie.douban.com/subject/3715082/),1962,7.6,导演: 巴兹尔·迪尔登; 类型: 剧情; 地区: 英国,[All Night Long](https://www.imdb.com/title/tt0054614/), ,1962.0,7.0,"Not Rated | 91 min | Drama, Music"
123,eclipse,Eclipse Series 26,#,[Eclipse Series 26: Silent Naruse](https://www.criterion.com/boxsets/789-eclipse-series-26-silent-naruse), , , ,**Eclipse Series 26: Silent Naruse 成濑巳喜男默片**, , , ,Eclipse Series 26: Silent Naruse, , , , 
124,eclipse,Eclipse Series 26, ,"Flunky, Work Hard",Mikio Naruse,Japan,1931.0,[小人物，加油吧！ 腰辨頑張れ](https://movie.douban.com/subject/1467040/),1931,8.2,导演: 成濑巳喜男; 类型: 短片; 地区: 日本,"[Flunky, Work Hard!](https://www.imdb.com/title/tt0022036/)",Koshiben ganbare,1931.0,6.7,"29 min | Short, Comedy, Drama"
125,eclipse,Eclipse Series 26, ,No Blood Relation,Mikio Naruse,Japan,1932.0,[不是血亲 生さぬ仲](https://movie.douban.com/subject/4007086/),1932,7.6,导演: 成濑巳喜男; 类型: 剧情; 地区: 日本,[No Blood Relation](https://www.imdb.com/title/tt0023261/),Nasanu naka,1932.0,6.9,79 min | Drama
