index,Cover 海报,Rank 排名,Title 电影,Director 导演,Score 打分,Year 年份,Region 地区,Genre 类型,Staff 人员
233,![1422283](https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2319879389.jpg),234,[高山下的花环](https://movie.douban.com/subject/1422283/),谢晋 Jin Xie,🌟9.50,1985,中国大陆,剧情 战争,谢晋 Jin Xie / 吕晓禾 Xiaohe Lü / 唐国强 Guoqiang Tang / 何...
234,![1419936](https://img2.doubanio.com/view/photo/s_ratio_poster/public/p792282381.jpg),235,[战争之王](https://movie.douban.com/subject/1419936/),安德鲁·尼科尔 Andrew Niccol,🌟8.70,2005,美国 德国,剧情 犯罪,安德鲁·尼科尔 Andrew Niccol / 尼古拉斯·凯奇 Nicolas Cage /...
235,![1428175](https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1244017073.jpg),236,[血钻](https://movie.douban.com/subject/1428175/),爱德华·兹威克 Edward Zwick,🌟8.70,2006,美国 德国 英国,剧情 惊悚 冒险,爱德华·兹威克 Edward Zwick / 莱昂纳多·迪卡普里奥 Leonardo ...
236,![2222996](https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2375245718.jpg),237,[步履不停](https://movie.douban.com/subject/2222996/),是枝裕和 Hirokazu Koreeda,🌟8.80,2008,日本,剧情 家庭,是枝裕和 Hirokazu Koreeda / 阿部宽 Hiroshi Abe / 夏川结衣 Yu...
237,![25724855](https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2259715855.jpg),238,[房间](https://movie.douban.com/subject/25724855/),伦尼·阿伯拉罕森 Lenny Abrahamson,🌟8.80,2015,爱尔兰 加拿大 英国 美国,剧情 家庭,伦尼·阿伯拉罕森 Lenny Abrahamson / 布丽·拉尔森 Brie Larson...
238,![1307394](https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2215102596.jpg),239,[千年女优](https://movie.douban.com/subject/1307394/),今敏 Satoshi Kon,🌟8.80,2001,日本,动画 剧情 爱情,今敏 Satoshi Kon / 庄司美代子 Miyoko Shôji / 小山茉美 Mam...
239,![1293964](https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2351134499.jpg),240,[魂断蓝桥](https://movie.douban.com/subject/1293964/),茂文·勒鲁瓦 Mervyn LeRoy,🌟8.80,1940,美国,剧情 爱情 战争,茂文·勒鲁瓦 Mervyn LeRoy / 费雯·丽 Vivien Leigh / 罗伯特·...
240,![1457217](https://img1.doubanio.com/view/photo/s_ratio_poster/public/p443403700.jpg),241,[哈利·波特与凤凰社](https://movie.douban.com/subject/1457217/),大卫·叶茨 David Yates,🌟8.50,2007,英国 美国,奇幻 冒险,大卫·叶茨 David Yates / 丹尼尔·雷德克里夫 Daniel Radcliffe...
241,![1308767](https://img9.doubanio.com/view/photo/s_ratio_poster/public/p667644866.jpg),242,[谍影重重2](https://movie.douban.com/subject/1308767/),保罗·格林格拉斯 Paul Greengrass,🌟8.70,2004,美国 德国,动作 悬疑 惊悚,保罗·格林格拉斯 Paul Greengrass / 马特·达蒙 Matt Damon / ...
242,![26374197](https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2535851348.jpg),243,[蜘蛛侠：平行宇宙](https://movie.douban.com/subject/26374197/),鲍勃·佩尔西凯蒂 Bob Persichetti / 彼得·拉姆齐 Peter Ramsey,🌟8.60,2018,美国,动作 科幻 动画 冒险,鲍勃·佩尔西凯蒂 Bob Persichetti / 彼得·拉姆齐 Peter Ramsey
243,![1293323](https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1254404823.jpg),244,[大红灯笼高高挂](https://movie.douban.com/subject/1293323/),张艺谋 Yimou Zhang,🌟8.80,1991,中国大陆 中国香港 中国台湾,剧情,张艺谋 Yimou Zhang / 巩俐 Li Gong / 马精武 Jingwu Ma / 何赛...
244,![3552028](https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2577248102.jpg),245,[弱点](https://movie.douban.com/subject/3552028/),约翰·李·汉考克 John Lee Hancock,🌟8.70,2009,美国,剧情 家庭 传记 运动,约翰·李·汉考克 John Lee Hancock / 桑德拉·布洛克 Sandra Bu...
245,![1304102](https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1597183981.jpg),246,[谍影重重](https://movie.douban.com/subject/1304102/),道格·里曼 Doug Liman,🌟8.60,2002,美国 德国 捷克,动作 悬疑 惊悚,道格·里曼 Doug Liman / 马特·达蒙 Matt Damon / 弗兰卡·波坦...
246,![1305690](https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2525770523.jpg),247,[阿飞正传](https://movie.douban.com/subject/1305690/),王家卫 Kar Wai Wong,🌟8.50,1990,中国香港,犯罪 剧情 爱情,王家卫 Kar Wai Wong / 张国荣 Leslie Cheung / 张曼玉 Maggie C...
247,![2213597](https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1140984198.jpg),248,[朗读者](https://movie.douban.com/subject/2213597/),史蒂芬·戴德利 Stephen Daldry,🌟8.60,2008,美国 德国,剧情 爱情,史蒂芬·戴德利 Stephen Daldry / 凯特·温丝莱特 Kate Winslet ...
248,![6874403](https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2250287733.jpg),249,[再次出发之纽约遇见你](https://movie.douban.com/subject/6874403/),约翰·卡尼 John Carney,🌟8.60,2013,美国,喜剧 爱情 音乐,约翰·卡尼 John Carney / 凯拉·奈特莉 Keira Knightley / 马克...
249,![1295865](https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2797313535.jpg),250,[燃情岁月](https://movie.douban.com/subject/1295865/),爱德华·兹威克 Edward Zwick,🌟8.70,1994,美国,剧情 爱情 战争 西部,爱德华·兹威克 Edward Zwick / 布拉德·皮特 Brad Pitt / 安东...
