index,Cover 海报,Rank 排名,Title 电影,Director 导演,Score 打分,Year 年份,Region 地区,Genre 类型,Staff 人员
37,![1308807](https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2904111050.jpg),38,[哈尔的移动城堡](https://movie.douban.com/subject/1308807/),宫崎骏 Hayao Miyazaki,🌟9.10,2004,日本,爱情 动画 奇幻 冒险,宫崎骏 Hayao Miyazaki / 倍赏千惠子 Chieko Baishô / 木村拓...
38,![3742360](https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg),39,[让子弹飞](https://movie.douban.com/subject/3742360/),姜文 Wen Jiang,🌟9.00,2010,中国大陆 中国香港,剧情 喜剧 动作 西部,姜文 Wen Jiang / 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...
39,![30170448](https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2555295759.jpg),40,[何以为家](https://movie.douban.com/subject/30170448/),娜丁·拉巴基 Nadine Labaki,🌟9.10,2018,黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国,剧情,娜丁·拉巴基 Nadine Labaki / 扎因·拉费阿 Zain al-Rafeea / ...
40,![26387939](https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2401676338.jpg),41,[摔跤吧！爸爸](https://movie.douban.com/subject/26387939/),涅提·蒂瓦里 Nitesh Tiwari,🌟9.00,2016,印度,剧情 传记 运动 家庭,涅提·蒂瓦里 Nitesh Tiwari / 阿米尔·汗 Aamir Khan / 法缇玛...
41,![1305487](https://img2.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg),42,[猫鼠游戏](https://movie.douban.com/subject/1305487/),史蒂文·斯皮尔伯格 Steven Spielberg,🌟9.10,2002,美国 加拿大,传记 犯罪 剧情,史蒂文·斯皮尔伯格 Steven Spielberg / 莱昂纳多·迪卡普里奥 L...
42,![1291583](https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2892380420.jpg),43,[天空之城](https://movie.douban.com/subject/1291583/),宫崎骏 Hayao Miyazaki,🌟9.20,1986,日本,动画 奇幻 冒险,宫崎骏 Hayao Miyazaki / 田中真弓 Mayumi Tanaka / 横泽启子 Ke...
43,![1291858](https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553104888.jpg),44,[鬼子来了](https://movie.douban.com/subject/1291858/),姜文 Wen Jiang,🌟9.30,2000,中国大陆,剧情 喜剧,姜文 Wen Jiang / 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...
44,![25958717](https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554525534.jpg),45,[海蒂和爷爷](https://movie.douban.com/subject/25958717/),阿兰·葛斯彭纳 Alain Gsponer,🌟9.30,2015,德国 瑞士,剧情 冒险 家庭,阿兰·葛斯彭纳 Alain Gsponer / 阿努克·斯特芬 Anuk Steffen /...
45,![1929463](https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg),46,[少年派的奇幻漂流](https://movie.douban.com/subject/1929463/),李安 Ang Lee,🌟9.10,2012,美国 中国台湾 英国 加拿大,剧情 奇幻 冒险,李安 Ang Lee / 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...
46,![1296736](https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1381339291.jpg),47,[钢琴家](https://movie.douban.com/subject/1296736/),罗曼·波兰斯基 Roman Polanski,🌟9.30,2002,英国 法国 波兰 德国,剧情 传记 战争 音乐,罗曼·波兰斯基 Roman Polanski / 艾德里安·布洛迪 Adrien Brod...
47,![1299398](https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.jpg),48,[大话西游之月光宝盒](https://movie.douban.com/subject/1299398/),刘镇伟 Jeffrey Lau,🌟9.00,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,刘镇伟 Jeffrey Lau / 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...
48,![1291572](https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2640236255.jpg),49,[指环王2：双塔奇兵](https://movie.douban.com/subject/1291572/),彼得·杰克逊 Peter Jackson,🌟9.20,2002,美国 新西兰,剧情 动作 奇幻 冒险,彼得·杰克逊 Peter Jackson / 伊利亚·伍德 Elijah Wood / 西恩...
49,![1298624](https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550757929.jpg),50,[闻香识女人](https://movie.douban.com/subject/1298624/),马丁·布莱斯 Martin Brest,🌟9.10,1992,美国,剧情,马丁·布莱斯 Martin Brest / 阿尔·帕西诺 Al Pacino / 克里斯...
50,![1291548](https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575465690.jpg),51,[死亡诗社](https://movie.douban.com/subject/1291548/),彼得·威尔 Peter Weir,🌟9.20,1989,美国,剧情,彼得·威尔 Peter Weir / 罗宾·威廉姆斯 Robin Williams / 罗伯...
51,![27060077](https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2531065411.jpg),52,[绿皮书](https://movie.douban.com/subject/27060077/),彼得·法雷里 Peter Farrelly,🌟8.90,2018,美国 中国大陆,剧情 喜剧 传记 音乐,彼得·法雷里 Peter Farrelly / 维果·莫腾森 Viggo Mortensen /...
52,![1293839](https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg),53,[罗马假日](https://movie.douban.com/subject/1293839/),威廉·惠勒 William Wyler,🌟9.10,1953,美国,喜剧 剧情 爱情,威廉·惠勒 William Wyler / 奥黛丽·赫本 Audrey Hepburn / 格...
53,![1418019](https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg),54,[大闹天宫](https://movie.douban.com/subject/1418019/),万籁鸣 Laiming Wan,🌟9.40,1978,中国大陆,剧情 动画 奇幻 古装,万籁鸣 Laiming Wan / 邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu...
54,![1291828](https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2653054340.jpg),55,[天堂电影院](https://movie.douban.com/subject/1291828/),朱塞佩·托纳多雷 Giuseppe Tornatore,🌟9.20,1988,意大利 法国,剧情 爱情,朱塞佩·托纳多雷 Giuseppe Tornatore / 菲利普·努瓦雷 Philipp...
55,![1291843](https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg),56,[黑客帝国](https://movie.douban.com/subject/1291843/),安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski,🌟9.10,1999,美国,动作 科幻,安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski
56,![1291571](https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2197698335.jpg),57,[指环王1：护戒使者](https://movie.douban.com/subject/1291571/),彼得·杰克逊 Peter Jackson,🌟9.10,2001,新西兰 美国,剧情 动作 奇幻 冒险,彼得·杰克逊 Peter Jackson / 伊利亚·伍德 Elijah Wood / 西恩...
57,![1299131](https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg),58,[教父2](https://movie.douban.com/subject/1299131/),弗朗西斯·福特·科波拉 Francis Ford Coppola,🌟9.30,1974,美国,剧情 犯罪,弗朗西斯·福特·科波拉 Francis Ford Coppola / 阿尔·帕西诺 A...
58,![1301753](https://img3.doubanio.com/view/photo/s_ratio_poster/public/p726659067.jpg),59,[狮子王](https://movie.douban.com/subject/1301753/),Roger Allers / 罗伯·明可夫 Rob Minkoff,🌟9.10,1994,美国,动画 冒险 歌舞,Roger Allers / 罗伯·明可夫 Rob Minkoff / 乔纳森·泰勒·托马...
59,![21937445](https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg),60,[辩护人](https://movie.douban.com/subject/21937445/),杨宇硕 Woo-seok Yang,🌟9.20,2013,韩国,剧情,杨宇硕 Woo-seok Yang / 宋康昊 Kang-ho Song / 金英爱 Yeong-ae...
60,![1291818](https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg),61,[饮食男女](https://movie.douban.com/subject/1291818/),李安 Ang Lee,🌟9.20,1994,中国台湾 美国,剧情 家庭,李安 Ang Lee / 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...
61,![1292000](https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910931622.jpg),62,[搏击俱乐部](https://movie.douban.com/subject/1292000/),大卫·芬奇 David Fincher,🌟9.00,1999,美国,剧情 动作 悬疑 惊悚,大卫·芬奇 David Fincher / 爱德华·诺顿 Edward Norton / 布拉...
62,![1485260](https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg),63,[本杰明·巴顿奇事](https://movie.douban.com/subject/1485260/),大卫·芬奇 David Fincher,🌟9.00,2008,美国,剧情 爱情 奇幻,大卫·芬奇 David Fincher / 凯特·布兰切特 Cate Blanchett / ...
63,![1306029](https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg),64,[美丽心灵](https://movie.douban.com/subject/1306029/),朗·霍华德 Ron Howard,🌟9.10,2001,美国,传记 剧情,朗·霍华德 Ron Howard / 罗素·克劳 Russell Crowe / 艾德·哈...
64,![3008247](https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1473670352.jpg),65,[穿条纹睡衣的男孩](https://movie.douban.com/subject/3008247/),马克·赫尔曼 Mark Herman,🌟9.20,2008,英国 美国,剧情 战争,马克·赫尔曼 Mark Herman / 阿萨·巴特菲尔德 Asa Butterfield ...
65,![1900841](https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg),66,[窃听风暴](https://movie.douban.com/subject/1900841/),弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck,🌟9.20,2006,德国,剧情 悬疑,弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck
66,![1292220](https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2648230660.jpg),67,[情书](https://movie.douban.com/subject/1292220/),岩井俊二 Shunji Iwai,🌟8.90,1995,日本,剧情 爱情,岩井俊二 Shunji Iwai / 中山美穗 Miho Nakayama / 丰川悦司 Ets...
67,![1293350](https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg),68,[两杆大烟枪](https://movie.douban.com/subject/1293350/),盖·里奇 Guy Ritchie,🌟9.10,1998,英国,剧情 喜剧 犯罪,盖·里奇 Guy Ritchie / 杰森·弗莱明 Jason Flemyng / 德克斯特...
68,![1292402](https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2441988159.jpg),69,[西西里的美丽传说](https://movie.douban.com/subject/1292402/),朱塞佩·托纳多雷 Giuseppe Tornatore,🌟8.90,2000,意大利 美国,剧情 战争 情色,朱塞佩·托纳多雷 Giuseppe Tornatore / 莫妮卡·贝鲁奇 Monica ...
69,![1294408](https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453788577.jpg),70,[音乐之声](https://movie.douban.com/subject/1294408/),罗伯特·怀斯 Robert Wise,🌟9.10,1965,美国,剧情 传记 爱情 歌舞,罗伯特·怀斯 Robert Wise / 朱莉·安德鲁斯 Julie Andrews / 克...
70,![26580232](https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg),71,[看不见的客人](https://movie.douban.com/subject/26580232/),奥里奥尔·保罗 Oriol Paulo,🌟8.80,2016,西班牙,剧情 犯罪 悬疑 惊悚,奥里奥尔·保罗 Oriol Paulo / 马里奥·卡萨斯 Mario Casas / 阿...
71,![3011235](https://img3.doubanio.com/view/photo/s_ratio_poster/public/p917846733.jpg),72,[哈利·波特与死亡圣器(下)](https://movie.douban.com/subject/3011235/),大卫·叶茨 David Yates,🌟9.00,2011,美国 英国,奇幻 冒险,大卫·叶茨 David Yates / 丹尼尔·雷德克里夫 Daniel Radcliffe...
72,![1652587](https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2180085848.jpg),73,[阿凡达](https://movie.douban.com/subject/1652587/),詹姆斯·卡梅隆 James Cameron,🌟8.80,2009,美国,动作 科幻 冒险,詹姆斯·卡梅隆 James Cameron / 萨姆·沃辛顿 Sam Worthington ...
73,![1292849](https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg),74,[拯救大兵瑞恩](https://movie.douban.com/subject/1292849/),史蒂文·斯皮尔伯格 Steven Spielberg,🌟9.10,1998,美国,剧情 战争,史蒂文·斯皮尔伯格 Steven Spielberg / 汤姆·汉克斯 Tom Hanks...
74,![1292224](https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg),75,[飞越疯人院](https://movie.douban.com/subject/1292224/),米洛斯·福尔曼 Miloš Forman,🌟9.10,1975,美国,剧情,米洛斯·福尔曼 Miloš Forman / 杰克·尼科尔森 Jack Nichols...
75,![1303021](https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2165511465.jpg),76,[小鞋子](https://movie.douban.com/subject/1303021/),马基德·马基迪 Majid Majidi,🌟9.20,1997,伊朗,剧情 儿童 家庭,马基德·马基迪 Majid Majidi / 默罕默德·阿米尔·纳吉 Mohamma...
76,![1293544](https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg),77,[沉默的羔羊](https://movie.douban.com/subject/1293544/),乔纳森·戴米 Jonathan Demme,🌟8.90,1991,美国,剧情 犯罪 惊悚,乔纳森·戴米 Jonathan Demme / 朱迪·福斯特 Jodie Foster / 安...
77,![1291543](https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2219011938.jpg),78,[功夫](https://movie.douban.com/subject/1291543/),周星驰 Stephen Chow,🌟8.80,2004,中国大陆 中国香港,动作 喜剧 犯罪 奇幻,周星驰 Stephen Chow / 周星驰 Stephen Chow / 元秋 Qiu Yuen / ...
78,![11525673](https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2183539003.jpg),79,[布达佩斯大饭店](https://movie.douban.com/subject/11525673/),韦斯·安德森 Wes Anderson,🌟8.90,2014,美国 德国 英国,剧情 喜剧 冒险,韦斯·安德森 Wes Anderson / 拉尔夫·费因斯 Ralph Fiennes / ...
79,![2334904](https://img1.doubanio.com/view/photo/s_ratio_poster/public/p450262388.jpg),80,[禁闭岛](https://movie.douban.com/subject/2334904/),Martin Scorsese,🌟8.90,2010,美国,剧情 悬疑 惊悚,Martin Scorsese / 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...
80,![1292343](https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg),81,[蝴蝶效应](https://movie.douban.com/subject/1292343/),埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber,🌟8.90,2004,美国 加拿大,剧情 悬疑 科幻 惊悚,埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber
81,![1291544](https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910812549.jpg),82,[哈利·波特与阿兹卡班的囚徒](https://movie.douban.com/subject/1291544/),Alfonso Cuarón,🌟9.00,2004,英国 美国,奇幻 冒险,Alfonso Cuarón / 丹尼尔·雷德克里夫 Daniel Radcliffe / Emma...
82,![1780330](https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg),83,[致命魔术](https://movie.douban.com/subject/1780330/),克里斯托弗·诺兰 Christopher Nolan,🌟8.90,2006,英国 美国,剧情 悬疑 惊悚,克里斯托弗·诺兰 Christopher Nolan / 休·杰克曼 Hugh Jackman...
83,![1292656](https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480965695.jpg),84,[心灵捕手](https://movie.douban.com/subject/1292656/),格斯·范·桑特 Gus Van Sant,🌟8.90,1997,美国,剧情,格斯·范·桑特 Gus Van Sant / 马特·达蒙 Matt Damon / 罗宾·...
84,![5322596](https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1305562621.jpg),85,[超脱](https://movie.douban.com/subject/5322596/),托尼·凯耶 Tony Kaye,🌟9.00,2011,美国,剧情,托尼·凯耶 Tony Kaye / 艾德里安·布洛迪 Adrien Brody / 马西...
85,![1291832](https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.jpg),86,[低俗小说](https://movie.douban.com/subject/1291832/),昆汀·塔伦蒂诺 Quentin Tarantino,🌟8.90,1994,美国,剧情 喜剧 犯罪,昆汀·塔伦蒂诺 Quentin Tarantino / 约翰·特拉沃尔塔 John Tra...
86,![1294371](https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263408369.jpg),87,[摩登时代](https://movie.douban.com/subject/1294371/),查理·卓别林 Charles Chaplin,🌟9.30,1936,美国,剧情 喜剧 爱情,查理·卓别林 Charles Chaplin / 查理·卓别林 Charles Chaplin ...
87,![3442220](https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559579779.jpg),88,[海豚湾](https://movie.douban.com/subject/3442220/),路易·西霍尤斯 Louie Psihoyos,🌟9.30,2009,美国,纪录片,路易·西霍尤斯 Louie Psihoyos / 路易·西霍尤斯 Louie Psihoyo...
88,![1292679](https://img2.doubanio.com/view/photo/s_ratio_poster/public/p465939041.jpg),89,[春光乍泄](https://movie.douban.com/subject/1292679/),王家卫 Kar Wai Wong,🌟9.00,1997,中国香港 日本 韩国,剧情 爱情 同性,王家卫 Kar Wai Wong / 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...
89,![1302425](https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2579932167.jpg),90,[喜剧之王](https://movie.douban.com/subject/1302425/),周星驰 Stephen Chow / 李力持 Lik-Chi Lee,🌟8.80,1999,中国香港,喜剧 剧情 爱情,周星驰 Stephen Chow / 李力持 Lik-Chi Lee / 周星驰 Stephen Ch...
90,![1292262](https://img3.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg),91,[美国往事](https://movie.douban.com/subject/1292262/),赛尔乔·莱翁内 Sergio Leone,🌟9.20,1984,美国 意大利,犯罪 剧情,赛尔乔·莱翁内 Sergio Leone / 罗伯特·德尼罗 Robert De Niro ...
91,![1297192](https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2558364386.jpg),92,[致命ID](https://movie.douban.com/subject/1297192/),詹姆斯·曼高德 James Mangold,🌟8.90,2003,美国,剧情 悬疑 惊悚,詹姆斯·曼高德 James Mangold / 约翰·库萨克 John Cusack / 雷...
92,![1300299](https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1633113220.jpg),93,[杀人回忆](https://movie.douban.com/subject/1300299/),奉俊昊 Joon-ho Bong,🌟8.90,2003,韩国,剧情 动作 犯罪 悬疑 惊悚,奉俊昊 Joon-ho Bong / 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...
93,![1296996](https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1082651990.jpg),94,[哈利·波特与密室](https://movie.douban.com/subject/1296996/),Chris Columbus,🌟8.90,2002,英国 美国,奇幻 冒险,Chris Columbus / 丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛...
94,![1865703](https://img1.doubanio.com/view/photo/s_ratio_poster/public/p456825720.jpg),95,[红辣椒](https://movie.douban.com/subject/1865703/),今敏 Satoshi Kon,🌟9.10,2006,日本,动画 悬疑 科幻 惊悚,今敏 Satoshi Kon / 林原惠美 Megumi Hayashibara / 江守彻 Toru...
95,![1298070](https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1596085504.jpg),96,[加勒比海盗](https://movie.douban.com/subject/1298070/),戈尔·维宾斯基 Gore Verbinski,🌟8.80,2003,美国,动作 冒险 奇幻,戈尔·维宾斯基 Gore Verbinski / 约翰尼·德普 Johnny Depp / ...
96,![1292223](https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2219586434.jpg),97,[七宗罪](https://movie.douban.com/subject/1292223/),大卫·芬奇 David Fincher,🌟8.80,1995,美国,剧情 犯罪 悬疑 惊悚,大卫·芬奇 David Fincher / 摩根·弗里曼 Morgan Freeman / 布...
97,![1292434](https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2567845803.jpg),98,[一一](https://movie.douban.com/subject/1292434/),杨德昌 Edward Yang,🌟9.10,2000,中国台湾 日本,剧情 爱情 家庭,杨德昌 Edward Yang / 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...
98,![6985810](https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1546987967.jpg),99,[狩猎](https://movie.douban.com/subject/6985810/),托马斯·温特伯格 Thomas Vinterberg,🌟9.10,2012,丹麦 瑞典,剧情,托马斯·温特伯格 Thomas Vinterberg / 麦斯·米科尔森 Mads Mik...
99,![1306249](https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2357915564.jpg),100,[唐伯虎点秋香](https://movie.douban.com/subject/1306249/),李力持 Lik-Chi Lee,🌟8.70,1993,中国香港,喜剧 爱情 古装,李力持 Lik-Chi Lee / 周星驰 Stephen Chow / 巩俐 Li Gong / 陈...
100,![10777687](https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1816276065.jpg),101,[7号房的礼物](https://movie.douban.com/subject/10777687/),李焕庆 Hwan-kyeong Lee,🌟8.90,2013,韩国,剧情 喜剧 家庭,李焕庆 Hwan-kyeong Lee / 柳承龙 Seung-yong Ryoo / 朴信惠 Shi...
101,![1787291](https://img9.doubanio.com/view/photo/s_ratio_poster/public/p884763596.jpg),102,[被嫌弃的松子的一生](https://movie.douban.com/subject/1787291/),中岛哲也 Tetsuya Nakashima,🌟8.90,2006,日本,剧情 歌舞,中岛哲也 Tetsuya Nakashima / 中谷美纪 Miki Nakatani / 瑛太 E...
102,![3395373](https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1706428744.jpg),103,[蝙蝠侠：黑暗骑士崛起](https://movie.douban.com/subject/3395373/),克里斯托弗·诺兰 Christopher Nolan,🌟8.90,2012,美国 英国,剧情 动作 科幻 犯罪 惊悚,克里斯托弗·诺兰 Christopher Nolan / 克里斯蒂安·贝尔 Christ...
103,![1296339](https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2555762374.jpg),104,[爱在黎明破晓前](https://movie.douban.com/subject/1296339/),理查德·林克莱特 Richard Linklater,🌟8.80,1995,美国 奥地利 瑞士,剧情 爱情,理查德·林克莱特 Richard Linklater / 伊桑·霍克 Ethan Hawke ...
104,![26799731](https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2505525050.jpg),105,[请以你的名字呼唤我](https://movie.douban.com/subject/26799731/),卢卡·瓜达尼诺 Luca Guadagnino,🌟8.80,2017,意大利 法国 巴西 美国,剧情 爱情 同性,卢卡·瓜达尼诺 Luca Guadagnino / 艾米·汉莫 Armie Hammer / ...
105,![1305164](https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2223011274.jpg),106,[甜蜜蜜](https://movie.douban.com/subject/1305164/),陈可辛 Peter Chan,🌟8.90,1996,中国香港,剧情 爱情,陈可辛 Peter Chan / 黎明 Leon Lai / 张曼玉 Maggie Cheung / ...
106,![1418834](https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2604889017.jpg),107,[断背山](https://movie.douban.com/subject/1418834/),李安 Ang Lee,🌟8.80,2005,美国 加拿大,剧情 爱情 同性 家庭,李安 Ang Lee / 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...
107,![1292370](https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480956937.jpg),108,[剪刀手爱德华](https://movie.douban.com/subject/1292370/),蒂姆·波顿 Tim Burton,🌟8.70,1990,美国,剧情 奇幻 爱情,蒂姆·波顿 Tim Burton / 约翰尼·德普 Johnny Depp / 薇诺娜·...
108,![2149806](https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2707581855.jpg),109,[入殓师](https://movie.douban.com/subject/2149806/),泷田洋二郎 Yôjirô Takita,🌟8.90,2008,日本,剧情,泷田洋二郎 Yôjirô Takita / 本木雅弘 Masahiro Motoki / ...
109,![1297630](https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2220184425.jpg),110,[第六感](https://movie.douban.com/subject/1297630/),M·奈特·沙马兰 M. Night Shyamalan,🌟8.90,1999,美国,剧情 悬疑 惊悚,M·奈特·沙马兰 M. Night Shyamalan / 布鲁斯·威利斯 Bruce Wi...
110,![1291999](https://img2.doubanio.com/view/photo/s_ratio_poster/public/p792381411.jpg),111,[重庆森林](https://movie.douban.com/subject/1291999/),王家卫 Kar Wai Wong,🌟8.80,1994,中国香港,剧情 爱情,王家卫 Kar Wai Wong / 林青霞 Brigitte Lin / 金城武 Takeshi K...
111,![11026735](https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2224568669.jpg),112,[超能陆战队](https://movie.douban.com/subject/11026735/),唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,🌟8.70,2014,美国,喜剧 动作 科幻 动画 冒险,唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams / 斯科特...
112,![1294639](https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2004174709.jpg),113,[勇敢的心](https://movie.douban.com/subject/1294639/),梅尔·吉布森 Mel Gibson,🌟8.90,1995,美国,动作 传记 剧情 历史 战争,梅尔·吉布森 Mel Gibson / 梅尔·吉布森 Mel Gibson / 苏菲·玛...
113,![1291990](https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561542458.jpg),114,[爱在日落黄昏时](https://movie.douban.com/subject/1291990/),理查德·林克莱特 Richard Linklater,🌟8.90,2004,美国 法国,剧情 爱情,理查德·林克莱特 Richard Linklater / 伊桑·霍克 Ethan Hawke ...
114,![1297359](https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1613191025.jpg),115,[幽灵公主](https://movie.douban.com/subject/1297359/),宫崎骏 Hayao Miyazaki,🌟8.90,1997,日本,动画 奇幻 冒险,宫崎骏 Hayao Miyazaki / 松田洋治 Yôji Matsuda / 石田百合...
115,![1293359](https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2620392435.jpg),116,[菊次郎的夏天](https://movie.douban.com/subject/1293359/),北野武 Takeshi Kitano,🌟8.90,1999,日本,剧情 喜剧,北野武 Takeshi Kitano / 北野武 Takeshi Kitano / 关口雄介 Yus...
116,![27010768](https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561439800.jpg),117,[寄生虫](https://movie.douban.com/subject/27010768/),奉俊昊 Joon-ho Bong,🌟8.80,2019,韩国,剧情,奉俊昊 Joon-ho Bong / 宋康昊 Kang-ho Song / 李善均 Seon-gyun...
117,![4202302](https://img9.doubanio.com/view/photo/s_ratio_poster/public/p617533616.jpg),118,[借东西的小人阿莉埃蒂](https://movie.douban.com/subject/4202302/),米林宏昌 Hiromasa Yonebayashi,🌟8.90,2010,日本,动画 奇幻 冒险,米林宏昌 Hiromasa Yonebayashi / 志田未来 Mirai Shida / 神木...
118,![21318488](https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2221768894.jpg),119,[消失的爱人](https://movie.douban.com/subject/21318488/),大卫·芬奇 David Fincher,🌟8.70,2014,美国,剧情 犯罪 悬疑 惊悚,大卫·芬奇 David Fincher / 本·阿弗莱克 Ben Affleck / 罗莎蒙...
119,![1292337](https://img3.doubanio.com/view/photo/s_ratio_poster/public/p661160053.jpg),120,[无人知晓](https://movie.douban.com/subject/1292337/),是枝裕和 Hirokazu Koreeda,🌟9.10,2004,日本,剧情,是枝裕和 Hirokazu Koreeda / 柳乐优弥 Yûya Yagira / 北浦爱...
120,![1291875](https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2564685215.jpg),121,[阳光灿烂的日子](https://movie.douban.com/subject/1291875/),姜文 Wen Jiang,🌟8.80,1994,中国大陆 中国香港,剧情 爱情,姜文 Wen Jiang / 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao
121,![1300992](https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2190556408.jpg),122,[完美的世界](https://movie.douban.com/subject/1300992/),克林特·伊斯特伍德 Clint Eastwood,🌟9.10,1993,美国,剧情 犯罪,克林特·伊斯特伍德 Clint Eastwood / 凯文·科斯特纳 Kevin Cos...
