index,Cover 海报,Rank 排名,Title 电影,Director 导演,Score 打分,Year 年份,Region 地区,Genre 类型,Staff 人员
125,![518068](https://media.themoviedb.org/t/p/w220_and_h330_face/9BnqBHFGDv3WlCPB2qQwzAWdy7y.jpg),186,[Along with the Gods: The Last 49 Days](https://www.themoviedb.org/movie/518068), ,🌟81.00,2018, , , 
126,![600354](https://media.themoviedb.org/t/p/w220_and_h330_face/pr3bEQ517uMb5loLvjFQi8uLAsp.jpg),187,[The Father](https://www.themoviedb.org/movie/600354), ,🌟81.00,2020, , , 
127,![614](https://media.themoviedb.org/t/p/w220_and_h330_face/iyTD2QnySNMPUPE3IedZQipSWfz.jpg),188,[Wild Strawberries](https://www.themoviedb.org/movie/614), ,🌟81.00,1957, , , 
128,![500](https://media.themoviedb.org/t/p/w220_and_h330_face/xi8Iu6qyTfyZVDVy60raIOYJJmk.jpg),189,[Reservoir Dogs](https://www.themoviedb.org/movie/500), ,🌟81.28,1992, , , 
129,![411088](https://media.themoviedb.org/t/p/w220_and_h330_face/fptnZJbLzKUHeNlYrAynbyoL5YJ.jpg),190,[The Invisible Guest](https://www.themoviedb.org/movie/411088), ,🌟81.22,2017, , , 
130,![935](https://media.themoviedb.org/t/p/w220_and_h330_face/7SixLzxcqezkZEYU8pcHZgbkmjp.jpg),191,[Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb](https://www.themoviedb.org/movie/935), ,🌟81.00,1964, , , 
131,![100](https://media.themoviedb.org/t/p/w220_and_h330_face/wt2TRBmFmBn5M5MBcPTwovlREaB.jpg),192,"[Lock, Stock and Two Smoking Barrels](https://www.themoviedb.org/movie/100)", ,🌟81.00,1998, , , 
132,![555604](https://media.themoviedb.org/t/p/w220_and_h330_face/vx1u0uwxdlhV2MUzj4VlcMB0N6m.jpg),193,[Guillermo del Toro's Pinocchio](https://www.themoviedb.org/movie/555604), ,🌟81.00,2022, , , 
133,![996](https://media.themoviedb.org/t/p/w220_and_h330_face/n8Mfx7JNbj6lo24laFL1sZYEKHs.jpg),194,[Double Indemnity](https://www.themoviedb.org/movie/996), ,🌟81.00,1944, , , 
134,![439](https://media.themoviedb.org/t/p/w220_and_h330_face/11hMHhThUb53fHoDDyn5LUsw0Z.jpg),195,[La Dolce Vita](https://www.themoviedb.org/movie/439), ,🌟81.00,1960, , , 
135,![38288](https://media.themoviedb.org/t/p/w220_and_h330_face/y3hEulMYSTQuvmI5jBTyWrcvJQX.jpg),196,[I corti](https://www.themoviedb.org/movie/38288), ,🌟81.00,1996, , , 
136,![663558](https://media.themoviedb.org/t/p/w220_and_h330_face/sezNkk9HifNJW3pC5SU2XqMKgSJ.jpg),197,[New Gods: Nezha Reborn](https://www.themoviedb.org/movie/663558), ,🌟81.00,2021, , , 
137,![280](https://media.themoviedb.org/t/p/w220_and_h330_face/5M0j0B18abtBI5gi2RhfjjurTqb.jpg),198,[Terminator 2: Judgment Day](https://www.themoviedb.org/movie/280), ,🌟81.00,1991, , , 
138,![872585](https://media.themoviedb.org/t/p/w220_and_h330_face/8Gxv8gSFCU0XGDykEGv7zR1n2ua.jpg),199,[Oppenheimer](https://www.themoviedb.org/movie/872585), ,🌟81.11,2023, , , 
139,![20532](https://media.themoviedb.org/t/p/w220_and_h330_face/ffMCNNYiTCdkhMQoNSX17urqWiz.jpg),200,[Sansho the Bailiff](https://www.themoviedb.org/movie/20532), ,🌟81.00,1954, , , 
140,![843](https://media.themoviedb.org/t/p/w220_and_h330_face/iYypPT4bhqXfq1b6EnmxvRt6b2Y.jpg),201,[In the Mood for Love](https://www.themoviedb.org/movie/843), ,🌟81.00,2000, , , 
141,![664767](https://media.themoviedb.org/t/p/w220_and_h330_face/4VlXER3FImHeFuUjBShFamhIp9M.jpg),202,[Mortal Kombat Legends: Scorpion's Revenge](https://www.themoviedb.org/movie/664767), ,🌟81.00,2020, , , 
142,![640344](https://media.themoviedb.org/t/p/w220_and_h330_face/sfeQTIRkJjWt8IPDSBcPqkrcaas.jpg),203,[Me Against You: Mr. S's Vendetta](https://www.themoviedb.org/movie/640344), ,🌟81.00,2020, , , 
143,![532067](https://media.themoviedb.org/t/p/w220_and_h330_face/fv5BgcfkpWh3V6Pb1qVlXESBOdl.jpg),204,[KONOSUBA – God's blessing on this wonderful world! Legend of Crimson](https://www.themoviedb.org/movie/532067), ,🌟81.00,2019, , , 
144,![239](https://media.themoviedb.org/t/p/w220_and_h330_face/hVIKyTK13AvOGv7ICmJjK44DTzp.jpg),205,[Some Like It Hot](https://www.themoviedb.org/movie/239), ,🌟81.00,1959, , , 
145,![655](https://media.themoviedb.org/t/p/w220_and_h330_face/tgw3TJTWgNUYCgL5Pa546VVVvSU.jpg),206,"[Paris, Texas](https://www.themoviedb.org/movie/655)", ,🌟81.06,1984, , , 
146,![705](https://media.themoviedb.org/t/p/w220_and_h330_face/6numIZH6uR3NlJgY9m7nGH0jhs.jpg),207,[All About Eve](https://www.themoviedb.org/movie/705), ,🌟81.00,1950, , , 
147,![265297](https://media.themoviedb.org/t/p/w220_and_h330_face/jRmQNj8NacAHJnzwfvFvglKSGB6.jpg),208,[The Salt of the Earth](https://www.themoviedb.org/movie/265297), ,🌟81.00,2014, , , 
148,![58496](https://media.themoviedb.org/t/p/w220_and_h330_face/nZbLCbRoP6iJq5sr8daHQzjnzFh.jpg),209,[Senna](https://www.themoviedb.org/movie/58496), ,🌟81.00,2010, , , 
149,![103663](https://media.themoviedb.org/t/p/w220_and_h330_face/jkixsXzRh28q3PCqFoWcf7unghT.jpg),210,[The Hunt](https://www.themoviedb.org/movie/103663), ,🌟80.99,2012, , , 
150,![11878](https://media.themoviedb.org/t/p/w220_and_h330_face/tN7kYPjRhDolpui9sc9Eq9n5b2O.jpg),211,[Yojimbo](https://www.themoviedb.org/movie/11878), ,🌟81.00,1961, , , 
151,![548](https://media.themoviedb.org/t/p/w220_and_h330_face/vL7Xw04nFMHwnvXRFCmYYAzMUvY.jpg),212,[Rashomon](https://www.themoviedb.org/movie/548), ,🌟81.00,1950, , , 
152,![38](https://media.themoviedb.org/t/p/w220_and_h330_face/5MwkWH9tYHv3mV9OdYTMR5qreIz.jpg),213,[Eternal Sunshine of the Spotless Mind](https://www.themoviedb.org/movie/38), ,🌟80.99,2004, , , 
153,![12445](https://media.themoviedb.org/t/p/w220_and_h330_face/c54HpQmuwXjHq2C9wmoACjxoom3.jpg),214,[Harry Potter and the Deathly Hallows: Part 2](https://www.themoviedb.org/movie/12445), ,🌟80.98,2011, , , 
154,![9702](https://media.themoviedb.org/t/p/w220_and_h330_face/gvP6R6juhe2IpCG7QGDgjyUvm0g.jpg),215,[Bound by Honor](https://www.themoviedb.org/movie/9702), ,🌟81.00,1993, , , 
155,![46738](https://media.themoviedb.org/t/p/w220_and_h330_face/i5GsLIII66LubmOai65cWiB4kZq.jpg),216,[Incendies](https://www.themoviedb.org/movie/46738), ,🌟81.00,2010, , , 
156,![146233](https://media.themoviedb.org/t/p/w220_and_h330_face/uhviyknTT5cEQXbn6vWIqfM4vGm.jpg),217,[Prisoners](https://www.themoviedb.org/movie/146233), ,🌟80.94,2013, , , 
157,![406](https://media.themoviedb.org/t/p/w220_and_h330_face/8rgPyWjYZhsphSSxbXguMnhN7H0.jpg),218,[La Haine](https://www.themoviedb.org/movie/406), ,🌟81.00,1995, , , 
158,![774372](https://media.themoviedb.org/t/p/w220_and_h330_face/cvBVd5DwAwYOakF0U1qsYdysQ08.jpg),219,"[ariana grande: excuse me, i love you](https://www.themoviedb.org/movie/774372)", ,🌟80.85,2020, , , 
159,![2457](https://media.themoviedb.org/t/p/w220_and_h330_face/yiy9stl1jjVhW44ypkWMFDT8Ix3.jpg),220,[Children of Paradise](https://www.themoviedb.org/movie/2457), ,🌟81.00,1945, , , 
160,![397567](https://media.themoviedb.org/t/p/w220_and_h330_face/gJSvIsI6oQfFim0PGyuuiCYfqKs.jpg),221,[Along with the Gods: The Two Worlds](https://www.themoviedb.org/movie/397567), ,🌟81.00,2017, , , 
161,![832](https://media.themoviedb.org/t/p/w220_and_h330_face/slsS6jT6SXjcTPOrsFcLIrHboXA.jpg),222,[M](https://www.themoviedb.org/movie/832), ,🌟81.00,1931, , , 
162,![24382](https://media.themoviedb.org/t/p/w220_and_h330_face/f5OxD8Nl0pR3DcYHtYhHRfpsmjl.jpg),223,[Big Deal on Madonna Street](https://www.themoviedb.org/movie/24382), ,🌟81.00,1958, , , 
163,![10681](https://media.themoviedb.org/t/p/w220_and_h330_face/hbhFnRzzg6ZDmm8YAmxBnQpQIPh.jpg),224,[WALL·E](https://www.themoviedb.org/movie/10681), ,🌟80.87,2008, , , 
164,![3780](https://media.themoviedb.org/t/p/w220_and_h330_face/iYNH3Re0JSypoYaWvZtERUnNaJL.jpg),225,[Red Beard](https://www.themoviedb.org/movie/3780), ,🌟81.00,1965, , , 
165,![387](https://media.themoviedb.org/t/p/w220_and_h330_face/spE9nbdqhoKoTaCNp4H9Tj6Xcrm.jpg),226,[Das Boot](https://www.themoviedb.org/movie/387), ,🌟81.00,1981, , , 
166,![472454](https://media.themoviedb.org/t/p/w220_and_h330_face/dETDsjBNtWyzdrqi0DFSielMWk5.jpg),227,[Ayla: The Daughter of War](https://www.themoviedb.org/movie/472454), ,🌟81.00,2017, , , 
167,![823754](https://media.themoviedb.org/t/p/w220_and_h330_face/ku1UvTWYvhFQbSesOD6zteY7bXT.jpg),228,[Bo Burnham: Inside](https://www.themoviedb.org/movie/823754), ,🌟81.00,2021, , , 
168,![400608](https://media.themoviedb.org/t/p/w220_and_h330_face/dqHTk96sbQI2En5HJIsgelWi5Cv.jpg),229,[Bo Burnham: Make Happy](https://www.themoviedb.org/movie/400608), ,🌟81.00,2016, , , 
169,![15584](https://media.themoviedb.org/t/p/w220_and_h330_face/bVJCQfIfNC01CYOVkvBOtrY1cxy.jpg),230,[Dear Zachary: A Letter to a Son About His Father](https://www.themoviedb.org/movie/15584), ,🌟81.00,2008, , , 
170,![992](https://media.themoviedb.org/t/p/w220_and_h330_face/1G9r3rqtbFAQuyWKOZm4Y5J5s7Q.jpg),231,[Sherlock Jr.](https://www.themoviedb.org/movie/992), ,🌟81.00,1924, , , 
171,![7345](https://media.themoviedb.org/t/p/w220_and_h330_face/fa0RDkAlCec0STeMNAhPaF89q6U.jpg),232,[There Will Be Blood](https://www.themoviedb.org/movie/7345), ,🌟81.00,2007, , , 
172,![4348](https://media.themoviedb.org/t/p/w220_and_h330_face/sGjIvtVvTlWnia2zfJfHz81pZ9Q.jpg),233,[Pride & Prejudice](https://www.themoviedb.org/movie/4348), ,🌟81.00,2005, , , 
173,![550776](https://media.themoviedb.org/t/p/w220_and_h330_face/qbJEzCzEKDHPZDiRvSSBiYEKaAH.jpg),234,[Believe Me: The Abduction of Lisa McVey](https://www.themoviedb.org/movie/550776), ,🌟81.00,2018, , , 
174,![11645](https://media.themoviedb.org/t/p/w220_and_h330_face/jQnUtWaHYfqnXPOIf77K7Ycqk4M.jpg),235,[Ran](https://www.themoviedb.org/movie/11645), ,🌟81.00,1985, , , 
175,![149871](https://media.themoviedb.org/t/p/w220_and_h330_face/cQidJuA546OSSXKWXoiCeINDxuj.jpg),236,[The Tale of The Princess Kaguya](https://www.themoviedb.org/movie/149871), ,🌟81.00,2013, , , 
176,![62](https://media.themoviedb.org/t/p/w220_and_h330_face/ve72VxNqjGM69Uky4WTo2bK6rfq.jpg),237,[2001: A Space Odyssey](https://www.themoviedb.org/movie/62), ,🌟81.00,1968, , , 
177,![359940](https://media.themoviedb.org/t/p/w220_and_h330_face/pZRhqJj0DBy4ghB7g6pU7MGHsWJ.jpg),238,"[Three Billboards Outside Ebbing, Missouri](https://www.themoviedb.org/movie/359940)", ,🌟80.75,2017, , , 
178,![334543](https://media.themoviedb.org/t/p/w220_and_h330_face/iBGRbLvg6kVc7wbS8wDdVHq6otm.jpg),239,[Lion](https://www.themoviedb.org/movie/334543), ,🌟81.00,2016, , , 
179,![8392](https://media.themoviedb.org/t/p/w220_and_h330_face/rtGDOeG9LzoerkDGZF9dnVeLppL.jpg),240,[My Neighbor Totoro](https://www.themoviedb.org/movie/8392), ,🌟81.00,1988, , , 
180,![89708](https://media.themoviedb.org/t/p/w220_and_h330_face/qodkea4k0pNUmNTl5TJO2PdTqgW.jpg),241,[Samsara](https://www.themoviedb.org/movie/89708), ,🌟81.00,2011, , , 
181,![906126](https://media.themoviedb.org/t/p/w220_and_h330_face/2e853FDVSIso600RqAMunPxiZjq.jpg),242,[Society of the Snow](https://www.themoviedb.org/movie/906126), ,🌟80.69,2023, , , 
182,![831827](https://media.themoviedb.org/t/p/w220_and_h330_face/39oaQUS0KxyXL6KYJ2o2u03PpHz.jpg),243,[Far from the Tree](https://www.themoviedb.org/movie/831827), ,🌟81.00,2021, , , 
183,![437068](https://media.themoviedb.org/t/p/w220_and_h330_face/iXVaWbxmyPk4KZGZk5GGDGFieMX.jpg),244,[A Taxi Driver](https://www.themoviedb.org/movie/437068), ,🌟81.00,2017, , , 
184,![11423](https://media.themoviedb.org/t/p/w220_and_h330_face/jcgUjx1QcupGzjntTVlnQ15lHqy.jpg),245,[Memories of Murder](https://www.themoviedb.org/movie/11423), ,🌟80.65,2003, , , 
185,![21634](https://media.themoviedb.org/t/p/w220_and_h330_face/1viFwXluAettogGDsTrSUUg29lZ.jpg),246,[Prayers for Bobby](https://www.themoviedb.org/movie/21634), ,🌟81.00,2009, , , 
186,![1091](https://media.themoviedb.org/t/p/w220_and_h330_face/tzGY49kseSE9QAKk47uuDGwnSCu.jpg),247,[The Thing](https://www.themoviedb.org/movie/1091), ,🌟81.00,1982, , , 
187,![11659](https://media.themoviedb.org/t/p/w220_and_h330_face/ltmcFRvTeAgBgMLUGa15KzDSQqs.jpg),248,[The Best of Youth](https://www.themoviedb.org/movie/11659), ,🌟81.00,2003, , , 
188,![381284](https://media.themoviedb.org/t/p/w220_and_h330_face/9lfz2W2uGjyow3am00rsPJ8iOyq.jpg),249,[Hidden Figures](https://www.themoviedb.org/movie/381284), ,🌟81.00,2016, , , 
189,![8422](https://media.themoviedb.org/t/p/w220_and_h330_face/pngL8AraChIDOiWnKF2o3S9kJzJ.jpg),250,[Rocco and His Brothers](https://www.themoviedb.org/movie/8422), ,🌟81.00,1960, , , 
190,![610461](https://media.themoviedb.org/t/p/w220_and_h330_face/oSbCdDI0SAAOdywGe0YVO2iDdV9.jpg),251,"[Veinteañera, divorciada y fantástica](https://www.themoviedb.org/movie/610461)", ,🌟81.00,2020, , , 
191,![1000492](https://media.themoviedb.org/t/p/w220_and_h330_face/ptJWIUOm3aA15rjz5SJJwS6WJU4.jpg),252,[All Your Faces](https://www.themoviedb.org/movie/1000492), ,🌟81.00,2023, , , 
192,![120467](https://media.themoviedb.org/t/p/w220_and_h330_face/eWdyYQreja6JGCzqHWXpWHDrrPo.jpg),253,[The Grand Budapest Hotel](https://www.themoviedb.org/movie/120467), ,🌟80.51,2014, , , 
193,![7347](https://media.themoviedb.org/t/p/w220_and_h330_face/lwIXz785N2fXi8hsBr1IXciFlkM.jpg),254,[Elite Squad](https://www.themoviedb.org/movie/7347), ,🌟81.00,2007, , , 
194,![147](https://media.themoviedb.org/t/p/w220_and_h330_face/12PuU23kkDLvTd0nb8hMlE3oShB.jpg),255,[The 400 Blows](https://www.themoviedb.org/movie/147), ,🌟81.00,1959, , , 
195,![522518](https://media.themoviedb.org/t/p/w220_and_h330_face/wquJChp0NpoqthYdE3YjXNNxvVC.jpg),256,[A Dog's Journey](https://www.themoviedb.org/movie/522518), ,🌟80.00,2019, , , 
196,![538362](https://media.themoviedb.org/t/p/w220_and_h330_face/rwPgE6fLxuJmPWi8fFjgENJMAjr.jpg),257,[On My Skin](https://www.themoviedb.org/movie/538362), ,🌟80.00,2018, , , 
197,![1955](https://media.themoviedb.org/t/p/w220_and_h330_face/3SInR81qnXjY7Or5qXyiQLmWfEh.jpg),258,[The Elephant Man](https://www.themoviedb.org/movie/1955), ,🌟80.00,1980, , , 
198,![42229](https://media.themoviedb.org/t/p/w220_and_h330_face/jzRn7N1mFowkQ5IkUkfWoxXJtYU.jpg),259,[A Special Day](https://www.themoviedb.org/movie/42229), ,🌟80.00,1977, , , 
199,![26022](https://media.themoviedb.org/t/p/w220_and_h330_face/5Y36lCiNyyV71mjq6LavgiggbhT.jpg),260,[My Name Is Khan](https://www.themoviedb.org/movie/26022), ,🌟80.00,2010, , , 
