index,Cover 海报,Rank 排名,Title 电影,Director 导演,Score 打分,Year 年份,Region 地区,Genre 类型,Staff 人员
53, ,58,[萨曼莎：一个美国女孩的假期](http://movie.mtime.com/64480),娜迪亚·泰斯,🌟8.90,2004,美国, ,娜迪亚·泰斯 / 米娅·法罗
54,![81389](http://img5.mtime.cn/img2x/mt/2011/09/21/094844.24602864_o.jpg),59,[千面佳人](http://movie.mtime.com/81389),阿瑟·希勒,🌟8.90,1966,美国, ,阿瑟·希勒 / 娜塔利·伍德
55,![83276](http://img5.mtime.cn/img3x/mt/2016/09/07/171052.22583695_o.jpg),60,[海洋](http://movie.mtime.com/83276),雅克·贝汉,🌟8.90,2011,法国, ,雅克·贝汉 / 雅克·贝汉
56,![83333](http://img5.mtime.cn/img2x/mt/2010/11/06/203834.86090164_o.jpg),61,[非洲猫科](http://movie.mtime.com/83333),艾雷斯泰·法瑟吉尔,🌟8.90,2011,美国, ,艾雷斯泰·法瑟吉尔 / 塞缪尔·杰克逊
57,![86723](http://img5.mtime.cn/mt/2019/07/31/113309.13530060_o.jpg),62,[家园](http://movie.mtime.com/86723),雅安·阿瑟斯-伯特兰,🌟8.90,2009,法国, ,雅安·阿瑟斯-伯特兰 / 格伦·克洛斯
58,![88245](http://img5.mtime.cn/img3x/mt/2014/02/23/063154.73252389_o.jpg),63,[新世纪福音战士新剧场版：破](http://movie.mtime.com/88245),摩砂雪,🌟8.90,2009,日本, ,摩砂雪 / 三石琴乃
59,![90353](http://img5.mtime.cn/img3x/mt/2014/02/23/064103.22553659_o.jpg),64,[意外死亡（非常意外！）](http://movie.mtime.com/90353),金士杰,🌟8.90,2006,中国台湾, ,金士杰 / 李建常
60,![90360](http://img5.mtime.cn/img3x/mt/2014/02/23/064103.30791123_o.jpg),65,[我和我和他和他](http://movie.mtime.com/90360),赖声川,🌟8.90,2004,中国台湾, ,赖声川 / 冯翊纲
61,![91403](http://img5.mtime.cn/img3x/mt/2014/02/23/064443.20523837_o.jpg),66,[永远](http://movie.mtime.com/91403),赫蒂·霍尼格曼,🌟8.90,2006,荷兰, ,赫蒂·霍尼格曼 / 木村佳乃
62,![95278](http://img5.mtime.cn/img3x/mt/2014/02/23/065405.45788688_o.jpg),67,[疯马秀](http://movie.mtime.com/95278), ,🌟8.90,1999,法国, , 
63,![101384](http://img5.mtime.cn/img3x/mt/2014/02/23/071213.51885002_o.jpg),68,[地球公民](http://movie.mtime.com/101384),尚恩·莫森,🌟8.90,2003,美国, ,尚恩·莫森 / 华金·菲尼克斯
64, ,69,[佛兰德斯的狗](http://movie.mtime.com/108249),黑田昌郎,🌟8.90,1975,日本, ,黑田昌郎 / 喜多道枝
65, ,70,[场面调度：安德烈·塔科夫斯基](http://movie.mtime.com/123208), ,🌟8.90,1988,瑞典, ,布莱恩·考克斯
66, ,71,[第52届格莱美音乐奖颁奖礼](http://movie.mtime.com/124310),路易斯·J·霍尔维斯,🌟8.90,2010, , ,路易斯·J·霍尔维斯
67, ,72,[阿凡达：打造潘多拉星球](http://movie.mtime.com/125570), ,🌟8.90,2010,美国, ,拉兹·阿隆索
68,![126063](http://img5.mtime.cn/img3x/mt/2013/09/02/153308.26490527_o.jpg),73,[变装酷童](http://movie.mtime.com/126063), ,🌟8.90,2009,澳大利亚, ,卡兰·麦克奥利菲
69, ,74,[迈克尔·杰克逊30周年庆典](http://movie.mtime.com/131960),布鲁斯·高威尔斯,🌟8.90,2001,美国, ,布鲁斯·高威尔斯 / 迈克尔·杰克逊
70,![137809](http://img5.mtime.cn/img2x/mt/2010/11/30/184149.72062914_o.jpg),75,[永远的车神](http://movie.mtime.com/137809),阿斯弗·卡帕迪尔,🌟8.90,2011,英国, ,阿斯弗·卡帕迪尔 / 埃尔顿·赛纳
71,![147428](http://img5.mtime.cn/img2x/mt/2011/04/06/140653.76200593_o.jpg),76,[第64届戛纳电影节](http://movie.mtime.com/147428), ,🌟8.90,2011,法国, , 
